00-00	NKUWUWAPUTA UWA NILE BANYERE IKIKE MMADU NWEGASIRI
00-01	Ebe o bu na nghota ugwu ekere uwa na ikike nha anya a pughi inapu mmadu nke diri onye o bula bi n'uwa bu ntuala nke inwere onwe, ikpe nkwumoto na udo n'elu uwa.
00-02	Ebe nleghara anya na nleli ikike mmadu nwegasiri emeela ka e nwee akparamagwa enweghi uche nke gbawara obi mmadu nile, a biakwa obibia uwa ebe ndi mmadu ga-enwejuputa ohere ikwu okwu na inwe nkwenye nakwa nlihapu n'ujo na uko, aburu ihe a mara n'okwa di ka olile anya kachasi ibe ya nke mmadu nkiti.
00-03	Ebe o di mkpa, ma o buru na a choghi ikwanye mmadu ka o were oke nnupu isi sogide ochichi aka ike na mmegbu di ka ihe ikpeazu o puru ime, na a ga-echedo ikike mmadu nwegasiri site n'usoro iwu.
00-04	Ebe o di mkpa ikwalite oganihu mmekorita enyi na enyi n'etiti mba na ibe ya.
00-05	Ebe ndi otu jikotara mba uwa nile bu United Nations, n'ime Chata bu akwukwo nyere ha ike kwuputakwara ozo okwukwe ha n'ikike ntoala mmadu nwegasiri, n'ugwu na uru nke mmadu, ya na nha anya ikike ndi diri nwoke na nwanyi, were nweekwa njikere ikwalite oganihu obodo na ezi obibi ndu nke ndi mmadu nweere onwe ha.
00-06	Ebe mba ndi no n'otu a eweputala onwe ha maka inweta, site na njiko aka ha na United Nations, nkwalite nsopuru n'uwa nile na idebe iwu gbasara ikike na ohere ntoala mmadu nwegasiri.
00-07	Ebe nghota onye o bula banyere ikike na ohere ndi a kachasi diri mkpa maka imejuputa nkwekorita nke a.
00-08	UGBU A ZI
00-09	Ogbako ozuzu a bu General Assembly Na-akwado Nkuwuwaputa Uwa Nile nke a banyere Ikike Maadu Nwegasiri ka o buru ihe ngosi oganihu nke ndi mmadu nile na mba nile, nke bu na onye o bula nakwa ngalaba o bula nke obodo bu Nkwuwaputa a n'obi, ga-agbasi mbo ike, site na nkuzi na ozuzu, ikwalite nsopuru maka ikike na ohere ndi a, ma sitekwa n'atumatugasi nke mba na nke jikoro mba na mba na-aga n'ihu ime ka a ghtachaa ma debechaa ha n'uwa nile ma n'ime mba ndi no n'otu a makwa n'ime mba ndi ozo no n'okpuru ochichi ha.
01-00	Nkeji edemede 1.
01-01	A muru mmadu nile n'ohere nakwa nha anya ugwu na ikike. E nyere ha uche na mmuo ime ihe ziri ezi nke na ha kwesiri ikpaso ibe ha agwa n'obi nwanne na nwanne.
02-00	Nkeji edemede 2
02-01	Onye o bula tozuru iwe ikike na ohere nile e weputara na Nkwuwaputa nke a , n'enweghi ikpa oke o bula di ka nke agburu; ucha akpukpo ahu, ibu nwoke ma o bu nwanyi, asusu, okpukpe chi, echiche banyere ochichi ma o bu ihe ozo, obodo ma o bu o n'obodo aku, onodu omumu ma o bu onodu ozo.
02-02	Ozokwa, a gaghi enwe ikpa oke gbadoro ukwu n'onodu ochichi, nlekota ma o bu mmekorita mba na mba, nke obodo ma o bu oke ala onye no na ya, n'agbanyeghi ma ebe ahu o nwe onwe ya, o no na nlekota anya, o no n'okpuru ochichi ozo ma o nwere ihe ozo gbochiri ya inwe ntozu oke di ka mba.
03-00	Nkeji edemede 3
03-01	Onye o bula nwere ikike inwe ndu, ohere na nchedo nke onwe ya.
04-00	Nkeji edemede 4
04-01	O dighi onye a ga-ejigide n'onodu ohu ma o bu odibo a ga-amachi ikpa ma o bu ire ohu n'udi o bula.
05-00	Nkeji edemede 5
05-01	O dighi onye a ga-akwagide n'oke ntaramahuhu, ma o bu na mmeso omume na ntaramahuhu obi ojoo, obi tara mmiri ma o bu nke naz-ewetu ugwu mmadu.
06-00	Nkeji edemede 6
06-01	Onye o bula nwere ikike nkwanyere ugwu di ka mmadu ebe o bula n'usoro iwu.
07-00	Nkeji edemede 7
07-01	Madu nile ha otu n'usoro iwu, tozukwa oke n'enweghi ikpa oke o bula inweta nchedo nha anya n'usoro iwu. Madu nile tozukwara oke nchedo nha anya megide udi ikpa oke o bula mebiri Nkwuwaputa nke a ma megidekwa ikwanye mmadu o bula n'udi ikpa oke a.
08-00	Nkeji edemede 8
08-01	Onye o bula nwere ikike ikpe mmezi ga-enwe nkawado oha na eze nke ndi ulo ikpe tozuru etozu nke obodo ma e nwee omume ndi megidere ikike ntoala nke e nyegasiri ya site n'usoro ochichi ma obu iwu.
09-00	Nkeji edemede 9
09-01	O dighi onye a ga-akwagide na njide n'efu, mkpochi ma o bu nchupu n'obodo ya.
10-00	Nkeji edemede 10
