00-00	Allgemeini Erklaerung vun de Menscherachte
00-01	Wil d’Freiheit, d’Gerachtichkeit un de Fridde uff de Walt sich uff d’Anerkannung vun de Wirde stitze, wie in alle Litt vun de Menschefamili zuekummt, sowie uff ihri gliche un unveruesserliche Rachte,
00-02	Wil ’s do, wo mr d’Menscherachte nit gekannt un nit reschpektiert het, zue unmenschliche Tate gebroocht het, wie s Gewisse vun de ganze Menschheit revoltiere, un wil ’s proklamiert wurre isch, ass de Mensch vor allem uff e neji Walt blangt, wo d’Litt frei sinn, ze redde un ze gloewe wie se welle, un wo se vun Schrecke un Not befreit sinn,
00-03	Wil ’s notwandich isch, ass d’Menscherachte durich e Rachtssyschtem gschitzt ware, fer ass de Mensch nit gezwunge wurd, sich als letschter Uesswaj gejje d’Tyrannei un d’Unterdrickung ze revoltiere,
00-04	Wil ’s notwandich isch, d’Entwicklung vun de Frindschaftsbezijjunge zwische de Natione ze unterstitze,
00-05	Wil d’Velliker vun de Vereinte Natione in de Charta widder emol proklamiert han, ass se an d’Grundrachte vum Mensch gloewe, an d‘Wirde un an de Wart vun de menschliche Parson un an d’Glichheit vun de Rachte vun Mann un Fraeu, un wil se sich defir entschidde han, de soziale Furtschritt ze ferdere un besseri Lawesbedingunge mitere gressere Freiheit ze schaffe,
00-06	Wil d’Staate, wie do mitmache, sich verpflicht han, in Zsammearweit mit de Organisation vun de Vereinte Natione, ze sorje, fer ass d’Menscherachte un d’Grundfreiheite allgemein un tatsachli reschpektiert ware,
00-07	Wil e gemeinsami Ufffassung iwwer die Rachte un Freiheite viehmassi wichtich isch, fer in dere Verpflichtung ganz noochzekumme,
00-08	Proklamiert d’Generalversammlung:
00-09	Die allgemeine Erklaerung vun de Menscherachte isch s gemeinsame Ideal, wie alli Velliker un Natione ze erreiche han, fer ass e jeder Mensch un alli Organe vun de Gsellschaft, un dis allewil im Sinn vun dere Erklaerung, sich anstrange, durich de Unterricht un d’Erzijjung, de Reschpekt vor denne Rachte un Freiheite ze entwickle, un sich bemiehje, durich als besseri Entscheidunge uff nationaler un internationaler Ewwene, ihri allgemeine un guete Anerkannung un Reschpekt ze sichere, un dis so wohl in de Bevelkerung vun de Mitgliedstaate salwer als vun de Gebiete, wie vun denne Staate regiert ware.
01-00	Artikel 1
01-01	Alli Mensche kumme mit de gliche Wirde un Rachte uff d’Walt. Sie han alli Vernunft un Gewisse un selle mit Briederlichkeit de andere gejjeniwwer handle.
02-00	Artikel 2
02-01	E jeder Mensch kann d’ganze Rachte un Freiheite, wie in dere Erklaerung stehn, fer sich verlange, un dis ohne jeder Unterschied, ob vun Rass, Huettfarb, Gschlacht, Sproch, Religion, politischer odder egal wellere andere Meinung, nationaler odder sozialer Harkunft, Vermeeje, Geburt odder egal wellere andere Situeation.
02-02	Uesserdam derf mr aeu ken Unterschied mache, wie als Grund s politische, s rachtliche odder s internationale Statuett vum Land odder vum Gebiet het, wovun e Parson stammt, egal eb dis Land odder dis Gebiet unabhangich isch, untereme Mandat, nit salbschtstandich odder in sinere Souveraenitaet uff egal welli Art begranzt isch.
03-00	Artikel 3
03-01	E jeder Mensch het s Racht uffs Lawe, d’Freiheit un d’Sicherheit vun sich salwer.
04-00	Artikel 4
04-01	Mr derf niemes in Sklaverei odder in Knachtschaft halte; d’Sklaverei un de Sklavehandel sinn in alle ihre Forme verbotte.
05-00	Artikel 5
05-01	Mr derf niemes foltere, odder groeisam, unmenschlich odder unehrehaft strofe un bhandle.
06-00	Artikel 6
06-01	E jeder Mensch het s Racht, iwweral als rachtsfahich anerkannt ze ware.
07-00	Artikel 7
07-01	D’Mensche sinn alli vorem Gsetz glich un han ohne Unterschied s Racht, de salwe Schutz vum Gsetz ze han. Alli han s Racht, gejje jedi Diskriminierung gschitzt ze ware, wie die Erklaerung verletze tat, un gejje jedi Provozierung, wie zue so-n-ere Diskriminierung fiehre tat.
08-00	Artikel 8
08-01	E jeder Mensch het s Racht, vor de zuestandiche nationale Gerichter e wiriksami Beruefung ze mache, gejje d’Tate, wie d’Grundrachte verletze, wie ihm durich d’Verfassung odder s Gsetz zuestehn.
09-00	Artikel 9
09-01	Mr derf niemes arbitraer verhafte, gfange halte odder vum Land verwise.
10-00	Artikel 10
10-01	E jeder Mensch het s Racht, in voller Glichheit, ass siner Fall geracht un effentlich voreme unabhangiche un unparteiische Gericht verhandelt wurd. Dis Gericht tuet entwedder iwwer sini Rachte un Pflichte entschide, odder, eb d’strofrachtliche Ankloej gejje ihne berachticht sinn.
11-00	Artikel 11
11-01	E jeder Mensch, wie vunere strofbare Tat angekloejt isch, gilt als unschuldi, bis ass sini Schuld gsetzlich noochgewisse isch, noocheme effentliche Prozass, wo mr ganz sicher kann sinn, ass er alli notwandiche Garantie het ghett, fer sich ze verteidiche.
11-02	Mr derf niemes fer Sache verurteile, wie er gemacht odder uessgelon het un wie im Momant, wie se passiert sinn, noochem nationale odder internationale Racht nit strofbar gewann sinn. Genaeu eso derf mr aeu ke schlimmeri Strof bekumme, als wie die, wie im Momant vorgsahn gewann isch, wie d’strofbare Tat gschahn isch.
12-00	Artikel 12
12-01	In eenem sin Privatlawe, sini Famili, sini Wohnung odder sini Korreschpondanz derf sich niemes arbitraer ninmische, odder sini Ehr un siner guete Ruef verletze. E jeder Mensch het s Racht, gejje so-n-e Ninmische un so-n-e Steerung vum Gesetz gschitzt ze ware.
13-00	Artikel 13
13-01	E jeder Mensch het s Racht, sich innewandi vume Staat frei ze beweje un siner Wohnsitz ze schwasiere.
13-02	E jeder Mensch het s Racht, egal was fer e Land ze verlon, aeu sin eijenes, un speter in sin Land zeruck ze kumme.
14-00	Artikel 14
14-01	E jeder Mensch het s Racht, wann er verfolligt wurd, Asyl in andere Lander ze sueche un ze geniesse.
14-02	Uff dis Racht kann mr sich nit beruefe, im Fall vun regelracht berachtichte Anklaj waje Verbrache vum gemeine Racht odder waje Macheschafte, wie d’Ziele un d’Grundsatz vun de Vereinte Natione verstosse.
15-00	Artikel 15
15-01	E jeder Mensch het s Racht, e Nationalitaet ze han.
15-02	Mr derf in keinem sini Nationalitaet arbitraer wagnamme un aeu nit sin Racht, d’Nationalitaet ze wachsle.
16-00	Artikel 16
16-01	Uessgewachseni Manner un Fraeue han s Racht, ze hirote un e Famili ze grinde, ohne jedi Bschrankung, was d’Rass, d’Nationalitaet odder d’Religion anbelangt. Sie han d’namliche Rachte an de Hochzitt, im Ehstand un bi de Scheidung.
16-02	D’Eh derf numme gschlosse ware, wann beidi Hochzitter frei un vollstandi demit inverstande sinn.
16-03	D’Famili isch de natirliche Grundstein vun de Gsellschaft un sie het s Racht, vun de Gsellschaft un vum Staat gschitzt ze ware.
17-00	Artikel 17
17-01	E jeder Mensch, ellein sowie mit andere zsamme, het s Racht uff Eijetum.
17-02	In keinem derf mr sin Eijetum arbitraer wagnamme.
18-00	Artikel 18
18-01	E jeder Mensch het s Racht, sini Gedanke-, Gewissens- un Religionsfreiheit ze han; Dis will aeu heisse, ass e jeder Mensch d’Freiheit het, sini Religion odder sini Waltanschaeuung ze andere, sowie sini Religion odder sini Waltanschaeuung ze erlawe, ellein odder mit andere Litt, privat odder effentlich, un dis durichs Lehre, d’Brich, de Gottesdienscht un d’Uessfiehrung vun Ritueale.
19-00	Artikel 19
19-01	E jeder Mensch het s Racht, e freji Meinung ze han un sie frei uesszedricke. Mr derf also aeu niemes waje sine Meinunge ploeje. Do debi meint mr aeu s Racht, Informatione un Idee ze sueche, ze bekumme un ze verbreite, durich egal was fer Medie un ohne sich an de Staatsgranze ze halte.
20-00	Artikel 20
20-01	E jeder Mensch het s Racht, sich friddli mit Andere ze versammle un e Verein ze grinde.
20-02	Niemes kann mr zwinge, zueme Verein ze gheere.
21-00	Artikel 21
21-01	E jeder Mensch het s Racht, d’effentliche Angelajeheite vun sim Land mitzelanke, entwedder direkt salwer odder durich frei gewaehlti Vertratter.
21-02	E jeder Mensch het s Racht, e glicher Zuegang ze de effentliche Amter in sim Land ze han.
21-03	De Wille vum Vollik isch d’Grundloej vun de Aeutoritaet vun de effentliche Gewalt; Der Wille muess sich durich ehrlichi Wahle uessdricke, un die Wahle mien regelmassi stattfinde, noocheme gliche un allgemeine Wahlracht un mit gheimer Stimmabgab, odder noochem andere Verfahre, wie genaeu eso freji Wahle garantiert.
22-00	Artikel 22
22-01	E jeder Mensch het, als Mitglied vun de Gsellschaft, s Racht uff Sozialversicherung. E jeder Mensch derf verlange un druff kumme, sini wirtschaftliche, soziale un kueltuerelle Rachte ze geniesse. Die sinn notwandi, fer wirdi ze lawe un sini Parsenlichkeit ze entwickle. Dis alles gelingt durich nationali Anstrangunge un internationali Zsammearweit, wo mr aeu uff d’Organisation un d’Mittel vun jedem Land acht.
23-00	Artikel 23
23-01	E jeder Mensch het s Racht, e Arweit ze han, sini Arweit frei ze schwasiere, gerachti un ordentlichi Arweitsbedingunge ze han un gejje d’Arweitslosichkeit gschitzt ze sinn.
23-02	Alli Mensche han ohne welli Diskriminierung s Racht, de salwe Lohn fer d’salb Arweit ze krieje.
23-03	E jeder Mensch, wie schafft, het s Racht, e gerachter un ordentlicher Lohn ze bekumme, wie ihm un sinere Famili e menschewirdiches Lawe sichert, un wann’s nit langt, muess es durich egal welli Sozialleischtunge verbessert ware.
23-04	E jeder Mensch het s Racht, mit andere Litt Syndikate ze grinde un sich in Syndikate anschliesse, fer sini Intrasse ze verteidiche.
24-00	Artikel 24
24-01	E jeder Mensch het s Racht uff Ruehj un Freizitt, un bsundersch uff e verninftich begranzti Arweitszitt sowie regelmassichi bezahlti Ferie.
25-00	Artikel 25
25-01	E jeder Mensch het s Racht uff e Lawesstandard, wie langt, fer ihm un sinere Famili ihri Gsundheit un Wohl ze sichere, bsundersch was s Asse, d’Kleider, d’Wohnung, d’Medizinpflaj un d’notwandiche Sozialleischtunge anbelangt; Er het Racht uff Sicherheit, wann er je arweitslos, krank, invalid, Wittfraeu odder Wittmann odder alt wurd, odder noch in alle andere Fall, wo er d’Mittel fer siner Lawesunterhalt uff e Art verliere tat, wo er nix defir kann.
25-02	Mueter un Kind han s Racht uff bsunderi Hilf un Bistand. Alli Kinder, eb se in de Eh gebore sinn odder nit, geniesse de salwe soziale Schutz.
26-00	Artikel 26
26-01	E jeder Mensch het s Racht uff Bildung. D’Bildung muess gratis sinn, wennigschtens fer d’Elemantar- un d’Grundschuel. De Elemantarunterricht isch obligatorisch. De Fach-un Beruefsunterricht muess allgemein zuegangli sinn. Alli mien de salwe offene Zuegang zuem Hochschuelunterricht han, jedesmol jedem sine Fahichkeite nooch.
26-02	D’Bildung het als Ziel d’Entfaltung vun de menschliche Parsenlichkeit un e staerikerer Reschpekt vor de Menscherachte un vor de Grundfreiheite. D’Bildung muess s Verstandnis, d’Toleranz un d’Frindschaft unterstitze, zwische alle Natione un alle Rasse- un Religionsgruppe, sowie aeu d’Entwicklung vun was d’Vereinte Natione mache, fer de Fridde ze bewahre.
26-03	D’Eltere han vorrangich s Racht, d’Art vun de Bildung ze schwasiere, wie in ihre Kinder zuekumme sell.
27-00	Artikel 27
27-01	E jeder Mensch het s Racht, am kueltuerelle Lawe vun de Gemeinschaft frei mitzemache, d’Kunscht ze geniesse un am wisseschaftliche Furtschritt teilzenamme un vun allem ze profitiere, was er Guets bringt.
27-02	E jeder Mensch het s Racht, ass sini moralische un materielle Intrasse als Aeutor gschitzt ware, wie mit sine wisseschaftliche, literarische odder kinschtlerische Warike verbunde sinn.
28-00	Artikel 28
28-01	E jeder Mensch het s Racht, ass eso-n-e soziali un internationali Ordnung herrscht, wo d’Rachte un d’Freiheite, wie in dere Erklaerung uffgezehlt wurre sinn, vollstandi kenne wirike.
29-00	Artikel 29
29-01	E jeder Mensch het Pflichte de Gemeinschaft gejjeniwwer. Numme do kann sich sini Parsenlichkeit frei un ganz entfalte.
29-02	Bim Brueche vun sine Rachte un bim Geniesse vun sine Freiheite, isch e jeder Mensch numme in de Granze unterworfe, wie im Gsetz stehn. Die Granze sinn uessschliessli vorgsahn, fer ass d’Rachte un d’Freiheite vun de andere Litt anerkannt un reschpektiert ware un fer in de gerachte Ansprich vun de Moral, vun de effentliche Ordnung un vum Gemeinwohl inere demokratische Gsellschaft noochzekumme.
