00-00	KUDITEJA CHA KAYI KEJIMA HA NSHIMBI JA WUNTU
00-01	Kuhitila mu kwiteja nakulemesha muntu, chakubuka kwambula chisaka cha muntu wejima munu mukayi hichikunku kwafuma kulubuka nakudimena, wusompeshi hamu na kuwunda munu mu kayi kejima.
00-02	Kubula kulondela nshimbi ja wuntu chinaleteshi kubula kutiyangana hakachi kwawantu atela kwikala na nshimbi jakudihoshela kuditongojokela chakadi kutiya nachu woma, chuma chalema mu kuhanda kwamuntu.
00-03	Chekala chasweja kulema neyi abuli kunukanjikija nakukenga kufubukila akwawu adi na kumukakesha, ilanga muntu watela kukinge wa na nshimbi.
00-04	Mu chitiyangenu chawaka United Nations, eteja chikuhwelelu chawu mu nshimbi ja wuntu, ekala iyala hela mubanda, nikumona nawu antu enjima anatwali kumbidi chahandilu.
00-05	Matunga amu United Nations adishika kumona nawu hadichitiyangenu, kalemesha ni kulondela nshimbi ja wuntu.
00-06	Nshimbi yeniyi ya kayi kejima ya Wuntu wa Muntu, hi njila yimu yakuwahishilamu chihandilu chawantu hamu nanyidimu yamatunga, dichi muntu wejima hela yipompelu yawantu eteja kulondela nshimbi yamuchidiwu watela kuzata mweneni nakumona neyi natangishi nshimbi ja wuntu, mu kukenga kuleta chitiyangenu mu kachi kamatunga hamu ekala ma memba hamu nawantu ejima munu mu kayi.
00-07	INSHIMBI JETUNG'A JAWUNTU
01-00	Chikunku 1
01-01	Muntu wejima wasemuka walukbuka wesekana hamu ni akwawu mukumulemesha. Wenkewa kutong'ojoka nikuzatila hamu nimukwawu muntu muwunta'a.
02-00	Chikunku 2
02-01	Muntu wejima watela kwiluka inshimbi jawuntu nikwila wakasuluka kulondela kudishika kweniku chakadi kusakula muchidi, ikowa, iyala indi mubanda hela kuchisaka kwafumahi nikutala hamaheta. Nayuma yikwawu.
02-02	Kosi kumwekesha chambu hakachi kawantu mulongg'a wakutala hetung'a kwafumayi itung'a neyi datambula chiyulu indi tahindi nehi hela kutala munjila adina itung'a chadiyulang'awu.
03-00	Chikunku 3
03-01	Muntu wejima watela kuhanda chiwahi mukushakama kwindi, walubuka nikumona nawu waking'ewa mumakabi adi ejima.
04-00	Chikunku 4
04-01	Kosi muntu akahembawu chineyi indung'u hela kwikala indung'u. Yuma yejima yadikuma kuwundung'u yatela kulekewa.
05-00	Chikunku 5
05-01	Kosi muntu akayandishawu munjila yakubula kutela hela kubabeshewa munjila yidi yejoma yatama.
06-00	Chikunku 6
06-01	Muntu wejima atela kumulemesha kwejima kwadiyi kulondela inshimbi jetung'a.
07-00	Chikunku 7
07-01	Antu ejima ekala esekana muchihandilu chawu kweseka nanshimbi dichi itung'a datela kuking'a ona muntu mukulondela muchitiyang'enu chenichi.
08-00	Chikunku 8
