00-00	Declarason di mundo intero di Dreto di tudo homi co tudo mudjer
00-01	Nu ta considra qui, riconhecimento di dignidadi qui ta faze parti di tudo membro di familia humano e di ses dreto qui e igual e qui nu ca pode squece, nem fica separado di el, e fundamento di liberdadi, di justisa e di paz di riba di es mundo;
00-02	Nu ta considra qui, disconhecimento e disprezo di dreto di tudo homi e di tudo mudjer lebanu pa faze cusas di rundade qui bem rabolta concensa di tudo Humanidadi. Nu sa ta spera pa tchiga um mundo undi tudo ser humano ta bem pode ser libri di pode papia e di credita, liberto di terror e sim medo di passa fomi e di miseria. Tudo es cusa bem ta ser porclamado cuma um inspirason muto importanti pa nos tudo: pa homi e pa mudjer.
00-03	Nu ta considra qui e essencial quel porteson di dreto di homi e di mudjer dento di um rigimi di dreto, pamodi es ca bem ta ser impurrado, num ricurso supremo, pa bai pa ribolta contra tirania e opresson.
00-04	Nu ta considra qui<control>e essencial si nu bem incoraja quel disenvolvimemto di relason di amizadi di nason co nason.
00-05	Nu ta considra qui, naquel Carta, tudo pobo di "Nason Unido" ta porclama, oto bez, qui eres tem fe na dreto fundamental di homi e di mudjer, na dignidadi e na valor de tudo pessoa humano, na igualdadi di dreto di homi e di mudjer, e es diclara cuma es sta resolvido pa bai favorece purgresso social e eres sa ta bai ranja midjor condison di bida di pa dento di muto mas liberdadi.
00-06	Nu ta considra qui tudo Estado membro des grupo ta compromete pa pormove na cooperason co Organizason di Nason Unido, quel ruspeto universal e efectivo di dreto e di liberdadi fundamental.
00-07	Nu ta considra qui um concepson comum di essi dreto e liberdadi e di muto mas importansa pa pode da completo satisfason pa essi compromisso.
00-08	Assembleia Geral Nes Assembleia eres ta porclama qui, quel Declarason Universal di Dreto di Homi (homi o mudjer) cuma um ideal comun pa tchiga na tudo pobo e na tudo nason, pamodi qui, tudo individu e tudo orgao di sociedadi, si es tene el constantimenti na sprito, es debe sforsa pa, na ensino e na educason, es podi bem disenvolve ruspeto des dreto e liberdadi e eres, podi pormove, co midida porgressive di ordi nacional e internacional, se reconhecimento e se aplicason universal e efective, tanto na meio di populason di propi estado membro cuma naquel di tudo territori colocado debaixo di ses jurisdison.
01-00	Artigo 1º
01-01	Tudo ser humano na es mundo nace libri e igual na se dignidade e na ses dreto. Na ses razon e na ses concensa, tudo arguem debe porcede pa co tudo guenti na sprito di fraternidadi.
02-00	Artigo 2º
