00-00	Nidaid Abitedinoesh Cho-choquidon Bedamboec Tabadte Chiaid
00-01	Adashic: - Bedamboec tabadnuna, quesho: Ai, mimbi chiac padec tabadnuna, matses abitedimbo chuinanubi:
00-02	Mibi bedamboec tabashobi cueschitono, quequid nibedtsiash. Cuesnanenquio matses ictsiash. Icsauanquid chushcatsiash. Bedambocquid bedamboen ispatsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
00-03	Adashic: - Enden: Bedamboec tabadnu, quesho: Padi. Cueschitono, quequin icsamenedaidi nebi utsi uanuna. Naden chuinanuna. Mimbi tantiaidi chuita. Utsibon chuisho tantiate bonquin tantiata. Dacuedenquiocquin nata. Mibi cuestiapimbo iquebi - quequin chuinanuna. Adec matses utsi-utsiquetsecquiec nuquibi bedamboec tabadtsiashe - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
00-04	Adashic: - Bedamboec tabadnuna, quequin neid chiaid isun chuiquid dapan: Ai, bedamboen chiacpadec tabadnuna, aton matses chiac bedambo ictsiash. Aid chuiquid dapa caic: Icsambo iqueque. Cuesunechitono, utsibon cac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
00-05	Adashic: - Nuquibi bedambo iquec, cananuna - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
00-06	Adashic: - Bedamboec tabadnuna, quequin chiac bedambo ictsiash. Matses abitedimbo bedambo iquec. Dada bedambo iquec. Chido bedambo iquec. Bacuebo bedambo iquec, quequin chiac bedambo ictsiash. Padi.
00-07	Mimbi chiac padomboen bedamboen nainda. Cueschitono quequid chieshemenquid icsambo ictsiash. Adquid nibednubi matses abitedi dada uaquin mequiacac bedambo ictsiash. Adembidi daue menebanac bedambo ictsiash. Adecbidi piasenquio yec bedamboec tabadac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
00-08	Adashic: - Nembo cho-choquidotedi aton nidaiden nishun aton matses nuqui chiondaid chuituidac: Ai, mimbi chiacpadec bedamboec tabadnuna, quequin chiac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
00-09	Adashic: - Nuqui chuiboed matses abitedimbo tantiamiac bedambo ictsiash - quepanedash. Aidtedba chuipanedash.
00-10	Nuqui Chuiboed Bedambo Iquec, Quiash
00-11	Nidaid abitedinoesh cho-choquido: - Nuqui chuiboed matses abitedimbo tantiamenuna. Tantiamiac chuiquid dapabon: Ai, adec bedamboec tabadcuenuna, cac bedambo ictsiash. Bedamboec tabadcuenuna, cacpadec matses abitedi bedamboec tabadac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
01-00	Chiaid 1
01-01	Chidon tishaido yec matses abitedimbo bedamboec isnanac bedambo ictsiash. Chieshnanac icsambo ictsiash. Abitedimbo bedamboec tabadac bedambo ictsiash. Shubu abentsecquiden tabadac birnboec abitedi tabadac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
02-00	Chiaid 2.
02-01	Neid dada uaid isash abitedi bedamboec isnanac bedambo ictsiash. Ebi padquid con matsesuidtsequi bedambo iquec. Matses utsibo icsarnbo iquec, quenquio yec: Con matses bedambo icnuc utsibotsen bedambo iquec, cac bedambo ictsiash. Adernbidi: Embentsequi bedamboen tantiembi. Utsibo abitedishun icsamboen tantiec, quenquioequin:
02-02	Chiesheenquiocquin ma ambi tantiaidi napanu cac bedambo ictsiash. Chidobi bedamboen istiapimbo iquebi, quenquiocquin chidotsen bedamboen isac bedambo ictsiash. Chuiquid dapambi neid chiaid niacbidanquin aton matses chieshenac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
03-00	Chiaid 3.
03-01	Matses utsibo yuainquio yec, cuesnanenquio yec quec bedamboec tabadnuna, cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
04-00	Chiaid 4.
04-01	Matses utsibo min matsesbeta yuainquiocquid. Yuac icsambo ictsiash. Adembidi matses utsibo min matsesbeta beshun yuamequin menenquiocquid. Yuamenun meniac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
05-00	Chiaid 5.
05-01	Matsespenquio yacbimboecnuc aton matses beta matses utsibo icsauainquiocquid. Icsauac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
06-00	Chiaid 6.
06-01	Atoda nidaiden nidacsho anocquidon: Con matses chuiquid dapan chiaid ley caid nata. Niacbidansho juez caiden ebi yac padomboembidi cuidtsiash, cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
07-00	Chiaid 7.
07-01	??Mitsicquid nidaiden tabadquid nec? Aton nidaiden tabadquido chuiquid dapan chiaid ley caid abitedishun nac bedambo ictsiash. Aiden chiaid niacbidansho juez caiden cuidac bedambo ictsiash. Neid chiaid niacbidanquin matses utsi caic: Matsespenquio mibi nec. Mibi bedamboen istiapimbo iquebique. Meyanu, quequin ambembi nac icsambo ictsiash. Cuidte chuiquid juez caiden matses abitedimbo: Mibi matses nec. Con matses nacpadomboembidi mibi naimbi, cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
08-00	Chiaid 8.
08-01	??Midacquid matses nepec? Aton nidaiden tabadquido chuiquid dapabon chiaid nac bedambo ictsiash. Aid chiaid niacbidanquin utsibo icsauasho isun juez caiden bemeshun cuidac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
09-00	Chiaid 9.
09-01	Neid chiaid niacbidanquin ambembi matses quene uac icsambo ictsiash. Adembidi ambembi chieshenquin matses aton nidaidenshun cuemiac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
10-00	Chiaid 10.
10-01	Chuiquid dapabon chiaid ley caid niacbidanosh. Icsaosh, caid beshun juez caid yacno buanquin. Anoshombi matses daedpenshun isnuc juez caiden chieshenenquiocquin chuimequin. ??Atotsi nao? quequin chuimequin. Ashumbi aid isquidtsen chuimequin. Adoshombic: Abimbo caosh. Icsaosh, queshun cuidquin. Icsabicshobi: Icsabi iqueque. Cuidtiapimbo iquebi. Ma nidnu, cac bedambo ictsiash. Cuidte chuiquid juez caiden chieshenenquiocquin abimbo cac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
11-00	Chiaid 11.
11-00	Chuiquid dapabon chiaid ley caid niacbidanosh. Icsaosh, caid beshun cuidte chuiquid juez caiden uesquin chuimiabi badedi: Mibi icsaque. Mibi cuidnu, cac icsambo ictsiash. Chata. Utsibon tantianubi chuimiabi icquin: Icsambo iquec, catiapimbo iquebi. Chuimebono, juezen cac bedambo ictsiash.
11-01	Chuiquid dapabon chiaid ley caid niacbidanacsho juez caiden chuimeshun cuidac bedambo ictsiash. Chuiquid dapabon: Aden naic icsambo ictsiash. Adoquid naden cuidquid, quequin chiacmaid nacsho: Icsambo iqueque. Cuidnu, cac icsambo ictsiash. Aidon chiaid niacabicsho cuidac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
12-00	Chiaid 12.
12-01	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Nadquid icsambo iqueque. Cuidnu cac bedambo ictsiash. Neidic: Mimbi tantiaidi nainda. Embi chiac padomboenuidtsequi nata, quec chieshemenquid. Neidic: Min nabobedi bedamboec tabadenda, quec chieshanquiecquid. Neidic: Ambi tantiaiden iste dada uaid isnushe. Beshun secanuna, quequin dada uaido beshumenquid. Aidted icsambo iquec, quequin chuiquid dapabon chiac bedambo ictsiash - quequin chuipanedashe nidaid abitedinoesh cho-choquidon.
13-00	Chiaid 13.
13-00	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon nadoac bedambo ictsiash. Neid nidaiden tabadquid: Capucuenenu, quesho tantiashun: Ai, capucueneta, cac bedambo ictsiash. Adembidi: Shubu utsin manednu, quesho: Ai manedta, cac bedambo ictsiash, quequin chiac bedambo ictsiash.
13-01	Nadembidi chiac bedambo ictsiash. Neid nidaidenoesh nidendabi, quesho, Ai, nidta, cac bedambo ictsiash. Nidenda. Cueschitono, shepi, cac icsambo ictsiash. Padnuen: Neid nidaiden choaindabi, quesho, Ai, chota, cac bedambo ictsiash. Padnuen: Choenda. Cueschitono, cac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
14-00	Chiaid 14.
14-00	Nidaid utsino cuenash: Con nidaiden tabadquiden ambembi chiesenac cuenobique. Min nidaiden tabadnu, quesho: Ai, nembobi quenenta, cac bedambo ictsiash.
14-01	Padnuen aton matses chuiquid dapabon ley chiaid niacbidanec: Cuidnushe, quianec nidaid utsin cuensho: Ai, nembo quenenta, cac icsambo ictsiash. Adembidi embi chuiboed niacbidanec: Cuidnushe, quianec nidaid utsin cuensho: Ai, nembo quenenta, cac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
15-00	Chiaid 15.
15-00	Acte ame eque cuema utsiuc tabadquid: Peruano nebi, quesho Peru yacnocquid ehuiquid dapan: Ai, Peruano mibi nec, cac bedambo ictsiash. Padnuen acte ame oque cuema utsiucquid: Brasilero nebi, quesho Brasil yacnocquid chuiquid dapan: Ai, Brasilero mibi nec, cac bedambo ictsiash. Padnuen nidaid utsin tabadquid: Neid nidaiden icquidquio nebi, quesho: Ai, adquid mibi nec, cac bedambo ictsiash.
15-01	Aton nidaiden tabadquid: Neid nidaiden icquid mibi catiapimbo iquebi. Con matses mibi cainqujo iquembi, ambembi cac icsambo ictsiash. Padnuen aton nidaiden tabadquid: Neid nidaiden icquid icboedi nebi nidaid utsin manedash aid nidaiden icquid yanebi, quesho ambembi chieshenquin: Padi. Aid nidaiden icquid mibi catiapimbo iquebi, cac icsambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
16-00	Chiaid 16.
16-00	Ashumbic padpiden: - Dada caniaidi: Con bacue tishmenuen con matsesen champi bednu, quesho: Ai, adota, cac bedambo ictsiash. Caniaid utsibi: Con bacue tishmenuen matses utsin champi bednu, quesho: Ai, adota, cac bedambo ictsiash. Padnuen chido caniaid: Con bacue tishnuen con matses bedmenu, quesho: Ai, adota, cac bedambo ictsiash. Chido canjaid utsibi: Con bacue tishnuen matses utsibi bedmenu, quesho: Ai, adota, cac bedambo ictsiash. Dadabi: Con chidobedi bedamboec tabadnu, quesho: Ai, adta, cac bedambo ictsiash. Chidobi: Con benebedi bedamboec tabadnu, quesho: Ai, adta, cac bedambo ictsiash. Chido aton benen yuapenquio nec. Dadabi: Embi con chido caboedi icsasho isun con chidopenquio canu, quesho, Ai, adota, cac bedambo ictsiash. Chidobi: Embi con bene caboeden chieshenoshi. Aidi nianu, quesho, Ai, adota, cac bedambo ictsiash.
16-01	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Dadabi: Aton bene ictiapimbo iquebi, quesho bedmenda. Adecbidi chidobi: Aton chido ictiapimbo iquebi, quesho bedmenda. Padnuen dadan: Mibi bednu, cac: Ai, ebi bed, cac bedambo ictsiash.
16-02	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Dada aton nabobedi bedamboec tabasho isash: Bedambo iquec, cac bedambo ictsiash. Chieshemenquiden aton chido beshunac icsambo ictsiash. Adembidi aton bacuebo beshunac icsambo ictsiash. Adoquid cuidnuna, quequin chiac bedambo ictsiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
17-00	Chiaid 17.
17-00	Nidaid utsin-utsinquetsecquiecquiden chuiquid dapabon: Ampiabicquid: Con nabi nec, quesho: Ai, mitsa na nec, cac bedambo ictsiash. Adembidi: Utsin nabedi con na nec, quesho: Ai utsin nabed mitsa na nec, cac bedambo ictsiash.
17-01	Adashic: Ancanquiden utsin na beshunac icsambo iquec. Adembidi utsin na ampiac icsambo iquec, quequin chiac bedambo ictiash - quequin chuipanedash nidaid abitedinoesh cho-choquidon.
18-00	Chiaid 18.
