00-00	Me tonun asaria yen adunia noosiabu
00-01	Nde me ba doke ma tombu kpuron beere ka ben asaria nerabu soora tii moru ka gem weebu ka sere si na ta tasa anduniao,
00-02	Nde me dunia soo tomba n ki bu to nun asaria ka yeru sariru dooru doke sere ba n ye tusa n dera daa kam ya dabia ma ya duniagibu daakari seeya. Yen sona ye tonu kanamo n kpuro kere yera u wa u n tii mo kpa u gere ye u bwisika, u tamaa doke kpa u narurabu ka yaaru biru ko,
00-03	Nde me ye ya kere yera tem mi ba wooda swii bu tonum asaria noni doke, n wa tirasi yu ku wii deema u ka tii yina yen so ba wii yoru diisiamo ka ba wii takaasi mo,
00-04	Nde me ye ya kere yera bu noosina ka bu boronu dam ke tem baa,
00-05	Nde me tire te soo tem tom be ba. Waa ONUN yigberu soo ba tonun asarian tii, win girima ka win beere, ton duro ka ton kuron nerabu (goo kun goo kere) kpam naane kua. Ma ba yii bu (swaa kpee) ko ne tombun waaru ta koo ka sosi, kpa bu waaru gosia doonoorugiru mi tii mora kon kpa,
00-06	Nde me tem ka tem me mu, yigberu duuwa me ka ONU ba mua bu ko me ba koo ko bu ka tonun asaria ka win tii morun tii tii girima doke,
00-07	Ye ya kere yera suam tem (tia) me tonun asaria ka win tii morun swaa soo, n wa me ba yii ba ne ba koo ko bu ye ko mam mam.
00-08	Menno boko ge, ga yorasia ga ne:
00-09	me tonun asaria yen andunia noosia bi bu saawa, gaa ni bweseru baatere ka tem baamere mu kasu mu naa, n wa tombu kpuro, som ko yenu ka yigbenu kpuro, ba n tonun asaria noosia bi bwisika bu asaria girima dokebu ka tii moru wuu swaa daasia ka keu soosibu ka sere bwisi sosibu. Kpa bu ko me ba koo ko n wa kpure kpure ba aweren temo, bu girima doke bi ka tii moo te sua, kpa bu ka som buru ko wuu si su waa yigbe te soon tombun tii ka tem me ba mo min tombu soo.
01-00	Damba 1
01-01	Ba tombu kpuro marawa ba tii mo, ba ne, girima ka saria soo. Ba ra bwisiku, ba dasabu mo, ma n weene ba n waasine merobisiru soo.
02-00	Damba 2
02-01	Baawere ko kpi u sariaba ka tii moo ni ba kpara min baruka digoo kun tuko, bwesera, wasin gona, durowa, kurowa, politikin beragia, n kun me bwisikunu gana.
02-02	Yen biru, n n kooro bu tem ka tem wunana politiki ka wooda swaa soo. Ka da tem min di tonu yarima, mu tii monu mua, mu n mue ro.
03-00	Damba 3
