00-00	VISPAREJA CILVEKA TIESIBU DEKLARACIJA
00-01	Ieverojot, ka visiem cilveku sabiedribas locekliem piemitosas pascienas un vinu vienlidzigu un neatnemamu tiesibu atzisana ir brivibas, taisniguma un vispareja miera pamats, un
00-02	ieverojot, ka cilveku tiesibu necienisana un nicinasana noved pie barbariskiem aktiem, kas izraisa sasutumu cilveces apzina, un ka tadas pasaules radisana pasludinata ka cilveku augstakie centieni, kura cilvekiem bus varda un parliecibas briviba un tie bus brivi no bailem un trukuma, un
00-03	ieverojot, ka nepieciesams, lai cilveka tiesibas aizsargatu likuma speks un cilveks nebutu spiests izmantot ka pedejo lidzekli sacelsanos pret tiraniju un apspiestibu, un
00-04	ieverojot, ka nepieciesams veicinat draudzigu attiecibu attistibu starp tautam, un
00-05	ieverojot, ka Apvienoto Naciju tautas Statutos apliecinaja savu ticibu cilveka pamattiesibam, cilveka personibas pascienai un vertibai un viriesu un sieviesu lidztiesibai un apnemas sekmet socialo progresu un labakus dzives apstaklus vislielakas brivibas apstaklos, un
00-06	ieverojot, ka Dalibvalstis ir apnemusas panakt, sadarbojoties ar Apvienoto Naciju Organizaciju, sekmet cilveka tiesibu un pamatbrivibu vispareju cienisanu un ieverosanu, un
00-07	ieverojot, ka so tiesibu un brivibu visparejai izpratnei ir milziga nozime sis apnemsanas pilnigai istenosanai,
00-08	tapec Generala Asambleja
00-09	pasludina so Visparejo cilveka tiesibu deklaraciju par visu tautu un naciju sasniegumu kopejo standartu, lai katrs cilveks un katra sabiedribas institucija, pastavigi paturot prata so Deklaraciju, censtos ar apmacibu un izglitosanu veicinat so tiesibu un brivibas respektesanu un, istenojot progresivus nacionalos un starptautiskos pasakumus, nodrosinatu to vispareju un efektivu atzisanu un ieverosanu ka pasu Organizacijas dalibvalstu starpa, ta ari to jurisdikcija esoso teritoriju tautas.
01-00	1. pants
01-01	Visi cilveki piedzimst brivi un vienlidzigi sava pasciena un tiesibas. Vini ir apveltiti ar sapratu un sirdsapzinu, un viniem jaizturas citam pret citu bralibas gara.
02-00	2. pants
02-01	Ikvienam ir tiesibas uz visam saja Deklaracija pasludinatajam tiesibam un brivibam, bez jebkada veida atskiribas pec rases, adas krasas, dzimuma, valodas, religijas, politiskas vai citas parliecibas, nacionalas vai socialas izcelsmes, mantiska stavokla, dzimsanas vai cita statusa.
02-02	Turklat nedrikst noteikt nekadu atskiribu pec tas valsts vai teritorijas, politiska, tiesiska vai starptautiska statusa, pie kuras cilveks pieder neatkarigi no ta, vai si teritorija ir neatkariga, aizbildniba esosa, bez pasparvaldes vai kaut ka citadi ierobezota sava suverenitate.
03-00	3. pants
03-01	Ikvienam ir tiesibas uz dzivibu, brivibu un personas neaizskaramibu.
04-00	4. pants
04-01	Nevienu nedrikst turet verdziba vai dzimtbutnieciba; visa veida verdziba un vergu tirdznieciba ir jaaizliedz.
05-00	5. pants
05-01	Nevienu nedrikst paklaut spidzinasanai vai cietsirdigi, necilvecigi ar vinu apieties vai sodit, pazemojot vina cilvecisko cienu.
06-00	6. pants
06-01	Ikvienam, visur, ir tiesibas but atzitam par personu likuma prieksa.
07-00	7. pants
07-01	Visi ir vienlidzigi likuma prieksa un viniem ir tiesibas, bez jebkadas diskriminacijas, uz vienadu likuma aizsardzibu. Visiem ir tiesibas uz vienadu aizsardzibu pret jebkadu diskriminaciju, parkapjot so Deklaraciju, un pret jebkuru kudisanu uz tadu diskriminaciju.
08-00	8. pants
08-01	Ikvienam ir tiesibas uz efektivu vina tiesibu atjaunosanu kompetentas nacionalajas tiesas gadijumos, par nodarijumiem, kas parkapj vina pamattiesibas, kas garantetas konstitucija vai likuma.
09-00	9. pants
09-01	Nevienu nedrikst patvaligi arestet, aizturet vai paklaut izraidisanai.
10-00	10. pants
10-01	Ikvienam vina tiesibu un pienakumu noskaidrosanai, ka ari vinam izvirzitas kriminalas apsudzibas pamatotibas noteiksanai, ir tiesibas, lai vinu lietu atklati un, ieverojot visas taisniguma prasibas, uz pilnigas lidztiesibas pamata izskatitu neatkariga un objektiva tiesa.
11-00	11. pants
11-00	Katram, kas ir apsudzets kriminalnozieguma, ir tiesibas tikt uzskatitam par nevainigu, kamer vina vaina nav pieradita saskana ar likumu atklata tiesas procesa, kura vinam ir bijusas nodrosinatas visas savai aizstavibai nepieciesamas garantijas.
11-01	Nevienu nedrikst notiesat par sodamu tiesibparkapumu tadas darbibas vai bezdarbibas del, kas saskana ar izdarisanas bridi speka bijusajiem nacionalajiem likumiem vai starptautiskajam tiesibam nebija sodams tiesibparkapums. Tapat nedrikst piespriest smagaku sodu neka tas, kas bija japiemero laika, kad tika izdarits sodamais tiesibparkakums.
12-00	12. pants
12-01	Nedrikst patvaligi iejaukties neviena personiskaja un gimenes dzive, patvaligi parkapt vina dzivokla vai korespondences neaizskaramibu vai apdraudet vina godu un reputaciju. Katram ir tiesibas uz likuma aizsardzibu pret sadu iejauksanos vai apdraudejumiem.
13-00	13. pants
13-00	Ikvienam ir tiesibas brivi parvietoties un izveleties sev dzivesvietu ikviena valsti.
13-01	Ikvienam ir tiesibas atstat jebkuru, ari savu valsti un atgriezties sava valsti.
14-00	14. pants
14-00	Ikvienam ir tiesibas meklet un izmantot patverumu no vajasanas citas valstis. Sis tiesibas nevar tikt izmantotas tadas vajasanas gadijuma, kas isteniba nav saistita ar politiskiem noziegumiem vai ar darbibam, kas ir pretruna ar Apvienoto
14-01	Naciju Organizacijas merkiem un principiem.
15-00	15. pants
15-00	Ikvienam ir tiesibas uz pilsonibu.
15-01	Nevienam patvaligi nedrikst atnemt ta pilsonibu vai atteikt tiesibas mainit savu pilsonibu.
16-00	16. pants
16-00	Pilngadigajiem viriesiem un sievietem ir tiesibas bez jebkadiem ar rasi, nacionalitati vai religiju saistitiem ierobezojumiem staties lauliba un nodibinat gimeni. Viniem ir vienlidzigas tiesibas, staties lauliba, laulibas laika un skirot laulibu.
16-01	Lauliba var tikt slegta tikai ar abu personu, kas stajas lauliba, brivu un pilnigu piekrisanu.
16-02	Gimene ir dabiska sabiedribas pamatvieniba, un tai ir tiesibas uz sabiedribas un valsts aizsardzibu.
17-00	17. pants
17-00	Ikvienam ir tiesibas uz ipasumu ka vienam, ta ari kopigi ar citiem.
