00-00	Adaeimadzhy Barty AEkhsaenad: Adaeimadzhy Barty AEppaetiumaeiag Deklaratsi.
00-01	Naei rokhuaty uadzaen aeppaet dzyllaedzhyn binonty uaengtaen sae namysaen arg skaenyn, staei se 'mkhuyzon aemae aenaekhitsaengaengae bartae, kaei sty saeribardzinad, raestdzinad aemae aeppaetiumaeiag sabyrdzinady byndur; aemae naei rokhuaty uadzaen, aenaervaessondzinad aemae nitsaemaedard kaei aerkodtoi varvaron akttaem, kaetsytae khygdarynts adaeimadzhy namys, aemae akhaem duneiy araezt, kaetsyiy adaemaen uydzaen dzyrdy bar aemae uydzysty khitsaen tas aemae maeguyrdzinadaei, khuystgond u kuyd adaemy styr tyrnynad; aemae naei rokhuaty uadzaen, aenaemaeng khaeuy, tsmmaei adaeimadzhy bartae khakhaed tsaeuoi zakony tykhaei, tsaemaei adaeimag iaekhaedaeg ma 'rkhaua akhaem uavaermae aemae ma systa aefkhaerdy nykhmae, aemae naei rokhuaty uadzaen, khuamae aekhkhuysgond tsaeua adaemty 'khsaen khaelardzinad raezynaen; aemae khusdardmae isgaeiae, Iugond Natsity adaemtae kaei bafidar kodtoi Ustavy sae uyrnynad adaeimadzhy bynduron bartaem, adaeimadzhy namysy argadmae, sylgoimag aemae naelgoimadzhy aembaradmae, aemae bauynaffae kodtoi sotsialon progress aemae tsardy khuyzdaer kaenynaen saeribar uaevgaeiae aekhkhuys kaenyn; aemae naei rokhuaty uadzaen, paddzakhaedtae-uaengtae, kaei bavaerdtoi nyfs akhaz kaenyn, Iugond Natsity Organizatsiimae kusgaeiae, aeppaetiumaeiag arggaenynad aemae adaeimadzhy bynduron bartae fidar kaenynaen aekhkhuys kaenyn. Naei rokhuaty uadzaen, atsy bartaen kaei is styr nysaniuaeg atsy khaes saekhkhaest kaenynaen. Generalon Asamblei rasidtis atsy deklaratsi kuyd khaeslaevaerd, kaetsy khuamae aekhkhaest kaenoi aeppaet adaemtae aemae paddzakhaedtae, tsaemaei aly adaeimag aemae aekhsaenady uaeng daer aeppyndzukh rukhsad aemae akhuyradmae tyrngaeiae, aekhkhuys kaenoi atsy bartae khakhaenynaen, aemae sae parakhat kaenoi kuyd Organizatsiyy paddzaekhaedty aemae adaemty 'khsaen, aftae uytsy teritority adaemy 'khsaen, kaetsytae sty sae yurisdiktsiyy.
01-00	UATS 1.
01-01	Adaeimaegtae se 'ppaet daer raiguyrynts saeribaraei aemae aemkhuyzonaei sae barty. Uydon aekhkhaest sty zond aemae namysaei, aemae kaeraedziyaen khuamae uoi aefsymaerty khuyzaen.
02-00	UATS 2
02-01	Aly adaeimagaen daer khuamae uoi aeppaet bartae aemae saeribaradtae, atsy Deklaratsimae gaesgae, aenae isty khitsaendzinaedtaei, oma, adaemykhattmae zondakhastytae, natsionalon kaenae sotsialon ravzaerd, mulkon myggagon kaenae aendaer uavaery.
02-02	Uymaei uaeldai, naei khitsaen kaenaen politikon, baradon kaenae aekhsaenadaemon bynduryl uytsy paddzakhad, kaetsymae khauy adaeimag, tsavaerfaendy paddzakhad daer uaed.
03-00	UATS 3
03-01	Aly adaeimagaen daer is bar tsaerynaen, saeribar aemae khi aedasdzinadaen.
04-00	UATS 4.
04-01	Khuamae machi ua tsagar aemae uatsary; tsagar aemae tsagairaegty uaeigaenynadaen bar naei sae aly khuyzty daer.
05-00	UATS 5.
05-01	Khuamae tukhaenaei makaei maroi, makaei namys khuamae ua aefkhaerd aemae khygdard.
06-00	UATS 6.
06-01	Aly adaeimagaen daer, kaem faendy uaed, is baradon khakhaenynad.
07-00	UATS 7.
07-01	Adaem se `ppaetdaer zakony raz sty aemkhuyzon aemae syn is bar, tsaemaei sae zakon khakhaena aemkhuyzondaei. Se `ppaetaen is bar, zakonmae gaesgae saekhi diskriminatsiyae bakhakhaenynaen, kaetsy khaly atsy Deklaratsiyy aegdaeuttae.
08-00	UATS 8.
08-01	Aly adaeimagaen daer is bar aentysdzhytaei iae bartae bakhakhaenyn taerkhondony, uytsy bartae iyn laevaerd sty zakon aemae konstitutsiyae.
09-00	UATS 9.
09-01	Khuamae machi ua aevaendonaei akhst kaenae tard.
10-00	UATS 10.
10-01	Aly adaeimagaen daer iae bartae aemae iae khaestae, staei iae akhkhossadzhy rastdzinad sbaeraeg kaenynaen is bartae aeppaet aemkhuyzonady bynduryl, tsaemaei iae khuyddagmae kast tsaeua khuystgondaei aemae aeppaet raestdzinady domaentimae aenaedaelbar aemae raestdzaevin taerkhondony.
11-00	UATS 11.
11-01	Aly adaeimag daer, isty fydrakaendy akhkhosdzhyn, iae bartaem gaesgae gaeu akhkhosdzhyn, tsalynmae iae akhkhos zakonmae gaesgae taerkhondony rabaeraeg ua, uaedmae; uym daer yn laevaerd tsaeuy khakhkhaenynad.
11-02	Khuamae makaemaen aertsaeua taerkhongond, fydrakaendyl nymad tsy nae tsaeuy, uytsy fydrakaendy tykhkhaei, natsionalon zakon kaenae aekhsaenadaemon baradmae gaesgae. Khuamae ma ua nysangond akhaem aefkhaerd, kaetsy uyd nysangond fydrakaendy raestaeg.
12-00	UATS 12.
12-01	Machi khuamae ua khygdaerd iaekhi aemae iae binonty tsardy, iae korrespondentsiyy susaegdzinaedty, staei iae kady.
13-00	UATS 13.
