00-00	Danezana gerduni ya mafen mirov
00-01	Herweki nasina weqara pegire hemu endamen malbata mirovi u mafen wan en wekhev u (jenager) bingehe azadi, dad u ashitiya cihane pek tine,
00-02	Herweki nenasin u pisukditina mafen mirov re dan barbar ku wijdana mirovhiye didin isyane u avakirina cihaneke ku te de ewe heyinen mirovi di peyivin u bawerkirine de serbest bin, ji xof u belengaziye rizgar bin wek xweziya bilindtirin a mirov hate ilan kirin,
00-03	Herweki bingehi ye ku mafen mirov ji ali rejimeke hiquqi ben parastin ji bo ku mirov mecbur nemine, wek sara dawin, li diji zorkari u zulme rabe,
00-04	Herkeki teshwiqa peshvebirina peywendiyen dostaniye di navbera neteweyan de bingehi ye,
00-05	Herweki gelen Neteweyen Yekbuyi di Desture de ji nu ve baweriya xwe ya bi mafen bingehi yen mirov, di nav weqar u rumeta kese mirovi de u di wekheviya mafen mer u jinan de, dane zanin u diyar kirin ku ew biryardar in ku arikari bidin peshvesuna sivaki u bicihkirina mecalen setir en jiyane di nav serbestiyeke mestir de,
00-06	Herweki dewleten endam qewl dane, ku bi hevkariya Teshkilata Neteweyen Yekbuyi, riayeta gerduni u fiili ya mafen mirovi u azadiyen bingehi ewle bikin,
00-07	Herweki tegihishtineke hevbesh a van maf u azadiyan ji bo bi temami bicihanina ve teahude ji giringiya bilindtirin e, Civina Gelemperi ve Danezana Gerduni ya Mafen Mirovi
00-08	weki ideala hevbesh a ku hemu gel u hemu netewe dixwazin bighene ji bo ku hemu kes u hemu organen civake, ev Danezan timi di bir de, bi hinkirin u hevotine bixebitin ku riayeta van maf u azadiyan peshve bibin u bi tedbiren berebereyi yen neteweyi u navneteweyi, nasin u bicihanina gerduni u fiili yen wan him di nav gelen dewleten endam bi xwe him di nav yen erden ku li jer hukme wan de ne ewle bikin.
01-00	Bend 1
01-01	Hemu mirov azad u di weqar u mafan de wekhev ten dinyaye. Ew xwedi hish u shuur in u dive li hember hev bi zihniyeteke bratiye bilivin.
02-00	Bend 2
02-01	Heryek, be tu ciheyi, nemaze ya nijad, reng, zayend (cisn), ziman, ol, ramana siyasi an her ramana din, esle neteweyi an civaki, serwet, zayin an her rewsheke din, xwediye hemu maf u hemu azadiyen ku di ve Danezane de hatine daxuyankiri ye.
02-02	Bi serde, ewe tu ciheyi neye kirin ji ber statuya siyasi, hiquqi an navneteweyi ya welat an erde ku kesek je te, heke ev welat an erd serbixwe, li jer dest, ne xweser (otonom) an li jer her tahdida din a serweriye be an na.
03-00	Bend 3
03-01	Herkes xwedi mafe jiyan, azadi u ewleyiya shexse xwe ye.
04-00	Bend 4
04-01	Ewe tukes di koleti an bindestiye de neye girtin; koleti u bazirganiya koleyan bi hemu tesheyen xwe ve qedexe ne.
05-00	Bend 5
05-01	Ewe tukes nebe tabie shkence an ceza u muameleyen hov, namirovi an xirabker.
06-00	Bend 6
06-01	Herkes xwediye mafe nasina li hemu ciyan a shexsiyeta xwe ya hiquyi ye.
07-00	Bend 7
07-01	Hemu mirov li ber qanunan wekhev in u be ciheyi xwediye mafe parastineke wekhev a qanun in. Hemu mirov li hemberi her cihetiya ku ve Danezane ihlal dike u li hemberi her navtedana cihetiyeke wilo xwediye mafe parastineke wekhev in.
08-00	Bend 8
