00-00	'alvav'ltl'k' d'ql'ar'atsy' fֿvn m'ntshnr'kt
00-01	hyvt vavy d'r s'am'r grvnt fֿvn fֿryyahyyt, yvshr, avn shlvm aoyp d'r gar'r vav'lt v'ashtyyt fֿvn an'rq'n'n d'm tvkyqn kvֿvd avn dy glyyak' avn nyt-ayv'rtragl'k' r'kt fֿvn 'al' mytglyd'r fֿvn d'r m'ntshysh'r mshpchh,
00-02	hyvt vavy aygnaryrn avn vytvl tsv dy m'ntshnr'kt havn gvrm g'vav'n v'arv'arysh' 'aqtn vavas havn ang'vavarfֿn 'a groyl aoyp 'al' m'ntshn, avn hyvt vavy dy h'kst' hafֿnvng fֿvn dy avmvt h'vlm ayz 'az dy tsyyat zal anqvm'n vav'n m'ntshn zaln g'nysn fֿvn fֿryyahyyt, ay fֿvn r'dn ay fֿvn gloyvn, avn qyyn'r zal nyt lyyadn fֿvn qyyn mvra ad'r noyt,
00-03	hyvt vavy g'z'ts avn yvshr mvzn fֿ'artyydyqn m'ntshnr'kt, tam'r m'n vav't zyk ayn noyt n'm'n r'v'lyrn q'gn tyr'any' avn v'adryqvng,
00-04	hyvt vavy d'rmvtyqn dy 'antvavyqlvng fֿvn fֿryyantl'k' v'atsyvng'n tsvavyshn l'nd'r ayz 'an 'yqr,
00-05	hyvt vavy dy fֿ'lq'r fֿvn dy fֿ'arayynyqt' fֿ'lq'r havn ayn zyy'r tsh'art'r avnt'rg'shtrykt zyy'r gloyvn ayn grvntl'k' m'ntshnr'kt, ayn d'm kvֿvd avn vav'rt fֿvn y'dn m'ntsh, avn ayn dy glyyak' r'kt fֿvn m'n'r avn fֿroy'n, avn hyvt vavy zyy havn v'ashlasn d'rmvtyqn g'z'lsh'afֿtl'k' pragr's avn v's'r' l'vns-shtyyg'rs,
00-06	hyvt vavy dy fֿ'lq'r mytglyd'r havn g'tan 'a ndr myttsv'arv'tn myt dy fֿ'arayynyqt' fֿ'lq'r avn vavyyat'r tsv d'rmvtyqn 'alvav'ltl'k' drk-arts avn aphytn m'ntshnr'kt avn grvntl'k' fֿryyahyyt,
00-07	hyvt vavy 'al' d'arfֿn fֿ'arshtyyn dy-a r'kt avn fֿryyahyytn kdy d'r ndr zal mqvym vav'rn,
00-08	at d'rfֿ'ar
00-09	praql'amyrt dy 'alg'myyn' fֿ'arz'amlvng
00-10	dy-a 'alvav'ltl'k' d'ql'ar'atsy' fֿvn m'ntshnr'kt vavy 'a mas avn 'a tsyl fֿ'ar 'al' avmvt avn 'al' fֿ'lq'r, kdy y'd'r m'ntsh avn y'd'r aynst'ants zal havn 'al'mal ayn zyn'n dy-a d'ql'ar'atsy', avn vav't zyk myi'n, dvrk l'rn'n avn d'rtsyi'n, tsv d'rmvtyqn das an'rq'n'n fֿvn dy r'kt avn dy fֿryyahyytn, avn 'az zyy zaln ann'm'n mytl'n, syya n'atsyan'al' syya aynt'rn'atsyan'al', tsv fֿ'arzyk'rn das 'alvav'ltl'k' an'rq'n'n avn aphytn, syya tsvavyshn dy fֿ'lq'r fֿvn mytglyd-l'nd'r, syya tsvavyshn dy m'ntshn vavas avnt'r zyy'r hshp'h.
