00-00	DURNYANG KIKE BE KEYILI KPRA TA LANGE DIMEDI KIKE BE KUMU SO BE ASHYENG NE MOBE KASHINTENG AKPA
00-01	Kepin ne kemangkura, dimedi be eyilikpa ne mobe kumu so be asheng e la mobe kashinteng ne eyur-wushi be egbel-tulwase.
00-02	Kedo ne kekplang dimedi be kashinteng ere so e naa bra barkone, a duu mfera lubi dimedi be kumu to, n nang shi ne durnyang to dimedi bu kebaa malga yelyela, eboreshung, kayengi-yengi ne kanye kii asheng kpakpa so bebolpo kuto.
00-03	Ku daga fane awura-sheng be mbra ka bee kung dimedi be kashinteng n sa maa shi ne eko maa kini mo barkasa nko a nyang mo.
00-04	A daga ketengi efuli-ana be kakurwe kelepo so.
00-05	Yunated Neshin be baasa sa yerda kawol to ta a lange baasa be kashinteng-kpra ne bumode eyilikpa ne bu ting tengi bumobe kachena ne kebawoto lela be akpa so.
00-06	Efuli-ana ne a wo konokongwole ere to bo ntang fane bang pe abar be nsher to n nya bunyang ne kemangkur kashinteng ere to.
00-07	Ekama be kepin kashinteng ne kumu so be asheng ere e la demu kpra ne ku beeng che to n tengi ntang ere so. Naniere, kumo so.
00-08	Durnyang kike be nsher gbong nna yili dimedi kike be kumu so be asheng ne kashinteng ere.
00-09	Amuso, Kamalga ere to
00-10	BEE NGINI FANE "GENERAL ASSEMBLY" BEE
00-11	Kange ekama fane kayili ne kuwo kawol ere to la amo ne a beeng woro anfaani nsa ekama mo ne ewo efuli nna so. Ekama nta n-ya mata durinya kike be mmalga yiliso so. Adaga efuli kike eshuli n sa kamalga mo ne kuwo kawal ere to nta kumo nki kapate nsa anye. Nsa ne kamalga ere eluri efuli kike nene: epengi petekpa, epengi-torkpa, banaso, jisaso kuso ne adaga anye kike ewuro nna ela.
01-00	Demu 1
01-01	Bu kurwe dimedi kike mobe kumu so, ne mobe, eyilikpa, kesheng ne kashinteng mang kor eko peye to. Nyinpela sa dimedi kike lakal ne mfera fane bu chena abarso kelepo so.
02-00	Demu 2
02-01	Ekama ko ekpa ta a lange kashinteng ere kike ne kumu so be asheng ne a wo keyili kpra ere to ne nkpieto kike mang woto ashi yiri, kawol be ndu li, kenyen/keche, ngbar, ebore shung, kumu be kekeni nko lakal ko, efuli so nko kebawoto be ekpa so, kapite, kakurwe nko eyililkpa ko be kabaso.
