00-00	selasabeawi mabetoche lamaasetamaare  yamiradu anedaanede zadeewoche.
01-00	aneqatse 1;
01-01	yasawe leje hulu siwalade natsaanaa bakeberenaa bamabeteme ekulenate yaalawe nawe. yatafatero maasetawaalenaa hhelinaa selaalawe anedu leelaawene bawanedemaamaachenate manefase mamalekate yegabaawaale.
02-00	aneqatse 2;
02-01	eyaanedaanedu sawe yazare yaqalame yatsotaa yaqwaaneqwaa yahaayemaanote yapolatikaa wayeme yaleelaa aayenate asetasaasabe yabehheeraawi wayeme yaxaberatasabe taarike yahabete yatewelede wayeme yaleelaa darajaa leyunate saayenoru bazihu wesaanee yatazarazarute mabetochenenaa natsaanatoche hulu enedikabarulate yegabaale.
02-02	kaziheme bataqara anede sawe kaminorebate agare wayeme gezaate yapolatikaa yaagazaaze wayeme yainetarenaashenaale aqwaame yatanasaa agaru natsaame hona bamogezitenate asetadaadare wayeme eraasune chelo yamaayetadaadare agare tawalaaje bihoneme bamaanenyaaweme aayenate gadabe yaalawe agazaaze sere bihoneme leyunate ayefatsamebateme.
03-00	aneqatse 3;
03-01	eyaanedaanedu sawe yamanore, banatsaanatenaa basalaame yamanoru matebaqe mabete alawe.
04-00	aneqatse 4;
04-01	maaneme sawe bihone babaarenate ayegazaame. baarenatenaa yabaariyaa negedeme bamaanenyaaweme aayenate kelekele nawe.
05-00	aneqatse 5;
05-01	maaneme sawe bihone yachekaanee seqaaye enedaayedaresebate wayeme kasabeaawi afatsaatsame weche yahona yatawaarade tagebaare wayeme qetaate ayefatsamebateme.
06-00	aneqatse 6;
06-01	eyaanedaanedu sawe bahhege fite basawe zarenatu yamataawaqe mabete alawe.
07-00	aneqatse 7;
07-01	sawe hulu bahhege fite ekule nawe. yaalaanedaache leyunateme hhegu dahenenatune eneditebaqelate ekule yahona mabete alawe. yehenene wesaanee bamataase kamidarage leyunate lamaaderage kaminasaasaa eneditebaqe hulume yaekule mabete alawe. 
08-00	aneqatse 8;
08-01	eyaanedaanedu sawe bahhega manegesetu wayeme bahhege yatasatutene masarataawi mabetoche kamitesu deregitoche kafetanyaa bahonu behheeraawi yaferede baalaseletaanoche fetsume bahona manegade enediwagadelate mabete alawe.
09-00	aneqatse 9;
09-01	maaneme sawe yaalaferede tayezo eneditaasare wayeme bagezaate enedinore ayedarageme.
10-00	aneqatse 10;
10-01	eyaanedaanedu sawe bamabetochunaa bagedeetaawochu afatsaatsame enedihume bamikasasebate maanenyaaweme aayenate yawanejale kese natsaa bahonanaa bamaayaadaalaa yaferede shanego batekekelanyaanaa bayefaa gudaayu enedisamaalate yamulu ekulenate mabete alawe.
11-00	aneqatse 11;
11-00	bawanejale kese yatakasasa maanenyaaweme sawe lamakalaakayaawe asefalaagiwoche yahonutene hulu aqerebo bamikaraakarebate yayefaa ferede beete bahhege masarate wanejalanyaa mahonu esetiragaagatebate derase kawanejale natsaa enedahona yamaqotere mabete alawe.
11-01	maaneme sawe babehheeraawi wayeme bainetarenaashenaale hhege anede nagare wanejale hono baaletadanagagabate gizee bafatsamawe wayeme baalefatsamawe maanenyaaweme seraa wanejalanyaa hono ayekasaseme. wayeme wanejalu batafatsamabate gizee katadanagagawe qetaate yebalete ayefaradebateme.
12-00	aneqatse 12;
12-01	maaneme sawe bagele nurowe babeetasabu wesete babeetu wayeme bamitsaatsaafawe dabedaabee baferede yaaletalaya taaleqaa gabenate wayeme keberune yaminakaanaa semune yamiyaagodefe taqaawemo ayefatsamebateme. eyaanedaanedu sawe kaenedazihe yaala taaleqaa gabenate wayeme yamigodaa tagebaare hhege enedikalaakalelate mabete alawe. 
13-00	aneqatse 13;
13-00	eyaanedaanedu sawe bayabehheeraawi wasane kelelu yamazawaawarenaa yamanore natsaanate mabete alawe.
13-01	eyaanedaanedu sawe kamaanenyaaweme agare hona karaasu agare wateto enedaganaa wada agaru yamamalase mabete alawe.
14-00	aneqatse 14;
14-00	eyaanedaanedu sawe kacheqonaa shasheto baleeloche agaroche teganyenatene yamateyaqenaa badahenaa yamanore mabete alawe.
14-01	polatikaawi kaalehonu wanejaloche wayeme yatabaabarute manegesetaate derejete waanaa aalaamaawochene kamiqaaranu seraawoche yatanasaa bamidaresu kesoche mekeneyaate kahona yehe mabete liyaagalagele ayecheleme.
15-00	aneqatse 15;
15-00	eyaanedaanedu sawe yazeegenate mabete alawe.
15-01	maaneme sawe yaalaferede zeegenatu ayewasadebateme wayeme zeegenatune yamalawate mabete ayenafagaweme.
16-00	aneqatse 16;
16-00	akaala matene yadarasu wanedochenaa seetoche bazare bazeegenate wayeme bahaayemaanote leyunate saayewasanu gaabechaane yamafatsamenaa beetasabene yamamaserate mabete alaachawe; gaabechaa bamafatsame bagaabechaa gizeenaa gaabechaa bamifaresebateme gizee ekule mabete alaachawe.
