00-00	Di Stetment Bot Di Rayt Den We olman na Di Wol Fo Get
00-01	Soso we if wi sabi en gri se if olman get insef yon respekt, i ikwal en get di sem rayt lek eni oda posin oloba di wol, den di wanol wo1 sef go get fridom, jostis en pis; as ting den we wiked pasmak don apin bikos pipul dem no wan fo gri se olman ikwal.
00-02	Di ting we di komon man want pas oltin na di wol tide na fo mek evribodi ebul fo se wetin i fil, o tink bay aw ting de bi, fo biliv wetin i want fo biliv en get benifit from ol wetin i nid, wit kolat.
00-03	If man fo liv wit kolat en no get fo de fet fo in yon yon rayt, den i impotant fo mek di lo protekt da rayt de;
00-04	Na semweso i gud fo le kolat en frenship de bitwin neshon en neshon den.
00-05	We di Yunayted Neshon den sef si dis nain mek den put am tranga wan na den chata se ol motalman olsay na di wol ikwal, den get densef sef yon respekt we nobodi no fo fomful wit.
00-06	Weda den na man o uman, diffrens no fo de, en di Yunayted Neshon do mekop den maynd fo mek olman liv with kolat en respekt usay i de en get itwal chans fo du wetin den sabi fo du.
00-07	Na semweso di memba kontri den na di Yunayted Neshon don gri fo joynan en mek sho se den go get fridom, jostis en pis sote go.
00-08	Fo mek dis wanwod ol wata oloba di wol, evribodi foondastand wetin den rayt en den fridom, jostis en pis yaso min.
00-09	so, le wi si,
00-10	Di Jeneral Asembli
00-11	don tok naw se,
00-12	Dis stetment bot di rayt we olman olsay na di wol fo get, fo bi sem fool kanaba pipul den na ol di kontri den en dat evribodi en patikla di wan den we get pawa, fo mek sho se dnsef en den denlan am, den sabi am en de fala wetin i se so dat oLoba di wol pipul den go get fridom, jostis en pis.
01-00	Atikul Wan
01-01	evribodi bon fri en get in yon rayt, non wan no pas in kompin. Wi ol ebul fo tink en fenot wetin rayt en rong pantap dat wi fo sabi aw fo liv lek wan big famili.
02-00	Atikul Tu
02-01	evribodi fo get di sem rayt en fridom we dis stetment tok bot, no mata weda in na wetman o blakman, man o uman, bukman o yu no sabi rid en rayt, poman o moniman, kristien o muslim.
02-02	Pantap dat, di kontri we di posin bon sef no fo bi baria na in we. I fo get ikwal rayt lek eni oda posin na di best divelop kontri na di wol.
03-00	Atikul Tri
03-01	Evribodi fo ebul fo liv in layf, fo fil fri en fo fil sef se nobodi o natin no go denja in layf.
04-00	Atikul Fo
04-01	Nobodi no fo mek in kompin in slev – dis, oeniting sef we fiba am fo tap.
05-00	Atikul Fayv
05-01	Nobodi no fo mek in kompin sofa bita wiked pen na bodi o shem sote i los da in yon yon respekt.
06-00	Atikul Siks
06-01	evribodi get rayt fo mek pipul den respekt am as motalman enisay na di wol en, sef, fo mek di loep am get dis respekt.
07-00	Atikul Sevin
07-01	evribodi ikwal en di lo fo ebul protekt eniwan wantem we oda pipul den na trit wan du am wetin in motalman rayt no gri foo if bad pipul se oda wan agens am.
08-00	Atikul Et
08-01	evribodi we tink se den don go agens in rayt we dis stetment tok bot, fo ebul get ol di ep we i nid from eni kotos we get pawa na in kontri.
09-00	Atikul Nayn
09-01	Nobodi no fo arest, jel o dreb eni posin komot na in yon kontri jes bikes i fil fo du so.
10-00	Atikul Ten
10-01	enibodi we den arest fo ting we i du agens di lo, fo get ful protekshon from Loya den we go tinap fo am na kotos.
11-00	Atikul Ilevin
