00-00	Declarasyoony x:te:e'n Deree'ch x:te:e' Ra'ta' Bu:unny
00-01	Zi'cy na:a dignidaa deree'ch nah x:te:e' ra'ta' bu:unny gax:lyuh nih na:a que'ihty zi:e'd libertaa, justi'isy, cehnn pa's na:a pahr ga'crih rreconoseer,
00-02	Zi'cy na:a gahll quei'ty runybe:e' ra deree'ch x:te:e' bu:unny gaxlyuh guhc a bricah ra co's maal nih ruhny rtiloh bu:unny gaxlyuh, chiru' nih zi:e'd bu:unny rca:a'z te'ihby gaxlyuh lahty ra'ta' bu:unny chu'za'c, chiru' ga:a'p bu:unny deree'ch ynni:i:i' bu:unny nih rca:a'z bu:unny, ga:a'p bu:unny deree'ch x:te:e' rrelijyoony, ga:a'p bu:unny deree'ch ybaa:any bu:unny sihnng gahll nzhiiby cehnn gallzi:i',
00-03	Zi'cy na:a na:a pahr chu' le'i nih guuny protejeer ra deree'ch x:te:e' bu:unny tyeenn quei'ty cha's bu:unny ynna:a'az gyi:e'b ti:i'lly co'nnr wbyee'rnn nih na:a maal,
00-04	Zi'cy na:a na:a pahr ga'c ra nasyoony amiiegw,
00-05	Zi'cy na:a ra bu:unny x:te:e'n Naciones Unidas a mnni:i:i'rih laa'iny Gye:e'ts dehqueh runybe:e'rih ra'ta' bu:unny ra:a'p deree'ch, ra'ta' bu:unny sahc, te'blohihzy deree'ch ra:a'p ngui:u' mnna:a:a' nah; chiru' ra bu:unny x:te:e'n Naciones Unidas rca:a'zrih chu'za'cru' ra'ta' bu:unny,
00-06	Zi'cy na:a ra mye'mmr x:te:e'n Naciones Unidas a be:i'nyrih comprometeer dehqueh guunyrih promobeer rrespei'ty pahr ra'ta' bu:unny; chiru' na:a pahr gya'ap ra deree'ch cehnn ra libertaa x:te:e' ra'ta' bu:unny,
00-07	Zi'cy na:a na:a pahr ga'cbe:e' bu:unny ra deree'ch re:e' cehnn ra libertaa re:e' pahr chi:i'lle'eh ga'c cumpliier compromi'isy re:e',
00-08	Nah chiru'
00-09	Asamblea General
00-10	Ruhny proclamaar Declarasyoony re:e' xte:e'n Deree'ch x:te:e' Ra'ta' Bu:unny yzhi'u:u' pahr ra'ta' bu:unny cehnn ra'ta' nasyoony, pahr chine:ela:a:a'z bu:unny Declarasyoony re:e', chiru' guuny bu:unny promobeer rrespei'ty pahr ra deree'ch cehnn ra libertaa pahr ra'ta' bu:unny gaxlyuh, chiru' guuny ra'ta' bu:unny cehnn ra'ta' nasyoony gwardaar ra deree'ch re:e' cehnn ra libertaa re:e' pahr ra'ta' bu:unny gax:lyuh.
01-00	Te'ihby (1)
01-01	Ra'ta ra bu:unny ra:aaly liebr cehnn te'bloh deree'ch cehnn dignidaa. Ra:alyne:erih gahll ri:e:eny cehnn saalyb, chiru' na:a pahr ga:annza'crih loh sa'rih.
02-00	Tyo'p (2)
02-01	Ra'ta ra bu:unny na:a pahr ga:a'p ra'ta' deree'ch cehnn libertaa x:te:e'n Declarasyoony re:e', quei'ty xi guunydi' tu ra's la:a'rih, a ngui:u' o mnna:a:a' la:a'rih, xi di:i'zh rgwe:e'rih, xi rrelijyoony ra:a'prih, xi opihnyoony ra:a'prih, xi nasyoony za:arih, a rrye:e'cw o prooby la:a'rih, o xi'ru'.
02-02	Chiru' mahs ca:atihzhli za:arih, quei'ty xi guunydi' xi cl'as deh wbyee'rnn ra:a'p lahahzh:rih, ra'ta'rih ra:a'prih deree'ch re:e' cehnn ra libertaa re:e'.
03-00	Cho:onn (3)
03-01	Ra'ta' bu:unny ra:a'p deree'ch pahr ybaany bu:unny, libertaa, cehnn seguridaa x:te:e' bu:unny.
04-00	Tahp (4)
