00-00	OPSTA DEKLARACIJA O PRAVIMA COVEKA
00-01	Posto je priznavanje urodenog dostojanstva i jednakih i neotudivih prava svih clanova ljudske porodice temelj slobode, pravde i mira u svetu;
00-02	posto je nepostovanje i preziranje prava coveka vodilo varvarskim postupcima, koji su vredali savest covecanstva, i posto je stvaranje sveta u kojem ce ljudska bica uzivati slobodu govora i verovanja i biti slobodna od straha i nemastine proglaseno kao najvisa teznja svakog coveka;
00-03	posto je bitno da prava coveka budu zasticena pravnim sistemom kako covek ne bi bio primoran da kao krajnjem izlazu pribegne pobuni protiv tiranije i ugnjetavanja;
00-04	posto je bitno da se podstice razvoj prijateljskih odnosa medu narodima;
00-05	posto su narodi Ujedinjenih nacija u Povelji ponovo proglasili svoju veru u osnovna prava coveka, u dostojanstvo i vrednost covekove licnosti i ravnopravnost muskaraca i zena i posto su odlucili da podsticu drustveni napredak i poboljsaju zivotni standard u vecoj slobodi;
00-06	posto su se drzave clanice obavezale da u saradnji s Ujedinjenim nacijama obezbede opste postovanje i primenu ljudskih prava i osnovnih sloboda;
00-07	posto je opste shvatanje ovih prava i sloboda od najvece vaznosti za puno ostvarenje ove obaveze,
00-08	GENERALNA SKUPSTINA PROGLASAVA
00-09	OVU OPSTU DEKLARACIJU O PRAVIMA COVEKA kao zajednicki domet koji treba da postignu svi narodi i sve nacije da bi svaki pojedinac i svaki organ drustva, imajuci ovu Deklaraciju stalno na umu, tezio da ucenjem i vaspitavanjem doprinese postovanju ovih prava i sloboda da bi se postupnim unutrasnjim i medunarodnim merama obezbedilo njihovo opste i stvarno priznanje i postovanje kako medu narodima samih drzava clanica, tako i medu narodima onih teritorija koje su pod njihovom upravom.
01-00	Clan 1.
01-01	Sva ljudska bica radaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i svescu i treba jedni prema drugima da postupaju u duhu bratstva.
02-00	Clan 2.
02-01	Svakom pripadaju sva prava i slobode proglasene u ovoj Deklaraciji bez ikakvih razlika u pogledu rase, boje, pola, jezika, veroispovesti, politickog ili drugog misljenja, nacionalnog ili drustvenog porekla, imovine, rodenja ili drugih okolnosti.
02-02	Dalje, nece se praviti nikakva razlika na osnovu politickog, pravnog ili medunarodnog statusa zemlje ili teritorije kojoj neko lice pripada, bilo da je ona nezavisna, pod starateljstvom, nesamoupravna, ili da joj je suverenost na ma koji drugi nacin ogranicena.
03-00	Clan 3.
03-01	Svako ima pravo na zivot, slobodu i bezbednost licnosti.
04-00	Clan 4.
