00-00	DICHJARAZIONI UNIVIRSALI DI I DIRITTI DI L’OMU
00-01	Cunsidarendu ch’ellu ci voli a ricunnoscia a dignita propria di tutti i membri di a famiglia umana e i so diritti pari ed inalienabili par ch’elli sianu fundati a liberta, a ghjustizia e a paci ind’u mondu,
00-02	Cunsidarendu chi, un cunniscendu o sprizzendu i diritti di l’omu, si he ghjuntu a atti barbari chi a cuscenza umana ni he rivultata, e ch’ella he stata chjamata a spiranza piu alta di l’omu quilla di fa nascia un mondu duva elli saranu libari l’omi di parla e di creda, libarati da u tarrori e da e miseria,
00-03	Cunsidarendu ch’ella he una primura maio ch’elli sianu prutetti i diritti di l’omu da un guvernu di dirittu, da ch’ellu un sia custrettu l’omu, ghjuntu a i punti stremi, a rivulta si contru a a tirannia e l’upprissioni,
00-04	Cunsidarendu ch’ella he una primura maio di fa ch’elli si sviloppinu i leii amichevuli tra i nazioni,
00-05	Cunsidarendu ch’elli anu dittu in lu so Statutu i populi di i Nazioni Uniti ch’elli credinu in li diritti fundamintali di l’omu, in la dignita e u valori di a parsona umana, in la parita di i diritti di l’omi e di i donni, e ch’elli anu dittu d’essa dicisi a sviluppa u prugressu suciali e a fa nascia un modu di campa piu bonu ind’una liberta piu maio,
00-06	Cunsidarendu ch’elli anu prumissu i Stati Membri di fa, cu l’aiutu di l’Urganisazioni di i Nazioni Uniti, ch’elli sianu rispittati da veru in lu mondu sanu i diritti di l’omu e i liberta fundamintali,
00-07	Cunsidarendu chi par rializa isssa prumessa, he di primura d’ave una idea cumuna d’issi diritti e liberta,
00-08	Sta Dichjarazioni Univirsali di i Diritti di l’Omu
00-09	cum’e fini cumunu da ricirca da tutti i populi e tutti i nazioni, par ch’elli provinu tutti l’individui e tutti l’urganisazioni di a sucita, cu u insignamentu e l’educazioni, a sviluppa u rispettu d’issi diritti, e, pigliendu a pocu a pocu i misuri naziunali e internaziunali, a impona ni ignalocu a ricunniscenza e a prattica vera, sia ind’e i populi di i Stati membri stesi, sia ind’e quilli di i tarritorii ad elli cunfidati.
01-00	Articulu Prima
01-01	Nascinu tutti l’omi libari e pari di dignita e di diritti. Pussedinu a raghjoni e a cuscenza e li tocca ad agiscia tra elli di modu fraternu.
02-00	Articulu 2
02-01	Di tutti i diritti e i liberta scritti in issa dichjarazioni, si ni po ghjuva ugnunu, senza sfarenza varuna di razza, di culori, di sessu, di lingua, di rilighjoni, d’upinioni, pulitica o altra ch’ella sia, d’urighjini naziunali o suciali, di ricchezza, di nascita o di qualunqua altra situazioni.
02-02	Mancu si fara nisuna sfarenza partendu da u statutu puliticu, ghjuridicu o internaziunali di u paesi o u tarritoriu duva ella campa a parsona, ch’ellu sia indipindenti issu paesi o tarritoriu, o puri cunfidatu ad una antra nazioni, privu d’autunumia o cu un puteri limitatu in calchi modu.
03-00	Articulu 3
03-01	Ha dirittu ogni persona a a vita, a a liberta e a a sicurezza.
04-00	Articulu 4
04-01	In la schiavitu o in la sirvitu un sara tinutu nimu; so pruibiti a schiavitu e u cumerciu di i schiavi in qualunqua forma.
05-00	Articulu 5
05-01	Un’ sara turmintatu nimu, ne sottumissu a castichi o azzioni crudeli, inumani o vili.
06-00	Articulu 6
06-01	A so parsunalita ghjuridica, ugnunu ha dirittu a fa la ricunnoscia ignalocu.
07-00	Articulu 7
07-01	Pa a leggi tutti so pari, e tutti anu dirittu a essa prutetti da ella senza sfarenza varuna. Anu dirittu tutti a una prutizzioni para contru a qualunqua discriminazioni chi un rispittaria issa dichjarazioni e contru a qualunqua chjama a fa una discriminazioni simula.
08-00	Articulu 8
08-01	Ha dirittu ogni parsona a chjama ni di modu effettivu a i tribunali naziunali cumpitenti contru a l’atti chi un rispittarianu i diritti fundamintali ch’elli li ricunnoscinu a custituzioni o a leggi.
09-00	Articulu 9
09-01	Un’ po essa nimu arristatu, incarciaratu o esiliatu di modu tirannicu.
10-00	Articulu 10
10-01	Ha dirittu ogni parsona, di modu paru, ch’ella sia intesa a so causa di modu ghjustu e publicu da un tribunali indipindenti ed imparziali, chi dicidara, sia di i so diritti e oblighi, sia di a rialita di l’accusa pinali fatta contru ad ella.
11-00	Articulu 11
11-01	Ogni parsona incausata par un dilittu si cunsidareghja ch’ella he nucenti fin ch’ella un he stata purtata a prova ch’ella he culpevuli, sicondu a leggi e ind’un prucessu publicu, duva ella avara avutu tutti i guaranzii chi ci voli par difenda si.
11-02	Un’ sara cundannatu nimu par azzioni o umissioni chi, quand’elli si so fatti, un eranu un dilittu sicondu u dirittu naziunali o internaziunali. Un’ si dara mancu un casticu piu maio ca quillu chi era privistu quandu ellu he statu fattu un dilittu.
12-00	Articulu 12
12-01	Un’ si pudara intarvena di modu tirannicu in la vita parsunali di nimu, ne in la so famiglia, ne in casa soia, ne in li so lettari, ne contru a u so unori o a so nomina. Ha dirittu ogni parsona a essa prutetta da a leggi contru a intarvinzioni o colpi simuli.
13-00	Articulu 13
13-01	Po ogni parsona viaghja di modu libaru e sceglia duva ella voli campa indrentu a unu Statu.
13-02	Po ogni parsona lascia ogni paesi, puru u soiu, e vulta in lu so paesi.
14-00	Articulu 14
14-01	S’ella he parsiguitata, ogni parsona ha u dirittu di dumanda l’asigliu e di riceva lu in l’altri paesi.
14-02	Un’ si po dumanda issu dirittu s’ella he ricircata par via di un dilittu di dirittu cumunu, o di una azzioni chi andaria contru a i fini e i principii di i Nazioni Uniti.
15-00	Articulu 15
15-01	Ugnunu ha dirittu a una naziunalita.
15-02	Di a so naziunalita un ni po essa privu nimu, ne mancu di u dirittu di cambia ni.
16-00	Articulu 16
16-01	A’ parta si da l’eta d’ave i figlioli, anu u dirittu l’omu e a donna, senza varuna limitazioni par cio chi tocca a a razza, a naziunalita o a rilighjoni, di marita si e di custitui una famiglia. So pari i so diritti in lu matrimoniu, fin ch’ellu dura e s’ellu si scioglii.
16-02	Un’ po essa dicisu u matrimoniu ca cu l’accunsentu libaru e pienu di i sposi.
16-03	A famiglia he l’elementu naturali e fundamintali di a sucita e a a sucita e a u Statu li tocca a pruteghja la.
17-00	Articulu 17
17-01	Ha dirittu a a prupiita ogni parsona, da sola o in cumunita.
17-02	Di a so prupiita un ni po essa privu nimu di modu tirannicu.
18-00	Articulu 18
18-01	Ha dirittu ogni parsona a a liberta di pinsamentu, di cuscenza e di rilighjoni; vali a di ch’ella he libara di cambia a so rilighjoni o i so idei, sola o in cumunita, di modu sia publicu sia privatu, cu u insignamentu, i prattichi, u cultu o i riti.
19-00	Articulu 19
19-01	Ha dirittu ogni individuu a a liberta d’upinioni e di sprissioni; vali a di ch’ellu un devi essa turmintatu pa i so upinioni e ch’ellu po circa, riceva e sparghja, senza primura di i fruntieri, i infurmazioni e l’idei cu tutti i modi di sprissioni.
20-00	Articulu 20
20-01	Ogni parsona ha dirittu a a liberta di riunioni e d’associu pacificu.
20-02	Un associu nimu po essa custrettu a divinta ni membru.
21-00	Articulu 21
21-01	Ha dirittu ogni parsona a participa a a dirizzioni di l’affari publichi di u so paesi, sia da par ella, sia cu i so riprisintanti scelti di modu libaru.
21-02	Ha dirittu ogni parsona a ghjugna, in cundizioni pari cu l’altri a i funzioni publichi di u so paesi.
21-03	Da a vulinta di u populu nasci l’auturita di i puteri publichi; issa vulinta ci voli ch’ella si sprimi in alizzioni unesti chi si devinu fa a tempi pricisi, chi tutti ci devinu vuta di modu paru, cu u votu sicretu o di qualunqua altru modu simuli chi assicuressi a liberta di u votu.
22-00	Articulu 22
22-01	Ha dirittu a a sicurita suciali ogni parsona, cum’e membru di a sucita; he ghjusta ch’ella possi rializa i so diritti ecunomichi, suciali e culturali nicissarii a a so dignita e a u sviloppu libaru di a so parsunalita, cu u sforzu naziunali e a cuuparazioni internaziunali, sicondu l’urganisazioni e i mezi d’ogni paesi.
23-00	Articulu 23
23-01	Ha dirittu ogni parsona a u so travagliu, a sceglia lu di modu libaru, a fa lu in cundizioni ghjusti e curretti, e a essa prutetta contru a a disuccupazioni.
23-02	Anu dirittu tutti, senza sfarenza varuna, a listessa paca par listessu travagliu.
23-03	A’ chi travaglia li ci voli un pacamentu ghjustu e currettu da ch’ellu possi campa cu a so famiglia cum’ellu si devi pa a dignita cumuna, cu l’aiutu, s’ellu l’accorri, d’ogni mezu di prutizzioni suciali.
23-04	Ha dirittu ogni parsona a custitui cu l’altri i sindicati, a scriva si ind’i sindicati par difenda i so intaressi.
24-00	Articulu 24
24-01	Ha dirittu ogni parsona a u riposu e a u tempu libaru, vali a di ch’ellu un devi essa troppu u so tempu di travagliu, e ch’ella devi ave i vacanzi a tempi fissi.
25-00	Articulu 25
25-01	Ha dirittu ogni parsona a un livellu di vita chi bastessi par prucura ad ellu stessu e a a so famiglia a saluta e u benista, pa u piu pa u mangna, a vistitura, l’alloghju, i curi midicali e i sirvizii suciali nicissarii; ha dirittu a a sicurita s’ella un ha travagliu, s’ella he malata, inferma, veduva o anziana o in l’altri casi ch’ella po perda i so mezi di campa par raghjoni ch’ella un ci he par nulla.
25-02	A’i mammi e a i zitelli li ci voli un aiutu e una assistenza particulari. I zitelli, nati in lu matrimoniu o for di matrimoniu, ricevinu listessa prutizzioni suciali.
26-00	Articulu 26
