00-00	RUNAKUNAPAK HAYNITA WILLAY
00-01	Kawsaypi yuyashpa, kishpiriy, paktakay, allpapachapi kasikllakawsay tiksi kakpimi tukuy runakuna sumak kawsayta charichun nishpa riksin; shinallatak sumaykayta(dignidad), paktapakta haynita ayllumanta mana pi kichuchunmi riksin.
00-02	Kawsaypi yuyashpa, pinashpa mana riksina, runakunapak haynita saruy, runapura wanunakuna yuyaymi tukuysami kawsaypi sapiyashka nin. Chaymi tukuysami lIakikunata IIaktakunaman apamushka. Chaymantami runakunaka tukuy IIaktakunapi kaparishpa kishpirishka kawsayta yuyashpa mashkay kallarin; wakcha runakuna, IIakta runakuna, upallalla kawsak runakuna, shitashka runakuna kishpirinata munan. Mashna kay pachapi kawsakkunami kay amsa, nawsa, milli kawsaymanta lIukshinata munan. Kipaka kishpiy rimayta, yuyayta charina kan.
00-03	Kawsaypi yuyashpa, runakunapak haynitaka, paypak haynimi nishpa shuktak kamachi lIikakuna kamashka kachun. Shina waKcha runakuna pinaywan hatarikpi, tikra charikkuna mana wakchakunata hawalla wichkana wasiman pushachun, mana hawalla wanuchichunpash.
00-04	Kawsaypi yuyashpa, lIaktapura mayhanpash mashiyarishpa, alamarishpa kimirishpa alli IIankaykunata tukuy ayllukunaman rurashpa katichun. Shina alli kawsayta tukuykuna runakuna charichun.
00-05	Kawsaypi. yuyashpa, tinkirishka lIaktakuna hatun killkata katishpa runakunapak tiksihaynipi yuyashpa, sumaykayta runata chanishpa, kariwarmipak hayni paktapakta kachun nishpa kutintak arinishka. Shina runa IIaktakuna allichirichun, paykunapak kawsaypash kishpirishpa kachun. Ama kutintak amsa IIakiman tikrachun nishpami tinkirishka IIaktakunaka kayhaynita arinishka.
00-06	Kawsaypi yuyashpa, tinkirishka lIaktakunapash. paktachinata minkarishpami runa haynita kamanata arinishka. Shina mamallakta tantanakuykuna . yanapanakushpa, runanakunapak tiksihayni, kishpiriypash tukuy runakunaman ~ paktachun yanapanka.
00-07	Kawsaypi yuyashpa, hayni yuyaykuna, kishpirishka yuyay kuna tukuypi tiyachun, shina lIaktakuna arinishka kamachika, tukuysami kawsayta charik runakunaman pampanta paktachun.
00-08	TINKIRISHKA LLAKTAKUNA, HATUN TANTANAKUVTA RURASHPA LLAKTAKUNAMAN RUNAKUNAPAK HAVNITA WILLAN
00-09	Titikirishka Ilaktakunaka, mamallaktakunapak hatun tantanakuypimi runapak haynitaka tukuy lIaktakunaman willan. Llaktakunapak yuyay kashkamantaka, shukllashina tukushpa, tukuypak yuyay kan nishpami nakarishpa pushana kan. Sapallel runakuna, tantarishka runakunapash, kishpiyrinapi punchanta yuyashpami kay haynitaka paktachina kan. Kay haynitapash, kishpiyrina yuyaytapash yachachikwasipi, ayllukunapi, tukuy mamallaktapi kamashpami apana kan. Tinkirishka Ilaktakunapash, shuktak mamallaktakunapash runakunapak haynita. riksishpa paypak lIakta ukupipash paktachinami kan. Chaymi runa haynipash, kishpiriypash pakarikshina rikurinka. Chaymi alli kawsaykuna tukuypak chayanka.
01-00	1 niki
01-01	Tukuy runakunami maypipash kishpirishka, sumaykaypi(dignidad) paktapakta wacharin. Chay wawakunaka sumak yuyaykuna, tiksiyuyay (fundamental), huntami kan; chaymantami runapuraka shukllashina tukushpa, yanaparishpa kawsana kan.
02-00	2 niki
02-01	Kay haynita willashka kipaka tukuy runakunami ima tullputa, kawsayta, kariwarmita, rimayta, iniyta, lIaktay yuyayta, maymanta kashkata, charik kashkata, wakcha kashkata, wacharishkata, shuktak yuyaytapash mana rakishpalla kishpriyta, runahaynitapash ch'arin.
02-02	Shinallatak: lIaktakak, kamachi yachak,istakak, mana paypak allpapi kawsak, chikan lIaktakak, lIapirishka Ilaktakak, saywashka Ilakta kakpash, kay hatun willaypi nishkashina, kishpiriyta, runapak haynitaka charinmi, mana chikanyashka, manyayachishka kanchu.
03-00	3 niki
03-01	Tukuykunami kikin kawsay, kishpiriy, kikin shayariy haynita charin.
04-00	4 niki
04-01	Mana pipash wanachiwasipi nitishka, takashka kanachu, shinallatak mitayu lIankaypash na mana tiyanachu. Tukuysami wanachiykunakatukurirkami, chayka nami washapi sakirirka.
05-00	5 niki
05-01	Mana pi watashka, utushka, makashka kankachu. Mana pi, anchamillashka,. wiwatashina rikushka, kumurichishka, lIapishka kankachu.
06-00	6 niki
06-01	Tukuy runakaymi paykunapak haynita charin, tukuy Ilaktakunapimi paypak kikin kapakkayta Uuridico) riksishka haynita charin.
07-00	7 niki
07-01	Kamachipak nawpakpika tukukunami paktapakta kanchik, runaka kamachik mana chikanyachishka paktapakta kamashka haynitami charin. Tukuykunami TUKUY RUNAKUNAPAK HAYNITA pipash sarushpa runakunata pinakukpi, millikukpika sinchita. shayarishpami harkana haynita charin. Tukuysami saruykachaytapash harkanami kan.
08-00	8 niki
08-01	Tukuy runakunami kimsa kapakkamachikpak(tribunal) nawpakpi, ima lIakimantapash pay illuta nishpa paktachina haynita charin; paypak mclrYlakamathi arinishka, shuktak kamachikunapash arinishka tiksihaynita wakllichikukpika lIaktakunaka mana sakichun.
09-00	9 niki
09-01	Mana huchayuk runataka pipash mana yanka watankachu. Wanachina amsa ukupi mana pipash churankachu, paypak allpamantapash mana surkunkachu.
10-00	10 niki
10-01	Tukuy runami pay rimashkata kimsa kapyak kamachikpak nawpakpi, tukuy runakunapak nawpakpi, shuktak runakuna shinallatak paktapakta uyachina haynita charin. Paytak mana kimirishka kishpichik kamachik,' haynikunata, kanakayta (obligacion) rikushpa shukkutin ima kaktapash nichun. Hucha tiyakpi wanachikanawasiman kachachun,. kutin mana hucha tiyakpika kishpichichun.
11-00	11 niki
11-00	Tukuy huchachishka runakunami, hucha mana illu kakpika IIullapi IIukshina haynita charin. Huchachishkata lIullapi IIukshinkap,akka: kamachikkuna imata nishkawan, tantarishka runakuna. i'mata nishkawan, taripaypi imata nishkawanmi inchita shayarishpa kishpirina kan.
11-01	Mamallaktapak hayni nawpakpi, lIaktapura hayni nawpakpi, IIakita rurashka mana ancha hucha kakpika mana pi supaychashka(condenado) kankachu. Llakita aparikuy pachapi wanachishkata yalli IIashak wanaytapash mana churankachu
12-00	12 niki
12-01	Mana pi kinkinpak kawsaypi, wasipi, ayllupi yanka yaykurinata charinchu. Kikin . alli shutitapash mana yanka kaminachu kan, kayman kachashka willaytapash mana paskanachu kan. Tukuy runami kamachiwan killparishpa, kikin kawsayman mana pipash satirichun harkana haynita charin.
13-00	13 niki
13-00	Tukuy runami paypak lIaktapika kishpirishka purinata, maypi kawsana kuskata akllana haynita charin.
13-01	Tukuy runami mayhan IIaktamanta, paypak lIaktamantapash IIukshirina haynita charin. Kutin paypak lIaktaman tikrana haynitapash charin.
14-00	14 niki
14-00	Katikachakpika, tukuy runami mitikushpa pakakukuna kuskata mashkana haynita charin, chay hayniwanmi may lIaktapipash alli kawsana kuskata charinata ushan.
14-01	Kay haynika huchayuk pakakukushka lIaktapak kamachikunawanpash mana takarikchu kan. Shinapash kay haynika: ancha' huchata charik runataka mana yanapankachukan, shillatak tinkirishka lIaktakuna kamachishkata saruktaka mana yanapankachu.
15-00	15 niki
15-00	Tukuy runamishuktak lIaktaman Ilaktayay(nacionalidad) haynita charin
15-01	Llaktayay haynitaka mana kichunkachu, shuktak. Ilaktaman rantinchirina lIaktayay haynitapash mana kichunkachu.
16-00	16 niki
16-00	Kariwarmi paypakkunapak mitata paktachishpaka: tullputa mana rikushpalla, ista kashkata mana rikushpalla, ima inikta mana rikushpalla sawarina haynitami charin. Shina yayamama tukushpa, shuk aylluta wallpashpa, kariwarmi paktapakta sawarishka kawsay watakama sumaktami kawsanka. Sawarishkamanta paskarishpapash allita kawsayna haynitami charin.
16-01	Kariwarmi paykuna kishpirishka yuyaywan munanakushpallami sawarinka.
16-02	Llaktakunapak tiksi nipaka ayllumi kan, chaymantami paykunaka ayllullaktapash, mamallaktapash kamashka kanka.
17-00	17 niki
