00-00	JEEGNIT NE ADNA FEE NDEERNA NI KE WARNA O KIIN
00-01	No andid i jom le wiin fop a mbogna, fa ke warna den too te mbod teen keen fetu jam na adna fee,
00-02	No nak o and fo o yeesandaa ke warna in, naa bisiidaa fitna, fa yiif a petaru no noow in too adna faynwiin we a layaa o ngalaat dan, taamaala matee den fo nak keen refu ke wiin we a moy na o mbug no noow,
00-03	No Ke moyna, ten ref a saax ake a yetooxaa ke jofna no kiin ndax jam a jeg boo muu refna yeeg o fan o neewandel,
00-04	No ke moyna, ten ref ndamir a paax too moy o satkand ngaariit ndeer a caax ake,
00-05	No ke mbokatoor ne keet ke a ngibinna a ref baat o yetoox kaa jofna no noow no kiin, ni jommi mbodir ni ke warna dew o tew mbaat o koor, too a moykaa ngeenoox no kaa jofandna a paam o noow no kiin,
00-06	A caax ake mbogna teen fop, a njaba a njal fi mbokatoor maak ne xeet ke ndax de mbaag o moy o satkand a yetax ale no kaa jofna no kiin,
00-07	Ne fop a mbaruuna andit a ndamtin neen a jegta ngaa neen ke warna kiin a sogo jeg o njiriin
00-08	MBOKATOOR MAAK NE
00-09	Naa andintaa ee
00-10	Yeegnit neene adna fee ndeerna ni ke warna o kiinnen kaa wiine top kam a caax ake kam pokatoor ke a mbarna and. A mbara o ndam yeegnit neene na yiif ake. Njeem kaa baatuuna no saax ole na cangin ale na yar faye ndax ke yeegnit neene bissidna a waag o wuy kam a caax ake fa kam adna fee. A caax ake mbogna teen a mbaraan o andnitaa kam pasil dem.
01-00	Artiikal fa mberaand
01-01	Wiin we naa noowaa na adna, den fop mbodu no ke war na oxnu refna na den a jega o ngalaat umpi yiif um, le mbarin o mettootaa baa mbaag o noow den fop no fog.
02-00	Artiikal 2
02-01	Oxuu refna teen a waaga naayin ke waruuna fa ke ta bugna, no ke yeegnit neene bistiiduuna. Sengatir leng jegeeteen no xeet mbaat no nandel, no tefel, na falay, na diina, no ngalaat politik mbaat lakas kaa waagna ref aada saaxle, no jeg, no nimel mbaat kaa ta nandtiina.
02-02	A doon teen o andiloor o leng oxuu ta waagna ref, na politik ma xate mbaat na adna fee, ma saate fa ndeb mbaa fa maak oxaa jeg na xoox um mbaat oxaa jegeeruuna den fop mbodu no yeegnil neeke.
03-00	Ar 3
03-01	O kiin muu refna a wara o noow o noowum naa ta bugtuuna.
04-00	Ar 4
04-01	O leng waraand fi'o oad, mbaat o jalnoorel mbat fa cikax i fad a mbante na nuu ta waagna jegit.
05-00	Ar 5
05-01	O leng waraand o naaydand, mbaat o doonel toonu kaa faafna xap, mbaat kaa jageerna to kiin.
06-00	Ar 6
06-01	Oxuu ga'oona a wara and xooxum, muu ta refna fa naatnood um.
07-00	Ar 7
07-01	Fop mbodu na luwaa fa ne de mbareena aarit na luwaa. Fop mbaru mbod no aar ke warna yaq mbaat neewlandaa doole ke yeegnit neene b isiidna.
08-00	Ar 8
08-01	Oxuu refna waraa naap o maakooyel (dimle) ni pind ke saqna fi nuxur ne saax le no kaa jofna na pi'a kupulaa wangna b issid yak too yeegnit ne fa luwaa a mbanin.
09-00	Ar 9
09-01	O leng waagaand o dam mbaat o geekel kaso mbaat o sutel saax le no kaa luwaa fogeerna.
10-00	Ar 10
10-01	O xuu refna a wara lay ke domuuna ne ta jegitna boo fop a nain no xate and boo xaa-xate we a coodin i bur mbaat o burel.
11-00	Ar 11
11-00	Oxuu dooneena i nox ni kaa xooleerna a ware waas fi yiif um a bisel no xate-and boo top a xoolandel.
11-01	O leng warkaand na pi'alaa andoona yee yeta jegaa bak'aand na pi'a kupu ke no saaxle mbaat na adnatee. Ke a pi'alaa a fodirit ina soom o waage doon ndaa waree xup kaaga.
12-00	Ar 12
12-01	O leng fiikilkaand no noow um, kam pasil um, kam mbindum mbaat kam ngentand um, mbala o layanan kaa jegeerna mbaat o jeema yakanin o waag um. Oxuu refna luwaa waraam o maakooy boo baa nandu neen a daawom.
13-00	Ar 13
13-00	Oxuu refna a wara retaa a garaa ne feltuuna, a naap o genand kam saax le muu ta gubna.
13-01	Oxuu refna a waaga sutoox saax a nomtooxiid boo no saax of.
14-00	Ar 14
