00-00	Ninsaal yel-segdi noy ganegr sebre (yuumd 1948)
00-01	B wilgame ti ninsaal buud faa tara a burkindlim la a yel-segdi tood sen pa yiid a to, ti b pa toen n dik tood-bamb n koos bi n tek a badawa, n yaa duni wa baan gaaga, ned faa sen so a viim ti yembd kaala, la weg-taab kaalem duni wa puge yegra.
00-02	B wilgame ti ninsaal sen da tog ne yel-segdi ninsa kaalma waa ne bi-beelem la pang buud toor-toor sen saam duni wa zang suuri, la b yakamen moon ti duni ning sen na n wa zind-a ti ninsaalba na n wa so b mense, n toe n gom b sen date, n te b sen date, n wa yi rabeem, yaeesg la far buuda faa puge wa, n yaa ninsaal sen baood ne a suur faa n yiida.
00-03	Ti sen yiid faa yaa ti ninsaal yel-segdi wa tog n paamame ti b koglg-b ne noy buud sen na yil ti ned ra wa bao a sen na maan n pos pan-wordem b sen maand-a n kong n weneg n ke wenem maan n lebs puge wa.
00-04	D sen mi ti segdame ti d keng tems ne taab zood yokr zindgra.
00-05	D sen mi ti nasozini (temsa faa lagem-n-taar kasenga) le mooname n wilg b teeb ninsaal burkindlem la a tirlem panga, pag la rao yel-segdi sen zem taaba, ti b le wilgame ti b ratame n mao n paas ninsaalba viim somblem ti yi ned faa sen so a meng viime wa ti yel kang pang yiig a pinda.
00-06	D sen mi ti tems nins sen be nasozini lagem-n-taara puge lagma ne lagem-n-taara n nk sard n na n song ti duni wa puge bi ned faa tu ninsaalb yelsegdi wa sen ganeg noy ninsa.
00-07	D sen mi ti ninsaal yel-segdi noy bamba ganegr sa n yi lagem-n-taara ne a keedba n na n naag taab n maan-b n na n song ti b tuuba yi soma wa.
01-00	Pipi koeega.
01-01	Ninsaalba faa sa n doge, ned faa so a menga, ned pa rogd n yaa yamb ye, neba faa zema taab b yel-segdi la b burkindlem weenge. Neba faa tara yam la tagsgo, ned faa togame n viind ne a to saam-biir puge.
02-00	Koeeg a 2 soaba.
02-01	Ned faa tara sor n toe n di seb-kanga sen ganeg noy ninsa yoodo ti bakr buud ka zind ye, pa tuus f sen yaa buud ning ye, f ying kobg sen ya-a soab ye, f yaa pag bi rao ye, f wend-sor sen ya-a soab ye, f sen yak n tik politik ninga, bi teeb buud a to ye, f tarem sen ya-a soab ye, f sen dog ne b ramb ye, bi bumd buud a taab sen bakd ye.
02-02	Sen paasde, pa toe n tik ned teng politik neng sen ya-a soab n bak a soab noy-bamba yood riib weenge ye, pa tuus tenga sa n so a menga bi a sa n be zamaan a to yembde.
03-00	Koeeg a 3 soaba.
03-01	Ned buud faa tara sor n toe n viinde, n soog a menga la a gunug a menga.
04-00	Koeeg a 4 soaba.
04-01	Pa tog n dik ninsaal buuda faa n maan yamb ye bi n weoog-a ye. Yembda ne neba koosga gidgame, ba sen wa n ya yembd buud nin faa.
05-00	Koeeg a 5 soaba.
05-01	Pa tog n sibg ninsaal buuda faa ye, pa tog n sibg ninsaal ti sibgra yi toog wusgo, ti pa sen na maan ninsaal ye.
06-00	Koeeg a 6 soaba.
06-01	Ned faa tara sor ti sen wa n ya siig ning faa, bi b sak n deeg a sen yaa ned ning buud bu-kaoor soog taoore.
07-00	Koeeg a 7 soaba.
07-01	Ninsaalba faa zema taab laloa taoore, b faa tog n paama laloa wa koglgo ti bakr ba a ye pa zind ye. Neba faa tara sor n toe n paam ti b koglg-b ne bakr buud faa sen na n wa maan n kiis seb-kanga noy wa sen ganega, ne bumb nins sen na n wa ne bakr-bamba.
08-00	Koeeg a 8 soaba.
08-01	Ned buud faa tara sor n toe n keng a tenge buud soog taoore n ti bu ne weoogre, sibgr buud faa b sen maan-a, ti ninsaalb yel-segdi sebra gidge, ti laloa mi tiiri.
09-00	Koeeg a 9 soaba.
09-01	Pa tar sor n toe n yok ned zaalem, n pag-a roogo bi n yiis-a a tenge n ti ning ziig a to ti laloa zi tiir ye.
10-00	Koeeg 10 soaba.
10-01	Ned buud faa tara sor wa laloa sen wilga, t'a yell ta bu-kaoodb sen so buuda, n toe n kao ti pan-damb ka lob b toogo, la sen buud sid taoore, ti b bu nin-buiid taoore n wilg a yel-segdi bi a tilae-yela, bi n wilg b sen yet ti yenda soaba maana bumb ninga kongr sen tae.
11-00	Koeeg 11 soaba.
11-00	B sa n yeel ti ned maana bumb sen kis n dat n paalg-a, sa n pa b wa n bu-a lame ti buuda yi neb faa taoore, t'a paam soangd sen mams n paas a poore faa, ket n ya wa yenda soaba pa maan bumba ye.
11-01	B pa toe n bu ned n paalg-a bumb a sen maan bi a sen pa maan yinga, sa n mikame ti yella sen maana wakato, buud soog nenge yel bamba ra pa kis ye. Sen paasd me, b sa n bu yella, b pa tar sor n toe n ko ned ning sen maan-a yella sibgre ti yiig yella sen maana sasa laloa sen da ganeg sibgr buud nins yel-bamb weenge wa ye.
12-00	Koeeg 12 soaba.
12-01	[Missing]
13-00	Koeeg 13 soaba.
13-00	Ned buud faa tara sor n toe n go a tenge, n keng ziis nins faa a sen date, la a yak a sen dat n zinde.
13-01	Ned buud faa tara sor n toe n yi tenge n lebg n wa a meng tenge, a le tara sor n toe n yi a meng tenge n keng ten-taaga la a le lebg n wa a tenge.
14-00	Koeeg 14 soaba.
14-00	Ned sa n wa be toog zug tenge ti b namsd-a wusgo, a soab tara sor n toe n yi n bao gaag-sobend tems a taabe, a le tara sor n toe n paam ti b reeg-a ten-bambe.
14-01	La sa n mikame t'a sen maana, laloa gidgame ti b mik ti yaa sida, bi sa n mikame t'a sen maana pa zems ne nasozini (temsa lagem-n-taar kasenga) sen ganeg noy ninsa, a pa tar sor-kang ye.
15-00	Koeeg 15 soaba.
15-00	Ned buud faa tara sor n toe n paam teng-n-biilim tika.
15-01	B pa tar sor n toe n wor ned n menes a teng-n-biilim ye, b le pa toe n gidg-a t'a ra teem a teng-n-biilim ye.
16-00	Koeeg 16 soaba.
16-00	Pag ne rao yuumd sa n ta kaadem b tara sor n toe n ke kaadem la b tilg yir ti pa tuus b yiiba buud sen ya-b ramba, b teng-n-biilim bi b wend sor tuudum. Kaadma keesg noy puge, b yiiba yel-segdi yaa a ye, pa yiid to ye, kaadma viim wakato la a kaoob wakat me b yel-segdi wa ya a ye.
16-01	Kaadem pa toe n kees ti pa tu ne kaad-ratba sakr sen pa tu ne modgr ye.
16-02	Zak yaa teng yegre (teng bon-bulli). A yaa teng viim suuri. Tenga neb togame n koglg-a, goosneera (leta wa) togame n koglg-a.
17-00	Koeeg 17 soaba.
17-00	Ned buud faa, f ya f ye bi f bee sull poega, tara sor n so a bumbu.
17-01	B pa toe n wor ned n deeg a sen so ye.
18-00	Koeeg 18 soaba.
18-01	Ned faa tara sor n toe n tags a sen date, n bugs a sen date la a tu wend-sor ninga a sen date. Sor-kang a sen tara weenge a toeeme n teem wend-sor n tu bi n teem teebo a le toeeme n wilg a wend-sor bi a teebo ne kaorengo, maana maanego ti yi yenda a ye bi n naag ne a taaba ti yi neb suka bi bamb bal ne taaba.
19-00	Koeeg 19 soaba.
19-01	Ned buud faa tara sor n toe n te a sen date la a gom a sen date, renda n kit ti ned pa tog n zoe rabeem ne a teeb wilgri, la a tar sor n toe n bao n bang kibay la a paam kibay n tall-b n piuug ziig faa n pa ges temsa tods ye, ti yi ne rabay buud faa a sen date.
20-00	Koeeg 20 soaba.
20-00	Ned buud faa tara sor n toe n paam n maan tigsga la lagem-n-taar sull sen pa tar yela (sen pa na n wa ne gudgri).
20-01	B pa toe n modg ned ab a ye t'a ke lagem-n-taar puge ye.
21-00	Koeeg 21 soaba.
21-00	Ned buud faa tara sor n toe n ning a toog a teng viim tuume, a toeeme n maan tuumd a toore bi tu ne neb b sen yak ti b let lagem-n-taara sull n tumde, ti nin-bamb yakra yaa sen maan ti pa tu ne modgr ye.
21-01	Nin-buiida sen dat bumb ninga la tenga zaab tuum tikda.
21-02	Nin-buiida raaba wilgr tog n tuu ne vot sen na n maan ti zamb ka zind ye, vota me tara wakat soor n tog n le maane, vota toeeme n maan ti yi nin-buiid vote, bi guls n vot buud a to sen wend wa bamba sen maand ti ned faa toe n yak a sen dat-a soaba.
22-00	Koeeg 22 soaba.
22-01	Ne buud faa, a sen yaa nin-buiida ned a ye wa yinga, a toga ne ninsaalb yel gesg sooga songre. Songra yaa arzeka, viim somblem la rog-n-mik weenge sen yaa tilae ne ninsaal burkind la a tirlem baoobo, a menga yidgr yinga, sen na n tu ne tenga meng tuumde n paas tems ne taab lagem-n-tum pang ti zems ne teng faa tuum yogeng sen ya to-to la a laog sen zem teka.
23-00	Koeeg 23 soaba.
23-00	Ned buud faa tara sor n toe n paam tuumde, n toe n yak a sen dat tuumd ninga ti tu ne tuumda kuun sen na n maan ti wegb pa zind ye, la b koglg-a ne tuuma kaalem.
23-01	Neba faa tog n paama yaood sen zems ne b sen maan tuumd ninga ti wegb ka ye.
23-02	Ned ning faa sen tumd-a toga ne yaood sen zems a sen maane, ti sen paamda sek yenda ne a zak ramb viim ti yi burkind puge, ti sa n mik ti segdame; bi a paam ti b paas-a songr buud a taaba.
23-03	Ned buud faa tara soor n toe n naag neb a taaba n lulg sendika sulli (tuntumdb songr sulli) sen na kogend tuntumdba nafo.
24-00	Koeeg 24 soaba.
24-01	Ned buud faa tara sor n toe n paam vuusem la yo-noogre, bumb zang la tuuma wakat soor tek wilgri n paas vuusem. Vuusma geendame n tar wakat-wakato, vuusma sasa b tog n yaoa a soaba.
25-00	Koeeg 25 soaba.
25-00	Ned buud faa tara sor n toe n paam tarem sen na n sek a meng la a zak ramb laafi la b viim somblem baoobo, bumb zang la riiba weenge, yeelgra (futa), zi-gaadga, tibsga n paas viima somblem baoob tuum nins sen segd-b ne ye wa. A sa n wa pa tar tuumde, a sa n wa beede, a sa n wa lebg kamsa, a sa n wa lebg pug-koore bi ra-koore, a sa n wa kuule bi bumb buud a taab sa n wa kit t’a pa le toe n dilg la a ges a meng yelle, ti yaool n pa tu ne yenda a maan ti yella paam-a, a togame n paam songre.
25-01	Biig pug sasa la a yaadem wakato, a tara sor n toe n paam songre la koglgo. Kamba faa, f roga kaadem puge ti b rogame ti b ba ramba pa ke kaadem ne taaba, b faa segda ne songre.
26-00	Koeeg 26 soaba.
26-00	Ned buud faa tara sor n toe n paam kaorengo. Kaorenga tog n yii zaalem, ba ti na yi yaadme kaorenga (kaoren-singa). Yaa tilae ti kamba paam kaoren-singa. Tuum-minim la nus tuum zamsg kaorenga togame n piuugi. Karen-do beda kaorenga tog n maaname ti neb nins faa bangr sen sek be taaba paam n ke ti zamb pa zind ye.
26-01	Kaorenga sen tog n geeg bumb nins yaa ninsaal menga yidgri la ninsaal yel-segdi noy sebra tuub pang paasgo. Kaorenga togame n song ti temsa ne taab wum taab moore, buuda toor-toora bi wend-sor tuudum toay-toaya wum taab moore, ti sull faa sak a to sen yala la b yog taab zoodo. A togame yasa n song ti nasozini (temsa ne taab lagem-n-tay kasenga) tuuma keng taoore, sen na yil ti baana gaand duni wa puge.
26-02	Ba ramba n yaa pipi n tar sor n toe n yak wubr ning buud (kareng ning buud) bamb sen dat ti b kamba paame.
27-00	Koeeg 27 soaba.
27-00	Ned buud faa tara sor n toe n ning a meng nin-buiida rog-n-mik sull tuume (viime), n ri tuum-minma bangr yoodo la a naag n tum bangra baoob tuume wa la a paam n di tuum bamba sen wat ne yood ninsi.
27-01	Ned faa tara sor n toe ti b koglg a bangr yoodo la a bangr teedo, ti yaa sebr la a guls ya, bi yaa te-naands la a maan ya.
28-00	Koeeg 28 soaba.
28-01	Ned buud faa tara sor n toe n dat ti baan zind neba ne taab suk tense wa, la tensa ne taab suka, ti seb kanga sen wilg yel-segdi ninsa toog n paam n yi sida
29-00	Koeeg 29 soaba.
29-00	Ninsaal tara tilae-tuum ne a neba (a nin-buiidu), bala a menga yidgr pa toe n maan ti pa yi na a neba puge viim ye.
29-01	Ned yel-segdi tuub puge, la a sen tar sor n toe n maan a sen data weenga, ned faa toaag sen teke yaa laloa sen wilg bumb ninsa, sen na yil n song ti ned faa bang a to yel-segdi la a sen tar sor n toe n maan a yam. Sen paasd me, yaa sen na yil ti b toog n tu ninsaal viim somblem noy wa, ninbuiida viim noy wa tuubu la neba faa viim somblem baoobo, sa n yaa teng zaab buud ning sen ya nin-buiid naam n zaad-a wa.
29-02	Yel-segdi bamba la maan-m-yam bamba pa toe n dik n maan ti pa yi wa nasozini sen ganeg noy ninsa sen data ye.
30-00	Koeeg 30 soaba.
