00-00	ALLMAeN FOeRKLARING OM DE MAeNSKLIGA RAeTTIGHETERNA
00-01	Enaer erkaennandet av det inneboende vaerdet hos alla medlemmar av maenniskoslaektet och av deras lika och ofoerytterliga raettigheter aer grundvalen foer frihet, raettvisa och fred i vaerlden,
00-02	enaer ringaktning och foerakt foer de maenskliga raettigheterna lett till barbariska gaerningar, som upproert maensklighetens samvete, och enaer skapandet av en vaerld, daer maenniskorna aatnjuta yttrandefrihet, trosfrihet samt frihet fraan fruktan och noed, kungjorts som folkens hoegsta straevan,
00-03	enaer det aer vaesentligt foer att icke maenniskan skall tvingas att som en sista utvaeg tillgripa uppror mot tyranni och foertryck, att de maenskliga raettigheterna skyddas genom lagens oeverhoeghet,
00-04	enaer det aer vaesentligt att fraemja utvecklandet av vaenskapliga foerbindelser mellan nationerna,
00-05	enaer Foerenta Nationernas folk i stadgan aanyo uttryckt sin tro paa de grundlaeggande maenskliga raettigheterna, den enskilda maenniskans vaerdighet och vaerde samt maennens och kvinnornas lika raettigheter, aevensom beslutat fraemja socialt framaatskridande och baettre levnadsvillkor under stoerre frihet,
00-06	enaer medlemsstaterna aatagit sig att i samverkan med Foerenta Nationerna saekerstaella allmaen och effektiv respekt foer de maenskliga raettigheterna och de grundlaeggande friheterna,
00-07	enaer en gemensam uppfattning av dessa fri- och raettigheters inneboerd aer av stoersta betydelse foer uppfyllandet av detta aatagande,
00-08	kungoer
00-09	GENERALFOeRSAMLINGEN
00-10	denna ALLMAeNNA FOeRKLARING OM DE MAeNSKLIGA RAeTTIGHETERNA saasom en gemensam riktlinje foer alla folk och alla nationer, paa det att varje individ och varje samhaellsorgan maa med denna foerklaring i aatanke staendigt straeva efter att genom undervisning och uppfostran befordra respekten foer dessa fri- och raettigheter samt genom framstegsfraemjande inhemska och internationella aatgaerder saekerstaella deras allmaenna och verksamma erkaennande och tilllaempning saavael bland folken i medlemsstaterna som bland folken i omraaden under deras oeverhoeghet.
01-00	Artikel 1.
01-01	Alla maenniskor aero foedda fria och lika i vaerde och raettigheter. De aero utrustade med foernuft och samvete och boera handla gentemot varandra i en anda av broderskap.
02-00	Artikel 2.
02-01	Envar aer beraettigad till alla de fri- och raettigheter, som uttalas i denna foerklaring, utan aatskillnad av naagot slag, saasom ras, hudfaerg, koen, spraak, religion, politisk eller annan uppfattning, nationellt eller socialt ursprung, egendom, boerd eller staellning i oevrigt.
02-02	Ingen aatskillnad maa vidare goeras paa grund av den politiska, juridiska eller internationella staellning, som intages av det land eller omraade, till vilket en person hoer, vare sig detta land eller omraade aer oberoende, staar under foervaltarskap, aer icke-sjaelvstyrande eller aer underkastat naagon annan begraensning av sin suveraenitet.
03-00	Artikel 3.
03-01	Envar har raett till liv, frihet och personlig saekerhet.
04-00	Artikel 4.
04-01	Ingen maa haallas i slaveri eller traeldom; slaveri och slavhandel i alla dess former aero foerbjudna.
05-00	Artikel 5.
05-01	Ingen maa utsaettas foer tortyr eller grym, omaensklig eller foernedrande behandling eller bestraffning.
06-00	Artikel 6.
06-01	Envar har raett att allestaedes erkaennas som person i lagens mening.
07-00	Artikel 7.
07-01	Alla aero lika infoer lagen och aero utan aatskillnad beraettigade till lika skydd fraan lagens sida. Alla aero beraettigade till lika skydd mot varje aatskillnad i strid med denna foerklaring och mot varje framkallande av saadan aatskillnad.
08-00	Artikel 8.
08-01	Envar har raett till verksam hjaelp fraan sitt lands behoeriga domstolar mot handlingar, som kraenka de grundlaeggande raettigheter, vilka tillkomma honom genom lag eller foerfattning.
09-00	Artikel 9.
09-01	Ingen maa godtyckligt anhaallas, faengslas eller landsfoervisas.
10-00	Artikel 10.
10-01	Envar aer under full likstaelldhet beraettigad till raettvis och offentlig rannsakning infoer oavhaengig och opartisk domstol vid faststaellandet av saavael hans raettigheter och skyldigheter som varje anklagelse mot honom foer brott.
11-00	Artikel 11.
11-01	Envar, som blivit anklagad foer straffbar gaerning, har raett att betraktas som oskyldig, till dess hans skuld blivit lagligen faststaelld vid offentlig raettegaang, under vilken han aatnjutit alla foer sitt foersvar noediga garantier.
11-02	Ingen maa doemas foer handling eller underlaatenhet, som vid tidpunkten foer dess begaaende icke var straffbar enligt inhemsk eller internationell raett. Ej heller maa hoegre straff utmaetas aen vad som var tillaempligt vid tidpunkten foer den straffbara gaerningens begaaende.
12-00	Artikel 12.
12-01	Ingen maa utsaettas foer godtyckliga ingripanden i fraaga om privatliv, familj, hem eller korrespondens, ej heller angrepp paa heder och anseende. Envar har raett till lagens skydd mot saadana ingripanden eller angrepp.
13-00	Artikel 13.
13-01	Envar har raett att inom varje stats graenser fritt foerflytta sig och vaelja sin vistelseort.
13-02	Envar har raett att laemna varje land, inbegripet sitt eget, och att aatervaenda till sitt eget land.
14-00	Artikel 14.
14-01	Envar har raett att i andra laender soeka och aatnjuta fristad fraan foerfoeljelse.
14-02	Denna raett maa icke aaberopas vid laga aatgaerder, reellt grundade paa icke-politiska brott eller paa handlingar, som strida mot Foerenta Nationernas aendamaal och grundsatser.
15-00	Artikel 15.
15-01	Envar har raett till en nationalitet.
15-02	Ingen maa godtyckligt beroevas sin nationalitet eller foermenas raetten att aendra nationalitet.
16-00	Artikel 16.
16-01	Fullvuxna maen och kvinnor har raett att utan naagon inskraenkning paa grund av sin ras, nationalitet eller religion ingaa aektenskap och bilda familj. De aega lika raettigheter vid giftermaal, under aektenskap och vid aektenskaps upploesning.
16-02	Aektenskap maa ingaas endast med de blivande makarnas fria och fullstaendiga samtycke.
16-03	Familjen aer den naturliga och grundlaeggande enheten i samhaellet och aeger raett till skydd fraan samhaellet och staten.
17-00	Artikel 17.
17-01	Envar har raett att aega egendom saavael ensam som i foerening med andra.
17-02	Ingen maa godtyckligt beroevas sin egendom.
18-00	Artikel 18.
18-01	Envar har raett till tankefrihet, samvetsfrihet och religionsfrihet. Denna raett innefattar frihet att byta religion eller tro och att ensam eller i gemenskap med andra offentligt eller enskilt utoeva sin religion eller tro genom undervisning, andaktsoevningar, gudstjaenst och iakttagande av religioesa sedvaenjor.
19-00	Artikel 19.
19-01	Envar har raett till aasiktsfrihet och yttrandefrihet. Denna raett innefattar frihet foer envar att utan ingripanden hysa aasikter och frihet att soeka, mottaga och sprida upplysningar och tankar genom varje slags uttrycksmedel och utan haensyn till graenser.
20-00	Artikel 20.
20-01	Envar har raett till frihet i fraaga om fredliga moeten och sammanslutningar.
20-02	Ingen maa tvingas att tillhoera en sammanslutning.
21-00	Artikel 21.
21-01	Envar har raett att taga del i sitt lands styrelse direkt eller genom fritt valda ombud.
21-02	Envar har raett till lika tilltraede till allmaen tjaenst i sitt land.
21-03	Folkets vilja skall utgoera grundvalen foer statsmakternas myndighet. Denna vilja skall uttryckas i periodiska och verkliga val, vilka skola aega rum med tillaempning av allmaen och lika roestraett samt hemlig roestning eller likvaerdiga fria roestningsfoerfaranden.
22-00	Artikel 22.
22-01	Envar aeger i sin egenskap av samhaellsmedlem raett till social trygghet och aer beraettigad till att de ekonomiska, sociala och kulturella raettigheter, som aero oundgaengliga foer hans vaerdighet och foer en fri utveckling av hans personlighet, foerverkligas genom nationella aatgaerder och mellanfolkligt samarbete med haensyn tagen till varje stats organisation och resurser.
23-00	Artikel 23.
23-01	Envar har raett till arbete, till fritt val av sysselsaettning, till raettvisa och tillfredsstaellande arbetsfoerhaallanden och till skydd mot arbetsloeshet.
23-02	Envar har utan aatskillnad raett till lika loen foer lika arbete.
23-03	Envar, som arbetar, har raett till raettvis och tillfredsstaellande ersaettning, som tillfoersaekrar honom sjaelv och hans familj en maenniskovaerdig tillvaro och som, daer saa aer noedvaendigt, kompletteras med andra medel foer socialt skydd.
23-04	Envar har raett att bilda och ansluta sig till fackfoereningar till skydd foer sina intressen.
24-00	Artikel 24.
24-01	Envar har raett till vila och fritid, innefattande rimlig begraensning av arbetstiden och regelbunden semester med bibehaallen loen.
25-00	Artikel 25.
25-01	Envar har raett till en levnadsstandard, som aer tillraecklig foer hans egen och hans familjs haelsa och vaelbefinnande, daeri inbegripet foeda, klaeder, bostad, haelsovaard och noedvaendiga sociala foermaaner, vidare raett till trygghet i haendelse av arbetsloeshet, sjukdom, invaliditet, makes doed, aalderdom eller annan foerlust av foersoerjning under omstaendigheter, oever vilka han icke kunnat raada.
25-02	Moedrar och barn aero beraettigade till saerskild omvaardnad och hjaelp. Alla barn, vare sig foedda inom eller utom aektenskap, skola aatnjuta samma sociala skydd.
26-00	Artikel 26.
26-01	Envar har raett till undervisning. Undervisningen skall vara kostnadsfri, aatminstone paa de elementaera och grundlaeggande stadierna. Den elementaera undervisningen skall vara obligatorisk. Yrkesundervisning och teknisk undervisning skall vara allmaent tillgaenglig. Den hoegre undervisningen skall staa oeppen i lika maan foer alla paa grundval av deras duglighet.
26-02	Undervisningen skall syfta till personlighetens fulla utveckling och till att staerka respekten foer maenniskans grundlaeggande fri- och raettigheter. Undervisningen skall fraemja foerstaaelse, tolerans och vaenskap mellan alla nationer, rasgrupper och religioesa grupper samt befordra Foerenta Nationernas verksamhet foer fredens bevarande.
26-03	Raetten att vaelja den undervisning, som skall ges aat barnen, tillkommer i fraemsta rummet deras foeraeldrar.
27-00	Artikel 27.
27-01	Envar har raett att fritt taga del i samhaellets kulturella liv, att njuta av konsten samt att bli delaktig av vetenskapens framsteg och dess foermaaner.
27-02	Envar har raett till skydd foer de moraliska och materiella intressen, som haerroera fraan varje vetenskapligt, litteraert eller konstnaerligt verk, till vilket han aer upphovsman.
28-00	Artikel 28.
