00-00	maanavasvatvamula saarvalaukika prakattana
00-01	maanavakuttambamunamdali vyaktulamdarikini gala aajanmasiddhamaina pratipattini, ananyaakraamtamulagu samaanasvatvamulanu amgiikarimcutta prapamcamuna svaatamtrya, nyaaya, shaamtula sthaapanaku punaadi yagunu.
00-02	maanavajaati amtahkarannamunu kssoobhapettttina ghooracaryalu, maanavasvatvamulayedda galigina avajnyaa nirasana bhaavamula parinnaamamaniyu, vaaksvaatamtrya pratyayasvaatamtryamulanu, bhayavimuktini, daaridryavimuktini maanavulu ellaru anubhavimcuttaku viilagu lookamuyokka aavirbhaavamee saamaanyaprajaaniikamuyokka mahoonnatamaina abhikaamkssayaniyu udghoossimpabaddiyunnadi.
00-03	nisstthurapaalanaa prajaapiiddanamulapai, gatyamtaramu leeka, maanavuddu tirugubaattu ceeyavalasina balaatkaara paristhitulu eerpaddakumddanumddavalayunannacoo maanavasvatvamulu vidhiniyamamucee parirakssitamulagutta mukhyamu.
00-04	raassttramula madhya sauhaardabaandhavyamula abhivrddhiki doohadamu ceeyutta atyaavashyakamu.
00-05	maanavula muulasvatvamula yamdunu, vyaktula pratipatti yoogyatalayamdunu, striipurussulaku gala samaana svatvamulayamdunu, tamaku gala vishvaasamunu aikyaraassttramulavaaru ii shaasanapatramuna punahpramaanniikarimci, saamaajikaabhyudayamunu, unnata jiivita pramaannamulanu, vishaala svaatamtryamunu pempomdimcuttaku nishcayimcukoniyunnaaru,
00-06	maanavasvatva, muulasvaatamtryamulayedda saarvalaukika gauravaabhivrddhini, vaani yanusstthaanamunu aikyaraassttramula sahakaaramutoo saadhimcuttaku vyaktiraajyamulu pratijnya ceesikoniyunnavi,
00-07	ii svatvamulanu guurciyu, svaatamtryamulanu guurciyu, saadhaarannamuga nellarakunu telisiyumddutta ii pratijnyaa samagrasiddhikemtayu mukhyamu.
00-08	samaajamunaku cemdina prativyaktiyu, samaajamu yokka pratyamgamunu, ii svatvamula prakattananu sadaa manasunamdumcukoni, upadeesha vidyaaboodhalacee viiniyedda gauravamunu pempomdimcuttakunu, mariyu, raassttriiyamulu namtar raassttriiyamulunagu nabhyudaya vidhaanamula nanusarimci vyaktiraajyamulalooni prajala yamdunu, naa raajyamula yadhikaaramunaku loobaddiyumddu ksseetramulalooni prajalayamdunuguudda, nii svatvasvaatamtryamula phalakaaraka amgiikaaraanusstthaanamulanu saarvalaukikamuga sunishcitamu ceeyuttakunu prayatnimcavalenu, itttti yaashayamutoo sakala maanavulakunu raassttramulakunu samaana pramaannamunu sampaadimcunadigaa nii maanavasvatvamula saarvalaukika prakattananu sarvajaniina parissattu udghoossimcucunnadi.
01-00	anuccheedamu 1.
01-01	pratipattisvatvamula vissayamuna maanavulellarunu janmatah svatamtrulunu samaanulunu naguduru. vaaru viveecana-amtahkaranna sampannulaguttacee parasparamu bhraatrbhaavamutoo vartimpavalayunu.
