00-00	Munextia muchi ipal ne tehtechan tay tupal
00-01	Weli muina ga ne tamagixti ne tuktiani wan ne nehmachnemit tik ne tahtal gipia pal tezilnah ne tay gichiwtuk tay gatka tesu genga tay maya tupal muchi ne pal tu iknuwan.
00-02	Weli muina ga te gixmati wan ne tay gatka tesu datka tu patiw tal gichiwtiwit tesu tik tupal te geman inatiwit tay pal tehemet, wan inatiwit ga gichiwtiwit inatiwit ga ginetuyat gichiwat ne pewa muchi pal se techan gan ne tagamet teya mahmawit wan welit inat tay gichiwat tay yek.
00-03	Weli muina ga pal ne tahtagamet nemi gah gipalewia gah gituktia pal gita ga ne tagat muita ga te weli yawit gah tesu gichiwa yek.
00-04	Weli muina ga ne tehtechan pal ne tuhtumak sen nemit techan inatiwit tik ne amatageza inatiwit ga nemi tay ipal ne tagat gitaget geski tu patiw wan gan tigengat pal ne tagamet wan ne siwatket; wan inatiwit ga mu magixtihtiwit pal gitat tay gichiwat pal gipiat wan welit nemit ihtig ipal se mas patawak ipal ne tamagixti.
00-05	Weli muina ga ne tagutun tupal inatiwit ga kia tik palewiat wan tay mupuzuwat ipal ne sen nemit techan magitagan gen se tahtuli pal muchi ne tal wan yahiga ne tamagixti ipal ne tagat.
00-06	Wan muweli muina ga san se pal ini tay tupal wan ne tamagixti yaha tay mas timunegit pal tikchiwat tay tinatiwit.
00-07	Ne musepuzuhket muchi ne tahtalmet
00-08	Ina tay munextia muchi ipal ne tehtechan tay tupal wan tumak tahtal ma puzihtiwit ginegit gichiwat ihtik tamachtiagan pal mumachhtiat pal welit, nehmach nemigan pal ne tupal tamagixti tay tupal wan tamachiwa gen ipal ixkaliu tu techan wan tepal techan su tikchiwtiwit wan muchi ma gichiwagan wan yek tagutun ihtik ne tehtechan muchi gen ihtik ne tahtal talihtiwit gaitan tay ipal.
01-00	Pewa ina se (1)
01-01	Muchi ne tay gen tu weyga nestiwit tamagixti genga tik ekneliat wan ipal wan gichiwtiwit ipal ma munegigan ne se pal ne se.
02-00	Pewa ina ume (2)
02-01	Muchi tehemet ti welit tinat iwan tamagixti ga inatiwit tik ini nextiwit pal nuhme tehemet tilqiluya, siwat u tagat gen tageza, gan mu tanwageza, tay yaha gimati ga weli ina pal ne techan u pal muchi su gipia u te, nestuk u gan yaha ginegi.
02-02	Te ya mu ixtemuwa tay mu chiwtuk pal ne galpuli u tepal tal ipal ne tu tal tay ne tupal uk se isel tal gen se tal gipia iteguyu tesu isel u gipia uk se iteguyu.
03-00	Pewa ina yey (3)
03-01	Muchi tehemet tiwelit tinemit ne tamagixti wan ga yaha isel mutuktia.
04-00	Pewa ina nawi (4)
04-01	Tesu aga weli gichiwa tay te ginegi te weli tegiti gah i wan yaha tesu ginegi wan tesu welit giahwat nan tesu welit techchiwat datka.
05-00	Pewa ina maqil (5)
05-01	Tesu aga weli mezilpia ma ixtuna u techsumat gen tesu yek.
06-00	Pewa ina chiqasen (6)
06-01	Muchi tehemet tiwelit, gan tinemit mu ixtiya ne tuamaw.
07-00	Pewa ina chikume (7)
07-01	Ixpan ne tahtuli muchi tigenga wan gipia, genga ipatiwyu pal gipalewia ne tahtuli, muchi gipalewia ne tahtuli gah ina ga tehemet tesu datka tupatiwyu wan gah ina genga ga tehemet tesu datka tupatiw.
08-00	Pewa ina chiqey (8)
08-01	Muchi tehemet tikpiat u tiweli tik tahtanit gan welit techpalewiyat qak ginegit techixtiliat tay tupal wan tay nemi tik ne amat u pal ne tahtuli.
09-00	Pewa ina chiknawi (9)
09-01	Te agah welit gitenzaqat nan welit gi tuktiyat ga uk se techan.
10-00	Pewa ina mahtati (10)
10-01	Muchi tehemet tiwelit ga muchi tigenga munextia ga gigagit ga se gal puli gan tatuktiyat u gan muweli pal gitat tay ipal tay ginegit ma gichiwat u pal gitat su yek u te yek tay gichiwa.
11-00	Pewa ina mahtati se (11)
11-01	Muchi tehemet tikpiat gen tiwelit tinat ma inagan ga tesu yaha gichiwtuk su te mumati su yaha gichiwtuk gen ina netahtuli wan muina tay munechtiwit tay munegi pal yaha te welit gi tenzaqat.
11-02	Te aga weli tigilwiat ga yaha gikchiwtuk su te gichiwtuk ga tesu datka gichiwtuk gen tupal tahtuli tal u tepal tal. Nan nusan weli gilwiya ma tachtawi ta yaha tesu gichiwtuk.
12-00	Pewa ina mahtati ume (12)
12-01	Te aga weli ina datka ipampa su tesu gimatit tay yaha gichiwa, wan iknuwan, itechan wan igal wan iamat tageza, nan tay yawi ma inat ipampa ipal ta yaha. Muchi tehemet tikpiat ixpan netahtuli techpalewiat tayawi ga tehemet wan tay tehemet tesu tikchiwtiwit.
13-00	Pewa ina mahtati yey (13)
13-01	Muchi tehemet tiwelit tinehnemi gan tehemet tiknegit.
13-02	Muchi tehemet tiwelit tigisat pal uk se te pal techan wan tiwelit timuqepat tik ne techan.
14-00	Pewa ina mahtati nawi (14)
14-01	Wan su gen se tehemet gitemuwat weli yawi tik uk se techan gitemuwa gan weli nemi.
14-02	Wan tesu welit gitahtanit ne tahtuli su yaha gimati ga gichiwtuk tay inat ipal u tay yawi ihpak tay ipal ne sen talmet.
15-00	Pewa ina gaxtuli (15)
15-01	Muchi tehemet tiwelit tigixtiat tuamaw tageza pal gimatit ga cha ne tehemet titechan tagamet.
15-02	Tesu aga weli giixtilia pal yaha techan cha ne nan weli gipata gan yaha nestuk.
16-00	Pewa ina gaxtuli se (16)
16-01	Ne tagamet wan ne siwatget qak ahsi nexiwit ga welit munamiktiat welit munamiktiat pal gi iskaliat ipihpilawan wan te muita gen itachixka mulatuh u mezali. Wan genga welit tay ipal sen nemit u muahkawat.
16-02	Maya su yehemet ginegit munamiktiat welit munamiktiat su te tesu.
16-03	Ne iknew se tagutun pal ne tezilna pal ne techan cha nehket, wan gipia ta ipal ixpan netechan wan pal ne talmet.
17-00	Pewa ina gaxtuli ume (17)
17-01	Muchi tehemet tiwelit tikpiat maya tupal wan nusan tiksempiat.
17-02	Tesu aga weli techihtilia tay tupal.
18-00	Pewa ina gaxtuli yey (18)
18-01	Muchi tehemet tiwelit tikchiwat tay tiyultageza, ta yaha weli gikchiwa wan gan ginegi mutanwageza; ini tay ipal gikchiwat ga tiwelit tikpatat tay tehemet tiknegit u gan tiknegit timutanwagezat; kiuni gen netamagixti munextia gan tehemet tiknegit timutanwagezat maya se u muchi, ixpan muchi u tusel; pal tikmachtiat, ne tay tikchiwat, ne gan titageza wan gan muita.
19-00	Pewa ina gaxtuli nawi (19)
19-01	Muchi tehemet weli tikpiat tamagixti pal ina tay yek u te; ini tay tupal yek pal te aga weli techilwiat ga tesu yek tay tikchiwat, wili tiawit tigitat wan welit techilwiat wan weli muina su yek u te, wan weli muilwia muchi, tesu maya ni gan su te gan muweli ina wan gen muweli ina.
20-00	Pewa ina se pual (20)
20-01	Muchi tehemet tikpiat tamagixti pal timupuzuat wan gan mupuzuat pal tik chiwat tay yek.
20-02	Tesu aga weli mezilwia ma xinemi gan tesu tiknegi.
21-00	Pewa ina se pual se (21)
21-01	Muchi tehemet tiwelit nemi tik ne gal puli pal ne tu techan, welit tinemit u tiktuktiat uk se ma nemi tupampa.
21-02	Muchi tehemet tiwelit tigalagit gan muchi tigengat gichiwat tay ipal ne pal ne tahtuli.
21-03	Tay ginegi ne techan ga ne tezilna pal tanawatiani ipal muchi tehemet; ini tay tiinat pal muchi pal qak tiawit tay tiinat gahyawi gituktia ne techan, ini tay muina tiawit tikchiwat qak ya muqepa tik inat ga ya mupata uk se ga gituhtia ne techan; pal muchi inat ga yaha weli naga pal tatuktia wan tay muina maya tehemet tikmatit pal ga tinatiwit wan uk se weli muchiwa ma ina ga nemi yek.
22-00	Pewa ina se pual ume (22)
22-01	Muchi tehemet gen se pal ne gan puzuat weli gipia gal wan gan yawi pahtia wan mumachtia, wan gipia gan su ginegi gichiwa pal ne techan wan pal ne tepal techan tay gipia ne gan ahsi musempuzuat wan tay gipia ipal ne techan, gunih weli tay yaha gipia, yaha gipia muchi tay munegi, wan tay gichiwa gatka, tay yaha munegi ipal wan tay weli gichiwa tay yaha munegi.
23-00	Pewa ina se pual yey (23)
23-01	Muchi tehemet tiwelit titegitit, pal ina tay ginegi gichiwa, tay genga gen uk seyuk tegitit ma mumati yek wan weli mutahtawelia ga tesu gimagat gan tegiti.
23-02	Muchi tehemet tiwelit tiktahtamit ipatiw ne tegiw genga gen gitaxtawat ne uk seyuk.
23-03	Muchi tehemet welit tikpiat matechtahtawigan genga pal mumati yek, pal gimati gaipal wan pal iknew pal ixtuna pal muchi yehemet wan pal tami gichiwat ga uk seyuk gan welit gipalewiat.
23-04	Muchi tehemet tiwelit tikpuzuwat wan weli timuchiwat se pal gan mupuzuat pal mupalewia tay ipal.
24-00	Pewa ina se pual nawi (24)
24-01	Muchi tehemet tiwelit timusewiat, wan paxaluwa qak tesu tegiti, wan qak tegiti ma tegiti axta qak inatiwit, wan qak paxaluwa magitaxtawigan gen tegitisgia.
25-00	Pewa ina se pual maqil (25)
25-01	Muchi tehemet welit tikpiat ma tinemigan yek ma weli nemi yek yaha wan iknew, ma gipia pal mupahtia wan pal nemi yek, wan tay giqa, qahqax, gal, gan ya mupahtia wan pal muchi tay yaha munegi; gipia nusan gan gitaxtawat su te gipia tegiw, guguya, te weli nehnemi, ga migi igumpa, ga chulet, wan uk sekseyuk gagi puluhtuk tay yaha tesu ginetuya.
25-02	inan wan qak gunet gipiat nusan ga gitahpiat wan ga gita manemi yek. Muchi neguhgunet, nestiwit ipal munamitihtiwit u tesu, gipiat nusan pal ipal tay muchi gipiat.
26-00	Pewa ina se pual xiqasen (26)
26-01	Muchi tehemet tiwelit timumachtiat. Wan timumaxtiat ma te techtahtani ipatiw, pal timumachtiat tay timunegit. Pal timumachtiat timunegit ma techilwigan gan tiawit timumachtiat. Tay timumachtiat pal tiwelit tiinat yek tay tiknegit tiina wan ini weli nemi pal muchi tesu pal maya se; pal muchi ne gan mumachtiat gan welit genga pal muchi, su weli gichiwa tay yaha weli.
26-02	Ne tay timumachtiat nemi pal weya tay tigixmati wan pal tesu aga techchiwa datka; pal weli gimati, pal yahkawat gichiwa tay yaha ginegi, pal te timuqalantiat wan pal timunegit nuhme ne tal wan muchi ne gan mupuzuat tesu inat datka pal tyut u wan mutanwageza; wan yaha mugumuntia pal tami qiga tay ginegi gichiwa pal ne nuhme ne talmet pal te aga muchiwa datka.
26-03	Ne tehtegu weli gitat tay welit gimachtiat ne guhgunew.
27-00	Pewa ina se pual chikume (27)
