00-00	<<ghad bob did doub nangd renl njanl xand yanl>>
00-01	Ad leb ghad bob did doub nend, leb leb seat mex zend yanl gaot nianb lib, zenx renb baob nend nis ad leb ghad bob did doub nend zib youl, zhenb yib gaot hol nbinl nangd jid cut.
00-02	Jex zenx renb gaot wud miel renl njanl nangd sib nis yex manl nangd, leb leb sat jid nkiand mex ad leb max raot nangd, yanb senb ghob nhangb senb ghob nhangb nangd ghad bob did doub.
00-03	Weib ghad mangs gangs doub nex nangd nex jex mex banb huat send hox chead mongl gaot zhenb fut jid beux jid dat, boub lies geud ful zhib lol baot hub renl njand.
00-04	Lies gangs ghad bob did doub nangd guel giad jid khaob jid raot.
00-05	Lianl hol guel dad ndub nangd yad yad nangd guel giad yit jind nib lianl hol guel xanb zhangd dad ndub jid pub guat jul,jid pud mix deib jid benx renl njanl, renl gel zend yanl, giab zid gaot ghaob mpad ghaob nit nangd nbinl denx njanl lib nangd xinb nianb, yeab jid pub mix lies jid zheax chud jid rut, gangs leb leb guat jid rut.
00-06	Lianl hol guel dab ndub nangd guel giad jid pud jul, mix lies nhangs lianl hol guel ad goud jid chud,gangs leb leb sat zend zhongb gaot zend xinl renl njanl nhangs zib youl.
00-07	Gangs leb leb sat jid nianl ad baob njanl lib gaot zib youl nend, nis gangs leut gheul pud guat nangd dut jid pud deub lies jid chud.
00-08	Nangd nangd,ad roul nend,
00-09	Dad huib,
00-10	Jid jiangt ad leb sib gieb renl njanl xand yanl nend, geud gangs yad yad nangd guel giad gaot leb leb nex geud jid chud piaod zhenx. Gangs mix hneb hneb jid pud jid ngheub, jid zheax jid sheab, nex chead zend zhongb njanl lib gaot zib youl. Tongd guob guel giad nhangs guel jib nangd cuob sid, gangs ad baob njant lib gaot zib youl nend, nib yad yad nangd guel giad nangd renl minl dad ndub,leb leb seat chenl renb gaot zend xinl.
01-00	did ad qaox
01-01	Leb leb nis zib youl nangs, mex ad sheit nangd zend yanl nhangs njanl lib. Mix mex lix xinb gaot liangt send, leb leb lies nhangs ghob nab ghob geud nangd.
02-00	did oub qaox
02-01	Leb leb sat mex ad leb xand yanl nend jid pud nangd yad yad nangd njanl lib gaot zib youl,jex guant nis ghob nhangb zongx cul, ghob deud nis ghob nhangb sex daob, nis ghob mpad ghob nit, pud ghob nhangb nangd dut, senb ghob nhangb ghunb, mex ghob nhangb nangd zhenb zib gaot guand dianx. nis ghob nhangb nangd guel giad nangd nex, nis ghob nhangb chul shend, nis liot nis kod, nib did dob bix nangd, yad yad sat jex mex qid biel.
02-02	Jex gangs yind weib ad lel nex nis nangd guel giad gaot lins toux nangd zhenb zib, xind zhenb gaot guel jil nangd dib weib jex jid ndongt deut mex ghob nhangb qid biel. Jex guant lins toux nis doul lil nangd, nex heut jid guant nangd, jex zib zhib nangd heab deit nis qil tad nangd qinl kuangb.
03-00	dib bub qaox
03-01	Leb leb mex njanl lib mex shend minb, zib youl gaot renl shend ngand njanl.
04-00	dib bleib qaox
