00-00	7IBIMENYESHEJWE N'AMAKUNGU KU NGINGO ZUBAHIRIZA ZINA MUNTU WESE
00-01	Ibonye ko kwemera ko abantu bose bategerezwa guhabwa agateka n'ukubahirizwa kimwe, ari ryo shingiro ryukwishira n'ukwizana, ubutungane n'amahoro kw'isi.
00-02	Ibonye ko kutemera n'ukudakwirikiza ingingo zubahiriza zina muntu vyatumye hakorwa amabi atagira uko avugwa kandi ko isi izira ubwicanyi n'amaganya, abantu bose bakavuga kandi bakemera uko bavyifuza ari yo yemejwe ko zina muntu wese anyotewe imbere ya vyose.
00-03	Ibonye ko ari nkenerwa ko ingingo zubahiriza zina muntu zubahirizwa n'amategeko atomoye kugira ngo umuntu, aburaniwe, ntaruhire kwiyamiriza agahotoro n'akarenganyo,
00-04	Isanze ko mu Masezerano y'Ishirahamwe Mpuzamakungu, amakungu yongeye kwemeza ko ashigikiye ingingo ngenderwako zubahiriza zina muntu wese, agateka n'agaciro twiwe; ko abantu bose bangana ata kuraba umuhungu n'umukobwa, kandi ko biyemeje gushigikira iterambere ry'abanyagihugu bakarushiriza kwishira n'ukwizana,
00-05	Ibonye ko ari nkenerwa gushigikira iterambere ry'imigenderanire y'ubucuti mu makungu,
00-06	Isanze ko ibihugu buhurikiye mw'Ishirahamwe Mpuzamakungu vyiyemeje, bifadikanije n'Ishirahamwe Mpuzamakungu, kwubahiriza hose ingingo zubahiriza zina muntu wese,
00-07	Ibonye ko gutomorera hamwe izo ngingo zubahiriza zina muntu biri n'akamaro ntangere mu kurangura neza iryo banga vyishinze,
00-08	Inama Nkuru y'Ibihugu bihirikiye mw'Ishirahamwe Mpuzamakungu:
00-09	Irememje ko ibi bimenyeshejwe n'amakungu ku ngingo zubahiriza zina muntu wese ari yo ntambwe abanyagihugu bose n'amakungu yose bategerezwa gushikako kugirango abantu n'inzego zose, bamije ku mutima izo ngingo, biteho, mu nyigisho no mu ndero, gusasagaza iryubahirizwa ryazo, bongere batume zemerwa kandi zikwirikizwa hose mu bihugu bihurikiye mw'ishirahamwe mpuzamakungu no mu ntara bitegeka.
01-00	Ingingo ya 1.
01-01	Abantu bose bavuka bishira bakizana kandi bangana mu gateka no mu ngingo zibubahiriza. Bafise ubwenge n'umutima kandi bategerezwa kwubahana nk'abavandimwe.
02-00	Ingingo ya 2.
02-01	Umuntu wese arashobora kwishimikiza ingingo zose zubahiriza zina muntu zemejwe muri ibi bimenyeshejwe, ata kuraba ubwoko, urukoba, umuhungu n'umukobwa, ururimi avuga, ivyiyumviro vyiwe muri politike, igihugu aturukamwo, ivyo atunze, amavuko yiwe canke ibindi.
02-02	Vyongeye, nta macakubiri namwe azogirwa ashimikiye ku buryo igihugu canke intara umuntu avamwo gitunganijwe, ico gihugu canke iyo ntara vyaba vyishira bikizana, bishinzwe n'Ishirahamwe Mpuzamakungu bititegeka canke hari ikindi kibibuza kwishira bikizana.
03-00	Ingingo ya 3.
03-01	Umuntu wese ategerezwa kwubahirizwa n'ugukingirwa mu buzima bwiwe, akishira akizana.
04-00	Ingingo ya 4.
04-01	Nta muntu n'umwe azogirwa umushumba canke ngo akoreshwe buja. Ubushumba n'ukugurisha abashumba, mu buryo ubwo ari bwo bwose, birabujijwe.
05-00	Ingingo ya 5.
05-01	Nta muntu n'umwe azokubagurwa canke ngo acurwe bufuni na buhoro.
06-00	Ingingo ya 6.
06-01	Umuntu wese ategerezwa kwubahwa akubahirizwa aho ari hose.
07-00	Ingingo ya 7.
