00-00	LLAJTANCHEJNINTINPAJ QHELQESQA TUKUY RUNAJPA ATIYNINKUTA SUT'INCHASPA
00-01	Kaytaqa jatun tantakuypi, tukuynin llajtasmanta ujllachasqa runa qhelqerqanku, imakunachus kay pachapi atiyninghej kasqanta yachananchejpaj. Kay qhelqesqanku qhalichakurqa iskay chunka ujniyoj p'unchayllana kasajtin waranqa jisq'on pachaj tawa chunka pusajniyoj wata tukukunanpaj.
00-02	Manaraj runaj atiynin imachus kasqanta rimayta qallarisasparaj, qhepallanpi qhelqesunchej imakunatachus runa masikuna qhatinanku kasqanta, tukuynejpi allin kay kawsayllapuni kananpaj.
00-03	Munaspa tukuypaj walej kawsay kananpaj.
00-04	Munaspa tukuy ujllachasqallapuni kawsakunankuta.
00-05	Munaspa qheshpi kay tukuypaj kananta.
00-06	Munaspa tukuypaj khuskamanta uj munaylla junt'akunanta.
00-07	Munaspa tukuy mana ujniyoj, uj llajtayojllapis kankuman jina, aynillapipuni yanaparikuspa kawsakunankuta.
00-08	Munaspa cheqan kay tukuynejpi kananta, ama kawsaqe masikuna millay pejtuspi rikhurinankupajtaj, kay jinata riman, runaj allin kayninpaj atiyninkunaqa.
01-00	Nawpaj kay rimay (1)
01-01	Tukuy kay pachaman paqarimujkuna libres nasekuntu tukuypunitaj kikin obligacionesniycjllataj, jinakamalla honorniyojtaj atiyniyojtaj, chantaqa razonwantaj concienciawantaj dotasqa kasqankurayku, kawsaqe masipura jina, tukuy uj munakuyllapi kawsakunanku tian.
02-00	Iskay kay rimay (2)
02-01	Kay pachapi kaj chhika, tukuy mana ujniyojpata atiyninku tian kay Declaracionespi qhaparikusqanman; yana qarayojpis, yuraj qarayojpis, puka kunkapis kachun chayri warmipis qharipis kachun, qheshwa simiyojpis, aymara simiyojpis, yuraj paralyniyojpis, mayqen religionllamantapis kayta atin, chayri mayqen politica yuyayllapipis atisqa kayta atinman chayri waj laya runa qollumanpis. Kayta atin maynejllamantapis ima rijch'aj llawartapis sirk'asninpi apaykachaspa, qhapaj kachun, wajcha kachun, mana chijllasqachu kanan tian.
02-02	Chantapis, ima rijch'aj politica qotumanchus uj runa atisqa kasqanraykupis, chay jawaqa mana qhawapayasqachu kanqa, jina uj qhapaj llajtamanta kachun, pay kikillanmantataj purikuj llajtayoj kachun, mana kay rimaykunamanta chijllasqachu pillapis kanqa.
03-00	Kinsa kay rimay (3)
03-01	Pillapis kay kawsayman atiyniyoj, mana ujllapatachu; tukuy runaspata atiynin tian qheshpisqataj, mana walej paypaj kaymantataj karuncharikuspa puririyta, sumj kawsaypi kananpaj jina.
04-00	Tawa kay rimay (4)
04-01	Mana pipis ujpaj kamachisqallanmanchu watasqa kanan tian munarisqallantapuni qhatispa, mana pipis esclavitud nisqaman sujituchu kanqa nitaj servidumbreman.
05-00	Phishqa kay rimay (5)
05-01	Mana pipis mayqen laya muchuykunaman nitaj llakiykunaman nak'arinanpaj jina tanqasqachu kanqa, mana pitapis usuchinqankuchu chayri k'umuykachachinqankuchu sua alqota jinaqa.
06-00	Sojta kay rimay (6)
06-01	Tukuy kaj chhika atiyniyoj, may cheqanejllapipis, chay atiynin sumaj qhawarisqataj maynejllapipis yupaychasqataj kananpaj.
07-00	Qanchis kay rimay (7)
07-01	Mayqen runa masillapis leypa nawpaqenpi kikin derechosniyojllapuni, chayraykutaj tukuy khuskamanta atinku kay kamachisqa leyespi atikuyta, kay leyes mana allin kajmanta jark'arinanpaj. Tukuy atiyniyoj kanku kikin amaprollamantaj pillapis mana kay declaracionesta uyarispa, munasqanman jina apaykachayta munanman chayqa, munankumantaj chayqa wajchakunata qhapajkunamanta, llank'ajkunata atiyniyoj qolqesapakunamanta, nawiyojkuna mana nawiyojkunamanta t'aqarayta, pillapis munaspa, kay Declaracionesta mana uyarispa, munasqanman jina apaykachariyta.
08-00	Pusaj kay rimay (8)
08-01	Pillapis atiyniyoj justiciata purichijkuna nawpaqenkupi rimarinanpaj, ima juchapipis pejtusqa rikhurinman chayqa; jinamanta amparasqa llajta masisninwan khuska sumaj kawsaypi tiakunanpaj, kamachisqa leyes rimasqanman jina.
09-00	Jisq'on kay rimay (9)
09-01	Mana pipis mana kajllamanta presuchasqa kanqachu, nitaj wisq'asqa manataj llajtanmanta wajnejman qharqorparisqa.
10-00	Chunka kay rimay (10)
10-01	Pillapis atin, mashkha ukhu qayllankupipis kachun tukuy justiciawan rimasqanta uyarichikuyta, chijllasqa leyespi yachayniyoj kajkuna cheqan justiciata ruanankupaj; imachus derechusnin obligacionesnintaj sut'inchakunanpaj, chayri imatachus tumpasasqankuta unanchanankupaj, ley penal rimasqanman jinalla.
11-00	Chunka ujniyoj kay rimay (11)
11-00	Mayqen juchawan atiykusqa runallapis, manaraj juchayojpuni kasqanta yachakusaspa, maynejllapipis atiyniyoj tukuy uyarinankupaj jina tapuykachakunanpaj ima juchasninmantachus tumpasasqankumanta, tukuy laya garantiastataj waqaychapunanku tian, mana manchikuyniyojta tukuy ima cheqan kasqanta parlananpaj jina.
11-01	Mana pipis juchaman tanqasqachu kanqa, ruasqasninmanta, chayri ruanan kasajtin mana ruasqanmanta, mana chay ruasajtinpacha Derecho Nacional chayri Internacional rimasqanman jina jucha karqa chayqa, manataj juchan kasqanman jina asllawan llakiyta yapakunqachu.
12-00	Chunka iskayniyoj kay rimay (12)
12-01	Mana pipis kawsaynin ukhupi t'ojpisqachu kanqa, nitaj llawar masisnin ukhupi, manpunitaj wasinpi sat'ikusqankurayku abususta pillapis muchunanchu tian; chayri masisninwan jinapurasqanwan ichus honranta t'akariyta munasqankumanta. Tukuy laya runa atiyniyoj leyeswan qhawachikunapaj, chay mana kaj millay, runaj kawsakuyninpi chajrukuyta munasqankumanta jark'asqa kananpaj.
13-00	Chunka kinsayoj kaj rimay (13)
13-00	Pillapis atiyniyoj mana manchikuyniyoj mayllapipis purikunanpaj, kikillantaj wasichakuyta mayqen rijch'aj llajtallapipis.
13-01	Pillapis atin mayqen llajtallamantapis llojsipuyta, kikin llajtanmantapis kachun, munaspari llajtanmantaj kutimpuyta.
14-00	Chunka tawayoj kaj rimay (14)
14-00	Pitapis ayqeykachachisanku chayqa, tukuy runa kaj chhikajpata atiynin tian mayqen wasillamanpis wajyarichikunanpaj, kikin llajtanpipis kachun wajnejpipis, chay wasipi pakasqa karikunanpaj.
14-01	Kay tukuy nisqaqa manamin runa wanuchi runaspaj jinachu rimasqa kasan, manataj pipajchus ima juchanraykupis justicia ayqeykachachisan, nitaj imatachus Naciones Unidas allin kananpaj rimayninkuna contranpi juchachakujkunapajchu.
15-00	Chunka phishqayoj kaj rimay (15)
15-00	Pillapis atiyniyoj uj llajtata legitimun llajtanta jina rejsikapunanpaj.
15-01	Mana pitapis sajramanta kallpaykuspa llajtanta wajnojtachinankuchu tian, nillataj oponekunankuchu tian waj llajtata llajtanta jina rejsikapuyta munanqa chayqa.
16-00	Chunka sojtayoj kaj rimay (16)
16-00	Mana riparaspalla ima rijch'aj runa kasqanta nitaj ima laya religiontachus paypaj rejsikapusqanta, chayri ima llajtayojchus kasqanta, qharispis warmispis kallpanojna kaspaqa atiyniyoj kanku yananchakunankupaj, casamientomanta parlaspari khuskamanta kikin derechosniyojllataj kanqanku, tantallapuni kawsakusaspapis, t'aqakunqanku chaypis.
16-01	(missing)
16-02	Aylluqa llajtaspaj sapin kaqanrayku, atiynin tian yanapachikunanpaj tukuy llajtayoj runakunawan Estadovan ima.
17-00	Chunka qanchisniyoj kaj rimay (17)
17-00	Pillapis atiyniyoj tukuy ima kapuyllamanpis, ujpallatapis kachun ashkhakunajpatapis.
17-01	Sajramantaqa mana pij kapuyninpis t'ojpisqa kanqachu.
18-00	Chunka pusajniyoj kaj rimay (18)
18-01	Pijpallatapis atiynin tian yuyasqantawan concienciantawan religionnintawan sut'inchananpajtaj qhatinanpajtaj; kay atiyqa khuskachan ima religionpis creenciapis waj jina religionmanpis creenciamanpis tukuykunanpaj, chantapis kay religiontawan creenciatawanqa mayllapipis qhapariyta atikusqanta, pipis yachananpaj chay yuyasqanwanpis, chay concienciawanpis chay religionwanpis khuskallapuni purisqanta.
19-00	Chunka jisq'onniyoj kaj rimay (19)
19-01	Tukuy runakaj chhikajpata atiynin tian yuyasqanta mayllapipis qhaparinanpaj, kay atiy kamachillantaj ama pipis rimarisqanrayku t'ojpisqa kananpaj, kamachillantajmin puriyta atisqanta tapuykachaspataj unancharispataj ujkuna waillasqankuta, chayri chay tukuy rimasqata maykamallapis ninrimanta ninri purichiyta.
20-00	Iskay chunka kaj rimay (20)
