00-00	Universal Deklaro di Homal Yuri
00-01	Konsiderante ke agnosko dil inheranta digneso e dil egala e netransferebla yuri di omna membri di la familio homal es la fundamento di libereso, yusteso e paco en la mondo,
00-02	Konsiderante ke desegardo e desestimo di homal yuri rezultabas en barbara agi, qui insultis la koncienco di la homaro, e l'arivo di mondo en qua homi posedas libereso di parolo e kredo e libereso de timo e bezono esabas proklamata kom la maxim alta aspiro di la homi,
00-03	Konsiderante ke oportas, por ke la homi ne esez koaktata rekursar, kom lasta posibleso, a rebeleso kontre tiraneso ed opreso, ke homal yuri devas esar protektata per la regno di la yuro,
00-04	Konsiderante ke oportas avancigar la developado di amikal relati inter nacioni,
00-05	Konsiderante ke la populi dil Unionita Nacioni afirmabas en la Charto sua fido a fundamental homal yuri, a la digneso e valoro di la homal persono, ed al egala yuri di viri e mulieri, e rezolvabas avancigar social progreso e plu bona vivo-qualesi en plu ampla libereso,
00-06	Konsiderante ke la Membro-Stati vovabas ke li atingos, kooperante kun la Unionita Nacioni, la avancigado di universal respekto pri ed obedio di homal yuri e fundamental liberesi,
00-07	Konsiderante ke komuna kompreno pri ca yuri e liberesi es di maxim granda importo por la plena realigo di ca vovo,
00-08	Nun, konseque,
00-09	La General Asemblo,
00-10	Proklamas ica Universal Deklaro di Homal Yuri kom komuna normo atingenda por omna populi ed omna nacioni, kun la skopo ke omna individuo ed omna organo di la socio, tenante ca Deklaro sempre en la mento, esforcez per docado ed edukado avancigar respekto pri ca yuri e liberesi e per progresiva procedi, nacional ed internacional, por sekurigar olia universal ed efikiva agnoskeso ed obedieso, ed inter la populi di Membro-Stati ipsa, ed inter la populi di teritorii sub olia resortiso.
01-00	Artiklo 1
01-01	Omna homi naskas libera ed egala relate digneso e yuri. Li es dotita per raciono e koncienco e devas agar vers l'una l'altra en spirito di frateso.
02-00	Artiklo 2
02-01	Omnu es yurizita per omna yuri e liberesi prizentita en ca Deklaro, sen distingo irgaspeca, exemple pro raso, koloro, sexuo, linguo, religio, politikal o altra opinioni, nacional o social origino, proprietajo, nasko o altra rango.
02-02	Pluse, nula distingo esez facata fondita sur la politikal, resortisal o internacional stando di la lando o teritorio a qua persono apartenas, sive nedependanta, fideikomiso, ne-suguvernanta o sub irga altra limitizo di suvereneso.
03-00	Artiklo 3
03-01	Omnu havas la yuri pri vivo, libereso, e sekureso di persono.
04-00	Artiklo 4
04-01	Nulu esez tenat en sklaveso o submiseso; sklaveso e la sklav-komerco esez interdiktata en omna formi.
05-00	Artiklo 5
05-01	Nulu esez submisat a tormento o a kruela, nehumana o infamiganta trakto o puniso.
06-00	Artiklo 6
06-01	Omnu havas la yuro esar omnaloke agnoskata kom persono koram la yuro.
07-00	Artiklo 7
07-01	Omni es egala koram la yuro ed es yurizita sen irga distingo per egala protekto da la yuro. Omni es yurizita per egala protekto kontre irga distingo violacanta ca Deklaro e kontre irga incito a tala distingo.
08-00	Artiklo 8
08-01	Omnu havas la yuro recevar efikiva remedio da la kompetenta autoritati pro agi qui violacas la fundamental yuri grantita a lu da la konstituco o da la yuro.
09-00	Artiklo 9
09-01	Nulu esez submisat ad arbitrial aresto, enkarcerigo o exilo.
10-00	Artiklo 10
