00-00	Insan Haklarin Cuemlae Deklaratiyasi
00-01	ESABA ALARAK, ani insan aylesi azalarin kishilik saygilii, onnarin birtakim hem ayirilmaz haklarin tannimasi serbestliin, dooruluun hem oemuer-duennaeae usluluun temelidir; hem
00-02	ESABA ALARAK, ani insan haklarina goesterilaen saygisizliktan hem ashaaliktan kaynaklanan yabannik darildeer insanniin uezuenue, hem ani oelae bir duennaeae kurulmasi, nerdae insannarda olacek soez hem dueshuenmak serbestlii hem olmayacek korku hem sikinti, insannarin bir ueuesek isteyishi gibi bildirildi; hem
00-03	ESABA ALARAK, ani insan haklari laeaezim korunsun kanon kuvedinnaen, ani olmasin oelae, asan insan, bitki soezuem gibi, zorbalaa hem baskiya karshi istar-istemaez kaler yapsin kalkinti; hem
00-04	ESABA ALARAK, ani laeaezim halklar arasinda dostluk baalantilarin ilerlemesinae yardimci olmaa; hem
00-05	ESABA ALARAK, ani Birleshmish Milletlaer halklari kendi Ustavinda tekrarladilar inandiklanni insannarin temel haklarina, insan kishiliin onuruna hem kiymetinaehem da adamnarlan karilarin birtakim haklarina hem karar aldilar sotial ilerlemesina yardimci olmaa hem taa bol serbestliktaeyashamak koshullanni iileshtirmaeae; hem
00-06	ESABA ALARAK, ani aza devletlaer soez verdilaer, Birleshmish Milletlaer Kurulunnan birliktae, cuemlae insan haklarin hem temel serbestliklerin saygilanmasina yardimci olmaa;
00-07	hem
00-08	ESABA ALARAK, ani bu haklar hem serbestliklaer tabeetin universal annashilmasi bu baalantiyi buetuennae tamannamak isik pek maanalidir,
00-09	GENEL ASAMBLEYA
00-10	bildirer bu Insan Haklarin Cuemlae Deklaratlyasini oelae bir problema gibi, angisini laeaezim oezensinnaer soezmaeae hepsi halklar hem devletlaer, aniki herbir insan hem cuemlenin herbir organi, dayma goez altinda tutarak bu Deklaratiyayi savashsinnar aydinnatmaklan hem ueueretmaeklaen yardim etmaae bu haklarin hem serbestliklerin saygilanmasina national hem halklararasi progresiv ishlaerlaen onnarin tanittirilmasina hem tamannanmasina nicae Kurula giraen devletlerin halklari arasinda, oelae da o halklar arasinda, angilari bulunrlar o devletlerin kanonnari altinda olan topraklarda.
01-00	Yazi 1
01-01	Insannar hepsi duuerlar serbest hem birtakim kendi kiymetindae hem haklarinda. Onnara verilmish akil hem uez da laeazim biri-birinae davransinnar kardashlik ruhuna uygun.
02-00	Yazi 2
02-01	Herbir insanda laeaezim olsun hepsi bu Deklaratiyada bildirilaen haklar hem serbestliklaer, hisbir ayirintisiz soy, deri rengi, adam hem kari, dil, din, politika yada bashka inandiklari, muelk, insan boyu eki bashka durum bakimindan.
02-02	Bundan bashka diil laeaezim yapilsin hisbir ayirinti devletin ya insanin yashadii topraan politika statusuna goerae, bakmayarak o toprak serbest mi, bakimni mi, kendibashina kullanmayan mi osa suverenitetindae bashka tuerlue sinirlamali mi.
03-00	Yazi 3
03-01	Herbir insanin yashamak, serbestlik hem kishiliinae dokunmamak haki var.
04-00	Yazi 4
04-01	Kimsey diil laeaezim tutulsun esirliktae ya serbestsiz durumda; esirlik hem esir satilmasi hisbirtuerlue kabledilmeer.
05-00	Yazi 5
05-01	Kimsey diil laeaezim zeetlensin, zorlashtirilsin yada cezalandirilsin zulumca eki insan shanini ashaalayan davranishlan.
06-00	Yazi 6
06-01	Herbir insanin, nerdae da o bulunsa, var haki daava subyekti olarak taninmaa.
07-00	Yazi 7
07-01	Herbir insan kanona karshi denk hem herkezin, bir ayirintisiz, var birtakim haki kanonnan korunmali olmaa. Hepsi insannarin birtakim haki var bu Deklaratiyayi bozan diskriminatiyadan hem boelae diskriminatiya fitlemesindaen korunmali olmaa.
08-00	Yazi 8
08-01	Herbir msaniii haki var legal millet daavalarindan haklarini efekivli geeri almaa, eer kostitutiya ya kanon tarafindan ona verilaen haklar korunmazsalar.
09-00	Yazi 9
09-01	Kimsey yok nasil zakonsuz zorlan kapansin, tutulsun yada erindaen kaldirilsin.
10-00	Yazi 10
10-01	Herbir insanin haklarini hem borslarini belirtmaek isin hem ona sikarilan kabaatlamanin sebepli olup-olmadiini goestermaek isin var haki, cuemlae birtakimnik temelindae, istemaea onun daavasi bakilsin asik hem dooruluk kurallarina uygun olarak baali olmayan hem tarafsiz olan sudta.
11-00	Yazi 11
11-01	Herbir kabaatli bulunan insanin haki var kabaatli sayilmamaa, eer onun kabaati zakona goerae asik arashtirmaklan ortaya sikarilmadiysa hem ona hertuerlue korunma kolaylii verilmediysae.
11-02	Kimsey yok nasil cezalandirilsin oelae bir cueruem (zakona uymayan ish) yapmasi isiii yada yapmamasi isin, eer yapildii zamanda o cueruem national zakonnarina goerae hem halklararasi haka goerae cezalanan kabaat sayilmadiysa. Hem yok nasil kabaatliya verilsin taa aar ceza, nekadar vardi nasil verilsin o vakitta, asan cueruem yapilmish.
12-00	Yazi 12
12-01	Kimseyin yok nasil kanonsuz karishilsin kendi kishi hem aylae yashamasina, kanonsuz dokunulsun onun eviiiae, onun Yazishma sakliliina yada onun kiymetinae hem adina. Herbir insanin var haki kanonnan korunmali olmaa boelae karishmalardan eki boelae dokunmalardan.
13-00	Yazi 13
13-01	Herbir insanin var haki serbest er diishtirmaeae hem herbir devletin sinirlarinda kendisinae oturmak eri ayirmaa.
13-02	Herbir insanin var haki sikmaa memlekettaen, bu sirada kendi memleketindaen da, hem doenmaeae memleketinae.
14-00	Yazi 14
14-01	Herbir insanin var haki sikishtirmalardan bashka memleketlerdae koruntu aaramaa hem o koruntuyu kullanmaa.
14-02	Bu hak yok nasil kullanilsin, eer sikishtirma yapilirsa gersektaen politikaya baali olmayan bir kabaat isin yada Birleshmish Milletlaer kurulun neetlerinae hem printiplerinae karshi gidaen ishlaer isin.
15-00	Yazi 15
15-01	Herbir insanin var vatandashlik haki.
15-02	Kimseydaen yok nasil kanonsuz alinsiz onun vatandashlii yada onun hakl kendi vatandashliini diishtirmaeae.
16-00	Yazi 16
16-01	1.Yashlarini dolduran adamnarin hem karilarin var haki, hisbir sinirlamasiz soy, milletlik ya din uezerinae, evlenip aylae kumiaa. Onnarin haklari birtakim evlenirkaen, evlenmektae bulunarkan hem ayirilarkan.
16-02	Evleiimaek olabilir sade karshilikli iki tarafin buetuen serbestliinnaen hem kayilliinnan.
16-03	Aylae— cuemlenin bir natural hem ana kisimi hem onun var haki cuemlae hem devlet tarafindan korulu olmaa.
17-00	Yazi 17
17-01	Herbir insanin var haki mal saabisi olmaa tek bashina yada bashkasinnan birliktae.
17-02	Kimseyin elindaen zakonsuz mal diil laeaezim alinsin.
18-00	Yazi 18
18-01	Herbir msanin var serbestli dueshuenmaek, uez hem din haki; bu haka girer serbestlik diishtirmaeae kendi diiiini ya inandiklarini hem tutmaa kendi dinini ya inandiklarini tek bashina ekI bashkasinnan birliktae, halka asik ueuerenmaeae, duva etmaeae hem din ritual adetlerini kullanmaa.
19-00	Yazi 19
19-01	Herbir insanin var haki serbestli fikirlerinae hem onnarin serbestli asiklamasina; bu haka girer serbestlik engelsiz kendi fikirlerinae uymaa hem serbestlik aaramaa, kabletmaeae hem daatmaa bilgi hem fikir hertuerlue hem devlet sinirlarina baali olmayarak.
20-00	Yazi 20
20-01	Herbir insanin var haki uslu toplanti hem kurulush serbestliinae.
20-02	Kimseyi yok nasil zorlashtirmaa girsiii nesoy-sa kuriilusha (asotiatieyae).
21-00	Yazi 21
21-01	Herbir insanin var haki pay almaa kendi devletin kullanmasinda doorudan yada sesilmish vatandashlann araciliinnan.
21-02	Herbir insanin var birtakim haki kendi memleketindae devlet izmetinae giraebilmaeae.
21-03	Halkin isteyishi laeaezim olsun oenderlik kuvedin temeli; bu isteyish laazim belli edilsin periodik hem falsh olmayan sesimnerdae, angilari laeaezim yapilsinnar universal hem birtakim sesim hakinnan, sakli kiyat atmaklan yada bashka denk maanali, kiyat atmanin serbestliini koruyan formalarlan.
22-00	Yazi 22
22-01	Herbir insanin, cuemlae azasi olduu isin, haki var sotial yardimina hem onun saygiliin yardimni olmasi isin hem kishiliin serbestli ilerlemesi isin laeaezim olan ekonomika, sotial hem kultura haklarin gersekleshtirmesinae national yardimnari hem milletlaerarasi ishbirlii yolunnan hem herbir devletin yapilishina hem kaynaklarina uygun olarak.
23-00	Yazi 23
23-01	Herbir insanin var haki salishmaa, serbestli ish ayirmaa, dooru hem uygun ish kolayliklarinda salishmaa hem ishsizliktaen korunmali olmaa.
23-02	Herbir insanin var haki hisbir ayirintisiz birtakim ish isin birtakim oedek kabletmaeae.
23-03	Herbir salishan insanin var haki almaa dooru hem kanaatli oedek, angisi eter insanca yashamaa ona hem onun aylesinae hem angisina, laeaezim olduynan, eklener bashka sotial yardimnari.
23-04	Herbir insanin var haki kurmaa profesional birlikleri hem girmaeae profesional birliklerinae kendi intereslerini korumaa deyni.
24-00	Yazi 24
24-01	Herbir insanin var haki dinnenmae hem bosh vakida, bu arada salishma guenuen akillica sinirlanmasina hem periodik oedekli izinina (otpuskaya).
25-00	Yazi 25
25-01	Herbir insanin var haki oelae yashamak uuruna, bu siraya girer imeesi, giyimi, evi, saalik bakimi hem laeaezim olan sotial izmetleri, angisi laeaezim oler korumaa saaliini hem varliini, kendisinin hem aylesinin, hem haki yardimsiz kalmamaa ishsizlik, hastalik, sakatlik, ihtaerlik yada bashka olabilirli durumda, asan o kendisinae baali olmayan sebeplaer uezerinae gesinmesi isin kaynaksiz kalabilir.
25-02	Analik hem ushaklik vererlaer bir ayiri bakim hem yardim haki. Hepsi ushaklar, duuan evliliktae ya evlilik dishinda, laeaezim kabletsinnaer birtakim sotial yardimi.
26-00	Yazi 26
26-01	Herbir insanin var ueuerenmaek haki. En az bashlanti hem genel ueuerenmaek laeaezim olsunnar oedeksiz. Bashlanti ueuerenmaek laeaezim olsun hepsi isin. Tehnika hem zanaat ueuerenmesi isin yol laeaezim asik olsun herkezinae, ueuesek ueuerenmaek tae laeaezim hepsi isin birtakim asik olsun herkezin becerdimae goerae.
26-02	Ueuerenmaek laeaezim oen versin insan kishiliin dolu ilerlemesmae hem da insan haklarin hem temel serbestliklerin taa bueuek saygilanmasina. Ueuerenmaek laeaezim yardim etsin karshilikli annashmak, saburluk hem dostluk olsim hepsi miiletlaer, soy hem din grupalarin arasinda hem yardim etsin Birleshmish Kurulun barish koruma salishmalarina.
26-03	Ana-bobanin var uestuen haki kendi kuesuek yashli ushaklarina ueuerenmaek formasi ayirmaa.
27-00	Yazi 27
