00-00	AMANSAN MPAEMUKA A EFA ONIPA BIARA KYEFA HO
00-01	Esiane se nidi ne biakoye ne hokwan a adesamma abusua no wo no ne ahofadi, atentrenee ne asomdwoe a ewo wiase no nhyease,
00-02	Esiane se obu a wommu ne animtiaa a wode bu onipa biara Kyefa no akowie atirimodenne ahorow mu no apusuw wiase no ahonim, ne ohwe a yehwe kwan se wiase bi reba a adesamma benya ahofadi wo okasa ne gyidi ho, na woabo dawuru se osuro ne ohia jo ahofadi ne omanfo botae,
00-03	Esiane se nea ebeye na omanfo remfa atuatew kwan so se nea etwa to de atu atirimoden ne nhyeso agu, nti, ese se yede mmara sodi bo onipa biara kyefa ho ban,
00-04	Esiane se eho hia se yebema ayonkofa abeda aman horow ntam,
00-05	Esiane se nnipa a wowo Amanaman Nkabom no Mmara no mu no agye se wogye onipa biara kyefa tom, na wogye tom se onipa desani biara nya ne kyefa, nidi ne osom a wosom bo; afei wogye mmarima ne mmea Kyefa tom, na wobo mmoden se wobema omanfo atu mpon wo asetena pa mu wo ahofadi bebree mu,
00-06	Esiane se Kuw Mma ahye bo se wone Amanaman Nkabom mo beye biako de ama aman nyinaa anya obu ama onipa biara kyefa ne ahofadi ahorow no
00-07	Esiane se Kyefa ne ahofadi ahorow ho hia sen biara na ama bohye yi aba mu koraa nti,
00-08	Ende, Afei,
00-09	Kuw Kese No
00-10	Pae mu ka
00-11	Amansan Mpaemuka a efa Onipa Biara Kyefa ho no
00-12	Se mmodenbo gyinapen ma nkurofo ne aman nyinaa, a yen botae ne se nnipa nkorenkore ne aman nyinaa bekae saa Mpaemuka yi bere nyinaa, na wonam okyerekyere ne nhomasua so akyere obu ama saa kyefa ne ahofadi ahorow yi, na wode nkakrankakra ama nnipa a wowo won a wowo amannone ate ase, agye atom, adi so pepeepe wo nnipa a wowo Kuw Mma no ankasa man mu, ne omanfo a wotete won nsasesin mu.
01-00	Ahyede 1
01-01	Woawo adesamma nyinaa se nnipa a wowo ahofadi. Won nyinaa wo nidi ne kyefa koro. Wowo adwene ne ahonim, na ese se wobu won ho won ho se anuanom.
02-00	Ahyede 2
02-01	Ese se obiara nya kyefa ne ahofadi ahorow a woaka ho asem wo Mpaemuka yi mu no a nnipa animhwe anaa nyiyim nni mu, te se ebia abusua a ofi mu, ahosu, se oye obea anaa obarima, se oka kasa bi anaa owo kuw bi mu, se owo ahode, se wowoo no okwan bi so no mfa ho koraa.
