00-00	HATUN WILLAY DERECHONCHISKUNAMANTA LLAPAN RUNAPAQ
00-01	Llapanchis runakunaq runa kayninchis derechonchiskuna kan. Llapanchispapas kaq derechoyoqllan kanchis. Manan pipas qechuwaswanchu nitaq chinkachinmanchu.
00-02	Si chay derechonchiskuna reqsisqa kanqa, qawasqa kanqa, llapanchispa, chayqa hawkalla kawsasunchis, mana maqanakuspalla, nitaq cheqninakuspalla, nitaqmi qechupanakusunchu, hawkalla kasun.
00-03	Nawpaq watakuna, manaraq derechonchis ley reqsisqa kachaqtin, chay wakin munaysapa runakuna, qari tuku runakuna, valiq tukukuna, chay derechonchiskunata sarusqaku, cheqnisqaku, mana valiqman tukuchisqaku. Hinaspa runa masinta waqachisqaku, k'umuchisqaku, cheqnisqaku, sipinankukama.
00-04	Llapan runakuna munanchis chay derechonchiskunata, ima yuyayninchistapas piensasqanchistapas rimarinanchispaq, mayqen Diostapas khuyananchispaq, allin kawsakuypi tiyananchispaq, mana pitapas manchakuspa, hawka kusisqa tiyaspa kawsananchispaq.
00-05	Chay leykunaqa amaparawasunmi, derechonchiskuna qawasqa kananpaq. Mana qawasqachu ni respetasqachu kanqa, chayqa hatariswanmi runakuna, derechonchiskunata valichiq, allin k'apaq reqsisqa kananpaq.
00-06	Llapan chay nacion llaqtakuna allin hawka kawsaylla kayta atin, ama maqanakuspalla, ama cheqninakuspalla, nitaq qechapanakuspalla yanqa qariykachaspa.
00-07	Chay hatun hununakuy "Naciones Unidas" nisqanpi niwanchis qaynata: - Kanmi derechonchiskuna. Hinaspa, kanmi runa kayninchis. Hinaspa, warmipas qaripas kaq derechoyoqllan kanchis, - nispa qelqanku documentonkupi.
00-08	Chay hatun hununakuy "Naciones Unidas" nisqanpin munan llapan runakuna chay derechonchiskunata reqsinanchista, hinaspa ruwananchista.
00-09	Llapanchis runakuna k'apaqta reqsisun qawasun yachasun chay derechonchiskunamanta, kay documentopi leyespa.
00-10	Chaymi chay willariy, chay Ieyesqanchis, imapaqcha chay derechonchiskuna kan chayta.
00-11	DERECHONCHISKUNA LEY
00-12	Hatun hununakuy "Naciones Unidas" nisqanpi qelqanku llapan runakunaq derechonkunata, allin documentopi qelqaspa, allin reqsichinakunapaq. Llapallanchis kay mundopi kaq runakuna chay derechonchiskunata reqsichinakusun, yachapachinakusun, respetachinakuspa ruwachinakusun k'apaqta.
01-00	(1) HUK KAQ
01-01	Kanmi derechonchiskuna llapanchispa, nacesqanchismanta. Kantaqmi llapanchispa runa kayninchis. Manan runa kanchu manay derechoyoq. Huk runaq derecho hukpawan kaqllan kan. Kanmi derechonchis llapanchispa allin kawsay libre tiyananchispaq. Llapan runaqpan kan yuyayninchis yachanapaq. Llapanchis kasun llapa runa masinchiskunawan munanakunapaq, huk ayllu hina.
02-00	(2) ISKAY KAQ
02-01	Kay hatun ley kamachikuyqa llapanchispaqmi, pipas kachun, mistipas, puna runapas, yuraqpas, yanapas, warmipas, qharipas. runasimilla rimaqpas, castellano rimaqpas, hanaq pacha khuyaqpas, pachamama aypakuqpas, imayna yuyaq runapas, may llaqtamantapas, mana imayoqpas, wakchapas, qhapaqpas. Anchaykunapaqmi, llapanchispaq, kay hatun ley kamachikuyqa.
02-02	(3) KIMSA KAQ
03-00	Kanmi derechonchis kawsananchispaq. Manan pipas sipiwaswanchu, nitaqmi maqawaswanchu. Kantaqmi derechonchis libre kananchispaq.
03-01	(4) TAWA KAQ
04-00	Manan pipas esclavota hina llank'achiwaswanchu, sasata, uywata hina, mana munaqtaqa.
04-01	(5) PICHQA KAQ
05-00	Manan pipas, salqa uywata hina kachispa, k 'iriwaswanchu, nitaq muchuchiwaswanchu, nitaqmi k'umuchiwaswanchu mana runata hina.
05-01	(6) SOQTA KAQ
06-00	Kanmi derechonchis juezman demandakuq rinanchispaq, juez justicia ruwawananchispaq. Manan pipas hark'awaswanchu juezman rinanchista.
06-01	(7) QANCHIS KAQ
07-00	Llapa leypaqpas llapan runapas kaqllan kanchis. Manan pipas aqilasqa kayta atinchu.
07-01	Demandanchis kaqtinqa, manan juezqa sayakunmanchu mayqenmanpas. Juezqa llapa demandanchista kaqllata uyariyta atin. Hinaspa justiciata ruwayta atin llapanchispaq, mana imanpas sayakuspa.
08-00	(8) PUSAQ KAQ
08-01	Kanmi derechonchis amparawananchispaq, derechonchista saruqtinku. Derechonchista saruqtinkuqa, amparawanchismi chay juezkunapas autoridadkunapas. K'apaqtan amparawanchis, ama kaqmanta derechonchis sarunankupaq.
09-00	(9) ESQON KAQ
09-01	Manan pipas, qasi kaqtaqqa, yanqapuni capturasqa kayta atinchu, nitaqmi carcelman wichq'asqa kayta atinchu, nitaq llaqtanmanta qarqosqa kayta atinchu.
10-00	(10) CHUNKA KAQ
10-01	Demandanchis kaqtin, otaq cargochasqa kaqtinchis, kanmi derechonchis juezpapi willakunanchispaq. Juezqa iman kaqllata uyariyta atin, mana pimanpas sayakuspalla, nitaqmi pakallanta ruwanmanchu, llaqtaq qayllanpi ruwayta atin.
11-00	(11) CHUNKA HUKNIYOQ KAQ
11-00	Cargochasqa kaqtinchisqa, manan juezqa - Huchayoq kanki, - niwaswanchu, leyman hina manaraq yachaspa cheqaychus o manachus huchanchis kan chayta tarispa.
11-01	Noqanchis imatapas ruwaqtinchis, manaraq chay ley t'aqtakamuchaqtin, manan chay ley huchachawaswanchu castigawananchispaq.
12-00	(12) CHUNKA ISKAYNIYOQ KAQ
