00-00	XALK-ANTALAP TIN PUTAT AN CHABAL XOH-NI NI KO-YAL AN INIKTSIK
00-01	JELATAK balkin taxk-a tin bajun, an tdo-lid ani an alwatalap an ti chabal in ko-yal anytsubaxtalap ani wa xalk-anal an ti inktal ani xoh-ni ni ko-yal jayechek-i ani kuentsal nap kuajat ti juni k-imad;
00-02	JELATAK antah ulnal bal na ba-wa exlap ani ba-wa dah-nal ti kuenta xoh-nin k-alan nik dah-jame xeh-ni ban tomnal teen tsiyame nin chalap an inik, ani ulumejich bal jach ni max d-ek-at xoh-nin chalpayal an anik, wa aytsiyap junih chalap-lap k-al an iniktsix nay jek-amalich an jik-eplapap an ch-ontal talap, ki ko-oy i kanat-talap k-alih kawintal ani k-ali belomtal;
00-03	JELATAK an ta ulnal bal nin alwa-xoh-ni nin ko-yal an iniksix kip k-anedha xonti kin uluw junih dhutsat uw balan inik ba-ka dh-ajan kin dh-aja xoh-ni ban lee K-al nay ko-yal in chap ani i cha-akal jun.
00-04	JELATAK anta ulnal jayechek-i nin chap ka dha-jan yan exlomnawal k-al ehtal an bitsow.
00-05	JELATAK anta ulnal balan bitsow na ch-ikik an oklap k-alan pak-dha bitsow i ulumal ti junih uw, balan tsubaxtalap xoh-nin ko-yal an inik, jayechek-i nin chalap an inik jelat an uxum, ani xonti ulumal bal neech kih dha-ya junih kuensal dho-lap ani neech jaye t-ekba an k-wahtalap leh tajax an xe-chintalap;
00-06	JELATAK balan bitsow ni nap kwa-tsik bal ki dha-ja ani ki lehkiy, kwujaljunax k-alan ok-lap k-al ehtal an bitsow, ki k-ak-na ti ba tin pubel an chabal, tin ehtal k-alan tsubaxtalap xoh-nin ko-yal an anik, i
00-07	JELATAK max junay antip wah-chinenek balki ehtow ki k-aniy ti ba yach ni max alwa balki ehtow ki dha-ja xoh-ni ni ulumal.
00-08	Xontip Junkum An Yanel Ulun
00-09	Na ulun ti pubel an chabal k-al xoh-ni ni ko-yal an iniktsik kuensal i uluw an bitsow na ch-itsik ani na pak-dha ko-yal ki dha-ja ichap, bal kuensal an iniktsik jelat an pak-dha ata xontip kwua jil an dho-litsik kip neech tahbayat bal ki ehdha-ki dha-ya k-alan oktsixtalap ani an ajumtalap ka wahchin k-aknaxtalap ki k-akna ti ba bal ka k-aleh ti d-ek-el tee ti chabal, tamti exlajich ani dha-janich tin pubel an chabal ani alwa, ani lujuts jelat anti ch-it-sik bitsow ani an pak-dha bitsew nap ok-lap ip kwatsikich i chutal.
01-00	Articulo 1°
