00-00	Tibilii hv nirori dii fev ra
00-01	Di ther jvvrpar si si tu a ji dii do samini ke cotoo svno na fev caar ra hanani, na ee punu ke makhani, a doni thin pemnania', n gbewa a do cir si deeduur a n ha le baan'. Er n gbewa a do cir si dikhan wo cvvpa sar na haar'yii ha ke dii kee bvno,
00-02	Di ther jvvrpar si si tu a ji, mo wa turoni si a guura Tibilii hv kaanke a hanani hvoa', di dor noo, si ado teehuu kpier jina kpoori ke wv n kpoo worni, di n jama. Si dikhan wo thin kontinn ke hani tbilii kpier ra, a tini gbelengbelen nina, do dii ke wa thiini a do kaanke teehuu svno na na phirni nvoa'; si wv hana tuur, wv 'li taari, maar ke n kv yeni cillo na bokv kontinn in to di hvno yer.
00-03	Di ther jvvrpar si si tu a ji di firre, Tibilii hv ra in 'li ceeri di the jofa sar ra, di ha me thien na fir wv, a kpier a thvno si a iir a jamano pesidan puu svno ke n kvvrni tibila na e n hvol yerni di n ha na ni ye kora'.
00-04	Di ther jvvrpar si si tu a ji di firre di dii svno na 'li bulli di nawe na khon ee thinthinn,
00-05	Di ther jvvrpar si si tu a ji dii do le Jofa Sebe bvno na, dii svno ke kpani gbev, ee too svno burre nina gbelengbelen ee tuur ke wv hanani Tibilii tonton pununi na, samini na na teehuu difi ra, na mo ke kona na khera makhani jofa iiri ra. Si dikhan wo, wv turi khor si wv faa hvo tibila fev in gal 'yekvlvo, si wv thiinn jofa ke na cvvni di deeduur na ha fiiv nakea',
00-06	Di ther jvvrpar si si tu a ji si dii svno na gbevnikha turina vlferi wv bulkha na Dii svno ke ra gbevnii Gbulun,waan jvvr mo dii svno fev, par ra fev, na fvni si wv gbaro yvv Tibilii hv na e teena yeni di wa sol na cvv di deeduur na ha baan',
00-07	Di ther jvvrpar si gbevkhadara ra tu a ji si guurkha jofa svno le ra ra na mo deeduur a hani baan', dvvnn thin kontinn karoni e fev ra , wa gbani wv cvvna ire hani ee kpier ra, wv turonina vlferi,
00-08	Jvvrpar svno ke ra ra di the si gbevkhadara ra gba thin Nirori ke doni Tibilii hv, theni Dii svno ke ra kpani gbevv kpier ra, a nina di sol di do thien ke ditoona na dii svno na fev n bulni di waan 'yaal. A di ha me tibila fev na gbuluni svno na fev kier dithii ra naa kpiera boo fev Nirori le ra, wv fir ee bara si waan diir tibila, waan diira bisana wv punu wv khon jofa le raa difi ra si wv ji deeduur caar ra fev pire. Di me na, gbe gbe, wv gba filwe, dapa ke wv hani na kaanke ee punu khuni, wv cvv mo wa cvvni si tibila svno ke hani le dii svno ke ra ra kpani gbevv thinthiinn, wv turo si wv cvv par ra fev mo di sonina svnbor.
01-00	Varpar 1
01-01	Teehuu svno n ther ee nii bvno wa n do deea' si wv n makha samini na na hv tinepar ra. Thangba ti yer a pe yer jiir na filwe si a teena waan fvkha omkhaa.
02-00	Varpar 2
02-01	Tibila fev punune wv so jofa ra fev na mo deeduur a hani baan', soni kier Nirori ke ra, er di tii. Si lee kpini naa haro nake di do, caar, teebirduur yaa dabuloduur, kuunduur yaa kherduur, ca thimiir, i hvkpapa, mo inte in kpierni dii n gbeesine hana yaa inte kpier ha  na haani da, dida dvvn inte doni yaa e n cvvni intee dvo, ler, konpar yaa thin ca dikha, dvonn nooa'.
02-02	Di nake wo, leeri naa ha le si a ha fiiv nakea' di do intee di yaa oo baen gbeensi, sarwe tipar, e a doni kaanke a n kani, do nooa'; a do nake dii le ra yaa baeaenn le ra a hana oo thethee punua' yoo, aa ha di  nyokoo, aa hana hvo a cvv thiean' yaa wv pier wor thin dikha ra di aa hana pununi caan', da do noo di leeri na haa'.
03-00	Varpar 3
03-01	Tibil woo tibil teenane yiri, a teenane a na do deea' si aa teena wv fvv pee ra pee wv khaann kaso ra sii do wa koo kvl 'yie guur oo soa'.
04-00	Varpar 4
04-01	Tibil a teena wv tuu deeduur ra yaa waan hvol wora'; deeduur ra na deether ra naa 'la ha le baan' sii do gbe yi nakea'.
05-00	Varpar 5
05-01	Tibil a teena wv dooyaaa' yaa wv pie pebaan yaa wv cvv wv cvv ca dikha ke puuroni, a teenani di cvv tibil laa' yaa di phiia'.
06-00	Varpar 6
06-01	Tibila fev teenani par fev ke wv hani tibila n hana tuur ee jofa ra.
07-00	Varpar 7
07-01	Tibila la fev makhar jofi raa 'yekvlvo, si a hana hvo jofi ra n cee ye cee biel si a na perre pele Tibila fev hanane hvo di wa cee ye cee biel thin caar fev ke ra n pe yerni leeri na cvvpa caar fev ke pununi di ina yer leeri, si dii n di Nirori ke ra.
08-00	Varpar 8
08-01	Tibil woo tibil hanane hvo vvvn a so soguurpar ke ra, le dii ra,  jiir, vni a tu thin puu ke wv cvv nerni a dina cece jofa ra si a faana dii raa hv ke a ha ninia' yaa ceeri ke jofi ra n cee ner nia'.
09-00	Varpar 9
09-01	Tibil na punu wv fvv yaa wv khaann wv kaso ra yaa wv welen wv na fanga wv faa di banwo da'buul laa'.
10-00	Varpar 10
10-01	Tibil woo tibil hanane hvo 'bilami a makha na e, di wa guur oo so tibi fevv 'yekvlvo, soguurpar ra ke hanani dapunu, a n kunkuunia'.  ra na ne wor oo jofa na e teenani dii na cvv, si a na suu, hvo ke di kpani si di waan guur wv sor, wv fvv wv khaann.
11-00	Varpar 11
11-00	Tibil woo tibil ke wv n baaloni dii n ho or cvv thin puu, aa do sopucvvrdaar pia' foo wv guur oo so tibila fevv 'yekvlvo wv yee di  aa hana hvoa'. Wa cvvre mo wa cvvni le guurpar ra si wv 'yaal jofiji wv haa, a mii thimiir ra a haa si a punu a pe wor.
11-01	Tibili woo tibil na lon kaso ra sii do daboo ke a n koo cvvni sopuu le  yaa a koo dinani thin bo ca dikha cvvri, dii raa jofi yaa di kpii jofi a  koo thera ye dii n do sopuua'. Dikhan wo wa khaann tibil ye nvo in jo e jofi soni wv hana inte boo ke sopuu ra kooni cvva'.
12-00	Varpar 12
12-01	Tibil woo tibil a teena wv 'loo oo thethee yi ra, oo cotoo ra, wv lon oo coa' yaa wv kher oo letere wv hiinna' yaa wv pie wer nuua' yaa wv phii si  kve wv iri, sii do hvo a haroa'. Tibil woo tibil teenane jofi ra in cee wor 'loori ra na phiir caar caar ra.
13-00	Varpar 13
13-00	Tibil woo tibil hanane hvo a naa kpaar ba'a si a 'yaal oo toopa di vkhaa thinthiinn.
13-01	Tibil woo tibil hannane hvo a the dii fev ra, oo thethee dvo a bo haroa', a kpaar, si a bur a cer a in.
14-00	Varpar 14
14-00	Boo ke kpoori iirni, tibil woo tibil hanane hvo a 'yaal wanpar di wa faa wv dii na gal di banwo.
14-01	A na punu na so vni hanane hvo 'lo vni fuu vni lon di kpii ra si  svnbor a cvvre sopu kontinn a dina tibila fev ra, yaa e a cvvni n gvv Dii svno ke kpani gbevv kpierno ra si a ha kpii na e wv n turoni, di waan 'yaal wv nake juuwei wv fva'.
15-00	Varpar 15
15-00	Tibil woo tibil hanane hvo a do didaar.
15-01	Tibil woo tibil na punu wv taa wor oo didadoa' yaa wv kve hvo ke a hanani a dona dida kpiia'.
16-00	Varpar 16
16-00	Boo ke kuunbir ra na kherbir ra naa valani, wv hanane hvo wv he kha  wv konkha bisana si da do caar, didaduur yaa inte hvkpapa dvvnn noo a nyaaro nake gbea'. Wv tinene hvo a makha her ra na mo her ra na pvorni a dana oo kuurpa.
16-01	Her ra na punu na cvo si ado 'wedara ke na henikha tunena haar fev sii do thien a fir yea'.
