00-00	DECLARASYON INIVESEL DWA DE LOM
00-01	Entwodiksyon
00-02	Le nou konsidere ke, paske yo rekonet ke diyite ki nan nannan tout moun ak dwa egal ego yo ki pa sa van, se baz epi inalienables constitue le fondement de la libete, de la jistis epi deak lape nan le mond entye,
00-03	Le nou konsidere ke, paske yo pa rekonet epi ke yo meeprize dwa de lom, sa mennen move zak ki revolte la konsians limanite, epi tou ke we yon tan kote tout moun ap lib pou you pale ak pou yo kwe, paske yo pap nan laperez ak la mise, tan sa-a yo rele li pi gwo ambisyon lom ka genyen,
00-04	Le nou konsidere ke li enpotan ke dwa de lom fok yo pwoteje yo avek yon regleman de dwa pou lom pa oblije, le li pasa aji lot jan, revolte kgenont kraze zo ak lopresyon,
00-05	Le nou konsidere ke li impotan ke tout moun ankouraje devlopman relasyon zanmitay ak lot nasyon,
00-06	Le nou konsidere ke nan Pwensip fondalnatal Nasyon Zini, pep Nasyon Zini-yo retounen proklame la fwa-yo nan dwa fondalnatal moun, nan la diyite ak vale tout moun, nan dwa egal ego fanm kou gason, epi ke pep sa yo deklare ke yo deside mete devan, pwogre la sosyete epi pou yo enstale bon kondisyon pou la vi miyo chitya nan gwao la libete,
00-07	Le nou konsidere ke peyi manm yo angaje yo pou yo asire, ansanm avek Oganisyon Nasyon Zini, respe inivesel ak respe tout bon dwa de lom ak libete fondalnatal,
00-08	Le nou konsidere li enpotan ke fok yo tout we dwa ak libete sa-yo menm jan, pou yo ka ranpli tout bon angajman sa-a,
00-09	Asamble Jeneral Nasyon Zini
00-10	pwoclame
00-11	Deklarasyon Inivesel Dwa de Lom sa-a
00-12	Se anbisyon pou la vi miyo demen, pou tout pep ak tout nasyon mete nan tet yo, pou yon jou tout moun, ansanm avek tout vwa la sosyete, ak Deklarasyon sa-a nan lespri yo toutan, yo fe yon jefo, avek kom baz anseyman ak edikasyon, pou yo devlope respe dwa ak libete sa a yo epi pou yo fe de kwa, avek aksyon nasyonal ak entenasyonal, yap pran ofi amezi, pou yo rekonet dwa sa yo epi pou yo aplike yo nan le mond antye, tout bon, nan mitan popilasyon peyi ki manm Nasyon Zini-yo, ak nan mitan tout teritwa ki anba jiridiksyon yo.
01-00	ArtikAtik 1
01-01	Tout moun fet lib, egal ego pou diyite kou we dwa. Nou gen la rezon ak la konsyans epi nou fet pou nou aji youn ak lot ak yon lespri fwatenite.
02-00	ArtikAtik 2
02-01	Chak moun kapab itilize dwa ak tout libete pki pwoklame nan Deklarasyon sa-a, san yo pa fe okenn diferans ant you moun ak you lot, kelt ki lan swa ras li, koule li, sex li, lang li pale-a, relijyon li, opinyon politik o swa nen pot ki lot opinyon li ka genyen, kit li soti nan orijin nasyonal o gen reapo ak la sosyete, lajan, kotel sooti o swa nenpot ki lot sitiasyon.
02-02	Epi, yo pap fe oken diferans kel ke swa lL wa sou politik, jistis o swa Lwa enteenasyonal peyi ou byen tenritwa kote moun nan soti, ke peeyi o swa tenritwa sa-a li endepandan, ou byen sou lobedians yon lot, kel pa sa anji pou kol o enkeo kel gen kek regleman ki limite libete peyi-a.
03-00	ArtikAtik 3
03-01	Chak moun gen dwa as ke li gen la vi, la libeete ak sekirite pou tet-li.
04-00	ArtikAtik 4
04-01	Yo pa gen dwa kimbe peson nan esklavaj ni fosel ekzekite yon travay; esklavaj avek komes esklav entedi kel ke swa jan yap fel la.
05-00	ArtikAtik 5
05-01	Yo pa gen dwa maspinen you moun, ni fel sibi move tretman, ni tretel kou bet osnon fel pedi lonel.
06-00	ArtikAtik 6
06-01	Chak moun gen dwa as ke yo rekonet toupatou pesonalite jiridik-li.
07-00	ArtikAtik 7
07-01	Tou moun egal devan la lwa epi tout moun gen dwa, san pati pri, gen menm pwoteksyon ke la lwa bay. Tout moun gen dwa gen pwoteksyon-an kont tout pati pri ki ta kab anviole Deklarasyon sa-a epi tout kont tout pwovokasyon pou yo fe pati pri.
08-00	ArtikAtik 8
08-01	Chak moun gen dwa poul resevwa konkou tout bon pa devan tribinal nasyonal reskonsab yo, kont zak kap anviole dwa fondalnatal ke konstitisyon o swa la lwa rekonet kel genyen.
09-00	ArtikAtik 9
09-01	Yo pa gen dwa ak fos gro ponyet, arete, mete nan prizon o swa ekzile yon moun.
10-00	ArtikAtik 10
