00-00	shijierenquanxuanyan
00-01	jianyuduirenleijiatingdechengyuanxiedeguyouzunyanhetamendepingdengdehebuyidequanlidechengren, naishishijieziyou, zhengyiyuhepingdejichu, 
00-02	jianyuduirenquandewushihewumieyifazhanweiyemanbaoxing, zhonggexiebaoxingdianwulerenleideliangxin, 
00-03	er1gerenrenxiangyouyanlunhexinyangziyoubingmianyukongjuhekuifadeshijiedelailin, yibeixuanbuweiputongrenxiedezuigaoyuanwang, 
00-04	jianyuweishirenleibuzhipobudeyidingerzouxianduibaozhengheyapojinxingfanpan, youbiyaoshirenquanshoudaofazhidebaohu, 
00-05	jianyuyoubiyaocujinguojiaxiedeyouhaoguanxidefazhan, 
00-06	jianyugelianheguoguojiaderenminyizailianheguoxianzhanglitougewaijiangletamenduijibenrenquan, rengezunyanhejiazhiyijinannupingdengquanlidexinnian, bingjuexincuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan, 
00-07	jianyuhuiyuanguoxieyeyishiyuantonglianheguohezuoyicujinduirenquanhejibenziyoudepubianzunzhonghezunxing, 
00-08	jianyuduizhonggexiequanliheziyoudepubianlejieduiyuzhegeshiyuandechongfenshixianjuyoudawandezhongyaoxing, 
00-09	yincixianzai, 
00-10	dahui, 
00-11	fabuzhe1shijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojianulishixiandegongtongbiaozhun, xiwangmei1gerenheshehuijigoujingchangjidaobenxuanyan, nulitongguojiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingtongguoguojiadeheguojidejianjincuoshi, shizhonggexiequanliheziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiaxialingtuderenminzhongdedaopubianheyouxiaodechengrenhezunxing;
01-00	di1tiao
01-01	renrenshengerziyou, zaizunyanhequanlishang1lushipingdengde. tamenfuyoulixingheliangxin, bingyingyixiongdiguanxidejingshenxianghuduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyoubenxuanyanlitouxiede1qiequanliheziyou, bufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
02-02	bingqiebukeyiyinwei1rensuoshudeguojiahuolingtudezhengzhide, xingzhengdehuozheguojidedeweizhibutongeryousuoqubie, wulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhezaiqitarenhezhuquanshouxianzhideqingkuangxia. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyouherenshenanquan. 
04-00	di4tiao
04-01	renherenbudeshiweinulihuonuyi;1qiexingshidenulizhiduhenulimaimai, douyinggaiyuyijinzhi. 
05-00	di5tiao
05-01	renherenbudejiayikuxing, huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenzainadiandouyouquanbeichengrenzaifaluqianderenge. 
07-00	di7tiao
07-01	faluqiantourenrendoushipingdengde, bingyouquanxiangshoufaludepingdengbaohu, bushourenheqishi. renrenyouquanxiangshoupingdengbaohu, yimianshouweifanbenxuanyanderenheqishixingweiyijishandongzhezhongqishiderenhexingweizhihai. 
08-00	di8tiao
08-01	renherendangxianfahuofalusuofuyutadejibenquanlizaoshouqinhaishi, youquanyouhegedeguojiafatingduizhezhongqinhaixingweizuoyouxiaodebujiu. 
09-00	di9tiao
09-01	renherenbudejiayirenyidaibu, jujinhuofangzhu. 
10-00	di10tiao
10-01	renrenwanquanpingdengdeyouquanyou1gedulierwupianyidefatingjinxinggongzhengdehegongkaideshenxun, yiquedingtadequanliheyiwubingpandingduitatichuderenhexingshizhikong. 
11-00	di11tiao
11-01	fanshouxingshikonggaozhe, meihuodebianhushangsuoxude1qiebaozhengdegongkaishenpaneryifazhengshiyouzuidehua, youquanbeishiweiwuzui. 
11-02	renherenderenhexingweihuobuxingwei, zaiqifashengshiyiguojiafahuoguojifajunbugouchengxingshizuizhe, budebeipanweifanyouxingshizui. xingfabudezhongyufanzuishishiyongdefaluguiding. 
12-00	di12tiao
12-01	renherendesishenghuo, jiating, zhuzhaihetongxinbuderenyiganshe, taderongyuhemingyubudejiayigongji. renrenyouquanxiangshoufalubaohu, yimianshouzhonggexieganshehuogongji. 
13-00	di13tiao
13-01	renrenzaigeguojingneiyouquanziyouqianxihejuzhu. 
13-02	renrenyouquanlikairenheguojia, baokuogerendeguojiazainei, bingyouquanfanhuigerendeguojia. 
14-00	di14tiao
14-01	renrenyouquanzaiqitaguojiaxunqiuhexiangshoubihuyibimianpohai. 
14-02	zaizhenzhengyouyufeizhengzhixingdezuixinghuoweibeilianheguodezongzhiheyuanzedexingweierbeiqisudeqingkuangxia, bukeyiyuanyongcizhongquanli. 
15-00	di15tiao
15-01	renrenyouquanxiangyouguoji. 
15-02	renherendeguojibuderenyiboduo, yibudefourentagaibiangerenguojidequanli. 
16-00	di16tiao
16-01	chengniannannu, bushouzhongzu, guojihuozongjiaoderenhexianzhiyouquanhunjiahechenglijiating. tamenzaihunyinfangmian, zaijiehunqijianhezaijiechuhunyueshi, yingyoupingdengdequanli. 
16-02	zhiyoujingnannushuangfangdeziyouhewanquandetongyi, cainengdihun. .
16-03	jiatingshitianrandehejibendeshehuidanyuan, bingyingshoushehuiheguojiadebaohu. 
17-00	di17tiao
17-01	renrendeyoudandudecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-02	renherendecaichanbuderenyiboduo. 
18-00	di18tiao
