00-00	IN KIRAK -TSAPORONASOSH TPOTS ICHIGORO VANASIR TAPANA; SAMPATA MANTSIR TARINTSPA-ATCHA.
00-01	Mazinantsa: tpots vanasir tapi-ato anoa mayamaha toxarachich? Kis tapi-ato anoa mayamaha pachidchich? vatam tpotsiva. Pachidkinarich -Ancha yotarita -atiniya ichigoroni. Ichigoroni kis taravaztamam zadkini; vanasir tamam zadkini; mapironi tamam zadkiniya.
00-02	Misha mazinagtsa: tpots nia tsiyatsia da payoragosin, kizpor yotarit taragana; tpotsia natsaragana. Anomon chi vanipsha tsiyantakich. Itaro, iysha anoa zadkiazini, da. Mapironi tapani atiniya. Tpots Apallia chinapi-ato, vani chinachpa. Tpots tsiyatsia kamanpi-ato, vani kamanichpa. Tpots kis tapi-ato, xaramam vatsta atiniya. Chakaha nia da zadak? Ichigoroni zadaktanicha.
00-03	Misha mazinagtsa: gobieron ichigoro iya kukini kamachtachpa. -Tpots ichigorosin vanasir tapana; toxararintspa -ato tayaspatachpa. Dona ashkos, paptsa; tpots varatchillinpa. Tpots kizpor tsiyantaksin -Goblernoa kapiatiani -tachpasinaya; vatam kis tapani atanava.
00-04	Misha mazinagtsa: gobieron ichigoroni vashonad kis tayani atini. Ashiri, dona nia kukoz payokoni tamayria kis tachini? Ashirocha, ichigoroni payopani atiniya.
00-05	Misha mazinagtsa: siro iy korakani vashonad shaniyaragoni -Yanpatatini tpotsini chinayani -taragini.- Iy tpotsini ichigoroni magoaz tatsamoatanicha, kizatamta. Yanpata istayani; vanasir tayani. Toxaramam vatsitshaparia; natsamam, misha varatamam vatstsishaparia -taragtanicha.
00-06	Misha mazinagtsa: iysha korakani ichigoroni anoa chinaragoni -Tpotsini ichigoroni vanasir tapani; toxaramam vatsta -taragoni ,- Anoari chinayani. Chakaha anoa gatach? Ashiriya, ashichpachi -taragtanicha.
00-07	Misha mazinagtsa: itsinsaroni da chinakoni tamayria anoa kok payochich? Iysha korakarini -Niatsimari minamari kok payoyani -taragoni tamayriaha llitaritacha chinachich? Ashiriya, da toxaramam izororo kamachtachiniya.
00-08	Iysha tsaporonas korakarini vashonad shaniyaragoni, kukiatsini payomam kamachtaragini. Ashirocha, iya kukini ichigoros mazlnagtsa.
00-09	-Tpots tsaporonasosh ichigorosin vanasir tapana; vanpatatin xararosinapa -atini. Tpots iya kukini payochiliinpa; gatosinapa atini. Gobieron ichigorosin payochillinpa. Nimari chinayarosin, kis payochillinpa; tayaspatachillinpa. Tayaspatat, tayaspatat shiarsin, zapishat tpots izataro magoanchillinpa. Tpots vanpatatin kis tamam dosha toxarachillinpa. Ashiriya, na izooro kamachtachiniya.
01-00	Kamachtamarini 1.
01-01	Iy tpotsini ichigoroni kis tamam zadkini, vatam tpotsiniva. Vatam ichigoroni magini tarova; ashiriya chinakaniya. Ashirocha, zovalliatsich tamaparia-ashiros sanpata chinagtsa atiniya.
02-00	Kamachtamarini 2.
02-01	Tpots vanasir tapi-ato toxararintspa; kiyog yacharintspa atini. Kadoaztata natsarintspa; mikoroatsta, kiristiyanatsta, natsarintspa. Kizatsta kiyog yacharintspa. Apallia magoankoanoatstat natsarintspa. Mayamasaha tpots magosh chinako-anomon natsarintspa. Arapchiatsta tpots natsarintspa. Pokiriatsta natsarintspa; virakuchiatstata natsarintspa. Ashirocha, tpots ichigorosin vanasir tapana atiniya.
02-02	Misha, gobieron ichigorosin anoa tsiyatsis payochillinpa. Tpotsia arapchiatsta natsarintspa atiniya; vatam o gobieronorini taritamtava. Si anoa kasikitatiasa, ashirita natsarintspa. Siya ksotkita, ashta tpotsia natsarintspa atiniya.
03-00	Kamachtamarini 3.
03-01	Tpotsia pcharintspa. Tpotsia kiyog1yacharintspa. Tpots vanasir tapi-ato, vana tachiya atiniya.
04-00	Kamachtamarini 4.
04-01	Tpotsia gotaritish topattagarillpa; mchachoriamis yamarintspa. Mchachorish taravaztakcho, tovapagtsa. Shiya kasamam zadko, vana kasachpa. Msagiarosh gotish topattagaktar ashkos, anoa vatsta atiniya.
05-00	Kamachtamarini 5.
05-01	Tpotsia kiyog yacharintspa. Tpotsia ovi tororintspa. Tpotsia kiraptarintspa. Yotarit vaniarintspa atiniya.
06-00	Kamachtamarini 6.
06-01	Gobieron tpotsia izataro ishinachpa; tatsamoro ishinagcha. Tamayshtaha minoatsimsha tpots chinako, itaro minoatssha tpots natsach? Anoa vatsta atiniya.
07-00	Kamachtamarini 7.
07-01	Gobieron tpotsia izataro istachpa. Tpots iya kukini kapiatkinari, montakinaria tamayariaha gobieron anoa mago napach? Yotaritcha ano. Tpotsia ichigoro istachpa vanasiri tamama, atiniya.
08-00	Kamachtamarini 8.
08-01	Gobieron koraka vanimpaniam inachpa. Tpots korakap nayaro, korakatssha -Tpots gobiernoa kok da payoko; nova kiyog yachakiya -atinari, koraksha yasayaro itsinsaro vanichillinpa. Ashirocha, koraka vanimpaniam inachpa atiniya.
09-00	Kamachtamarini 9.
09-01	Korak vanimpan msagiaro tpotsia potatpa. Mago tomantapa. Mago arap zagantapa. Tpots izororo yotarit takinari, ashiri ptagsi; tomanagsi. Itaro, gotaritis shirintspa, atiniya.
10-00	Kamachtamarini 10.
10-01	Gobieron koraka natstamapaniam vayachpa. Tpots chiya yotari tsiyatkinari, chiya -Yotari takiya; nova magotari kiyog kachiyko -atinari, chisha natstamapanip tsiyatchich. Oshtisin ichigoro mazinayarosin, itsinsaro natstachillinpa. Tpots ab tsiyatamam pchidintspa, atiniya.
11-00	Kamachtamarini 11.
11-00	Tpots natstamapanish chiya -Yotari takiya; vaniagcha -atinari, koraksha ichtaro -Gotpasha atsha -tachpa. Shiaro tpots ichigoro mazinaksin, chisha yamchich. Itaro, oshtisin itsinsaro -kchiptini paragtanicha -atinariasinaya, kasikinariasinaya-ashiro, vanimam varitachiya. Itaro, dona kasikinari, magota atinariasina tamayariaha vanichich? Ashirocha, yammam pchidintspa atiniya.
11-01	Misha, apaz gobieron kukoz kaniasich kamachtakiya. Kamachtakcho -Siro shi da payoragosh, na vanichilipa -tamayriaha tach? vatam kukoz kaniasichsha kamachtakova. Ashimam vatsta atiniya. Misha, vaniashish kaniasich kamachtakcho tamayriaha - Araginasha vanichilipa -tach? Tamayriaha sirapchimad yotarit tarago-anomada tsiyatchich? Ashimam vatsta atitamani.
12-00	Kamachtamarini 12.
12-01	Tpotsia magotari tamontarintspa. Tpotsia machirita mago itotstapa. Tpotsosh pag mago pshtotpa. Magotari tpotsia tashitogayaro, pagoa itotstapa. Tpotsia virkaria mago itotstapa. Tpotsia magotari yotaritam inatpa. Gobier on vanasiri ksotachpa. Vanasir ishinkinari, dosha tpots yotari tamontachiya. Ashiriya, shigtsa.
13-00	Kamachtamarini 13.
13-00	Yap tpots ximam zadko-ab vanari xitappa; toxararintspa. Yap tamam zadko-abitam vanari tachpa. Itaro, minosh gobiernop xitpi-atinari, xarashish tamana tariya.
13-01	Tpots arap ximam zadko, vanatsi vatsapon natomasamam kasamam zadko, txaratpa. Vaptam kanappi-atinari, vanari kanapochpa.
14-00	Kamachtamarini 14.
14-00	Gobieron tpotsia mago kiyog yachakinari, tpotssha lii taritap sovamam zadko, vanari sovachiya; pchidintspa.
14-01	Itaro, tpots kapanari yotari tarago tamayria sovako sovach? Vanimam varitakiya. Iya kukiatsini kapiatkinari, sovamam pchidagtsa.
15-00	Kamachtamarini 15.
15-00	Tpots ichigoro gobiernoa virkari payochpa. Shiaro, tpotssha -No anshochtana -tachiya No gobieiori nova vanasiri ishinkiya -tachiya.
15-01	Gobieron anoa virkari mago itotstapa. Tpots Ilitarita gobiernoa virkari payopi-atinari, vani yachiya.
16-00	Kamachtamarini 16.
16-00	Tpots kiza yamapi ato, vani yamachiya. Kiz zarallpi-ato vani zaralliya. Tpotsia vachin pchidintspa, yamamama. Kadoaziatsta pchidintspa; mikoroatsta, kiristiyanatsta, arapchiatsta, nxakamotshochiatsta vatsta tarintspa. Mayamasaha magosh chinako-anomon toxararintspa. Vipagaz zadko, ashiri toxararintspa. Vanpatatin istachillinpa. Zapish kasakta, vipa istachillinpa.
16-01	Tpots kis ayo atinari, anoa yamachillinpa. Itaro gatkinariya tamayria yamachich? Yamachiazich.
16-02	Gobieron tpotsia tapachidachpa. Tpots machiritpata tachpa. Ipariatsich, izalliatstamtich dona tapachidako, vashonad tachiazich, dabaria. Ashiriya, vanasir ishinagtsa; tapachidagtsa.
17-00	Kamachtamarini 17.
17-00	Tpots tsapoa paxanxpi-ato pchidintspa. Tpots zapan vashonad paxanxiani-atosin pchidintspa; vani paxanxchillinpa.
17-01	Tpotsia vatsapon msagiaros itotsintspa.
18-00	Kamachtamarini 18.
18-01	Tpots mayamasaha kukoz payopi-ato, toxararintspa. Apallia kok payopi-ato, vani payochiya. Yashigoa kok payopi-ato, vani payochiya. Zitamina kok payopi-ato, vani payochiya. Minoa kok kapiatiaro, llitaritsha chinapi-atinari, toxararintspa; vani ashchiya. Tpots vashonad Apallilam shaniyiani.atosin, toxararintspa. Tayaspatapi-ato, yasiayani-ato, Apailpa tsiyatpi-ato, vani ashchiya; toxararintspa.
19-00	Kamachtamarini 19.
