00-00	VERDENSERKLAeRINGEN OM MENNESKERETTIGHEDERNE
00-01	Da anerkendelse af den mennesket iboende vaerdighed og af de lige og ufortabelige rettigheder for alle medlemmer af den menneskelige familie er grundlaget for frihed, retfaerdighed og fred i verden,
00-02	da tilsidesaettelse af og foragt for menneskerettighederne har foert til barbariske handlinger, der har oproert menneskehedens samvittighed, og da skabelsen af en verden, hvor menneskene nyder tale- og trosfrihed og frihed for frygt og noed, er blevet forkyndt som folkenes hoejeste maal,
00-03	da det er af afgoerende betydning, at menneskerettighederne beskyttes af loven, hvis ikke mennesket som en sidste udvej skal tvinges til at goere oproer mod tyranni og undertrykkelse,
00-04	da det er af afgoerende betydning at fremme udviklingen af venskabelige forhold mellem nationerne,
00-05	da De forenede Nationers folk i pagten paany har bekraeftet deres tro paa fundamentale menneskerettigheder, paa menneskets vaerdighed og vaerd og paa lige rettigheder for maend og kvinder, og har besluttet at fremme sociale fremskridt og hoejne levevilkaarene under stoerre frihed,
00-06	da medlemsstaterne har forpligtet sig til i samarbejde med De forenede Nationer at arbejde for fremme af almindelig respekt fur og overholdelse af menneskerettigheder og fundamentale frihedsrettigheder,
00-07	da en faelles forstaaelse af disse rettigheder og friheder er af den stoerste betydning for den fulde virkeliggoerelse af denne forpligtelse,
00-08	proklamerer
00-09	PLENARFORSAMLINGEN
00-10	derfor nu denne VERDENSERKLAeRING OM MENNESKERETTIGHEDERNE som et faelles maal for alle folk og alle nationer med det formaal, at ethvert menneske og ethvert samfundsorgan stedse med denne erklaering for oeje skal straebe efter gennem undervisning og opdragelse at fremme respekt for disse rettigheder og friheder og gennem fremadskridende nationale og internationale foranstaltninger at sikre, at de anerkendes og overholdes overalt og effektivt, baade blandt befolkningerne i medlemsstaterne og blandt befolkningerne i de omraader, der befinder sig under deres styre.
01-00	Artikel 1.
01-01	Alle mennesker er foedt frie og lige i vaerdighed og rettigheder. De er udstyret med fornuft og samvittighed, og de boer handle mod hverandre i en broderskabets aand.
02-00	Artikel 2.
02-01	Enhver har krav paa alle de rettigheder og friheder, som naevnes i denne erklaering, uden forskelsbehandling af nogen art, f. eks. paa grund af race, farve, koen, sprog, religion, politisk eller anden anskuelse, national eller social oprindelse, formueforhold, foedsel eller anden samfundsmaessig stilling.
02-02	Der skal heller ikke goeres nogen forskel paa grund af det lands eller omraades jurisdiktionsforhold eller politiske eller internationale stilling, til hvilket en person hoerer, hvadenten dette omraade er uafhaengigt, under formynderskab eller er et ikke selvstyrende omraade, eller dets suveraenitet paa anden maade er begraenset.
03-00	Artikel 3.
03-01	Enhver har ret til liv, frihed og personlig sikkerhed.
04-00	Artikel 4.
04-01	Ingen maa holdes i slaveri eller traeldom ; slaveri og slavehandel under alle former skal vaere forbudt.
05-00	Artikel 5.
05-01	Ingen maa underkastes tortur eller grusom, umenneskelig eller vanaerende behandling eller straf.
06-00	Artikel 6.
06-01	Ethvert menneske har overalt i verden ret til at blive anerkendt som retssubjekt.
07-00	Artikel 7.
07-01	Alle er lige for loven og har uden forskelsbehandling af nogen art lige ret til lovens beskyttelse. Alle har ret til lige beskyttelse mod enhver forskelsbehandling i strid mod denne erklaering og mod enhver tilskyndelse til en saadan forskelsbehandling.
08-00	Artikel 8.
08-01	Enhver har ret til en fyldestgoerende oprejsning ved de kompetente nationale domstole for handlinger, der kraenker de fundamentale rettigheder, som forfatningen eller loven giver vedkommende.
09-00	Artikel 9.
09-01	Ingen maa underkastes vilkaarlig anholdelse, tilbageholdelse eller landsforvisning.
10-00	Artikel 10.
10-01	Enhver har under fuld ligeberettigelse krav paa en retfaerdig og offentlig behandling ved en uafhaengig og upartisk domstol, naar der skal traeffes en afgoerelse med hensyn til hans rettigheder og forpligtelser og med hensyn til en hvilken som helst mod ham rettet strafferetslig anklage.
11-00	Artikel 11.
11-01	Enhver, der anklages for et strafbart forhold, har ret til at blive anset for uskyldig, indtil hans skyld er godtgjort i henhold til lov ved en offentlig retshandling, hvorunder han har faaet alle de garantier, der er fornoedne for hans forsvar.
11-02	Ingen maa anses for skyldig i noget strafbart forhold paa grund af nogen handling eller undladelse, der ikke i henhold til national eller international ret var strafbar paa det tidspunkt, da den blev begaaet. Der skal heller ikke kunne idoemmes strengere straf end fastsat paa den tid, da det strafbare forhold blev begaaet.
12-00	Artikel 12.
12-01	Ingen maa vaere genstand for vilkaarlig indblanding i private forhold, familie, hjem eller korrespondance, ej heller for angreb paa aere og omdoemme. Enhver har ret til lovens beskyttelse mod saadan indblanding eller angreb.
13-00	Artikel 13.
13-01	Enhver har ret til at bevaege sig frit og til frit at vaelge opholdssted indenfor hver stats graenser.
13-02	Enhver har ret til at forlade et hvilket som helst land, herunder sig eget, og til at vende tilbage til sit eget land.
14-00	Artikel 14.
14-01	Enhver har ret til i andre lande at soege og faa tilstaaet asyl mod forfoelgelse.
14-02	Denne ret maa ikke paaberaabes ved anklager, der virkelig hidroerer fra ikke-politiske forbrydelser eller fra handlinger i strid med De forenede Nationers formaal og principper.
15-00	Artikel 15.
15-01	Enhver har ret til en nationalitet.
15-02	Ingen maa vilkaarligt beroeves sin nationalitet eller naegtes ret til at skifte nationalitet.
16-00	Artikel 16.
16-01	Uden begraensninger af racemaessige, nationalitetsmaessige eller religioese grunde har maend og kvinder, der har naaet myndighedsalderen, ret til at gifte sig og stifte familie. De har krav paa lige rettigheder med hensyn til indgaaelse af aegteskab, under aegteskabet og ved dettes oploesning.
16-02	Aegteskab skal kun kunne indgaas med begge parters frie og fulde samtykke.
16-03	Familien er samfundets naturlige og fundamentale enhedsgruppe og har krav paa samfundets og statens beskyttelse.
17-00	Artikel 17.
17-01	Enhver har ret til at eje ejendom saavel alene som i faellig med andre.
17-02	Ingen maa vilkaarligt beroeves sin ejendom.
18-00	Artikel 18.
18-01	Enhver har ret til tanke-, samvittigheds- og religionsfrihed: denne ret omfatter frihed til at skifte religion eller tro og frihed til enten alene eller i faellesskab med andre, offentligt eller privat, at give udtryk for sin religion eller tro gennem undervisning, udoevelse, gudsdyrkelse og overholdelse af religioese forskrifter.
19-00	Artikel 19.
19-01	Enhver har ret til menings- og ytringsfrihed; denne ret omfatter frihed til at haevde sin opfattelse uden indblanding og til at soege, modtage og meddele oplysning og tanker ved et hvilket som helst meddelelsesmiddel og uanset landegraenser.
20-00	Artikel 20.
20-01	Alle har ret til under fredelige former frit at forsamles og danne foreninger.
20-02	Ingen kan tvinges til at vaere medlem af en forening.
21-00	Artikel 21.
21-01	Enhver har ret til at deltage i sit lands styre enten direkte eller gennem frit valgte repraesentanter.
21-02	Enhver har ret til lige adgang til offentlige embeder og hverv i sit land.
21-03	Folkets vilje skal vaere grundlaget for regeringens myndighed; denne vilje skal tilkendegives gennem periodiske og virkelige valg med almindelig og lige valgret og skal udoeves gennem hemmelig afstemning eller tilsvarende frie afstemningsmaader.
22-00	Artikel 22.
22-01	Enhver har som medlem af samfundet ret til social tryghed og har krav paa, at de oekonomiske, sociale og kulturelle rettigheder, der er uundvaerlige for hans vaerdighed og hans personligheds frie udvikling, gennemfoeres ved nationale foranstaltninger og internationalt samarbejde og i overensstemmelse med hver stats organisation og hjaelpekilder.
23-00	Artikel 23.
23-01	Enhver har ret til arbejde, til frit valg af beskaeftigelse, til retfaerdige og gunstige arbejdsvilkaar og til beskyttelse mod arbejdsloeshed.
23-02	Enhver har uden forskel ret til lige loen for lige arbejde.
23-03	Enhver, der arbejder, har ret til et retfaerdigt og gunstigt vederlag, der sikrer ham selv og hans familie en menneskevaerdig tilvaerelse, og om fornoedent tillige til andre sociale beskyttelsesforanstaltninger.
