00-00	Sa' Yee Kitu Ke Nsay Yee Kum Ghay Wir Msong
00-01	Mo ki dzeen ki kiiyin ji viwir ve vir msong vi dze a fomo Nyuy wun a ji ghay nggang see kfee wir msong si dze kinseng ke vitaavi, suuyru wun a nyaang e kitu ke nsay,
00-02	Mo ta’nteng wun a nyaang fo ghay wir msonge ku dinen ne laayee a dze wo lii nyam se kwa’ wo wu bivirin vifii ve wiri wun a wong wo wiri ki ker fo a yu vijung ve kisungnin kee nggengger wun a Biimee, a`fo a dze la fan wun a fo kitan ki siin ki kiiyin ji dze a shii wo tavin wo wir dzem,
00-03	Mo ki dzeen e shii ji nser king a ghay wir msong fo wiri shwiiy kilong e wiy e rer si bi’ fo bo a yo’ dzee ker dzee yimo’ foo se vitu vev fo sa’ vitaavii wun a ne’si,
00-04	Mo ki dzeen e shii foo yii e vitum vi waa kongnen,
00-05	Mo wir vee Kintati ke vitum vee kitu ke nsayi ferin ne nser foo see biime yev e kum kinseng ke ghay wir nsong, foo din viwir wun a viku’uy ve wir, a virengreng ve lumen w`n wiiy, e kfen way wayin ji kikuuyi ke wong wun a Dze’em ye junge dze e mve vitaavi ve du’un vi,
00-06	Mo vitum ve dzeen nggang se Kintati ke vitum vee kitu ke nsay vi ka`an ne fo awunee vitu ji a wiy suusin wo’, e so fo wir dzem waa ker ghvem e kfen a lem nser see kum ghay wun a vitaavi ve wiri.
00-07	Mo wir dze`m kiiy ghay sin wun a vitaavi vin vi, ki dze e shii fo ngka’me ven waa dze eyiin,
00-08	Mo ki dzeen ben,
00-09	Dze’em Ye Ku’une
00-10	Nen fung
00-11	Sa’yee Kitu Ke Nsay Yee Kum Ghay Wir Msong Ren, ji mfi’ njiin yee reng fo wiri wun a vitum vi vidzem, e du e may jiwir wo’on mo’on wun a Vintati vee wong vi, mo a lem s’’a’ren ghan sidzem e vifii, a wiy a mum e mvem ye’ey wun a dungrii fo a tavir ghvem ghay sin wun a vitaavi vin vi, shishar shishar, e mvem wong wun akitu ke nsay fo yii, aa kiiy e kfen a lem kijuujung e mvem wir vee vitum ve dzeeng nggang si wun a wir vee vitum ve awune sar sa’ren vi.
01-00	1
01-01	A dzee wir dzem rengreng fo ghvem wun a fo ghay, a yo’ dzee wir msong ji kwan. Wir dzem km k fomo woo fo kwa’ti wun a fo vifii, a wu ker fo a yii e wumo’ woo wir moo fer ve.
02-00	2
02-01	Wir dem ker ghay wun a vitaavi vi vidzem mo sa’ rene suuyin la nya’ kin kum ram, nshom, kin lumen kin Wiiy, kin lam, biime yee kum Nyuy, dzee sa’, kwa’ti simo’si, kitum wun a ngke’ se dze’em si, keng, kidzeey kin anta’ amo’o.
03-00	3
03-01	Wir dzem ker vitaavi fo a dze e tin, foo yii mo wu ta’ a yii e kfen a dze e kingen.
04-00	4
04-01	Wir yo’ ker fo a lim vikwan, kin a lim lim yee la vikaane. Vikwan wun a mfiine wir msong, kin dze e dzee rene yo’ ker fo a dze.
05-00	5
05-01	A yo’ ker fo a nyavri e wir a yii kfee kinyo ke ki waa kin moo ji wir yo’ dze a wir bey.
06-00	6
06-01	Fo nser si, wir dzem ker ghay vire’ vidzem fo a yensin ji wir.
07-00	7
07-01	Wir dzem dze rengreng e sar nser. A nser ker fo a shiy wun rengreng la nya’. Nser ker fo a king wir dzem rengreng la nya’ e ghan se kinya’ ki neen ne e nen bve’ sa’ wir msong ren. La wir yo’ a bayir wiri ji a waa leey amo’o nteng.
08-00	8
08-01	Wir dzem ker ghay ji nser yee wong nee e wun kinyo, e tar kijung e ghan se wir /wiri bve’en nser ye wonge foon kin ye yi dzeen e ngwa’ nser woo wong, ji yi waa shiy wun/awune.
09-00	9
09-01	La wir yo’wiy koo wir e fin e lav, e ne’si kin e jum fo wong, a bo nser yee wong yo’ biime.
10-00	10
