00-00	Dunya Lahi Nuvuu Lonyisia Va
00-01	A jifa kiliyei na ke numu vuu kpelee ti maa hewulei lo towa kpaupau le laha va, tonya kee ndileli dunyihu.
00-02	A jifa ngawuleehu kee baagbuala nuvugaa ti lonyisia ma ti wanga a pie hindangaa na hii i wotea a nemahugili waa nuvuu ma, dunya ninahu mia mahoingo muvuu i gu i yepe kia ngi longola, kee ngi lanayei kee ngi lima hinda.
00-03	A jifa maa ii houni nu mu vuu i wote a ko gomo mahaya nyamu nyamu kee nduwo ya yeya, ke mahoingoe sawei i nuvuu lonyii mavale,
00-04	A jifa mahoingo ndiamoyei na ndolesialuahu i leguloma,
00-05	A jifa nungei nasia ti ndolei kpele ti woyilei na hu ti lanaya genga kolo yayilingoihu,
00-06	Kee nuvuu lonya, ngi nuvuu ya, ngi yeyei kee hindui taa nyahii ti lonyei maahewu lei, kee gboma ti ti lia yilinga ko yange yange kee ndevu yekpe la i le guloma.
00-07	A jifa ndolei nasia ti dunyi hu ti lahei wumbua a ngoyila koo ti to ke baago ma a yelo na nuvuu va kee ngi lonya ya va,
00-08	A jifa kiliyei yaa numu kpelehu hinda yayilingoi ji a lelo guloma,
00-09	Fale naa
00-10	Komewai na ta toli a
00-11	Genela Asembili
00-12	Ndenga Ye
00-13	Dunya Lahei ji nuvuu lonyinsia va i wote a ngaiki numui kpelee kee ndolei kpelee va nahii ke numu gbi oo ngoyila hugbate gbi na hinda yayilingoi ji ngi enmahu kpotu i lapi kpugu kpugu a numu gaalahu wie i to ke bagooma iye tonei jisia ma kee hugbemboi jisia nungei nasia weti yei ndoo kpele hugbatai ji hu, kee nasia ti ndolongaa hu nahi tii yee ndolo kpele hugbatei jisia bu.
01-00	1. Ngayilii Ye Ngilei
01-01	Numuvuisia Kpelee ta ti le te ye nduwo ya hu, tao ti nuvuu yei kee ti lonyi maa hewungo. Kiiya kee hindaluahu goola a yelo ti hun. Fale mahoungo ti ti nyonyohu hoi kia ndeegaa.
02-00	2. Ngayilii Ye Fele Yei
02-01	Hugbatei ji numu kpelee lo va, nu genyei, ngi luwu yegii, nyaha oo hindgo, nu layia, Ngewoi na a feli, ngi gilii yei, ngi le gi kee ngi gbate ii ma.
02-02	Tao maa ii houni nduahu ge i waa nungaa luahu jifa tii gbuani ndolo yilahu, oo jifa tia heini ti yekpe va oo tii yekpe va.
03-00	3. Ngayilii Ye Sawa Yei
03-01	Nuvuu gbi ngi lonya mia koo ndevu i ye ngi hu, koo aa ye nuu bu, tao koo mahungbee i ye ngi ma.
04-00	4. Ngayilii Ye Naani Yei
04-01	Maa ii houni ti numu gbi hou nduwoya hu, oo ti ngi waa monemone hinda hu, maa ii houni nuu maajia va nduwoya hu, tao gboma mahoungo nduwoyei ye keyi kgbi lekee i gboyo.
05-00	5. Ngayilii Ye Loolu Yei
05-01	Maa ii houni koo ti kpaagba hinda la nuu gbi ma, tao koo ti hinda wee a numu na a ke ke nuvuu yaa a ngie.
06-00	6. Ngayilii Ye Weita Yei
06-01	Nuvuu gbi lee ngi lonya mia koo sawei i baagoo ngi nuvuu ya ma mia leke gbi.
07-00	7. Ngayilii Ye Wofila Yei
07-01	Nuvuu kpelee ti maahewungoe sawei gulo, tao mahoungo sawei i ti mahu wee nahi gbi ee ti hu woyo. Mahoungo sawei i to ke hugbatei ji ee numugbi gbukpuu.
08-00	8 Ngayilii Ye Wayakpei
08-01	Nuu gbi ngi lonya mia koo sawa kpaambu ngaa yekpe ti ngi lonyei mavale a watii na ngi lonyi nasia ndoo jawei keni numu a nyani ngi ma.
09-00	9. Ngayilii Ye Taalui
09-01	Maa ii houni ti numu magba, ti ngi wu kpegbema oo ti ngi gbe ngi yee a baama hu we.
10-00	10. Ngayilii Ye Puui
10-01	Nuu gbi ngi lonya mia nahii ti la nyongaa ngi ma te i ngi maahinda gulanga kolehu oo i sawa kpoukpou nyaninga, koo ti ye njie na le fofohu, tao koo sawakpambu jein jein gongaa ti loo ngi va.
11-00	11. Ngayilii Ye Puu Mahuyelei
11-00	Nuu gbi ngi lonya mia nahi ti la nyongaa ngi ma hinda ngamu va, taa kiti lewe haani ti ye njie na le fofohu, tao ti jia a sawe panda pandaa.
11-01	Maa ii houni ti baa nuu gbi ma a sawahu wee – ndoo yila jawa yo oo ndunya kpelee jawa. Tao gboma maa i houni sawei i kpagbaa la nuu ma na kaahu lewengo sawei na ma i nyanini.
12-00	12. Ngayilii Ye Puu Mahufilei
12-01	Maa ii houni nuu i ye na nahi ta loko wili ngi bundu hinda hu, ngi ye peebu hinda, kolei kee ngowili na a pili ngitiwoma kia lee ti longola, kee kakpama a baagbuama hu we. Maa houngo sawei i nuu gbi maawee yee kakpamei ji bondayeya.
13-00	13. Ngayilii Ye Puumahu Sawei
13-00	Mahoungo numu gbi i ye hugbembo hu koo i li mia leke gbi ngi longo i li na, tao koo i hei ndoo gbi leke hu ngi longo i heihu.
