00-00	Declaracioun universalo di dre de l'ome
01-00	Article 1
01-01	Touti lis uman naisson libre. Soun egau perla digneta e li dre. An touti uno resoun e uno counscienci. Se devon tenifreirenau lis un 'me lis autre.
02-00	Article 2
02-01	Tout esse uman a touti li liberta e touti lidre prouclama dins aquesto declaracioun, senso ges li destria per de raso, decoulour, de seisse, de lengo, de religioun, d'ideio poulitico o d'autro meno,d'ourigino naciounalo o soucialo, de richesso, de neissenso o d'autricoundicioun.
02-02	En mai, se fara ges de destriamen foundasubre l'estatut pouliti, amenistratieu o internaciounau dou pais o de l'endrede la persouno, fugue aquel endre independent o sa soubeiraneta countourrouladoo limitado d'un biais o d'un autre.
03-00	Article 3
03-01	Cado persouno a dre a la vido, a la liberta,e a la segureta.
04-00	Article 4
04-01	Degun sara soumes a l'esclavitudo o a laservitudo. Es enebi en plen de teni d'esclau o de n'en faire coumerci.
05-00	Article 5
05-01	Degun sara soumes a la tourturo nimai a depeno o de tratamen crudeu, inuman o desgradant.
06-00	Article 6
06-01	Cadun a dre a la recouneissenso de sapersounalita juridico de pertout.
07-00	Article 7
07-01	Touti li gent soun egau davans la lei.Memamen an touti dre d'estre apara per la lei senso ges de destriamen. An toutidre d'estre apara parie contro tout so que vioularie aquesto declaracioun o quebutarie a la vioula.
08-00	Article 8
08-01	Touto persouno a lou dre de s'apela proche litribunau naciounau coumpetent. Aqueli ie devon l'eficaci e la devon defendrecontro lis ate que violon li dre foundamentau recouneigu per la lei e lacoustitucioun.
09-00	Article 9
09-01	Degun sara arresta, embarra vo eisila perarbitrari.
10-00	Article 10
10-01	Touti li persouno an lou meme dre de pleidejapublicamen sa defenso davans un tribunau que lis escoutara em'un esperitd'independenci e de justiso, que se prounounciara piei siegue toucant si dre esis oubligacioun, siegue toucant la foundamento de touto acusacioun contro eloen materi penalo.
11-00	Article 11
11-01	Touto persouno acusado d'un ate fautible es regardado coume innoucento jusco que fugue legalamen establido sa coupableta per un prouces publi. Dins aqueu prouces, touti li garantido necito a sa defenso ie saran estado pourgido.
11-02	Res sara coundana per d'ate o d'oublit qu'eron pas counsidera fautible segound lou dre naciounau o internaciounau quouro fugueron fa. Mai qu'aco, se pou pas coundana li gent en de peno mai forto d'aqueli que se poudien aplica quouro l'ate fautible fugue coumes.
12-00	Article 12
12-01	Se pou pas senso resoun valablo bouta lou nasdins la vido privado, la famiho, l'oustau o lou courrie di gent. Se pou nimaiataca soun ounour e sa reputacioun. Touto persouno a lou dre d'estre aparadoper la lei contro aqueli malafacho.
13-00	Article 13
13-01	Cadun a lou dre d'ana d'ounte vou, de planta caviho d'ounte vou dedins li raro d'un Estat.
13-02	Cadun a lou dre de quita un pais e lou sieu tamben. Cadun a lou dre de s'entourna au pais sieu.
14-00	Article 14
14-01	Quouro secutado, touto persouno a lou dre de cerca un recate dins d'autri pais e de lou prouficha.
