00-00	ADUNIYA KULU BORO DAAMA BEIYANIYOM
00-01	Ka simma nna buricinitere ka n boro ngwene iyaali bei nna daama duuri ka boro fo su hini ka hongu n se ya bara bongo duuri nna laakari kaniyom aduniya kuna,
00-02	Ka simma nna ka boro daama duuri bara hei fo ka sariya hima a ma ceruma ka boro morani nna tilaasi guruje nna meiyom berekete nna kwene boro futu,
00-03	Ka simma nna naane ka aduniya zamaa sariya nya dam daama duuri ga buricinitere nna boro jirima bongo nna kwene daama ka a gono weiboro nna haruboro ciyom afo gonouom kuna,
00-04	Ka simma nna ka bine a hima go rokasine henno ma gono ganna nna ganna ngmaaniyo binni n hanu kulu moojine kweiyom dirou ga,
00-05	Ka simma nna ka aduniya zamaa diya mariga beeri, tabataniyom meefo ceejiyom ka n baa aduniya ganna zamaa kulu ma to daama duuri hini ga nna a zaamani safu ngwaani ngwaani ka n damyom nna daama duuri ko ga a jirimani ko beiyom tontoni ceeji a bongo,
00-06	Ka simma nna ka aduniya zamaa marga beeri tutu ka nngayo ba mee cineyo kulu cii kawa boro ngwene aduniya daama duuri hini ga,
00-07	Ka simma nna ka meecineyo cimaniyo ya ba nam daama duuri gweiyo ma dira dei-dei,
00-08	aduniya zamaa mariga beiyani boro ngwene daama duuri adininya kuna gwei cirici ka a hima zaamani an kokari ka ci teente n ngmaare ba mani za couyom hini kuna beiyom ceejiyom, ga, boro kulu ma mee cine di ci a ngwene ganna zamaayom kulu mo ma duwa ka geeri tila cirici wo ga. Za ganna ngmaani ngmaaniyom kuna hali an to aduniya zama kulu.
01-00	ASARIYA SINTE (1)
01-01	Aduniya kuna n gu ibuna damayo hei no dei-dei nn daama nna n burucinitere fo, n lasabu nna laakari ya nam nn mo huro cere kuna nyanze tere bongoo.
02-00	ASARIYA HINKANTE (2)
02-01	Baa mei hima a ma gonna daama nna bongoo meiyom zanga ka daama bei beiyaniyom mee cine na a siriyani dimi fisou yo ma sii. A sii nna n ma ci wo no gaa kwaare wo no gaa bii wo no weiboro wo no haruboro.
02-02	A sii nna cine fisouyom; a sii nna adiini fisouyom a bine sii nna siyasa fisouyom.
03-00	ASARIYA HINZANTE (3)
03-01	Boro kulu gonna hunayom nna bongoo meiyom nna bongoo naaneyom daama.
