00-00	Adam khukuklarynyn ekhliumumy Deklaratsiyasy
00-01	Bash assembleya ekhliumumy parakhatchylygyn, adalatlylygyn ve azatlygyn esasy bolup duryan adamzat mashgalasynyn agzalarynyn khemmesine makhsus bolan mertebesini, den derezheli ve airylmayan khukuklaryny goz onunde tutup,
00-02	adam khukuklaryna bolan esgermezlik etmegin ve iigrenzhin adamzadyn vyzhdanyny gakhar-gazaba mundurien vagshychylykly kherekete getirmekligini ve adamlaryn beiik nietinin yglan edishi yaly adamlar soz ve pikir azatlygyna ee bolup, gorkudan ve metechlikden azat bolup yashar yaly dunieni gurmaklygy goz onunde tutup,
00-03	adam ozunin in sonky serishdesi khokmunde zalymlyga ve ezet berme garshy soveshe galmaga mezhbur bolmazlygyny upzhun  eder yaly adam khukuklaryny kanunyn guizhunin goramalydygyny goz onunde tutup,
00-04	Birleshen Milletler Guramasy oz Ustavynda adamyn esasy khukuklaryna, adamzat shakhsyetinin gymmatyna ve mertebesine, ve erkekler bilen ayallaryn den khukugyna bolan ynamyny ykrar etmegini ve ginishleiin azatlykda durmush shertlerinin govulanmagyna ve sotsial osushe yardam etmek baradaky kararyny goz onunde tutup,
00-05	Birleshen Milletler Guramasynyn agzalary-dovletlerin adam khukuklaryny ve esasy azatlyklary berzhai etmege ve ekhliumumy khormat etmege oz ustlerine alan borchlaryny goz onunde tutup,
00-06	shol ozlerine alan borchlary doly erine etirmekde shu khukuklaryn ve azatlyklaryn khesietini ekhliumumy dushunmekligin uly ekhmietinin bardygyny goz onunde tutup,
00-07	kher bir adam zhemgyetin kher bir guramasy khemishe shu Deklaratsiya esaslanyp, bilim khem-de ylym usti bilen shu khukuklara ve azatlyklara khormat goimaklyga yardam etmege chalyshmaklary uchin, ve milli khem-de khalkara progressiv cherelerin usti bilen, ve olary dovletlerin – Guramanyn agzalarynyn khalklaryn arasynda-da, olaryn yurisdiktsiyasynyn astyndaky khalklaryn cheginde-de ekhliumumy ve netizheli ykrar etmekleri ve amala ashyrmaklary uchin shu Adam khukuklarynyn ekhliumumy Deklaratsiyasyny khemme khalklaryn ve dovletlerin erine etirmege chalyshmaly vezipesi khokmunde yglan edier.
01-00	1-nzhi MADDA
01-01	Khemme adamlar oz mertebesi ve khukuklary boyuncha den yagdaida dunie inierler. Olara an khem vyzhdan berlendir ve olar bir-birleri bilen doganlyk rukhundaky garaiyshda bolmalydyrlar.
02-00	2-nzhi MADDA
02-01	Kher bir adam shu Deklaratsiyanyn yglan edien khemme khukuklarynda ve azatlyklaryndan zhynsyna, renkine, ayal-erkekligine, diline, syyasy ya-da bashga garaiyshlaryna, milli ya-da sotsial gelip chykyshyna, bailygyna, gatlagyna ya-da bashga yagdaiyna seretmezden den derezhede peidalanmaly.
