00-00	TSlykhu Khuefashchekhem Teukhua Duneipso Dzhepsale
00-01	Duneepsteu Keral Zegokhenygem (DKZ) i Zefesym egeIu;
00-02	Duneepsteu tsIyfygem kykhiubytere khetre zy tsIyfi zegokhenygi;
00-03	my dzhepsaler sydigui yanegu kIagetyze, myshch kyshchykheshchyre tsIyf feshuashekhemre fitynygekhemre yaneIe zeretyragetyrem, fashIyre lytenygem egedzhenyge-gesenyge gogukIe zyrageuzhyneu;
00-04	khegegu kIotsIkhemi duneepsteumi kIo kesmi nakhy zyshchyzyuzhyre amalkher zyfageshkhepeze my zegokhenygem khet keralkhem ezhyme yalepkkheri, yaunasho kIagetyre nemykIre keralme yalepkkheri kyzekIiubyteu, duneepsteum i tedere chIapIi my tsIyf feshuashekhemre fitynygekhemre kyshchashchtenym, lesheu shchyzeragekIonym, shchagetsekIenym fekudyinkheu,
00-05	tsIyf feshuashekhem afegekhygeu tsIyf zhugekhemi lepkkhemi yazefede ideal
00-06	shapkhekher kezygeutsure my duneepsteu dzhepsaler.
01-00	1-nere pychygu
01-01	TSIyf psteuri shkhefiteu, yalytenygere yafeshuashekhemrekIe zefedeu kalfy. Akylre zekheshIykI guazere yaIeshy, zyr zym zekosh zekhashIe azfagu deleu zefyshchytynkhe fae.
02-00	2-nere pychygu
02-01	Khetre tsIyfi zefedeu fit my dzhepsalem khet tsIyf feshuashekhemre fitynygekhemre zyfigeshkhepeneu, zyshchyshch rasem, ysho, bzylfyge-khulfygeu zereshchytym, ybze, yIyg dinym, politichne e nemykIre eplykIeu iIem, lepkeu e tsIyf kupeu kyzykhekIygem, mylkou iIem, kyzyshchalfygem emylytygeu zekhedzyncheu, fegekIotenygencheu.
02-02	Ashch nemykIeu, keral shkhefiti, nemykIym iunasho kIeti, zyshkhefityzhnyge (avtonomie) zimyIi, nemykIreu zy shkhefitynyge lakhe zyteli, syd federe keralym itsIyfeu shchytmi khetre tsIyfi zekhedzynyge fashIy khushchtep zyshchyshch keralym ipolitichne e yuridicheske sisteme e duneepsteu keralkhem azfagu shchyriIe statusym kykhekIeu.
03-00	3-nere pychygu
03-01	Pseunyr, shkhefitynyr, shchynegonchager kheti ifeshuash.
04-00	4-nere pychygu
04-01	Kheti pshchylIeu plyte e pshchIylIypIe ibgety khushchtep, syd fede shIykIeui pshchylIyger, pshchylI shchen-keshchefynyr zymi febde mykhuneu kody.
05-00	5-nere pychygu
05-01	Kheti leshyge epkhelIe khushchtep, zhalymygekIe, tsIyfygem kemyzegeu e inape zygeuliin fedekIe udezekIo, ashch fede tazyr teplkhe khushchtep.
06-00	6-nere pychygu
06-01	Kheti feshuash tedere chIapIi tsIyfeu, yuridicheske litsou kyshchalyteneu.
07-00	7-nere pychygu
07-01	Khetre tsIyfi keral khabzem ipashkhe shchyzefed ykIi keral khabzem  keukhumenygekher zekhedzyncheu, yazefedeu zyfageshkhepeneu fit. Kheti zekhedzyncheu, zefedeu feshuash my dzhepsalem kemyzegeu, zekhedz zykhel IofshIashokhemi, ashch fede IofshIashome syd fedeui ategegushkhonmi kyshchaukhumeneu.
08-00	8-nere pychygu
08-01	Khetre tsIyfi fitynyge iI khabze shkheIem e keral khabzem kyripesyre tsIyf feshuashekher zyukore IofshIasho kyzekhulIekIe fitynyge ziIe ukhyyakIokhem zafigezeneu, zykarigeukhumeneu.
09-00	9-nere pychygu
09-01	Khetre tsIyfi lazhe imyIeu aubyti, agetIysi, egezygekIe nemykIre chIapIe afi khushchtep.
10-00	10-nere pychygu
10-01	Khetre tsIyfi fitynyge iI ifeshuashekhemre ipsherylkhemre aukhesy ykIi ezhym zy lazhe kytyralkhe zykhukIe zymi shIomylIykIeu, zymi iunasho kIemyteu, zymi imytelkheu shchyt ukhyyakIo shkhefit psefityr zefagekIe ykIi nafeu iIof rigeplyneu feeneu.
11-00	11-nere pychygu
11-01	Zy lazhe/shIepkhedzhage zytyralkhere khetre tsIyfi ziukhyizhynym pae zyfenykoshcht shchynegonchagekher zyshchigotyneu shchyt ukhyigo nafem ikIeukheu, keral khabzem teteu agekonchafekIe khyeu kalyte, mykhyyasho kyraplyrep.
11-02	Kheti agekuanche khushchtep, zeshIe lekhanym keral khabzekIe e duneepsteu khabzekIe shIepkhedzhageu amylyteshchtyge zy Iof zerishIagem e yshIapkheu kashchykhu gore zerimyshIagem kykhekIykIe. Kheti shIepkhedzhage zeshIem fegeutsugeu shchytyge tazyrym nakhybe tyralkhe khushchtep.
12-00	12-nere pychygu
12-01	Khetre tsIyfi i geshIe unae, iunago, iune e zerezerashIekhere shIykIekhem shkheusygoncheu zyri kykheIebe khushchtep, inape, ytsIe keIuse khushchtep. Kheti fitynyge iI myshch fede kykheIebenygekhem keral khabzekIe zykashcharigeukhumeneu.
13-00	13-nere pychygu
13-01	Khetre tsIyfi fitynyge iI zy khetre zy kerali ichIynale shkhefiteu shchyzekIoneu, shchypseuneu.
13-02	Khetre tsIyfi fitynyge iI ezhy ikerali akheteu tedere kerali ikoshchykIyneu ykIi ikIerykIeu kygezezhyneu.
14-00	14-nere pychygu
14-01	Khetre tsIyfi fitynyge iI zhalymyge/lye kyrakhyneu zykhurem, nemykIre keral yshkhe rigezyneu, shkheegeznyge amalkher zyfigeshkhepeneu.
14-02	Au ishypkapIekIe politichneu shchymyt shIepkhedzhagekhem e duneepsteu keral zegokhenygem imurad, ibzypkhekhem kemyzegre IofshIashokhem kakhekIyre deodapshekhemkIe my fitynyger zyfebgeshkhepe khushchtep.
15-00	15-nere pychygu
15-01	Khetre tsIyfi fitynyge iI zy keralym itsIyfeu shchytyneu.
15-02	Khetre tsIyfi zitsIyfeu shchyt keralym shkheusygoncheu khebgekIy e nemykIre keralym itsIyf khuneu iIe fitynygem khebgeny khushchtep.
16-00	16-nere pychygu
16-01	Zynybzh ikuge khetre bzylfygi khulfygi fitynyge iI kyzykhekIyge lepkym, zitsIyfeu shchyt keralym e dineu yIygym kykhekIeu zy peryogui kyfemyutsou, fiteu kyshcheneu, dekIoneu, unago yshIeneu.
16-02	Zereshchen-zedekIonym fegekhyge zezegnyger (nechykher), zereshcheshcht-zedekIoshchtkhem ezhme ya shkhefitynyge shypkere yashIoigonyge ikurekIe agepsy.
16-03	Unaguer, tsIyfybe-lepk pseukIem i lebzhe shkhaIeshy, ar tsIyf zhugemi keralymi keukhume.
17-00	17-nere pychygu
17-01	Khetre tsIyfi fitynyge iI ezhym iunaeu e nemykIrekher iIekhegou mylku zrigeIeneu.
17-02	Khetre tsIyfi shkheusygoncheu imylku kyIypkhy e khebgeny khushchtep.
18-00	18-nere pychygu
18-01	Khetre tsIyfi gupshyse, zekhashIe ykIi din fitynyge iI. My fitynygem kyzekIeubyte izakou e kupeu, nafeu e unaeu (shefeu) itkhafeIoryshIenkher, idinkIe shIapkhekher nerylegou arigeshIen, ygezekIen fitynygeri.
19-00	19-nere pychygu
19-01	Khetre tsIyfi fitynyge iI zerefaeu gupshyseneu, igupshysekher kyIoteneu. My fitynygem kykheubyte tsIyfyr igupshysekhem feshIykIe zymi kymygegumekIyneu, keralygo gunapkekhem yamylytygeu shIenygekher, gupshysekher syd federe gogukIi kylykhon, kygotyn, zyIerygekhen fitynygeri.
20-00	20-nere pychygu
20-01	Kheti fitynyge iI Ieshencheu, zeo-benencheu zefesyneu, khase zekhishcheneu, zekheshchege khasem khekheneu.
20-02	Kheti zy khase khekheneu ebgezy khushchtep.
21-00	21-nere pychygu
21-01	Khetre tsIyfi fitynyge iI zankIeu ezhym e fiteu kykhikhyge lIykIome yaIekIe keralym izegekIon Iofkhem akhekheneu, akhelezheneu.
21-02	Khetre tsIyfi fitynyge iI ikerali tsIyf zhugemi Kyfyzerigepeshre amalkher zekhedzyncheu, psteumi afedeu zyfigeshkhepeneu.
21-03	Khykumet Ieshkhetetnygem ilabzher keralym i tsIyf zhugem ishIoigonyg ary. A shIoigonyger kenafe shef shIykIem tet khekhynyge fit zafekheu e tsIyfme yashIoigonygekher shkhefit-psefiteu kyzeregelegoshushcht nemykIre shIykIekheu, zynybzh ikuge tsIyf psteumi afyzeIukhygeu, yaIeIetkhemi zefede kIuachIe yaIeu, pIele genefagekIe kytyragezezhyrekhemkIe.
22-00	22-nere pychygu
22-01	TSIyf zhugem zereshchyshchym elytygeu khetre tsIyfi sotsialne keukhumenyge feshuash. Keral kIuachIekIe e keralygome yazedeIepyIekIe ykIi khetre kerali ezhym igepsykIere iamalkhemre yalytygeu khetre tsIyfi fitynyge iI inapere itsIyfygerekIe gupsefeu zereziuzhyn ylekIyshcht ekonomike, sotsialne ykIi shIenkhabze IofkIe zyfenykoshcht amalkher ragegotyneu.
23-00	23-nere pychygu
23-01	Khetre tsIyfi fitynyge iI lezheneu, fiteu iIof kykhikhyneu, zefagekIe ykIi feshIu amalkhemkIe lezheneu ykIi Iofynchagem kyshchaukhumeneu.
23-02	Khetre tsIyfi fitynyge iI zekhedzyncheu zefede Iof feshI zefede uase kyratyneu.
23-03	Khetre tsIyfi fitynyge iI ezhyri iunagui tsIyfym feshoshen pseukIe iIeu zygepseun, ishchykIage khume zylyIesyshuneu shchyt syd Feder sotsialne keukhumenygekhemkIe kIegepytageu zy pseukIe amal kezytyn zylekIyneu zy lezhepkIe feshIu kyIerykheneu.
23-04	Khetre tsIyfi fitynyge iI ezhy ishIuage pae khase (profsoyuz, sendike) zekhishcheneu, ashch fede zekheshchagem khekheneu, khetyneu.
24-00	24-nere pychygu
24-01	Khetre tsIyfi fitynyge iI zigepesefyneu, ynegu zyrigeuzhyneu, psteumi afemydeu ilezhegu pIale tsIyf feshuashe shapkhem iteu kyfagepsyneu, pIele genefagekIe ilezhapkIi kyratyze gepsefakIo dekIyneu.
25-00	25-nere pychygu
25-01	Khetre tsIyfi fitynyge iI ezhyri iunagui uzynchen, tkhego feshuashe iIeu pseun pae shkhynygo, shuashe, une ykIi meditsinske IepyIegu ygotyneu. Kheti fitynyge iI, Iofynchage, symedzhage, fykuage, lIygobage, shuzebage, zhyge ykIi ezhym imyIeshIage Iofygome kakhekIeu amalynchage, tkhemykIage kylyseu shchytme kaukhumeneu.
25-02	Nykhemre sabiykhemre fitynyge yaI yalyeu kykIelyplynkheu, kydeIepyIenkheu. Zereshchege zelI-zeshuz ibyneui zemyshkheguseme kalfygeui shcheret, saby psteumi a zy sotsialne keukhumenyge amalkher yazefedeu afageshkhape.
26-00	26-nere pychygu
26-01	Khetre tsIyfi fit gesenyge zerigegotyneu. Anakh makIeme peuble ykIi lebzhe gesenyger akhshchencheu aragegoty. Peuble gesenyger uimyIenkIe amal imyIeu, egezygou shchyt. Tekhnike ykIi IeshIage gesenyger kheti fyzeIukhygeshcht. Apshere gesenyger zekhedzyncheu kheti fyzeIukhygeu shchytyn fae ezhym isenaush (talant) elytygeu.
26-02	Gesenyger tsIyfym itsIyfygem ikou zyrigeuzhynym feshIou gepsygeu ykIi tsIyf feshuashekhemre fitynyge shkhaIekhemre afashIyre uaser, lytenyger ygeleshynym, kIigepytenym feunetIygeu shchytyn fae. Gesenygem tsIyfkher rigegushIun fae rase psteumi, lepk psteumi, din kup psteumi azfagu gulyte, zeguryIo, zefeshIunyge, zenybdzheguge delyneu ykIi mamyrnyger kyukhumenym pae Duneepsteu Keral Zegokhenygem rigekIokIyre lezhygem zyrigeuzheu shchytyn fae.
26-03	Sabiyme aragegotyshcht gesenyger zyfedeshchtyr kykhezykhyneu fityr, psteumi apereu yanere-yatere ary.
27-00	27-nere pychygu
27-01	Kheti fitynyge iI tsIyf zhuge shIenkhabze pseukIem fiteu khekheneu, khelezheneu, guazdzher zyfigeshkhepeneu, shIenyge zyuzhynygem khelezheneu ykIi ar zyfigeshkhepeneu.
27-02	Kheti fitynyge iI ezhym kygeshIyge shIenyge, zhabze (literature), guazdzhe IeshIagekhem mylkou, pkIeu, uaseu, lytenygeu kapakIorer kyfaukhumeneu.
28-00	28-nere pychygu
28-01	Kheti feshuash my dzhepsalem kyshchykheshchyre tsIyf feshuashekhemre fitynygekhemre zeragetsekIeshuneu zy sotsialne ykIi duneepsteu gepsykIe sisteme shchyIeneu.
29-00	29-nere pychygu
29-01	Kheti ezhy itsIyfyge fiteu ykIi ikou zyrigeuzhyneu amal kezytyre tsIyf zhugemi keralmi fishIezhyn faeu psherylkher iIekh.
29-02	Kheti ifeshuashekher zyfigeshkhape ykIi ifitynygekher zerikhe zykhukIe, nemykImi yafeshuashekhemre yafitynygekhemre afaden, akheme lytenyge kafegeshIygen ykIi demokraticheske tsIyf zhugem zedyriIe shenkhabzer (etiker), tsIyf zhuge gepsykIer, shchyIakIer egeshIokIonym iamalkher keukhumage khunym pae feshIeu keral khabzekIe agenefage gunapkeme yapkhygeu shchytyshcht.
29-03	Sydeushchteui orekhu, my tsIyf feshuashekhemre fitynygekhemre zyfebgeshkhepe, zepkhe khushchtep Duneepsteu Keral Zegokhagem i guryl-guryshIekhemre ibzypkhekhemre (printsipkhemre) adimyshteu, apeshIuekIou.
30-00	30-nere pychygu
30-01	My dzhepsalem kykhiubytere zy khebze geutsugi zygurybgaIo khushchtep myshch kyshchiIotykIyge khebze geutsugeme ashchyshch gorer yIetyneu, iukoneu khetre zy kerali, kupi, nebgyri fitynyge rity fedeu.
