00-00	Yonda ciendo le hakilan wanaciewo
00-01	Te o wa pa, a laalando a num pla le yugoo faw o pulalen ni a haki ndaa vellaa velle, o wana tEEnbu le o, ndu cio tumdo ni le malnOndo, a senduwo, a kol Muloo sOlaa o ciendo ni.
00-02	Te o wa pa, ma kE wanathyeyEyi cEucEuvo kEwo sina, a kEwo ndu hEnando, ndu nOn hunOn a delOOcoo ni mi wanda faMa, ndu tosa saboo wElE ni mi wada sOla kul Muloo, le waa ba daa cio le sanga wOOdo ciolabaa.
00-03	Te o wa pE, a wanaceu cEucEuvo a kangalan ngo cio ni, o kon ni mE mi lingden nde wa bendaa ni tOngdo kOOli pindo, kon nOn tosaa ni mi wanda kEE nufia le nda pla i kayi, ma tosa baara o lingden o kul ndyadaa ni.
00-04	Te o wa pE, mi naan kenan balan le bEndaa ciOOluo lOyOO lingdo tE,
00-05	Te o wa pE, lingi cio o “ONU” bEnda bEndo ni, mi ndaa yOngu diyom daa a n’cio wanathyeo kadaa, ma ciEucEu ndu mi siingu wanapOnOn a wanalanOn vellaa velle,
00-06	Te o wa pE, aa lingi cio lenni nda, nda cEl pE a ‘‘ONU’’ kO, le bEnda ciEdo ho, a waa ba numdo cio a biyOO a balan tan ciOn pE,
00-07	Te o wa pE, a yian pilOO nan nOn ni, le hakilan dan a wa ba numdo thyo o tosaa mEE naan dimi yE,
00-08	BOOngian kundaa
00-09	yiyan kudaa wanda tu, a ME lingdon le cio nufia wo o benda naan ni, miyonda kon wa bE tu le bol, le lOO lOO, o kon kOOly mE mi bEtu kinding a kalando kOOly a kaala kEndan kOOly le hakilan lan a malaa thEuthEuvo le kOlan laci, o kon ni mi bEElen le tosang o lingi nayini a lingy kEkE cio o kundaa kalaa ni.
00-10	Yonda ciEdo le hakilan wanaciEwo
01-00	TOng 1
01-01	wanda tu cio ME pilOO o wolOO ni, le waa o ba ndOO cio, o bEElen kenando ni, o tOngdo ni, bEtu nOn yiyando a kullo, o kon ni naan tu dua mim maalyan kalapilOyEyi ni.
02-00	TOng 2
02-01	wana wana dua mo wa tOng cEucEu wanaciE wo bEngu, mEE mEE suu numdo ciE, mEE mEE diyallonumdo ciE, mEE mEE tOng le lingdo ciE, a naa naa nda wellu numda ciE.
03-00	TOng 3
03-01	kul wana wana dua mo sOla kidaa, le waa wElE o ba dOO cio, le boten ndOlencEucEu vo.
04-00	TOng 4
04-01	wana wana dua mo wa ciElen bEngu le, mo wa sawo wana celen bEngu le, o kon ni ciElen nde kuunang a yulalen dOlen wElE.
05-00	TOng 5
05-01	wOulen kE kE duama andun wanaciEu ciEyo le, y pala du woo, y dOOniMa wElE ndu woo.
06-00	TOng 6
06-01	n’dua minsina wanaciEyEyi le wana wana o tOngdo hOlba ba o wa pE.
07-00	TOng 7
07-01	bEtu cio biyOO pilO ni tOngdo hOl, mo mala wElE bEtu, wanna fisa wElE cian tE ndo hOl.
08-00	TOng 8
08-01	bEtu dua mo bi seyi tOng le lindo, te o pilan num pE tana pE, te o cio kOlan ngo nEyo cioo le.
09-00	TOng 9
09-01	wanna bi tyandO lende naa le, ma loyEi ndu o kaaso ni, ma tow ndu o lingi nduwEy ni fuu.
10-00	TOng 10
10-01	kangalan mEE mi suwEyi wanacieo wa o diyandaa, mo wa wagba diiyo kOOly o ciEyi kitiyo ni, le haki dO a yaala dO sina.
11-00	TOng 11
11-01	Wana wana tOngdo by o sikaa kOOly, wana kon dua binu maa i nduEyi cio lening te, haan ma kero yabayo kerung, ma ke ndu diiyo te o tyo kon te ma yaala du.
11-02	Wana wana biinun pE tOng paando tEEmbuo kOOly, wana doi ma biinun ndu le kity tOng sEnEyo le, pEEgu biyOOdo dua mo yiu haki kiti paando le.
12-00	TOng 12
12-01	wanna doi ma lOyi o suEyi playe ni te, o wa pE suEyi pulalen ndOlen pE, o wa pE sun dO vinan wElE pE, a sun lungdo wElE pE, o doi ma sOla kul palaa kE kE o lan ning te, te kun wa pE, tOngdo doi kada bE tu o sun wa lende ni.
13-00	TOng 13
13-01	kOlan nga hOnOO kumbiya wagba le bE tu o lingden ni, naa naa nyEnan wElE pE a doi ma thianun don.
13-02	Wana wan cio o ba dOO cio le fagandO o lingden ali o wa lingi nduEyi pE, ma muugu wElE o ndu lo.
14-00	TOng 14
14-01	Te sOn delOOcio ying pE, a tiuba ma kuwE o lingy cielen ni le kidaa sOlaa, wanaa kan dua ma kEE num te.
14-02	tOngdo ho cio le wando ho le, o tEEbu tOng lingi ndoEyi mo sOndan.
15-00	TOng 15
15-01	bE tu dua mo wa o lingden ma polelingdo,
15-02	wanna kuuna du polelingdo sOlaa le, o kon ni, o tiwba mo sOlaa poleling dole lingden ciElen.
16-00	TOng 16
16-01	te wOsilan felegbOaa tiiya pE nOw pE, a tiwba nang o nOw ni, suwEyi suu hElyo kon ni te a suwEyi diinayi wElE cio kon ni te, le lan bE tu thyo vellaa velle tOngdo laci,
16-02	nOw djinun niya MOn tEn te fo mi la ciyEl,
16-03	yungoo, naa pla tEn ngo fula ni nOw kOOli, lelan n’dua mi gbagba ndaa o lingden ni
17-00	TOng 17
17-01	wanna wa pE kundaa tEn pE, te o cio kon te, mo wa wanapilEyEi ni, o nOn hakiyo le sOla le ndu pla.
17-02	ME wanna dua ma puu ndoo ba kafalan cio le.
18-00	TOng 18
18-01	bEtu nOn hakiyo le waa o ba dO cio, le yiyando, le kOlo sOlaa le diinayo mE o hEnang yE, o nOn wElE hakiyo le Yiyan dO a diina dO kon singafila mE o yEnang yE,o kundaa tEn kaa mo wanapilEYEi ni.
19-00	TOng 19
19-01	bEtu nOn hakiyo le waa malaa ni le Yiyan dO ciOOmuo, kon thyOm ni ma ciyogi doi ma bii ndu le o Yiyan ndO kon te, kon cio sEngindo wElE babba a nEilan siyaama mo tang wElE pEEngu le lingdon tu.
20-00	TOng 20
20-01	bEtu nOn hakiyo le bcngiyando a kunda kul Muloo tosa.
20-02	Wanna doi mo luwEyi ciandO o kundaa ni kalan te.
21-00	TOng 21
