00-00	IHMISOIKEUKSIEN YLEISMAAILMALLINEN JULISTUS
00-01	Kun ihmiskunnan kaikkien jaesenten luonnollisen arvon ja heidaen yhtaelaeisten ja luovuttamattomien oikeuksiensa tunnustaminen on vapauden, oikeudenmukaisuuden ja rauhan perustana maailmassa,
00-02	kun ihmisoikeuksia on vaeheksytty tai ne on jaetetty huomiota vaille, on tapahtunut raakalaistekoja, jotka ovat jaerkyttaeneet ihmiskunnan omaatuntoa, ja kun kansojen korkeimmaksi paeaemaeaeraeksi on julistettu sellaisen maailman luominen, missae ihmiset voivat vapaasti nauttia sanan ja uskon vapautta sekae elaeae vapaina pelosta ja puutteesta,
00-03	kun on vaelttaemaetoentae, ettae ihmisoikeudet turvataan oikeusjaerjestyksellae, jotta ihmisten ei olisi pakko viimeisenae keinona nousta kapinaan pakkovaltaa ja sortoa vastaan,
00-04	kun on taehdellistae edistaeae ystaevaellisten suhteiden kehittymistae kansojen vaelille,
00-05	kun Yhdistyneiden Kansakuntien kansat ovat peruskirjassa vahvistaneet uskonsa ihmisten perusoikeuksiin, ihmisyksiloen arvoon ja merkitykseen sekae miesten ja naisten yhtaelaeisiin oikeuksiin ja kun ne ovat ilmaisseet vakaan tahtonsa edistaeae sosiaalista kehitystae ja parempien elaemisen ehtojen aikaansaamista vapaammissa oloissa,
00-06	kun jaesenvaltiot ovat sitoutuneet edistaemaeaen, yhteistoiminnassa Yhdistyneet Kansakunnat -jaerjestoen kanssa, ihmisoikeuksien ja perusvapauksien yleistae kunnioittamista ja noudattamista, ja
00-07	kun yhteinen kaesitys naeiden oikeuksien ja vapauksien sisaelloestae on mitae taerkein taemaen sitoumuksen taeydelliselle toteuttamiselle,
00-08	Niin sen vuoksi
00-09	YLEISKOKOUS
00-10	antaa TAeMAeN IHMISOIKEUKSIEN YLEISMAAILMALLISEN JULISTUKSEN kaikkien kansojen ja kaikkien kansakuntien tavoiteltavaksi yhteiseksi ohjeeksi, jotta kukin yksiloe ja kukin yhteiskuntaelin pyrkisi, pitaeen alati mielessaeaen taemaen julistuksen, valistamalla ja opettamalla edistaemaeaen naeiden oikeuksien ja vapauksien kunnioittamista sekae turvaamaan jatkuvin kansallisin ja kansainvaelisin toimenpitein niiden yleisen ja tehokkaan tunnustamisen ja noudattamisen sekae itse jaesenvaltioiden kansojen ettae niiden oikeuspiirissae olevien alueiden kansojen keskuudessa.
01-00	1. artikla.
01-01	Kaikki ihmiset syntyvaet vapaina ja tasavertaisina arvoltaan ja oikeuksiltaan. Heille on annettu jaerki ja omatunto, ja heidaen on toimittava toisiaan kohtaan veljeyden hengessae.
02-00	2. artikla.
02-01	Jokainen on oikeutettu kaikkiin taessae julistuksessa esitettyihin oikeuksiin ja vapauksiin ilman minkaeaenlaista rotuun, vaeriin, sukupuoleen, kieleen, uskontoon, poliittiseen tai muuhun mielipiteeseen, kansalliseen tai yhteiskunnalliseen alkuperaeaen, omaisuuteen, syntyperaeaen tai muuhun tekijaeaen perustuvaa erotusta.
02-02	Mitaeaen erotusta ei myoeskaeaen pidae tehdae sen maan tai alueen valtiollisen, hallinnollisen tai kansainvaelisen aseman perusteella, johon henkiloe kuuluu, olipa taemae alue itsenaeinen, huoltohallinnossa, itsehallintoa vailla tai taeysivaltaisuudeltaan minkae tahansa muun rajoituksen alainen.
03-00	3. artikla.
03-01	Kullakin yksiloellae on oikeus elaemaeaen, vapauteen ja henkiloekohtaiseen turvallisuuteen.
04-00	4. artikla.
04-01	Ketaeaen ei saa pitaeae orjana tai orjuutettuna, kaikki orjuuden ja orjakaupan muodot on kiellettaevae.
05-00	5. artikla.
05-01	Ketaeaen ei saa kiduttaa eikae kohdella tai rangaista julmasti, epaeinhimillisesti tai alentavasti.
06-00	6. artikla.
06-01	Jokaisella ihmisellae on kaikkialla oikeus siihen, ettae haenet henkiloenae tunnustetaan lain edessae.
07-00	7. artikla.
07-01	Kaikki ovat tasavertaisia lain edessae ja oikeutetut erotuksetta yhtaelaeiseen lain suojaan. Kaikilla on oikeus tasavertaiseen suojaan taetae julistusta loukkaavaa syrjintaeae vastaan sekae kaikkea sellaiseen syrjintaeaen taehtaeaevaeae yllytystae vastaan.
08-00	8. artikla.
08-01	Jokaisella on oikeus tehokkaaseen hyvitykseen asianomaisessa kansallisessa tuomioistuimessa haeneen kohdistuneista teoista, jotka loukkaavat haenelle valtiosaeaennoellae tai lailla turvattuja perusoikeuksia.
09-00	9. artikla.
09-01	Ketaeaen ei saa mielivaltaisesti pidaettaeae, vangita tai ajaa maanpakoon.
10-00	10. artikla.
10-01	Jokaisella on taeysin tasa-arvoisesti oikeus siihen, ettae haentae oikeudenmukaisesti ja julkisesti kuullaan riippumattomassa ja puolueettomassa tuomioistuimessa haenen oikeuksiaan ja velvollisuuksiaan maeaeraettaeessae tai haentae vastaan nostettua rikossyytettae selvitettaeessae.
11-00	11. artikla.
11-00	Jokaisen rikollisesta teosta syytteessae olevan henkiloen edellytetaeaen olevan syytoen siihen asti kunnes haenen syyllisyytensae on laillisesti todistettu julkisessa oikeudenkaeynnissae, jossa haenelle turvataan kaikki haenen puolustustaan varten tarpeelliset takeet.
11-01	Ketaeaen ei pidae tuomita rangaistavaksi teoista tai laiminlyoenneistae, jotka eivaet kansallisen tai kansainvaelisen oikeuden mukaan olleet rikollisia tekohetkellae. Myoeskaeaen ei pidae tuomita ankarampaan rangaistukseen, kuin mikae oli sovellettavissa rangaistavan teon suoritushetkellae.
12-00	12. artikla.
12-01	Aelkoeoen mielivaltaisesti puututtako kenenkaeaen yksityiselaemaeaen, perheeseen, kotiin tai kirjeenvaihtoon aelkoeoenkae loukattako kenenkaeaen kunniaa ja mainetta. Jokaisella on oikeus lain suojaan sellaista puuttumista tai loukkausta vastaan.
13-00	13. artikla.
13-00	Jokaisella on oikeus liikkua vapaasti ja valita asuinpaikkansa kunkin valtion sisaellae.
13-01	Jokaisella on oikeus laehteae maasta, myoes omasta maastaan, ja palata maahansa.
14-00	14. artikla.
14-00	Jokaisella vainon kohteeksi joutuneella on oikeus hakea ja nauttia turvapaikkaa muissa maissa.
14-01	Taehaen oikeuteen ei voida vedota, kun on kysymys tosi epaepoliittisista rikoksista johtuvista syytteistae tai teoista, jotka ovat vastoin Yhdistyneiden Kansakuntien periaatteita ja paeaemaeaeriae.
15-00	15. artikla.
15-00	Jokaisella on oikeus kansalaisuuteen.
15-01	Keltaeaen ei saa mielivaltaisesti riistaeae kansalaisuutta eikae evaetae oikeutta kansalaisuuden vaihtamiseen.
16-00	16. artikla.
