00-00	XIXE BLIBOA BE GBEFANDEDE SO AMEBUSEWO ALOGODOEJSEWO NGTI
00-01	Ke e nyi be jesinana agbeto xomeviwo kpata le woabe nujonunyinyi ku le woabe godoejisiwo alo amebusewo be gbesoeme madevide le eme ye nyi ku Fafa alo tujanyi le xixea me a;
00-02	Ke e nyi be amebusewo, gedojisewo majesi kudo woabe makanmana woe donna gbelan be hunyra wonawo kawoe zinzinna agbeto be cicinya va a, eye ne agbeto b'a vo le nupopo po ku nujixose me a, ke e nyi be vonvon soyi kume nggba le e ji o a yenguti wo degbefan so xixe bunguku me be jojo ke la no sigbe jiji wuta jijiwo kpata le amegbetowo be jijiwe me a;
00-03	Ke e nyi be e le vevede be dodo toxe dewo la no xo akpo ne amebuse kea woa, godojise kea woa, ne nggba va nyi be ke e jo va gloe kpatataa, agbeto la jeagla, la fongu do nukengutia hunyra so do lannuwowome ku amejizinzin jo va wugan, jo va flaa, jo va glo a;
00-04	Ke e nyi be enu tajito ba nyi be wo do la de ngsen abokame ne dukonwo le xlonnyinyi be ka ke le woa dome a;
00-05	Ke e nyi be le gonme dose a me a dukon bladoduwo b'amehawo gbigbo le te, le zingbe do e ji le woabe jixose so nujojoe tajitowo ke kudo agbeto ngti, le yebe nujonun yinyi kudo yeb'asixoxo me, le de gblon ku kandoji be yewoa wo ye amesia be ngkoyiyi le jijeje me a la zon do e ji kpe. Eye yewoa na ye agbenono dohwin be wonawo la se axwe le vosinono gande me le amebusewo be gbesoe me le ngsuwo ku nyonuwo dome a;
00-06	Ke e nyi be acekpadu kewoe nyi boboa bo viwo dota ame be asi le^ mea, yewo la xo alokpe dukon bla doduwo be haboboa, ne xixe bliboa ba setonu tututu ne amebusewo ku gonmedose be vosinono a;
00-07	Ke e nyi be gbongbo dekangukume dodo ne godojisewo, amebusewo ku vosinono keawo ye la nyi kpenkpen ke wuta ne woa tengu so wo tadoeme a blibo a,
00-08	Amesia be takpekpe le degblon aleke be gbefandede xixe bliboato so amebusewo, godojisewo ngti; sigbe flinmacici dekanguku ke ji amehawo kpata la yi toasi aleabe ame dekpekpe ame ku habobo be totowo ne nyi be woa legbefan kea do tame gasiagame eye wo la no dovevenu to nufyofyo ku henhen nyawo, kewoe la vlunka ne esi ke do la no aleke be sewo ku vosinonowo ngti, eye le blewu denyigban ku xixe blibo be dodowo la na ye amehawo ku acekpaduwo la jesii eye woa zaen pepepe; neneake be do la nyi ne dukon kewoe le woab'acekpakpa alo woabe ngsen gonme a yengu.
01-00	Gbetakui cucugboan (1)
01-01	Agbetowo kpata le jijimea, do vosinono, nyi gbesoemewo le nujonunnyi ku godoejisewo, amebusewo me. Tagbo le woa si, eye wonawo sododa woanonowo gboa la nyi novisilele.
02-00	Gbetakui evegoan (2)
