00-00	Universal Declaration o Human Richts
00-01	Forsameikle as kenning for the inherent dignity and for the richts, equal and nane-alienable, o aw members o the human faimily is the foond o freedom, justice and peace in the warld,
00-02	Forsameikle as misregaird and contemption for human richts hes resultit in barbour acts that hes scunnert the conscience o mankind, and the advent o a warld whaur aw human sowels enjoys freedom o thocht and speech, and quittance frae dearth and dreid hes been proclaimed the tapmaist aspiration o the commonty,
00-03	Forsameikle as it is necessar, gin man be no gart tak recourse tae rebellion as a hinmaist resort conter tirannie and dounhaudenment, that human richts shuld be beildit by the rule o law,
00-04	Forsameikle as it is necessar tae gar freendly relations atween nations aye win forrit,
00-05	Forsameikle as the peoples o the Unitit Nations hes in the Chairter affirmit aince mair their faith in fundamental human richts, in the dignity and worth o the human person and in the equal richts o men and wemen and hes resolved tae promote social progress and better standarts o life in braider freedom,
00-06	Forsameikle as Member States hes gien their hecht tae win, in compluterance wi the Unitit Nations, the promotion o universal tent and respect for human richts and fundamental freedoms,
00-07	Forsameikle as a common understaunding o thir richts and freedoms is o the greatest importance for the ful kenning o this hecht,
00-08	Nou, syne,
00-09	The General Assemlie
00-10	Proclaims this Universal Declaration o Human Richts as a common standart o achievement for aw peoples and aw nations, tae the end that ilka individual and ilka organ o society, aye haudan in mind this Declaration, shal ettle throu teaching and lear tae promote respect for thir richts and freedoms and throu progressive meisures, national and international, mak sover their universal and effective kenning and tenting, baith amang the folk o the Member States theirsels and amang the folk o territours in ower their jurisdiction.
01-00	Airticle 1
01-01	Aw human sowels is born free and equal in dignity and richts. They are tochered wi mense and conscience and shuld guide theirsels ane til ither in a speirit o britherheid.
02-00	Airticle 2
02-01	Awbody is entitelt til aw the richts and freedoms furthset in this Declaration wi nae distinction o ony kind, sic as race, colour, gender, language, religioun, political or ither opinioun, national or social origin, gear, birth or ither status.
02-02	Mair, nae distinction shal be made on the grunds o the political, jurisdictional or international status o the countrie or territour a bodie belangs, whuther it be staund-alane, trust, nane-self-governing or in ower ony ither haims o soverantie.
03-00	Airticle 3
03-01	Awbody hes the richt tae life, liberty and security o person.
04-00	Airticle 4
04-01	Naebody shal be hauden in thirldom or slavery; slavery and the slave trade shal be prohibit in aw their forms.
05-00	Airticle 5
05-01	Naebody shal be gart thole torture nor ill-kindit, inhuman nor bemeanan treatment nor punishment.
06-00	Airticle 6
06-01	Awbody hes the richt awgaits tae kenning as a person afore the law.
07-00	Airticle 7
07-01	Aw are equal afore the law and entitelt wi nae distinction tae equal beilding o the law. Aw are entitelt tae equal beilding conter ony discrimination in skaith o this Declaration and conter ony incitement tae sic discrimination.
08-00	Airticle 8
08-01	Awbody hes the richt til an effective remeid aff o the competent national tribunals for acts that daes skaith til the fundamental richts grantit him o the constitution or by law.
09-00	Airticle 9
09-01	Naebody shal be gart thole wulsome arrest, detention nor exile.
10-00	Airticle 10
10-01	Awbody is entitelt in ful equality til a fair and public hearing frae a staund-alane and even-haundit tribunal in the determination o his richts and duties and o ony criminal chairge conter him.
11-00	Airticle 11
11-01	Awbody chairged wi a penal faut hes the richt tae be thocht innocent til pruved guilty conformand til law in a public trial whaur he hes haen aw the warranties necessar for his defence.
11-02	Naebody shal be taen as guilty o ony penal faut on accoont o ony act or omission that didna mak for a penal faut, in ower national or international law, at the time whan it wes committit. Nor shal a penalty be imposed hivvier nor the ane that wes applicable at the time the penal faut wes commitit.
12-00	Airticle 12
