00-00	pakaadsaakon kywkabsidkhongmanud
00-01	dwnyoehdwaa: kaanhabhuukydtisakoanmiipacamyuutowbukkhonaynwongsakunkhongmanudthuk²khon eila kaanhabhuusidsaemiiphaab eila saethnyolaphaabkhongbukkhonehloaanan pakobepanhaakthaankhongsidesliiphaab nyoudtitham eila santiphaabkhongolk.
00-02	dwnyoehdwaa: kaanboohabhuu eila iinpamaadtoosidkhongmanudnanaidepantonehdayhekiidkaankathamyaangpaaethyyonsyyngcaehadayheikhnayctoomaonthamkhongmanud eila ehanwaakaannamsyyngolkmanudthiicamiioidsahlaaynkaansaeidngkhwaamewoaa eila khwaamesyyothyysyyngcaphoncaakkhwaamhwaadhwan yaankow eila nyoaakconkhoneikhnnanaidthyykpakaadwaa: epankhwaampaathaaaoannyoodnyoiingkhongmanud.
00-03	dwnyoehdwaa: miikhwaamsamkhanthiitonglabybsidpongkansidthanghlaanyokhongmanudephyyobooayhbukkhonthyykbangkhabaycayhtoosuukhwaambydbynkhyweikhneilakhwaamkodkhiikhomehngconehlyyowiays.
00-04	dwnyoehdwaa: epankhoosamkhanthiitongesiidsuusamphanthaaimtiilahwaangpaethdsaadayhdiinyoiingkhyyn;
00-05	dwnyoehdwaa: aynkodmaanyoolknanpasaasoneihngsahapasaasaadaidpakaadyyynyankhwaamesyyothyykhongtonoiikaynsidsamkhankhongmanud aynkydtisak eila khunkhaakhongbukkhonaynkhwaamsaemiiphaabkhongsidswnbukkhonphuusaanyo hlyy phuunyoing eila ehanwaa:pasaasonehloaananaidpakaadtonepanphuucaeliinphooeilwthiicaswnyosaabsauunkhwaamkaawaathaangdaansangkhompalacacadtangmaadtathaankaankhongsiibayhdiinyoiingkhyynodnyoesliiphaaboankwaangkhwaang:
00-06	dwnyoehdwaa: ladsamaasiktaang²aidayhkhwaammansannyoaawaacahwmmyykaboongkaansahapasaasaadephyyocaddameniinkaanayhkaannabthyysidthanghlaanyokhongmanud eila sidesliiphaaboansamkhanthangmwnaidepanaipthowolkyaangpacak.
00-07	dwnyoehdwaa: khwaamekhoaaaycaynsidesliiphaabehloaaniiodnyothowkanepankhoosamkhannyoiingephyyopatibadtaamsannyoaaniiyaangsombuun.
00-08	kongpasumayhnyocyyngpakaadwaa:
00-09	pakaadsaakonkywkabsidkhongmanudsababniiepanoudomkhatihwmkanthiicaayhsonsaad eila paethdsaadthuk²saadbanluething ephyyocaayhbukkhonthukkhon eila oongkaansangkhomthukoongkaan syyngthyyeooaapakaadniiepanniayspacamaycsaemiinanphanyoaanyoaamcadkaanayhmiiphuunabthyysid eila esliiphaabehloaaniiayhkwaangkhwaangookaipodnyokaansyksaa eila kaanoobhom eila cadkaanayhmiiphuuhabhuu eila patibadsid eila esliiphaabniithowaipyaangpacakodnyoayslabybtaamkhankhongsaadayhaidphonepanlamdabkhyynaip; kaannabthyysid eila esliiphaabniiayhdameniinaipaynthaamkaangsaawsonphonlaemyyongkhongbandaaladsamaasiknaneongphomkabthangsaawsonphonlaemyyongkhongbandaadineidnthiiyuuaynoamnaadeihngkodmaanyokhongladehloaanandwnyo.
01-00	maadtaa 1:
01-01	manudekiidmaamiisidesliiphaab eila saemiiaakanaynthaangkydtisak eila thaangsiddwnyomanudmiisatisampadsannyoa(huudiihuusow)eilamiimaonthamcyyngtongpaphydtontookanaynthaangphiinong.
02-00	maadtaa 2:
02-01	khoo 1.khonphuuaydkoooaangtonaidwaa:miisid eila esliiphaabthukyaangthiiaidpaawhongyuuaynpakaadsababniiodnyobooelyyokaa boocamkadesyyosaad,phiwenyyo,ephd,saasaaa khwaamkhidehanayndaankaanemyyong hlyy oyyn² kameniideihngsaadhlyy sangkhomthaanakaanmiisabsombadmaak hlyy nonyo,miitakun hlyy thaanaoyyn².
02-02	khoo 2.oiikpakaanyyng caboocamkadyaangaydaynkaaneitktaangkanoanenyyongmaacaaklabybkaanemyyongkaanpokkhong hlyy lahwaangsaadkhongpaethd hlyy dineidn syyngbukkhonphuuaydphuuyyngsangkadyuu;dineidnnancamepaneokalaadyuuaynkhwaamoaalakkhaakhongmahaaoamnaad hlyy boomiioidsahla hlyy thyyklodoathipaaitlongodnyocamkadkootaam.
03-00	maadtaa 3.
03-01	bukkhonthukkhonmiisiddamlongsiiwid miisidesliiphaab eila khwaampodaiphayntow.
04-00	maadtaa 4.
04-01	boomiiphuuaydeliinyothiicatongthyywaa:miioaakaanepanthaad eila epankhonyoepankhaakaanepanthaad eila khaathaadnan epansiingthiitonghaamthukpakaan.
05-00	maadtaa 5.
05-01	boomiiphuuaydeliinyothiicatongthyykthoolamaantow thyykothd hlyy khanaabyaangmaalunohdhaanyoyaangkhaadmanudsatham hlyy esyyomesnyokydtinyood.
06-00	maadtaa 6.
06-01	bukkhonphuuaydkoolaniimiisidthiicahabhuuniayspacambukkhonthiipatibadkanaynthaangkodmaanyonasathaanthiithukeihng.
07-00	maadtaa 7.
07-01	bukkhonsaemiikantooaakodmaanyo eila miisidthiicaaidhabkhwaamkhumkhongkhongkodmaanyoethoaathymkanodnyoboomiikaaneitktaangthukkhonmiisidthiicaaidhabkhwaamkhumkhongethoaathymkantookaankathamayd²thiithyykbukkhoneitktaangkanoanoaadepankaanlaemiidaybpakaadsababnii eila tookaanthaathaanyoayd²thiicathyyayheitktaangkandangnii:
08-00	maadtaa 8.
08-01	thukkhonmiisidthiicaephiingsaanpacamsaadthiimioamnaadephyyotoowaakaankathamoanepankaanlaemiidsidsamkhanladthathammanuun hlyykodmaanyoaidhabhuueilwnan.
09-00	maadtaa 9.
09-01	bukkhonaydboooaadthyykcabkumkhumkhang eila enlaethdodnyolamphangayceliinyo.
10-00	maadtaa 10.
10-01	bukkhoneitlakhonmiisidesliiphaabyaangetamthii thiicaaihsaanoidsahla eila thyngthamfangkhwaamkaawhaakhongtonyaangnyoudtitham eila epiidephiinyosaannancaphicaalanaatoklongtaamsid eila aathiikhongbukkhon hlyy taamkhamkaawhaaaysbukkhonphuunanyaangmiiehdphonphyngphooyuuaynphaeinkoaanyoaa.
11-00	maadtaa 11.
11-01	bukkhonphuuaydthiithyykkaawhaakathamphidkodmaanyonantongayhthyywaaboomiikhwaamphidconkwaakhwaamphidkhongphuunancapakodkhyyntaamkodmaanyoaynlahwaangkaandameniinkhadiisongaapasaason aynlahwaangnantongayhbukkhonphuukywkhongaidmiipakanoankhwnaynkaantoosuukhadiikhongton.
11-02	phuuaydphuuyyngcaboothyykothdeliinyoaynkaankatham hlyy kaanhlonglyymthaahaakwaaaynkhanathiithamnanehanwaaboophidtookodmaanyokhongsaad hlyy lahwaangsaadaynthamnongdywkan bookhwncapabaymaysothdbukkhonphuunanayhakkwaaothdthiiayspatibadaynkhanathiikathamkhwaamphidnan.
12-00	maadtaa 12.
12-01	bukkhonphuuaydcathyykphuuoyyneiskeisngkywkhongodnyolamphangaycaynkaandameniinsiiwidkhongtoneongkhobkhowkhongtonkywkhongnamthiiphakoaaayskhongton hlyy namcodmaanyothiikhynaipmaahaakan hlyy cathyykbydbynkydtinyood eila syysyngkhongtonnanbooaideliinyobukkhonthukkhonmiisidthiicayuuaynkhwaam khumkhongkhongkodmaanyoephyyotoowaakaaneiskeisng hlyy kaanbydbynesannan.
13-00	maadtaa 13.
13-01	bukkhonthukkhonmiisidthiicathongthywaipmaaodnyoeslii eila elyyokthiitangphuumlamenoaayuuphaanyoaynlad hlyy ladyyng.
13-02	bukkhoneitlakhonmiisidthiicacaakpaethdaydpaethdyyngaip nabthangpaethdkhongtondwnyo eila kabkhyynmaaaynpaethdkhongtonaid.
14-00	maadtaa 14.
