00-00	maanav adhikaarom kii saarvabhaum ghossannaa
00-01	cuumki maanav parivaar ke sabhii sadasyom ke janmajaat gaurav aur samaan tathaa avicchinna adhikaar kii sviikrti hii vishva-shaanti, nyaaya aur svatantrataa kii buniyaad hai,
00-02	cuumki maanav adhikaarom ke prati upekssaa aur ghrnnaa ke phalasvaruup hii aise barbar kaarya hue jinase manussya kii aatmaa par atyaacaar kiyaa gayaa, cuumki ek aisii vishva-vyavasthaa kii us sthaapanaa ko ( jisamem logom ko bhaassann aur dharma kii aazaadii tathaa bhaya aur abhaav se mukti milegii ) sarvasaadhaarann ke lie sarvocca aakaamkssaa ghossit kiyaa gayaa hai,
00-03	cuumki agar anyaayayukta shaasan aur julma ke virudgha logom ko vidroh karane ke lie—use hii antim upaaya samajh kar—majabuur nahiim ho jaanaa hai, to kaanuun dvaaraa niyam banaakar maanav adhikaarom kii rakssaa karanaa anivaarya hai,
00-04	cuumki raassttrom ke biic maitriipuurnna sambandhom ko barhaanaa zaruurii hai,
00-05	cuumki samyukta raassttrom ke sadasya deshom kii janataaom ne buniyaadii maanav adhikaarom mem, maanav vyaktitva ke gaurav aur yogyataa mem aur naranaariyom ke samaan adhikaarom mem apane vishvaas ko adhikaar-patra mem duharaayaa hai aur yah nishcaya kiyaa hai ki adhik vyaapak svatantrataa ke antargat saamaajik pragati evam jiivan ke behatar star ko uumcaa kiyaa jaayaa,
00-06	cuumki sadasya deshom ne yah pratijnyaa ko hai ki ve samyukta raassttrom ke sahayog se maanav adhikaarom aur buniyaadii aazaadiyom ke prati saarvabhaum sammaan kii vrdghi karemge,
00-07	cuumki is pratijnyaa ko puurii tarah se nibhaane ke lie in adhikaarom aur aazaadiyom kaa svaruup tthiik-tthiik samajhanaa sabase adhik zaruurii hai . isalie, ab,
00-08	saamaanya sabhaa
00-09	ghossit karatii hai ki
00-10	maanav adhikaarom kii yah saarvabhaum ghossannaa sabhii deshom aur sabhii logom kii samaan saphalataa hai . isakaa uddeshya yah hai ki pratyek vyakti aur samaaj kaa pratyek bhaag is ghossannaa ko lagaataar drsstti mem rakhate hue adhyaapan aur shikssaa ke dvaaraa yah prayatna karegaa ki in adhikaarom aur aazaadiyom ke prati sammaan kii bhaavanaa jaagrat ho, aur uttarottar aise raassttriiya tathaa antarraassttriiya upaaya kiye jaaem jinase sadasya deshom kii janataa tathaa unake dvaaraa adhikrta pradeshom kii janataa in adhikaarom kii saarvabhaum aur prabhaavotpaadak sviikrti de aur unakaa paalan karaave .
01-00	anucched 1.
01-01	sabhii manussyom ko gaurav aur adhikaarom ke maamale mem janmajaat svatantrataa aur samaanataa praapta hai . unhem buddhi aur antaraatmaa kii den praapta hai aur paraspar unhem bhaaiicaare ke bhaav se bartaav karanaa caahie .
02-00	anucched 2.
02-01	sabhii ko is ghossannaa mem sannihit sabhii adhikaarom aur aazaadiyom ko praapta karane kaa haq hai aur is maamale mem jaati, varnna, limga, bhaassaa, dharma, raajaniiti yaa anya vicaar-prannaalii, kisii desh yaa samaaj vishess mem janma, sampatti yaa kisii prakaar kii anya maryaadaa aadi ke kaarann bhedabhaav kaa vicaar na kiyaa jaaegaa .
02-02	isake atirikta, caahe koii desh yaa pradesh svatantra ho, samrakssit ho, yaa strashaasan rahit ho yaa parimit prabhusattaa vaalaa ho, us desh yaa pradesh kii raajanaitik, kssetriiya yaa antarraassttriiya sthiti ke aadhaar par vahaam ke nivaasiyom ke prati koii pharaq na rakhaa jaaegaa .
03-00	anucched 3.
03-01	pratyek vyakti ko jiivan, svaadhiinataa aur vaiyaktik surakssaa kaa adhikaar hai .
04-00	anucched 4.
04-01	koii bhii gulaamii yaa daasataa kii haalat mem na rakhaa jaaegaa, gulaamii-prathaa aur gulaamom kaa vyaapaar apane sabhii ruupom mem nissiddha hogaa .
05-00	anucched 5.
05-01	kisii ko bhii shaariirik yaatanaa na dii jaaegii aur na kisii ke bhii prati nirdaya, amaanussik yaa apamaanajanak vyavahaar hogaa .
06-00	anucched 6.
06-01	har kisii ko har jagah qaanuun kii nigaah mem vyakti ke ruup mem sviikrti-praapti kaa adhikaar hai .
07-00	anucched 7.
07-01	qaanuun kii nigaah mem sabhii samaan haim aur sabhii binaa bhedabhaav ke samaan qaanuunii surakssaa ke adhikaarii haim . yadi is ghossannaa kaa atikramann karake koii bhii bhed-bhaav kiyaa jaayaa us prakaar ke bhed-bhaav ko kisii prakaar se ukasaayaa jaayaa, to usake viruddha samaan samrakssann kaa adhikaar sabhii ko praapta hai .
08-00	anucched 8.
08-01	sabhii ko samvidhaan yaa qaanuun dvaaraa praapta buniyaadii adhikaarom kaa atikramann karane vaale kaaryom ke viruddha samucit raassttriiya adaalatom kii kaaragar sahaayataa paane kaa haq hai .
09-00	anucched 9.
09-01	kisii ko bhii manamaane ddhamga se giraftaar, nazarabanda yaa desh-nisskaasit na kiyaa jaaegaa .
10-00	anucched 10.
10-01	sabhii ko puurnnatah samaan ruup se haq hai ki unake adhikaarom aur kartavyom ke nishcaya karane ke maamale mem aur un par aaropit phauzadaarii ke kisii maamale mem unakii sunavaaii nyaayocit aur saarvajanik ruup se nirapekssa evam nisspakssa adaalat dvaaraa ho .
11-00	anucched 11.
11-01	pratyek vyakti, jis par dannddaniiya aparaadh kaa aarop kiyaa gayaa ho, tab tak niraparaadh maanaa jaaegaa, jab tak use aisii khulii adaalat mem, jahaam use apanii safaaii kii sabhii aavashyak suvidhaaem praapta hom, kaanuun ke anusaar aparaadhii na siddha kar diyaa jaayaa .
11-02	koii bhii vyakti kisii bhii aise krta yaa akrta (aparaadh) ke kaarann us dannddaniiya aparaadh kaa aparaadhii na maanaa jaaegaa, jise tatkaaliin pracalit raassttriiya yaa antarraassttriiya qaanuun ke anusaar dannddaniiya aparaadh na maanaa jaae aur na usase adhik bhaarii danndda diyaa jaa sakegaa, jo us samaya diyaa jaataa jis samaya vah dannddaniiya aparaadh kiyaa gayaa thaa .
12-00	anucched 12.
12-01	kisii vyakti kii ekaantataa, parivaar, ghar yaa patravyavahaar ke prati koii manamaanaa hastakssep na kiyaa jaaegaa, na kisii ke sammaan aur khyaati par koii aakssep ho sakegaa . aise hastakssep yaa aadhepom ke viruddha pratyek ko qaanuunii rakssaa kaa adhikaar praapta hai .
13-00	anucched 13.
13-01	pratyek vyakti ko pratyek desh kii siipaaom ke andar svatantrataapuurvak aane, jaane aur basane kaa adhikaar hai .
13-02	pratyek vyakti ko apane yaa paraaye kisii bhii desh ko choddano aur apane desh ko vaapas aano kaa adhikaar hai .
14-00	anucched 14.
14-01	pratyek vyakti ko sataaye jaane par duusare deshom mem sharann lene aur rahane kaa adhikaar hai .
14-02	is adhikaar kaa laabh aise maamalom mem nahiim milegaa jo vaastav mem gair-raajaniitik aparaadhom se sambandhit haim, yaa jo samyukta raassttrom ke uddeshyom aur siddhaantom ke viruddha kaarya haim .
15-00	anucched 15.
15-01	pratyek vyakti ko kisii bhii raassttra-vishess ko naagarikataa kaa adhikaar hai .
15-02	kisii ko bhii manamaane ddhamga se apane raassttra kii naagarikataa se vamcit na kiyaa jaaegaa yaa naagarikataa kaa yarivartan karane se manaa na kiyaa jaaegaa .
16-00	anucched 16.
16-01	baaliga strii-purussom ko binaa kisii jaati, raassttriiyataa yaa dharma kii rukaavattom ke aapas mem vivaah karane aur parivaar ko sthaapan karane kaa adhikaar hai . unhem vivaah ke vissaya mem vaivaahik jiivan mem, tathaa vivaah vicchedd ke baare mem samaan adhikaar hai .
16-02	vivaah kaa iraadaa rakhane vaale strii-purussom kii puurnna aur svatantra sahamit par hii vivaah ho sakegaa .
16-03	parivaar samaaj kii svaabhaavik aur buniyaadii saamuuhik ikaaii hai aur use samaaj tathaa raajya dvaaraa samrakssann paane kaa adhikaar hai .
17-00	anucched 17.
17-01	pratyek vyakti ko akele aur duusarom ke saath milakar sammati rakhane kaa adhikaar hai .
17-02	kisii ko bhii manamaane ddhamga se apanii sammati se vamcit na kiyaa jaaegaa .
18-00	anucched 18.
18-01	pratyek vyakti ko vicaar, antaraatmaa aur dharma kii aazaadii kaa adhikaar hai . is adhikaar ke antargat apanaa dharma yaa vishvaas badalane aur akele yaa duusarom ke saath milakar tathaa saarvajanik ruup mem athavaa nijii tor par apane dharma yaa vishvaas ko shikssaa, kriyaa, upaasanaa, tathaa vyavahaar ke dvaaraa prakatt karane kii svatantrataa hai .
19-00	anucched 19.
19-01	pratyek vyakti ko vicaar aur usakii abhivyakti kii svatantrataa kaa adhikaar hai . isake antargat binaa hastakssep ke koii raaya rakhanaa aur kisii bhii maadhyam ke zarie se tathaa siimaaom kii paravaah na kar ke kisii kii muucanaa aur dhaarannaa kaa anvessann, prahann tathaa pradaan sammilit hai .
20-00	anucched 20.
20-01	pratyek vyakti ko shaanti puurnna sabhaa karane yaa samiti banaane kii svatantrataa kaa adhikaar hai .
20-02	kisii ko bhii kisii samsthaa kaa sadasya banane ke lie majabuur nahiim kiyaa jaa sakataa .
21-00	anucched 21.
21-01	pratyek vyakti ko apane desh ke shaasan mem pratyakssa ruup se yaa svatantra ruup se cune gae pratinidhiyom ke zarie hissaa lene kaa adhikaar hai .
21-02	pratyek vyakti ko apane desh kii sarakaarii naukariyom ko praapta karane kaa samaan adhikaar hai .
21-03	sarakaar kii sattaa kaa aadhaar janataa kii dacchaa hogii . is icchaa kaa prakattan samaya-samaya par aur asalii cunaavom dvaaraa hogaa . ye cunaav saarvabhaum aur samaan mataadhikaar dvaaraa homge aur gupta matadaan dvaaraa yaa kimii anya samaan svatantra matadaan paddhati se karaaye jaaemge .
22-00	anucched 22.
22-01	samaaj ke ek sadasya ke ruup mem pratyek vyakti ko saamaajik surakssaa kaa adhikaar hai aur pratyek vyakti ko apane vyaktitva ke us svatantra vikaas tathaa gorav ke lie—jo raassttriiya prayatna yaa antarraassttriiya sahayog tathaa pratyek raajya ke samgatthan evam saadhanom ke anukuul ho—anikaaryatah aavashyak aarthik, saamaajik, aur saamskrtik adhikaarom kii praapti kaa haq hai .
23-00	anucched 23.
23-01	pratyek vyakti ko kaam karane, icchaanumaar rozagaar ke cunaav, kaam kii ucit aur suvidhaajanak paristhitiyom ko praapta karane aur bekaarii se samrakssann paane kaa haq hai .
23-02	pratyek vyakti ko samaan kaarya ke lie binaa kisii bhedabhaav ke samaan mazaduurii paane kaa adhikaar hai .
23-03	pratyek vyakti ko jo kaam karataa hai, adhikaar hai ki vah itanii ucit aur anukuul mazaduurii paae, jisase vah apane lie aur apane parivaar ke lie aisii aajiivikaa kaa prabandha kar make, jo maanaviiya gaurav ke yogya ho tathaa aavashyakataa hone par usakii puurti anya prakaar ke saamaajik samrakssannom dvaaraa ho sake .
23-04	pratyek vyakti ko apane hitom kii rakssaa ke lie shramajiivii samgha banaane aur unamem bhaag lene kaa adhikaar hai .
24-00	anucched 24.
24-01	pratyek vyakti ko vishraam aur avakaash kaa adhikaar hai . isake antargat kaam ke ghamttom kii ucit hadabandii aur samaya-samaya par mazaduurii sahit chuttttiyaam sammilit hai .
25-00	anucched 25.
25-01	pratyek vyakti ko aise jiivanastar ko praapta karane kaa adhikaar hai jo use aur usake parivaar ke svaasthya evam kalyaann ke lie paryaapta ho . isake antargat khaanaa, kapadddhaa, makaan, cikitsaa-sambandhii suvidhaaem aur aavashyak saamaajik sevaaem sammilit hai . sabhii ko bekaarii, biimaarii, asamarthataa, vaidhavya, buddhaape yaa anya kisii aisii paristhiti mem aajiivikaa kaa saadhan na hone par jo usake qaabuu ke baahar ho, surakssaa kaa adhikaar praapta hai .
25-02	jaccaa aur baccaa ko khaas sahaayataa aur suvidhaa kaa haq hai . pratyek bacce ko caahe vah vivaahitaa maataa se janmaa ho yaa avivaahitaa se, samaan saasaajik samrakssann praapta hogaa .
26-00	anucched 26.
26-01	pratyek vyakti ko shikssaa kaa adhikaar hai . shikssaa kam se kam praarambhik aur buniyaadii avasthaaom mem nihshulka hogii . praarambhik shikssaa anivaarya hogii . tteknikal, yaamtrik aur peshom-sambandhii shikssaa saadhaarann ruup se praapta hogii aur uccatar shikssaa sabhii ko yogyataa ke aadhaar par samaan ruup se upalabdha hogii .
26-02	shikssaa kaa uddeshya hogaa maanav vyaktitva kaa puurnna vikaas aur maanaav adhikaarom tathaa buniyaadii svatantrataaom ke prati sammaan ko pusstti . shikssaa dvaaraa raassttrom, jaatiyom athavaa ghaarmik samuuhom ke biic aapasii sadbhaavanaa, sahissnnutaa aur mamtrii kaa vikaas hogaa aur shaamti banaae rakhane ke lie samyukta raassttrom ke prayatnom ke aage barhaayaa jaaegaa .
26-03	maataa-pitaa ko sabase pahale is baat kaa akssikaar hai ki ve cunaav kar sakem ki kis qisma kii shikssaa unake baccom ko dii jaaegii .
27-00	anucched 27.
27-01	pratyek vyakti ko svatantrataapuurvak samaaj ke saamskrtik jiivan mem hissaa lene, kalaaom kaa aananda lene, tathaa vaijnyaanik unnati aur usakii suvidhaaom mem bhaag lene kaa haq hai .
27-02	pratyek vyakti ko kisii bhii aisii vaijnyaanik, saahityik yaa kalaasmak krti me utpanna naitik aur aarthik hitom kii rakssaa kaa adhikaar hai jisakaa racayitaa vah svayam ho .
28-00	anucched 28.
28-01	pratyek vyakti ko aisii saamaajik aur antarraassttriiya vyavasthaa kii praapti kaa adhikaar hai jisamem is ghossannaa mem ullikhit adhikaarom aur svatantrataaom ko puurnnatah praapta kiyaa jaa sake .
29-00	anucched 29.
29-01	pratyek vyakti kaa usii samaaj ke prati kartavya hai jisamem rahakar usake vyaktitva kaa svatantra aur puurnna vikaas sambhav ho .
29-02	apane adhikaarom aur svatantrataaom kaa upayog karate hue pratyek vyakti keval aisii hii siimaaom dvaaraa baddha hogaa, jo kaanuun dvaaraa nishcit kii jaaemgii aur jinakaa ekamaatra uddeshya duusarom ke adhikaarom aur svatantrataaom ke liye aadar aur samucit sviikrti kii praapti hogaa tathaa jinakii aavashyakataa ek prajaatantraatmak samaaj mem naitikataa, saarvajanik vyavasthaa aur saamaanya kalyaann kii ucit aavashyakataaom ko puuraa karanaa hogaa .
29-03	in adhikaarom aur svatantrataaom kaa upayog kisii prakaar se bhii samyukta raassttrom ke siddhaantom aur uddeshyom ke viruddha nahiim kiyaa jaayagaa .
30-00	anucched 30.
30-01	is ghossannaa mem ullikhit kisii bhii baat kaa yah artha nahiim lagaanaa caahie jisase yah pratiit ho ki kisii bhii raajya, samuuh, yaa vyakti kii kisii aise prayatna mem samlagna hone yaa aisaa kaarya karane kaa adhikaar hai, jisakaa uddeshya yahaam bataaye gae adhikaarom aur svatantrataaom mem me kisii kaa bhii vinaash karanaa ho .
