00-00	shijierenquanxuanyan
00-01	jianyuduirenleijiatingsuoyoukaichengyuanguyouzunyantongmaiqudiekaipingdengkaijianbuyikaiquanlikaichengren, xishijieziyou, zhengyitongmaihepingkaijichu, 
00-02	jianyuduirenquankaiwushitongmaiwumiejingyifazhanchengweiyemanbaoxing, nexiebaoxingdianwuzuorenleikailiangxin, er1gerenrendouyouyanluntongmaixinyangziyouerqiemaojingmaoqiongkaishijiekaililin, jingyibixuanbuxiputongrenminkaizuigaoxinyuan, 
00-03	jianyuweizuoshirenleinzhipobudeyidingerzouxianduibaozhengtongmaipohaijinxingfanpan, youbiyaoshirenquanshoudaofazhikaibaohu, 
00-04	jianyuyoubiyaocujingeguoyouhaoguanxikaifazhan, 
00-05	jianyugelianheguoguojiakairenminjingyixilianheguoxianzhangneizhongshenqudieduijibenrenquan, rengezunyantongmaijiazhitongmainannupingdengkaixinnian, erqiejuedingcuchengjiaodaziyouneikaishehuijinbutongmaishenghuoshuipingkaigaishan, 
00-06	jianyugehuiyuanguojingyishiyuangonglianheguohezuoyicujinduirenquantongmaijibenziyoukaipubianzunzhongjianzunxing, 
00-07	jianyuduinediquanlijianziyoukaipubianlejieduiyunegeshiyuankaichongfenshixianyouhaodakaizhongyaoxing, 
00-08	yinciyijia, 
00-09	dahui, 
00-10	fabunegeshijierenquanxuanyan, zuoweisuoyourenmingongsuoyouguojianulishixiankaigongtongbiaozhun, xiwangmei1gerengongshehuijigouchengrishenqinegexuanyan, nulitongguojiaohuitongmaijiaoyucujinduiquanlitongmaiziyoukaizunzhong, bingtongguoguojiakaigongguojikaijianjincuoshi, shinediquanlitongmaiziyouxigehuiyuanguobenshenrenmingongqudieguanxiaxiakairenminzhongdedaopubiangongyouxiaokaichengrengongzunxing: 
01-00	di1tiao
01-01	renrenshengerpingdeng, xizunyantongmaiquanlishang1lupingdeng. qudieyoulixingtongmailiangxin, erqieyingdangyixiongdiguanxikaijingshenxiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyounexuanyansuozaikai1qiequanlitongmaiziyou, nfenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
02-02	erqienhaoyin1rensuoshukaiguojiahuolingtukaizhengzhikai, xingzhengkaihuozheguojikaideweikaibutongeryoubutong, nlungailingtuxidulilingtu, tuoguanlingtu, feizizhilingtuhuozhexiangqitarenhezhuquanshouxianzhikaiqingkuangxia. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyoutongmairenshenanquan. 
04-00	di4tiao
04-01	renherennhaoshiweinulihuonuyi;1qiexingshikainulizhidutongmainulimaimai, kandidouyingdangyuyijinzhi. 
05-00	di5tiao
05-01	renherennhaojiayikuxing, huoshiyicanrenkai, nrendaokaihuowuruxingkaidaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenxibiandukandidouyouquanbichengrenxiangfaluqiankairenge. 
07-00	di7tiao
07-01	falukaiqianrenrenpingdeng, bingyouquanxiangshoufalukaipingdengbaohu, nshourenheqishi. renrenyouquanxiangshoupingdengbaohu, yimianshouweifanbenxuanyankairenheqishixingweitongmaishandongnezhongqishikairenhexingweikaihai. 
08-00	di8tiao
08-01	renherenxiangxianfahuofalusuofuyuqukaijibenquanlizaoshouqinhaishi, youquanbihegekaiguojiafatingduinezhongqinhaixingweizuoyouxiaokaibujiu. 
09-00	di9tiao
09-01	renherennhaojiayirenyidaibu, jujinhuofangzhu. 
10-00	di10tiao
10-01	renrenkandidouyouquanbi1geduliermaopianyikaifatingjinxinggongzhengkaitongmaigongkaikaishenxun, yiquedingqukaiquanlitongmaiyiwubingpandingduiqutichukairenhexingshizhikong. 
11-00	di11tiao
11-01	fanxishouxingshikonggaokairen, weijinghuodebianhushangsuoxukai1qiebaozhengkaigongkaishenpaneryifazhengshiyouzuiqian, youquanbishiweimaozui. 
11-02	renherenkairenhexingweihuonxingwei, xiangquqifashengshiyiguojiafahuoguojifajunngouchengxingshizuizhe, nhaobipanweifanyouxingshizui. xingfanhaozhongguofanzuishishiyongkaifaluguiding. 
12-00	di12tiao
12-01	renherenkaisishenghuo, jiating, zhuzhaitongmaitongxinnhaorenyiganshe, qukairongyutongmaimingyunhaojiayigongji.  renrenyouquanbifalubaohu, yinshounezhongganshehuogongji. 
13-00	di13tiao
13-01	renrenxigeguojingneiyouquanziyouqianxitongjuzhu. 
13-02	renrenyouquanlikairenheguojia, baokuoqubenguozainei, bingyouquanfanhuiqukaiguojia. 
14-00	di14tiao
14-01	renrenyouquanxiangqitaguojiaxunqiujianxiangshoubihuyinbipohai. 
14-02	xizhenzhengyouyufeizhengzhixingkaizuixinghuoweibeilianheguokaizongzhitongmaiyuanzekaixingweierbiqisukaiqingkuangxia, nhaoyuanyongnezhongquanli. 
15-00	di15tiao
15-01	renrenkandidouyouquanxiangyouguoji. 
15-02	renherenkaiguojinhaorenyiboduo, nhaofourenqugaibianguojikaiquanli. 
16-00	di16tiao
16-01	chengniannannu, nshouzhongzu, guojihuozongjiaokairenhexianzhiyouquanhunjiajianchenglijiating. quyexianghunyinfangmian, xiangjiehunqijiantongmaijiechuhunyueshi, yingyoupingdengkaiquanli. 
16-02	zhiyoujingnannushuangfangkaiziyoujianwanquankaitongyi, caikeyidihun. 
16-03	jiatingxitianrankaijianjibenkaishehuidanyuan, bingyingshoushehuitongguojiakaibaohu. 
17-00	di17tiao
17-01	renrendeyoudandukaicaichansuoyouquanyijigongtarenheyoukaisuoyouquan. 
17-02	renherenkaicaichannhaorenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, liangxintongzongjiaoziyoukaiquanli;nexiangquanlibaokuogaibianqukaizongjiaohuoxinyangkaiziyou, yijidanduhuojiti, gongkaihuomimideyijiaoyi, shijian, libaitongjielubiaoshiqukaizongjiaohuoxinyangkaiziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhangjianfabiaoyijiankaiziyou;nexiangquanlibaokuochiyouzhuzhangernshouganshekaiziyou, tongmaitongguorenhemeijiejiannlunguojiexunqiu, jieshoujianchuandixiaoxitongsixiangkaiziyou. 
20-00	di20tiao
20-01	renrenyouquanxiangyouhepingjihuijianjieshekaiziyou. 
20-02	renherennhaoposhilishuyumou1tuanti. 
21-00	di21tiao
21-01	renrenyouzhijiehuotongguoziyouxuanzekaidaibiaocanyuzhilibenguokaiquanli. 
21-02	renrenyoupingdengjihuicanjiabenguogongwukaiquanli. 
21-03	renminkaiyizhixizhengfuquanlikaijichu;ne1yizhiyingyidingqikaijianzhenzhengkaixuanjuyuyibiaoxian, erxuanjuyingyijupubianjianpingdengkaitoupiaoquan, bingyibujimingtoupiaohuoxiangdangkaiziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuikai1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshouqukaigerenzunyantongrengekaiziyoufazhansuobixukaijingji, shehuitongwenhuafangmiangezhongquanlikaishixian, nezhongshixianxitongguoguojianulitongguojihezuobingyizhaogeguokaizuzhitongmaiziyuanqingkuang. 
23-00	di23tiao
23-01	renrenyouquangongzuo, ziyouxuanzezhiye, xiangshougongzhengjianheshiqukaigongzuotiaojianjianxiangshoumianyushiyekaibaozhang. 
23-02	renrenyoutonggongtongchouqukaiquanli, nshourenheqishi. 
23-03	mei1gegongzuokairen, youquanxiangshougongzhengjianheshiqukaibaochou, baozhengshiqubenrengongjiashuyou1gefuherenkaizunyankaishenghuotiaojian, biyaoshibingfuyiqitafangshikaishehuibaozhang. 
23-04	renrenyouweiweihuqukailiyierzuzhijiancanjiagonghuikaiquanli. 
24-00	di24tiao
24-01	renrenyouxiangyouxiuxijianxianxiakaiquanli, baokuogongzuoshijianyouhelixianzhitongmaidingqigeixinxiujiakaiquanli. 
25-00	di25tiao
25-01	renrenyouquanxiangshouweiweichiqubenrentongjiashukaijiankangtongmaifulisuoxukaishenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaotongbiyaokaishehuifuwu;xizaodaoshiye, jibing, canfei, shougua, shuailaohuoxiangqitannenggoukongzhikaiqingkuangxiasangshimoushengnenglishi, youquanxiangshoubaozhang. 
25-02	amatongxinuyouquanxiangshoutebiezhaogujianxiezhu. 1qiexinu, nlunhunshenghuofeihunsheng, kandidouyingxiangshoutongyangkaishehuibaohu. 
26-00	di26tiao
26-01	renrenkandidouyoushoujiaoyukaiquanli, jiaoyuyingdangmianfei, zhishaoxichujitongmaijibenjieduanyingdangxihanyang. chujijiaoyuyingdangxiyiwuxingzhi. jishutongmaizhiyejiaoyuyingdangpubiansheli. gaodengjiaoyuyingdanggenjuchengjierdui1qierenpingdengkaifang. 
26-02	jiaoyukaimudexichongfenfazhanrenkaigexingjianjiaqiangduirenquantongmaijibenziyoukaizunzhong. jiaoyuyingdangcujingeguo, gezhongzuhuogezongjiaojituanjiankailejie, rongrentongyouyi, jiancujinlianheguoweihuhepingkaigexianghuodong. 
26-03	abaamaduiqudiekaixinusuoyingshoukaijiaoyukaizhonglei, youyouxianxuanzekaiquanli. 
27-00	di27tiao
27-01	renrenyouquanziyoucanjiashehuikaiwenhuashenghuo, xiangshouyishu, jianfenxiangkexuejinbutongmaiquchanshengkaifuli. 
27-02	renrenduiyouyuqusuochuangzuokairenhekexue, wenxuehuomeishuzuopinerchanshengkaijingshenkaitongmaiwuzhikailiyi, youxiangshoubaohukaiquanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuikaijianguojikaizhixu, xinezhongzhixunei, nexuanyansuozaikaiquanlitongmaiziyoukeyidedaochongfenshixian. 
29-00	di29tiao
29-01	renrenduishehuifuyouyiwu, yinweizhiyouxishehuineiqukaigexingcaikenengdedaoziyoujianchongfenkaifazhan. 
29-02	renrenzaixingshiqukaiquanlitongziyoushi, zhishoufalusuoquedingkaixianzhi, quedingnezhongxianzhikaiwei1mudexibaozhengduipangrenkaiquanlitongziyougeiyuyingyoukaichengrentongzunzhong, bingxiang1geminzhukaishehuineishiyingdaode, gonggongzhixutongpubianfulikaizhengdangxuyao. 
29-03	nediquanlitongziyoukaixingshi, nlunxiangrenheqingxingxiakandidounhaoweibeilianheguokaizongzhitongmaiyuanze. 
30-00	di30tiao
30-01	nexuanyankairenhetiaowen, nhaojieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizaipohuainexuanyansuozaikairenhequanlitongziyoukaihuodonghuoxingwei. 
