00-00	Hadamaden josiraw dantigekan, 1948
00-01	K’a d’a kan ko dine horonna ni tilennenna ni lafiya sintin ye hadamaden bee danbe donni n’u josiraw danmakenneni ye,
00-02	K’a d’a kan ko hadamaden josiraw n’u konni kera dannajuguya caman sababu ye minnu be maaya nugun, ani ko hadamaden haju bee la gelenman ye de ka dine kura dabali min den si te bali k’a hakilila fo nink’a dannasira batu, min den bee tangalen be bagabagali ni nani ma,
00-03	K’a d’a kan ko a te ne fo hadamaden josiraw ka lakana sariyabatufanga de fe yaasa muruti kana ke mogo ma jagoya ye tonon ni degun kanma,
00-04	K’a d’a kan ko kanu jiidili ka kan ka kokorodon kabilaw ni nogon ce,
00-05	K’a d’a kan ko Dine kabilaton y’a naniya dantige kokura, kabilaw Benkanseben kono, ko ale sirilen be hadamaden josira berew la, hadamaden danbe n’a kiime na, ce ni muso josiraw keneni na, ani ko a b’a cesire maaya ka taa ne, dinenatige ka nogoya horonna jiidilen kono,
00-06	K’a d’a kan ko tondenjamana bee y’a kandi ko a be fara Kabilaton kan ka hadamaden josiraw n’a ka horonna bere lakana ani k’u waleya dine bee kono,
00-07	K’a d’a kan ko folen te se ka tiime a ne ma ni ben ma ke josiraw ni horonna faamucogo kan,
00-08	Ton nejama y’a kanbo
00-09	Hadamaden josiraw dantigekan in ka ke dine fasojama n’a kabila bee kuntilenna ye, yaasa a ka basigi mogo kelen-kelen bee hakili la, ani maaya labenbolo bee kono, u k’u cesiri kalan ni ladamuni fe ka josira ni horonasira ninnu batuli jiidi, ka feere tige faso kono n’a kon kan ka sira ninnu jateli n’u waleyali nemeneme tiime dine bee, tondenjamanaw yere konomogow fe, ani u ka marajamanw konomogow fe.
01-00	Sariyasen folo :
01-01	Hadamaden bee danmakenenen be bange, danbe ni josira la. Hakili ni taasi b’u bee la, wa u ka kan ka badennasira de waleya u ni nogon ce.
02-00	Sariyasen 2n :
02-01	Bee ka kan josira ni horonnasira dantigelen ninnu bee la, wolomali fan si t’a la, janko siyawoloma, fari jeya n’a finna, ceya ni musoya, kan, diine, politikisira ni miirisira jan o jan, fasowoloma ni serewoloma, soro ni bonda ni joyorowoloma fan o fan.
02-02	Wa mogo te mine i boyoro ma, o dabolo mana ke fen o fen ye politiki ni sariya la ani dine kono: o ka ke jamana wali dugukolo yeremahoron ye, wali kalifafen, wali maralen, wali dankari be min ka setigiya la,
03-00	Sariyasen 3n :
03-01	Hadamaden bee ka kan ni kisi ni tanga ni horona ye.
04-00	Sariyasen 4n :
04-01	Mogo si te ke jon ye, wali bolokonomogo. Jonna ni jonjago jan o jan konnen don.
05-00	Sariyasen 5n :
05-01	Mogo si ni man kan ka nangata ; dannajuguya nangini wali danbelakari nagagini man kan ka da i kan.
06-00	Sariyasen 6n :
06-01	Mogo bee ka kan ni jateli ye sariya fe yoro bee.
07-00	Sariyasen 7n :
07-01	Bee ka kan sariya la, bee ka kan ni lakanani ye sariya fe Bee ka kan ka kisi fisamanciyawalew ma minnu be dankari ke Dantigekan in na, ani mogolaniniwale fen o fen be na n’o nogon fisamanciya ye.
08-00	Sariyasen 8n :
08-01	Bee jo don k’i siri jamana sariyabolo numanw na k’i josira berew dankariwlew kele, i josira minnu sementiyalen be jamana Sariyabaju fe.
09-00	Sariyasen 9n :
09-01	Bin man kan ka ke mogo si kan k’i mine, k’i datugu, wali k’i gen dugu la.
10-00	Sariyasen 10n :
10-01	Bee jo be k’i fela da kene kan kiirida tilennen bagabagabali koro, a ka jo ni jalaki bo nogon na n’a ma ke ni mogolawoloma ye.
11-00	Sariyasen 11n :
