00-00	AKAPACH JAQE WALINKANAPATAKI INOQAT ARU
00-01	UNANCHASA, aka pachana jaqejh munananisina, cheqpacha amuyasisa, cheqa thakir sarjhatasa, jilan sullkanjama arnaqasa, jan nuwasisa utjanaru wayt'asin yati;
00-02	UNANCHASA, jaqen walinkanapataki wakisir arunaka armasna, yaqhep jaqejh masinakaparu khuyan autuyi, mututanakasti, unatatasisa, wajcha kankanapa atipasna, jan khitirus ajhsarasa, cheq-cheqa qhana arumpi arustatasjhapjhe;
00-03	UNANCHASA, jaqen walinkanapataki inoqat arujha arjhatataenapaw jan jaqe nanqhachirinakaru ch'ajhwa qalitasna waninchapjhanapataki;
00-04	UNANCHASA, taqpacha markanakajh kunti munapjhe ukanaka jikjhatanatakiejh jupanakpacha sumaenat arusthapisipjhanapaw;
00-05	UNANCHASA, Mathapit Mayachat Markanakan Arupa taqjhatasna akham markanakajh amuyasi: Taqe mayniwa, chachas warmis, jaqe kankananisinjha, ch 'amachasisna ma ch 'ulla chachjama jaqen walinkanapa jikjhatanaru wayt'asipjhe;
00-06	UNANCHASA, taqe mrakanakajh Matahapit Markanakamp chika akham amtapjhe: sapaqat markanjha aniw jaqejh inaki arknaqataekaspati; jakanapans yaenakapans arjhatataenapaw;
00-07	UNANCHASA, Mathapit Markanakan amuyasitanakapa yatisina khuskat taqpachanipaw wayt'asipjhanapa phoqasinapataki.
00-08	MAYACHAT MARKANAKAJH JACH'A MATHAPIWINAKAPAN JAQEN WALINKANAPATAKI INOQAT ARU YATIYI
00-09	Taqpacha jaqenaka, ayllunaka, markanaka, aka arunakaru iyau sasna ch'amachasipjhanapaw, isk'alalanakas, wayna tawaqonakas, chuymani jaqenakas, markapan qorpap manqhana yatichataepjhanapaw. Ukhamarus qorpamarkanakampi jaya markanakampi arusthapisisa taqpacha markanakajh khuskat ch'amachasipjhatapampi alajh toqeru wayt asitapjaniw.
01-00	1. T'aqa
01-01	Taqpach jaqejh khuskat unjatataepjhewa munanapansa, luranapansa, amuyasinapansa, ukatwa jilani sullkanipjhaspas ukham unjasipjhanapawa.
02-00	2. T'aqa
02-01	Taqpacha jaqenakajh chikasitapjhew; inajaqes, mistis, janq'os, ch'iyaras, chachas, warmis, amiris, wajchas taqe mayniw khuskat unjatapjhe.
02-02	Ukhamaraki, janiw juk'ampikaspas ukhama unjasispati jach'a markanakaru isk'a markanakat sipanjha; taqpacha markanakajh tinkusitaepjhew, jaqenakapasti chikasitapjharakiw.
03-00	3. T'aqa
03-01	Sapaqat jaqejh jan khitirus ajhsarasa jakanapa, munanapa, amuyasinapa, jaqe kankanapa taqjhatasinapaw.
04-00	4. T'aqa
04-01	Janiw j aqenakat maynikisa uywarj ama aljhataekaspati, ukhamarus jan jupa munasin janiw kuna uranarus, irnaqanarus wayt'asitaespati.
05-00	5. T'aqa
05-01	Janirakiw taqe jaqenakat maynikis khuyana mutunanakampi chhojrinchataenapati.
06-00	6. T'aqa
06-01	Jaqejh, jaqetapat layku, kauki markankipansa jaqe kankanapajh wali chaninchatenapaw.
07-00	7. T'aqa
07-01	Jiliri p'eqenanakajh taqe mayniru khuskat unjapjhanapaw. Taqe mayniw arjhatataenapa; kunapachati markanakan hualinkanapataki inoqat arunaka khitis t'unjana munaspa ukajha, qhananchataenapaw.
08-00	8. T'aqa
08-01	Khititejh nanqhachat unjasisp ukajha, jach'a j ilirinakaruwa yatiyasinapa arjhatataenapataki.
09-00	9. T'aqa
09-01	Janiw khitis markapana mutuyataeniti, janirakiw khitis markapata alismukutaeniti.
10-00	10. T'aqa
10-01	Taqe mayniw juchanchata unjasisa mae cheqa arun jilirimpi ist'ayasinap wakisi qhananchayasinataki, uka qepatsti cheq cheqaru t 'aqayasinataki.
11-00	11. T'aqa
11-00	Janiw khitirus jucharu jalantatjama unjanaekiti, khititejh lutintata unjasispajha, ch'ajwa t 'aqeri j ilirin nayraqatapan mae arjhatasirimpi taqjhatat qhananchayasinapaw, ukchankamasti jan juchanjama unjataenapaw.
11-01	Markasana yaqha markanakansa wakisiri inoqat arunak phoqasawa jucharu jalantirinakarojh unjana, mutunanakasti juchanakampitj amaw wakisitaenapa.
12-00	12. T'aqa
12-01	Janiw k'uminas, nanqachanas, ch 'inanchanas utjkaspati jaqen kankanapjhata, utapjhata, qellqasitapjhata. Taqe maynir arjhatanatakiw kamachit jach'a arunakas qellqanakas utji.
13-00	13. T'aqa
13-00	Markapanjh taqe mayniw kawkiruti saran muni ukarojh saraskakispaw; kauki ujarus utjnoqasin munipaniha utjnoqasiskakispaw, janiw khitis kuns sanapaekiti.
13-01	Markapatsa yaqha markatsa taqe mayniw mistun munipanjha mistukispaw, pachparu kutt ' ana munipans kutt'askakispaw.
14-00	14. T'aqa
14-00	Khitiruti nanqhachanataki arknaqasipkasp ukajha, kaukir markampis arjhatayasiskakispaw.
14-01	Uka arjhatanasti janiw ina juchanakamp juchanchasir jaqetakfkiti, ukhamarus haniw Mayachat Markanakan inoqat aruparu jan phoqeri jaqetakikiti.
15-00	15. T'aqa
15-00	Janiw mae ch 'ulla jaqes jan markanejh utjkiti.
15-01	Janirakiw jaqerojh markapjama untasitapjha apaqanjamaekiti, ukhamarus khitis markap lanti yaqha markampi trukasikispaw, munana patjamaw.
16-00	16. T'aqa
16-00	Yoqallanakas imillanakas chuymaniptjhasin paninchasipjhakispaw munasinjha, janiw khitis jark 'askaspati; chachas warmis purapatha unjasipjhanapaw paninchasiwinsa jaljtasiwinsa.
16-01	Chachamp warmimpi panipa arusthapisisakiw paninchasinapatak wakisi.
16-02	Auki, tayka, wawanakapas ayllu taypin saphipjama inoqataw, ukatwa ayllumasinakapat jach'a jilirinakapats arjhatat unja sipjhanapaw.
17-00	17. T'aqa
17-00	Taqe jaqetakiw wakisi utanina, oraqenina, jupa sapas ayllumasinakapampi chikas.
17-01	Janiw khitisa utaps oraqeps inaki aparkaspati.
18-00	18. T'aqa
18-01	Akhama inoqat aru utji: Taqe maynin munanapatjamaw yupaychanapas amuyasinapas. Kuna munananakaps, amtananakaps, amuyasitanakaps trukana munasina trukakispaw; ukanaksti taqe jaqen nayraqatapata arsuna, mayninakar yatichansa, kauki toqeru ch 'eqeyansa.
19-00	19. T'aqa
19-01	Taqe maynejh kuna amuyasitanakapsa arsukispaw, ukhamarak yaqha jaqenakan amuyasitanakap qatoqasina ch'eqtatayakispaw markapans yaqha markanakansa, janiw khitis jark'askaspati.
20-00	20. T'aqa
20-00	Taqe mayniw munanapata yaqha jaqenakampi arusthapisisa mathapisiskakispaw jan ch'ajhwa apanaqasna.
20-01	Janiw khitirus ch'amakamajh kuna amtawinarus mantayksnati.
21-00	21. T'aqa
21-00	Taqe markanakanjh jach'a jilirinakapajh jaqen munanapata uskutaepjhanapaw. Taqe jaqesti jaqe masipan munanapata jilirjama ajllitakispaw.
