00-00	Die Allgemeine Erklaerung der Menschenrechte
00-01	Da die Anerkennung der angeborenen Wuerde und der gleichen und unveraeusserlichen Rechte aller Mitglieder der Gemeinschaft der Menschen die Grundlage von Freiheit, Gerechtigkeit und Frieden in der Welt bildet,
00-02	da die Nichtanerkennung und Verachtung der Menschenrechte zu Akten der Barbarei gefuehrt haben, die das Gewissen der Menschheit mit Empoerung erfuellen, und da verkuendet worden ist, dass einer Welt, in der die Menschen Rede- und Glaubensfreiheit und Freiheit von Furcht und Not geniessen, das hoechste Streben des Menschen gilt,
00-03	da es notwendig ist, die Menschenrechte durch die Herrschaft des Rechtes zu schuetzen, damit der Mensch nicht gezwungen wird, als letztes Mittel zum Aufstand gegen Tyrannei und Unterdrueckung zu greifen,
00-04	da es notwendig ist, die Entwicklung freundschaftlicher Beziehungen zwischen den Nationen zu foerdern,
00-05	da die Voelker der Vereinten Nationen in der Charta ihren Glauben an die grundlegenden Menschenrechte, an die Wuerde und den Wert der menschlichen Person und an die Gleichberechtigung von Mann und Frau erneut bekraeftigt und beschlossen haben, den sozialen Fortschritt und bessere Lebensbedingungen in groesserer Freiheit zu foerdern,
00-06	da die Mitgliedstaaten sich verpflichtet haben, in Zusammenarbeit mit den Vereinten Nationen auf die allgemeine Achtung und Einhaltung der Menschenrechte und Grundfreiheiten hinzuwirken,
00-07	da ein gemeinsames Verstaendnis dieser Rechte und Freiheiten von groesster Wichtigkeit fuer die volle Erfuellung dieser Verpflichtung ist,
00-08	verkuendet die Generalversammlung
00-09	diese Allgemeine Erklaerung der Menschenrechte als das von allen Voelkern und Nationen zu erreichende gemeinsame Ideal, damit jeder einzelne und alle Organe der Gesellschaft sich diese Erklaerung stets gegenwaertig halten und sich bemuehen, durch Unterricht und Erziehung die Achtung vor diesen Rechten und Freiheiten zu foerdern und durch fortschreitende nationale und internationale Massnahmen ihre allgemeine und tatsaechliche Anerkennung und Einhaltung durch die Bevoelkerung der Mitgliedstaaten selbst wie auch durch die Bevoelkerung der ihrer Hoheitsgewalt unterstehenden Gebiete zu gewaehrleisten.
01-00	Artikel 1
01-01	Alle Menschen sind frei und gleich an Wuerde und Rechten geboren. Sie sind mit Vernunft und Gewissen begabt und sollen einander im Geist der Bruederlichkeit begegnen.
02-00	Artikel 2
02-01	Jeder hat Anspruch auf die in dieser Erklaerung verkuendeten Rechte und Freiheiten ohne irgendeinen Unterschied, etwa nach Rasse, Hautfarbe, Geschlecht, Sprache, Religion, politischer oder sonstiger Ueberzeugung, nationaler oder sozialer Herkunft, Vermoegen, Geburt oder sonstigem Stand.
02-02	Des Weiteren darf kein Unterschied gemacht werden auf Grund der politischen, rechtlichen oder internationalen Stellung des Landes oder Gebiets, dem eine Person angehoert, gleichgueltig ob dieses unabhaengig ist, unter Treuhandschaft steht, keine Selbstregierung besitzt oder sonst in seiner Souveraenitaet eingeschraenkt ist.
03-00	Artikel 3
03-01	Jeder hat das Recht auf Leben, Freiheit und Sicherheit der Person.
04-00	Artikel 4
04-01	Niemand darf in Sklaverei oder Leibeigenschaft gehalten werden; Sklaverei und Sklavenhandel sind in allen ihren Formen verboten.
05-00	Artikel 5
05-01	Niemand darf der Folter oder grausamer, unmenschlicher oder erniedrigender Behandlung oder Strafe unterworfen werden.
06-00	Artikel 6
06-01	Jeder hat das Recht, ueberall als rechtsfaehig anerkannt zu werden.
07-00	Artikel 7
07-01	Alle Menschen sind vor dem Gesetz gleich und haben ohne Unterschied Anspruch auf gleichen Schutz durch das Gesetz. Alle haben Anspruch auf gleichen Schutz gegen jede Diskriminierung, die gegen diese Erklaerung verstoesst, und gegen jede Aufhetzung zu einer derartigen Diskriminierung.
08-00	Artikel 8
08-01	Jeder hat Anspruch auf einen wirksamen Rechtsbehelf bei den zustaendigen innerstaatlichen Gerichten gegen Handlungen, durch die seine ihm nach der Verfassung oder nach dem Gesetz zustehenden Grundrechte verletzt werden.
09-00	Artikel 9
09-01	Niemand darf willkuerlich festgenommen, in Haft gehalten oder des Landes verwiesen werden.
10-00	Artikel 10
10-01	Jeder hat bei der Feststellung seiner Rechte und Pflichten sowie bei einer gegen ihn erhobenen strafrechtlichen Beschuldigung in voller Gleichheit Anspruch auf ein gerechtes und oeffentliches Verfahren vor einem unabhaengigen und unparteiischen Gericht.
11-00	Artikel 11
11-00	Jeder, der wegen einer strafbaren Handlung beschuldigt wird, hat das Recht, als unschuldig zu gelten, solange seine Schuld nicht in einem oeffentlichen Verfahren, in dem er alle fuer seine Verteidigung notwendigen Garantien gehabt hat, gemaess dem Gesetz nachgewiesen ist.
11-01	Niemand darf wegen einer Handlung oder Unterlassung verurteilt werden, die zur Zeit ihrer Begehung nach innerstaatlichem oder internationalem Recht nicht strafbar war. Ebenso darf keine schwerere Strafe als die zum Zeitpunkt der Begehung der strafbaren Handlung angedrohte Strafe verhaengt werden.
12-00	Artikel 12
12-01	Niemand darf willkuerlichen Eingriffen in sein Privatleben, seine Familie, seine Wohnung und seinen Schriftverkehr oder Beeintraechtigungen seiner Ehre und seines Rufes ausgesetzt werden. Jeder hat Anspruch auf rechtlichen Schutz gegen solche Eingriffe oder Beeintraechtigungen.
13-00	Artikel 13
13-00	Jeder hat das Recht, sich innerhalb eines Staates frei zu bewegen und seinen Aufenthaltsort frei zu waehlen.
