00-00	aalamelakxaawi denegaaga sabeowi masalaate
00-01	obe aalame nenaaye kulome sabaate tafateroowi keberitene nemaaerine zayegahaasune sabeowi masalaatene meqhebaale masarite natzaanate, fetehhene salaamene sela zekxona,
00-02	nesabeowi masalaate obe gemete zayemeetaawene metehhaasene nehhelenaa wadi sabe zaqhusalane orimeenaawi tagebaaraate zaseaabane mekxwaanu , naaye zaribaane emenatene natzaanate zalawaa, kaabe ferehhene tzagamene natzaa zekxonate aalame neketehelewe zelaaala temenite daqi sabaate mekxwaanu sela zetaomenalu,
00-03	wadi sabe melekine watzeaane nemewegaade hhaayeli neketeqame meeneti kayegedade sabeowi masalaate behhegi kekxebaru odelaayi selazekxona,
00-04	obe manego haagaraate mehhezenataawi zemedenaataate nekxeaabi mehhegaaze odelaayi selazekxona,
00-05	hezebetaate wedebe hheburaate manegesetaate obe chaaretare wedebe hheburaate manegesetaate nemasaritaawi sabeowi masalaate, nekxeberene leelenatene sabeowi feture, nemaaeri masalaate daqi tabaaeteyone daqi oneseteyone zalawome emenate bemeregegaatzomene obe zesafehha natzaanate kaaa maahhebaraawi meebaalane zehhasha darijaa manabaaberone nemezeregaahhe zewasanune selazekxona,
00-06	obaale manegesetaate mese wedebe hheburaate manegesetaate bemetehhegegaaze sabeowi masalaatene masaritaawi natzaanataatene aalamelakxaawi tematane hhaalawaane meeneti kerikxebu nemetzeaare zetelebu selazekxona,
00-07	ezi telabe’zi maliu nekerigaagatze bezaaebaa ezome masalaatene natzaanataatene eziotome hhaabaaraawi genezaaba mehhaaze betaaemi odelaayi selazekxona,
00-08	selazi hhaafashaawi gubaaee wedebe hheburaate manegesetaate
00-09	kulome hezebetaatene kulome haagaraatene kesaabe hhedehhede weleqasabene kesaabe hhedehhede kefeli maahhebarite sabene nazi denegaaga ezi kulu gizee bemezekaare ezome masalaate eziotome okxeberote nekerikxebu bemesetemehaarene betemeheretene neketzeeru, kameu’wene behaagaraawene aalamelakxaawene maaebaleti segumetitaate  obe hezebetaate obaale haagaraatene obe gezeotome obe zalawu hezebetaatene hhaafashaawene geberaawene taqhabaalenatene hhaalawaane meeneti kerikxebu nazi aalamelakxaawi denegaaga sabeowi masalaate owijewo olo.
01-00	aaneqatze 1
01-01	bemanetzere keberene masalene kulome sabaate eneteweladu natzaane maaerine eyome. meseteweaalene hhelenaane zetaaadalome bemekxwaanome nehhedehhedome behhewenataawi manefase ketahhaalaalayu olawome.
02-00	aaneqatze 2
02-01	hhedehhede sabe bezarei, beqalame, betzotaa, beqwaaneqwaa, behaayemaanote, bepolatikaa waye bekaaleote orioeyaataate, bebeheere waye bemaahhebaraawi mabaqwale, behaabeti, beteweledi waye bekaaleote darijaataate odelewo enetayetagaberilu obezi denegaaga ezi naaye zesafaru kulome masalaatene natzaanataatene tatenyemi eyu.
02-02	betawasaakxi hhaada zeegaa, haagaru natzaa gezeote, bemogezite zemahhaadare, aaresa memehhedaare zayebelu waye obe tehheti zekxona yekxune luolaawi gadabe zerekabe enetakxona’wene bemekxeneyaate naaye haagaru polatikaawi, hhegaawi seletaane waye aalamelakxaawi darijaa odelewo oyefetzamone.
03-00	aaneqatze 3
03-01	hhedehhede sabe beheyewate naaye menebaare, naaye natzaanatene dehhenenatene masale olawo.
04-00	aaneqatze 4
04-01	hhedehhede sabe bebaarenate waye begileyaanate kegezaae yabelune. baarenatene naaye baareyaa negedene bezekxona yekxune malekeu kelekule eyu.
05-00	aaneqatze 5
