00-00	MASH AINTSTI IWIAKMAU AYAMPRUMATI
00-01	Juu nunkanam aintsti ankant nuya mai metekrak warasar penker pujustin awai nuka iniuiti mash aisttiniununa yasha atantin jeatsuai.
00-02	Penker inintimsamka aintsti nekachmaujai nuya timianchau inintimtakur aintsu penkeri nuya mai metekrak warasar pujutin emesmaji, tu asamti seamji ankant umasmau aarat pasenumia, turakur ankant warasar pujusarmi ii nekamujai tusar.
00-03	Aintsti inui penkeri aneakur chicham juukmakar kirak najanar ayamprumakur, aintsnaun kajerin ainiaush nepekatatji turakur kakaram wajastatji.
00-04	Penkerka juu nunkanam warasar nuya metekrak aujmatsar pujakur eemtikji iniau nuya mash aintsti takakmau.
00-05	Aintsti iwiakmauri nuya penkeri inintimtusar yajaa nunkanmaya aints iruntraru juu takatan najanawaruiti, nuwasha aishmanjai mai metek arat tusar nuya aintsan chichaman jusaruiti ikiakartai turam maimetek ankan suritkachmau emkarat juu iwiakmaunum tusar.
00-06	Mash nunkanam chichamant sumamsaruiti iruntrar aints iruntraru nuya mash nunkanmaya aintsnau ayampruktai tusar chicham jusamuiti.
00-07	Inintimsar chicham sumamasar aintsnau nuya aintsti akan pujustin chichamramka penke shirmaiti.
00-08	JUNT IRUNTRAMU
00-09	MASH NEKAMTIKMAU AINTSU IWIAKMAURI AYAMPRUMATIRI
00-10	Mashti inintimmau jusamuka, aintsti iwiakmauri mash nunkanam pant awajjsamu ati tamawiti tu asamti ii aintsti iruntrautikia ikiakartiniutji, unuimiatiniam paant jintiamu ati tiri turakur aintstiniau. nuya itiur ankan pujustiniuit nusha mash nekamu nuya arantukmau juaktatui.ii pujamunmasha nuya yaja nunkanam.
01-00	Umiktiniun iniakmauri kichik (Articulo 1)
01-01	Penker inintimsamka mash aintsti ankan, metekrin nuya nii penkerin takakui nii akiniamunmaya tu ausamti arantukmau atinuitji mai metekrak.
02-00	Umiktiniun iniakmauri jimiar (Articulo 2)
02-01	Juu chithamnumka mash aintnau ayamprumaktin takakji warinmaksha pase inintimtunitsuk, jirkauri, niniu unuimiarmaurijaish nuya kich chichamjaish, mai metek armi tamawiti.
02-02	Nusisan achuar mash nunkanam niisha pujuiniaausha, ni juntri umirin asar, maanitiuk, kajernaitsuk, mai metek ayamprunikiar penker pujusartin ainiawai.
03-00	Umiktiniun iniakmauri kampatam (Articulo 3)
03-01	Mash aintsti takakji iniu iwiakrriauri, akan pujustin nuya penker wainkamu atiniutji
04-00	Umiktiniun iniakmauri yachintiuk (Articulo 4)
04-01	Aintsti kajerkamu nuya iniarmau pujustin atsaji nuka penker surimkamuiti.
05-00	Umiktiniun iniakmauri Uwej (Articulo 5)
05-01	Yaksha asutramu, epenmiau, nuya yajasmauwa ainin jismau achatniuitji
06-00	Umiktiniun iniakmauri Iruk (Articulo 6)
06-01	Mash aintsti iniu takakji tuwinsha paant nekamu nuya kirakmamu atiniutji
07-00	Umiktiniun iniakmauri jimiaruk (Articulo 7)
07-01	Umiktin kirakjai jismasha mash metekraitji nuya mash ayamprukmau atin yash menankichmau achatniuiti.
08-00	Umiktiniun iniakmauri mena (Articulo 8)
08-01	Mash aintsti iniu ayamprumaktin takakji juunt iruntramunam nuya ayamkar iniu ayamprumaktin kirakmamun uminiachmati.
09-00	Umiktiniun iniakmauri Ipiak (Articulo 9)
09-01	Yaksha kakarmajai achikiar jea tanishmarmaunam epenmiau nuya asutramu archatnuiti.
10-00	Umiktiniun iniakmauri maiwej (Articulo 10)
10-01	Mash aintsti iniu ayamprumaktin takakjimetekrak anturnaikiatin nuya umirnaikitin tura aintsan wari chicham akuisha penker nekarnaiya iwiaratin.
11-00	Umiktiniun iniakmauri maiwej kichik (Articulo 11)
11-00	Mash aintsti iniu takakji ayamprumaktin warinsha najanachu arinink nankamir tsanumamu akur, umiktin kirak najanamu ayamprutmaji, pant nekamu nuya penker iwiarama juakat tinia.
11-01	Umiktin kirakjai jisam warish atsau wainiatur yaksha pase umakmau atsutnuiti nuya aintsan nuna pase najanatin atsawai.
12-00	Umiktiniun iniakmauri Maiwej jipiar (Articulo 12)
12-01	Yaksha nii iwiakmaurin, nii weurijiai ni jeent pujau nuya tuwinsha pujau pase umakmau nuya aintsan kajerkamu awatramu achatnuiti nuna ayamprutmaji umiktin kirak najanmauka.
13-00	Umiktiniun iniakmauri maiwej kampatam (Articulo 13)
13-00	Juu nunkanmanka mash aintsti iniu takakji ankan ii wakeramu wekasatin, irastin nuya aintsan ii pujustin wainkatin.
13-01	Mash aintsti iniutakakji yajaa nunkanam irastin, ii nunkencha nuya aintsank irasar iniu nunken waketkir pujustiniun.
14-00	Umiktiniun iniakmauri maiwej yachintiuk. (Articulo 14)
