00-00	Yiith e raan ci caal e pinynhoem
00-01	Nae caa atheek toe e baai thoek e thai yic gaem ku yithken thong toe e nyiinken, kek aalau enhom ku thong, ku doer e pinynhom.
00-02	Ku nae ci yiith e raan mar ekoc nhiim, ku dhalkek bi kuoec loeoei bei epion e raanic, ku  aye raan thoek eben waai bi ben epinynhom bi raan liek e lau enhom e jamdeic, ku theek yanhde, ku ci ben rioc, ku ngong.
00-03	Ku na peth bi loeoeng raan aakoeuny, bi raan cii nyany e rin ekoeuc loeui ye loeui yen, ku teng enyin piny.
00-04	Ku nae ci wut ethai matyiic, yen gam e coek eloeoengiic loen de raan yith teem kua theek, ku na thoeng moec nhoem kek e tik e yithiic kua ci teem bik roet aakoeuny bi pir piath baai ku leu yic.
00-05	Ku na ci bei toe akutic gam bik ka cin mat kek akut e mawuut epinynhom(UN), bik yith e raan ku lau enhoem kua theek aatiit.
00-06	Ku na ngic eben loen e yith kak ku lau enhoem aleng koeuny dit kua thek e gem gem ken yic.
00-07	Ka kut dit adhel.
00-08	coeoet eceel ken yic erin yith e raan, erin yen e ten eroem ethai eben thin, ku(UN), wic bi raan tic e ciengic ku teu ka nyiin piny eceel ken yic, bi athek eyith ku lau enhoem kak coek coekpiny edhoel epioc ku weet ku cer cer ebaiyic ku pinynhoem bi bik tiit. epiny nhoem eben ekem ebei toe akutic, ku thai awen rer toe eke cin.
01-00	Wien 1
01-01	Raan thoek eben aye dheeth ka lau nhoem kua thoeng nhiim eyithiic, kua thekic, kua ci yeknhiethku puou, ku bik ceng ka ke ye mith etik.
02-00	Wien 2
02-01	Raan eben aleng yic bi liek eyithiic ku lau enhoemic eceel kenic ka ci tektek ethoek etiel ekuat, ku kit, kemen thai ku thoek ku yanh etheek ku wel ebai kmen wet det loei e rot kemen bai ku cieng bai kemen jeek ku dheth kemen kuat etau det loei e rot ka cin tektek ethoek ekem moe ku tik.
02-02	Ku cit te wen ci yen luel, acin tiel toe e wel ebai yic ku loeoeng ku kem ebei ku ten wen rer eraan thin pan ceng kemen ci ceen kemen aci roet mac eroet, kemen toe eraan det cin.
03-00	Wien 3
03-01	Raan thoek eben aleng yic bi pir ku leu nhoem ku le lang.
04-00	Wien 4
04-01	Kuat  eraan acii leu bi kool kemen bi loony kuat epec ku loony  thok eben aci peen.
05-00	Wien 5
05-01	Raan thok eben aciben e leeng kemen bi koeuc yoeng ci min elai, keme bi joor bi ci thek.
06-00	Wien 6
06-01	Raan thok eben kuat et ci yen yok thin aleng yic bi gam ka ye raan lengyic eloongiic.
07-00	Wien 7
07-01	Raan thok eben aathong nhiim eloong nhiim, kua len yic bi liek ekoeuny thong nhoem ka cin tiel bi loong kak tiit.
08-00	Wien 8
08-01	Raan thok eben alen yic bi luk ebanypanden nhiimbi yicde yok ci min eyith tueng e loong kek gam yen.
09-00	Wien 9
09-01	Ran thok eben aci leu bi doem kemen dampiny, kemen coeb ewei baai edieny.
10-00	Wien 10
10-01	Raan thok eben aleng yic bi nhoem agit ka koc kok, bi lungde ting elueok pathiic bi yek yicde ekoc nhiim ku kak ci gaemroet, ku kuat emeny ci yen meeny goeup.
11-00	Wien 11
11-01	Kuat eraan ci meeny, acin goeup awuc get te bi long yen nyooth lon le yen goeup awuc ekoc nhiim ku kony bi rot koeuny bei.
11-02	Raan aci luk ewei erin eken ci loei kemen ci kuec bi loei, ke ce yen awuc ye long ebaai nyooth, kemen long epinynhoem, te wen yen looi yen rot thin.
12-00	Wien 12
12-01	Acin raan ekeec epir eraande yic, kemen pande ku gonde kua thorkeiic kemen bi dhol ku rec erin edieny, ku raan eben aleng yic bi long koeuny ekak cit ekak yiic.
13-00	Wien 13
13-01	Raan eben aleng yic bi ceeth te wic ku loc te den ereer egan akeu thok eben ebaai yic.
13-02	Raan eben aleng yic bi la te wic epiny nhoem agut panden kua len yic bi dhok thin.
14-00	Wien 14
14-01	Raan eben aleng yic bi kook pandet, kemen bi them bi kook thin ka kat ekoeuc cieng.
14-02	Kuat eraan ci kang yath elukic awuc ca awuc ewel ebaai kemen bi lui eke ce roem kek eloong (UN), acii leng yic bi liek eyic ken yic.
15-00	Wien 15
15-01	Raan eben aleng yic bi rot yek anyoeoeth loen eyen ran ebaai.
15-02	Aci leu bi raan pen wer erot edieny, kemen bi jai loen ci yende yic bi rot war.
16-00	Wien 16
16-01	Moc ku tik te ci kek roun etheek doeoet, aaleng yic bik ker eboei ku loeike mith ka cinic ale kemen yath kua leng yiith thoeng nyiin ethiekic ku loui yic ku poek yic.
16-02	Thiek ci loi ka kic ekoc thiek rot gaem kua ci mec ekek.
