00-00	kpooloo meen be bena komishona baha wa tina adhama deeng la toobaha la koowa
00-01	kang mu mohin jii sii i boe nuan bee siiye ma, kemu a tong adhama deeng, hin kemu moen kpee lo kangndee mu a la solee be moen ta toobaha mu mo beeee kung a bowa a booloo (mo beeee kung a ma baiya a la), a wa tiya loong lumaan koo kuma ka la koowa, hin ki ti tangndeeee, hin kule sama la koowa dhuunyaan ma,
00-02	kang mu mo ma koo hin baha ka mo nuan toonyaan nu ma, toonyaan lei mu nu mo beeee kung adhama deeng ma baiya anu la, anda ti sabu koo kpeeee jahaya nyaanma nuan adhama deeng nu fala biya anu kungndo kiiye nu lo, hin kemu sahamahin kpe we dhuunya meen ma ba nda mu adhama deeng nu kung anu taha fowa koo nu lo, hin kemu anu kuma kpasang kooi ti, amu anu ma ti mihinnyaan be feeng woooo lo, kule la sooma we ke koo nu me mo majiileeee nu falaha nu solee be anu la gboong,
00-03	kang mu a be beena kemu mo beeee fahanyaan mo ma hanli ai too a fo ke a kung kila mu loo biyaha a tiya kemu ai tiling so manja ja nyaanma jaha, ke a be beena kemu sawaha nyeilee nuhin ti anuhin adhama deeng nuan toonyaan nu kuma fee, toonyaan lei mu nu mo beeee kung mo nu mabaiya anu la,
00-04	kang mu a be beena kemu mohin kong so ndiyamoja beena koo booloo kung nu temaan lo,
00-05	kang mu unaite neeshong moen nuan sahatiye jeeya lo aha la lii anuan kpasangngen ma seenjee toonyaan meennu nu lo adhama dee ng nuan koowa, bee sii be koolooyaha mu be adhama deeng la koowa, hin kemu toonyaan londoe wa be kaiye nu be musuye nuan koowa, amu a be anu lo anuhin kong so tahajaha koo moen nu fiya boe nuan koowa, anu yahanuan dhuunyaan lo tiye beena hin fala bong luma tangndee lo,
00-06	kang mu booloo kung mu nu be kule londo meen lo, anda anu wangga beeee anuhin so ke unaite neeshongngen fe anuhin koo meennu nu tahaye, anuhin so a lo kemu bee siiye kpeei beeee kooee nu lo a la sole adhama deeng nuan tonyaan be anuan manja deengjaha la koowa,
00-07	kang mu koo gbeeng gbeengngen tiya kemu moen kpeei toonyaan meennu nu hin kuma kaha nu ja jee kemu anu kung lahii meennu nu kpee tahayeha,
00-08	koomu we,
00-09	booloo kung lasoongngen,
00-10	be a mana moen kpee yaha so ke koo meen mu nu dhuunyaan gometiye (manjajaha) nu kule saha anu ma a la solee adhama deeng la toonyaan nu la, ai ti koo tahaye kii londoe koo moen nu kpee hin boolooee nu kpee la koowa, kemu a labangngen lo mo londo gbi hin kang gbi adhama deeng nu te, wahati mu anuhin koowaee kule meennu nu sowa tung mo nu kungndo, anu yaha biyaha anu dhi la anuhin kong so toonyaan meennu nu be kuma ka meennu nu koo, lei mu anuhin mo nu kaha anuhin mo nu sowa kila ma, amu anuhin taha jaha loo koo meennu nu lo moen nu te booloo kungngen nu temaan lo, hin we moen kemu nuhin tiya lumaan nu ma anuan kitiye koo.
01-00	sawaha seenjeenaan (1)
01-01	adhama deeng nu gbi tong manja deeng nu wa anuan wooloo kiiye fe, amu bee sii londoe wa be anuan koowa. anda koo temaan lo ka so amu anu fala be. koomu anuhin koo nu tahaye lei la kemu nehin nyoon la kung tiya anu te.
02-00	sawaha felanaan (2)
