00-00	XALK-ANTALAP TIN PUTAT AN CHABAL XOH-NI NI KO-YAL AN INIKTSIK
00-01	JELATAK balkin taxk-a tín bajun, an tdo-lid aní an alwatalap an ti chabal in ko-yal anytsubaxtalap aní wa xalk-anal an ti inktal aní xoh-ni ni ko-yal jayechek-í ani kuentsal nap kuajat ti juni k-imad;
00-02	JELATAK antáh úlnal bal na ba-wa exlap aní ba-wa dah-nal ti kuenta xoh-nín k-alan nik dah-jáme xeh-ní ban tomnal teen tsiyame nin chalap an inik, aní ulumejích bal jach ni max d-ek-at xoh-nin chalpayal an anik, wa aytsiyap juníh chalap-lap k-al an iniktsix nay jek-amalich an jik-eplapap an ch-ontal talap, ki ko-oy i kanat-talap k-alih kawintal aní k-ali belomtal;
00-03	JELATAK an ta ulnal bal nin alwa-xoh-ni nin ko-yal an iniksix kip k-anedhá xonti kin uluw juníh dhutsat uw balan inik ba-ka dh-ajan kin dh-ajá xoh-ni ban lee K-al nay ko-yal in chap aní i cha-akal jun.
00-04	JELATAK anta ulnal jayechek-í nin chap ka dhá-jan yan exlomnawal k-al éhtal an bitsow.
00-05	JELATAK anta ulnal balan bitsow na ch-ikik an oklap k-alan pak-dha bitsow i ulumal ti junih uw, balan tsubaxtalap xoh-nin ko-yal an inik, jayechek-í nin chálap an inik jelat an uxum, aní xonti ulumal bal neech kíh dhá-ya juníh kuensal dho-lap aní neech jaye t-ekba an k-wahtalap léh tajax an xe-chintalap;
00-06	JELATAK balan bitsow ni nap kwa-tsik bal ki dha-já aní kí léhkiy, kwujaljunax k-alan ok-lap k-al éhtal an bitsow, kí k-ak-ná ti ba tin pubel an chabal, tin éhtal k-alan tsubaxtalap xoh-nín ko-yal an anik, i
00-07	JELATAK max junay antip wah-chinenek balkí éhtow kí k-aniy ti ba yach ni max alwa balki éhtow ki dha-já xoh-ni ni ulumal.
00-08	Xontip Junkum An Yanel Ulun
00-09	Na úlun ti pubel an chabal k-al xoh-ni ni ko-yal an iniktsik kuensal i úluw an bitsow na ch-itsik ani na pak-dhá ko-yal ki dha-já ichap, bal kuensal an iniktsik jelat an pak-dha atá xontip kwua jil an dho-litsik kíp neech táhbayat bal ki ehdha-kí dhá-ya k-alan oktsixtalap aní an ajumtalap ka wahchin k-aknaxtalap kí k-akna ti ba bal ka k-aléh ti d-ek-el tee ti chabal, tamti exlajich aní dha-janich tin pubel an chabal aní alwa, aní lujúts jelat antí ch-it-sik bitsow aní an pak-dhá bitsew nap ok-lap ip kwatsikich i chútal.
01-00	Artículo 1°
