00-00	DISKLERIADUR HOLLVEDEL GWIRIOU MAB-DEN
00-01	–O vezañ ma’z eo war anaout an dellezegezh enstag ouzh holl izili an denelezh hag o gwirioù par ha diwerzhus eo diazezet ar frankiz, ar reizhded hag ar peoc’h,
00-02	–o vezañ ma’z eo war dizanaout ha dismegañsiñ gwirioù mab-den eo bet ganet an aktoù a varbariezh a sav koustiañs mab-den en o enep, ha ma’z eo bet embannet eo donedigezh ur bed a vo ennañ gant an dud frankiz da gomz ha da grediñ, dieubet ma vint diouzh ar spont hag an dienez, a zo mennad uhelañ mab-den,
00-03	–o vezañ ma’z eo ret-holl diwall gwirioù mabden gant reolenn al lezenn evit na vefe ket rediet an dud d’en em sevel ouzh an tirantegezh hag ar gwaskerezh da rekour diwezhañ,
00-04	–o vezañ ma’z eo ret-holl kas war-raok an darempredoù a vignoniezh etre ar broadoù,
00-05	–o vezañ ma’z eo bet embannet adarre er Garta gant pobloù ar Broadoù-Unanet o feiz e gwirioù diazez mab-den, e dellezegezh ha talvoudegezh mab-den, e parded ar baotred hag ar merc’hed en o gwirioù, ha ma’z eo bet disklêriet ganto e oant mennet da gas war-raok an diorroadur kevredigezhel ha da wellaat an aozioù-buhez en ur frankiz vrasoc’h,
00-06	-o vezañ ma’z eo bet gouestlet gant ar Stadoù-Ezel diogeliñ, gant kenlabour Aozadur ar Broadoù-Unanet, an doujañs hollvedel ha gwirion ouzh gwirioù mab-den hag ar frankizioù pennan,
00-07	–hago vezañ ma’z eo a bouez bras kengompren ar gwirioù hag ar frankizioù-mañ a-benn seveniñ ar gouestl,
00-08	EZ EMBANN
00-09	AR VODADEG-VEUR
00-10	DISKLERIADUR HOLLVEDEL GWIRIOÙ MABDEN
00-11	evel uhelvennad boutin da vezañ diraezet gant an holl bobloù hag an holl vroadoù, d’an holl dud hag ensavadurioù, gant an Disklêriadur-mañ atav en o freder, da lakaat kreskiñ dre ar c’helenn hag an deskadurezh, an doujans ouzh ar gwirioù ha frankizioù-mañ, d’o lakaat da vezañ anavezet ha sevenet tamm-ha-tamm da vat hag e pep lec’h, dre ziarbennoù broadel hag etrevroadel, koulz e-touez pobloù ar Stadoù-Ezel hag e-touez ar re zo war zouaroù dindan o lezennoù.
01-00	Mellad unan (1)
01-01	Dieub ha par en o dellezegezh hag o gwirioù eo ganet an holl dud. Poell ha skiant zo dezho ha dleout a reont bevañ an eil gant egile en ur spered a genvreudeuriezh.
02-00	Mellad daou (2)
02-01	Da bep hini eo an holl wirioù ha frankizioù embannet en disklêriadur-mañ, hep ket a ziforc’h, a ouenn, a liv, a reizh, a yezh, a veno politikel pe a veno all, a orin broadel pe gevredigezhel, a leve, a c’hanedigezh pe a natur all.
02-02	Ouzhpenn-se ne vo graet diforc’h ebet hervez statud politikel, lezennel pe etrevroadel, arvro pe an dachenn-vro emañ an den dindan he lezenn, pe dizalc’h pe dindan verezeh e ve, diemren pe bevennet hec’h aotrouniezh en ur stumm bennak.
03-00	Mellad tri (3)
03-01	Gwir a zo gant pep hini d’ar vuhez, d’ar frankiz, ha d’an diogelroez evitañ.
04-00	Mellad peuar (4)
04-01	Ne vo dalc’het den er sklaverezh nag er sujidigezh; berzet e vo kement stumm a sklaverezh hag a werzhañ-sklaved.
05-00	Mellad pemp (5)
05-01	Ne vo lakaet den da c’houzañv ar jahinerezh, na doareoù pe kastizoù kriz ha didruez.
06-00	Mellad c’hwec’h (6)
06-01	Gwir pep hini eo e vefe anavezet e bersonelezh lezennel e pep lec’h.
07-00	Mellad seizh (7)
07-01	Par eo an holl dirak al lezenn ha gwir o deus da vezañ diwallet ganti. Holl o deus gwir da vezañ diwallet heñvel diouzh kement gwallziforc’h a dorrfe an Disklêriadur-mañ ha diouzh kement tra a zegasfe seurt diforc’hioù.
08-00	Mellad eizh (8)
08-01	Pep hini en deus gwir da gaout digoll gwirion dirak lezioù-barn broadel kenveliek evit oberoù o dije torret ar gwirioù diazez anavezet dezhañ gant ar Vonreizh pa al lezenn.
09-00	Mellad nav (9)
09-01	Den ebet ne vo harzet, bac’het pe harluet diouzh c’hoant.
10-00	Mellad dek (10)
10-01	Ur gwir par da hini ar re all a zo gant pep hini da vezañ klevet dirak an holl ha gant reizhded gant ul lez-varn dizalc’h ha neptu, dezhi da dermenañ e wirioù ha dleadoù hag an tamalloù graet dezhañ.
11-00	Mellad unnek (11)
11-01	Digablus eo kement den a zo tamallet dezhañ ur felladenn ken na vo prouet eo kablus hervez al lezenn en ur prosez digor d’an holl ma vo bet diogelet dezhañ an holl wareziou ret d’en em zifenn.
11-02	Ne vo kondaonet den ebet en abeg da oberoù pe da nannoberoù ha ne oant ket felladennoù hervez ar gwir broadel pe etrevroadel d’ar mare ma oant c’hoarvezet. Den kennebeut ne vo barnet d’ur c’hastiz kreñvoc’h eget an hini a oa hervez al lezenn d’ar mare ma oa bet graet ar felladenn.
12-00	Mellad daouzek (12)
12-01	Den ebet ne vo emellet diouzh c’hoant en e vuhez prevez, e diegezh, e annez pe e lizhiri, ha ne vo ket stoket ouzh e enor nag ouzh e vrud. Pep hini en deus gwir da gaout gwarez digant al lezenn diouzh emelladennoù ha tagadennoù a seurt-se.
13-00	Mellad trizek (13)
13-01	Pep den en deus gwir da vont ha dont en e frankiz ha da zibab e annez e diabarzh ur Stad.
13-02	Pep den en deus gwir da guitaat ne vern pe vro, da guitaat e vro-eñ zoken ha da zont en-dro dezhi.
14-00	Mellad pevarzek (14)
14-01	Pep den en deus gwir da glask repu ha da gavout bod e broioù all pa vez heskinerezh.
14-02	Ar gwir-mañ n’haller ket daveiñ dezhañ pa vez klask war un den gant gwir abeg evit torfedoù a genwir pe evit oberoù kontrol da balioù ha pennaennoù ar Broadoù-Unanet.
15-00	Mellad pemzek (15)
15-01	Pep den en deus gwir da gaout ur vroadelezh.
15-02	Den ebet ne vo tennet e vroadelezh digantañ nag ar gwir da gemmañ e vroadelezh diouzh c’hoant.
16-00	Mellad c’hwezek (16)
16-01	Gwir o deus ar wazed hag ar merc’hed adalek an oad da zimeziñ, ne vern o gouenn, o broadelezh, pe o relijion, da zimeziñ ha da sevel tiegezh. Gwirioù par zo dezho e-keñver an dimeziñ, e-pad ar briedelezh hag e-keñver an dibriediñ.
16-02	Ne c’hell bezañ dimeziñ ebet hep asant gwir ha dieub an danvez-priedoù.
16-03	An tiegezh eo maen diazez naturel ar gevredigezh, ha gwir en deus da gaout gwarez ar gevredigezh hag ar Stad.
17-00	Mellad seitek (17)
17-01	Pep den en deus gwir da vezañ perc’henn e-unan pe a-gevret gant tud all.
17-02	Den ebet ne vo tennet e berc’hentiezh digantañ diouzh c’hoant.
18-00	Mellad triwec’h (18)
18-01	Pep den en deus gwir da gaout frankiz ar soñj, ar goustiañs hag ar relijion; er gwir-mañ emañ ivez ar frankiz da gemmañ e relijion pe e gredenn, hag ivez ar frankiz da ziskuliañ e relijion pe e gredenn, eunan pe a-stroll, dirak an holl pe en-prevez, dre ar c’helenn, an oberoù, an azeulerezh pe al liderezh.
19-00	Mellad naontek (19)
19-01	Pep hini en deus gwir d’ar frankiz d’ober e veno ha d’en disklêriañ, da lavarout eo gwir da chom hep bezañ trubuilhet en abeg d’e vennozhioù, gwir da glask, da resev ha da skignañ keleier ha mennozhioù, dre n’eus forzh pe zoare disklêriañ, hep teurel pled ouzh an harzoù.
20-00	Mellad ugent (20)
20-01	Pep den en deus gwir d’ar frankiz d’en em vodañ ha d’en em gevreañ e peoc’h.
20-02	Den ne c’hell bezañ rediet da vezañ ezel eus ur gevredigezh.
21-00	Mellad unan warn-ugent (21)
21-01	Pep hini en deus gwir da gemer perzh e gouarnerezh e vro, war-eeun pe dre hantererezh dileuridi dibabet hep gwaskerezh.
21-02	Pep hini, par d’ar re al, en deus gwir da gaout kargoù publik en e vro.
21-03	Youl ar bobl eo diazez aotrouniezh ar galloud publik; disklêriet e vo ar youl-se e dilennadegoù onest ha mareadek gant mouezhierezh an holl, dre baperennoù kuzh pe dre zoareoù mouezhiañ kevatal o tiogeliñ frankiz ar vouezhiadeg.
22-00	Mellad daou warn-ugent (22)
22-01	Pep den, evel ezel eus ar gevredigezh, en deus gwir d’ar c’hedskor ha da gaout e walc’h eus ar gwirioù armerzhel, kevredigezhel ha sevenadurel en deus ezhomm evit e zellezegezh ha diorroadur dinask e bersonelezh a-drugarez d’ar strivadeg vroadel ha d’ar c’henlabour etrevroadel, en ur zerc’hel kont eus aozadur ha pinvidigezh ar vro.
23-00	Mellad tri warn-ugent (23)
23-01	Pep den en deus gwir da labourat, da zibab al labour a gar, da gaout aozioù labour reizh ha dereat, ha da vezañ gwarezet diouzh an dilabour.
23-02	Pep den en deus gwir, hep gwallziforc’h ebet, da gaout an hevelep gopr evit an hevelep labour.
23-03	An neb a labour en deus gwir da vezañ paeet reizh ha mat evit ma c’hellfe, eñ hag e diegezh, bevañ en un doare a zere ouzh dellezegezh mab-den, ha mar deo ret ouzhpenn, da gaout gwarez kevredigezhel dre hentoù all.
23-04	Pep den en deus gwir da sevel sindikadoù pe da emezelañ enno evit difenn e lazioù.
24-00	Mellad pevar warn-ugent (24)
24-01	Pep hini en deus gwir da ziskuizhañ ha da gaout lezir, da gaout un amzer-labour bevennet poellek ha vakañsoù mareadek paeet.
25-00	Mellad pemp warn-ugent (25)
25-01	Pep den en deus gwir da gaout ul live-bevañ dereat evit e yec’hed, e aezamant ha hini e diegezh da lavarout eo: boued, dilhad, lojeiz, skoazell ar vezegiezh hag ar servijoù kevredigezhel zo ezhomm; gwir en deus ivez d’an diogelroez ma c’hoarvez dezhañ bezañ dilabour, klañv, mac’hagnet, instañvet, kozh, pe koll an tu da gaout peadra da vevañ en desped dezhañ.
25-02	Ar mammoù hag ar vugale o deus gwir da gaout harp ha skoazell dreist an holl. An hol vugale, ganet eus tud dimezet pe dizimez, o devo ar emmes gwares kevredigezhel.
26-00	Mellad c’hwec’h warn-ugent (26)
26-01	Pep den en deus gwir da gaout deskadurezh. Digoust e tle bezañ an deskadurezh, da vihanañ an deskadurezh kentañ ha diazez. Ret ha dleet eo ar gelennadurezh kentañ. D’an holl e tle bezañ kinniget ar gelennadurezh teknikel ha micherel, d’an holl e vo roet tu d’ober studioù uhel hervez o dellid.
26-02	Pal an deskadurezh eo diorren personelezh mab-den ha lakaat doujañ muioc’h gwirioù mab-den hag ar frankizioù diazez. Drezi e klaskor kreskiñ ar c’hengompren, an habaskted hag ar vignoniezh etre an holl vroadoù hag an holl strolladoù a ouenn pe a relijion disheñvel, hag ivez kas war-raok obererezh ar Broadoù-Unanet evit derc’hel ar peoc’h.
26-03	An tadoù ha mammoù, da gentañ, o deus gwir da zibab an doare deskadurezh a vo roet d’o bugale.
27-00	Mellad seizh warn-ugent (27)
27-01	Pep hini en deus gwir da gemer perzh evel a gar e buhez sevenadurel ar gumuniezh, da gaout dudi gant an arzoù, da gemer perzh en araokadeg ar skiantoù ha da gaout e lod eus ar madoù degaset ganti.
27-02	Pep den en deus gwir da gaout e lazioù speredel ha danvezel deuet diwar an oberennoù skiantel, lennegel pe arzel savet gantañ.
28-00	Mellad eizh warn-ugent (28)
28-01	Pep hini en deus gwir e renfe un urzh kevredigezhel hag etrevroadel a c’hellfe bezañ peursevenet enni ar gwirioù ha frankizioù embannet en Disklêriadur-mañ.
29-00	Mellad nav warn-ugent (29)
29-01	Pep den en deus dleadoù e-keñver ar gevredigezh, al lec’h nemetañ ma c’hell peurziorren e bersonelezh en he frankiz.
29-02	En e wirioù hagen e frankiz ne c’hell pep hini bezañ bevennet nemet gant al lezenn ha nemet evit diogeliñ ma vo anavezet ha doujet gwirioù ha frankizioù ar re all hag evit klotañ gant ezhommoù reizh ar vuhezegezh, an urzh publik, hag aezamant an holl en ur gevredigezh demokratel.
29-03	Ar gwirioù ha frankizioù-mañ ne c’hellor, war zigarez ebet, ober ganto a-enep da balioù ha pennaennoù ar Broadoù-Unanet.
30-00	Mellad tregont (30)
30-01	Pennad ebet eus an Disklêriadur-mañ ne c’hello bezañ komprenet evel pa rofe gwir d’ur Stad, d’ur strollad pe d’un den, da ober pe klask ober traoù abenn distrujañ ar gwirioù hag ar frankizioù embannet amañ.
