00-00	RUNAKUNA RESPETACHIKUNANPAQ LEY RURAPÄKONQAN KAYNUYMI QALAYKUNAN
00-01	Lapan runa libri kananpaq, mana pipis runa masinta jarupánanpaq, juchayoqta kastigananpaq, juchaynaq mana kastigasha kananpaq, piwansi runa masinwan mana pelyar mana liytur kushisha kawapákunanpaq kay pachach'u, mayna kaykan rurashana runa kayninta mana qech'unanpaq, chaynuy lapan iwal-la kananpaq, lapan runa chay kastanuyla kananpaq;
00-02	Runakuna respetachikunanpaq kanqanta mana reqermi y rikaykarpis jarukuypa ushayninpa mana kaqkunata rurasha, kanan chayta rikaykurmi rabyanasha. Lapan runakuna alich'u kananta munarmi kaynuy willakuykan. Kay rasunpa ali kawayman lapan runakunapis yaykunan, mana imapitasi manchakular, mana imapitapis pishipakular kushisha kawapäkuchun. Chay munanqannuy parlapäkonqan y munanqannuymi yärakärenqa.
00-03	Kaynuymi rurakanman rasunpa runakuna respetasha kananpaq. Chaynuypa runakuna mana kontran kayta yarpanqachu mandukunapaq ali ruraptenqa. Y mana alí ruraqkunata qarqonanpaq.
00-04	Chaynuymi imata rurananchipäsi rurakasha wakin nasyunkunawansi ali imach'üsi yanapänakur imata rurarsi kawananchipaq mana liytur mana pelyar kushisha.
00-05	Lapan nasyunkuna chaych'üraq eskribipäkusha yärakuyninta, rasunpa alim shumaq alim nipäkusha runakuna imanuy respetachikunanpaq kaykaqta, lapan runakuna alipaq rikasha kananpaq kanqanta musyar. Chaynuy olqo ni warmi kaqpis juknin jukninpis iwal respetasha kananpaq. Chaynuy willakasha lapan kawaq runakunapaq imatapis ali rurayta y mas ali libri runa kawananpaq.
00-06	Lapan runakuna nasyunkunapita qotukaqkuna nipäkusha rasunpa kay kumplikanqa. Lapan chaych'u nasyunkuna kaq shumaq respetänakunanpaq. Chaynuy imach'üsi kuyanakur willanakur imasi libri ali kaqta rurakärinanpaq y
00-07	Lapan runapis juk yarpayla respetachikunanpaq y mas libri lapanta shumaq rasunpa kumplichinanpaq;
00-08	ASAMBLEA GENERAL NIRAN ENTERO MUNDUCH'U
00-09	RUNAKUNAPAQ KAYNUYMI WILLAKUN KAY LEYKUNA RUNAKUNA IMANUY RESPETACHIKÄRINANPAQ KANQAN
00-10	Lapan juk yarpaylaman yarpananpaq, marka nasyunkuna uch'äkunan imanaypasi lapan runakuna mandukuna chayman yärakur rurapäkunanpaq. Lapan yärakur yach'achinakunanpaq, runa imanuy respetachikunanpaq y libri imapitapis kananpaq. Chaynuy yarpänan imasi ali rurayta nasyunninch'u juk nasyunkunawan. Chaymi kaykunataqa lapan musyapäkunan y rasunpa rurapäkunan. Chaynuymi lapan nasyunkunapita qotukaqkunaqa rurapäkunan, y wakinkaq nasyunkunapa rurinch'u kaq markakunapis.
01-00	JUK KAYNUYMI NISHA (1)
01-01	Lapan runa kay pachach'u yurin libri kawananpaq, lapanchinuy iwal respetasha kananpaqmi, mana pipis jarupänanpaq, lapanpis iwal yarpach'akuy yach'aqmi, alita mana alita tantiyar kawananpaq. Chaynuy runa masinwan juknin jukninwan kuyanakur kapäkuchun
02-00	ISHKAY KAYNUYMI NISHA (2)
