00-00	ADAMA XAFE RAFALƐ SARIYƐE DƐNTƐGƐ
00-01	A kolon fera, ibunadama xa lasiriya nun axa adamaya xafe rafalɛ non findixi yɛtɛralui tigitigira, a bara masen won bɛ, a tinxinyi nun bɔɲɛ sa bara sɛnbɛ sɔtɔ dunuya birin kui.
00-02	A kolon fera, adamaya xafe sariyɛe mu mabanbanxi han to i bunadama yira, nafe naniɲɛ xi funmalaya, gere, gbaloe nun misikinɛ ya mu ɲɔnma. Kɔnɔ xabirin bara na sariyɛe ratinmɛ, gbaloe ɲɔnmanɛ, gere ɲɔn, funmalaya nun misikinɛ ya ɲɔn. I bunadamaya bara rasabati natɛ mui.
00-03	A kolon fera, adamaya xafe rafalɛ sariyɛe rasabatife findixi fe fanyi nan na, alanma ibunadamaya xun xa magaga mangɛ sanyi sariyɛla yira.
00-04	A kolon fera, a ɲamanɛe xa xanunteya sɛnbɛ sofe e bore tagi, sugandi fanyi nara.
00-05	A kolon fera, a O.N.U. xa masenyi, i bunadamaya sariyɛe tigitigi rasabati fe findixi xaxili fanyi nan na, alanmanɛ: ginɛ nun xamɛ xa suxu laxalɛ keren, a xa masen e bɛ, ɲama xa yiriwɛ sɛnbɛteyafe sabui gbegbe lanxi e tan ma.
00-06	A kolon fera a ɲamanɛe naxe birin manaxi O.N.U. kui e bara nɛtɛ tongo adamaya xafe rafalɛ sariyɛe ratinmɛ fera, na niyɛ manɛ ibunadamaya xa mabanban.
00-07	A kolon fera a birin lanmafe nara yi sariyɛe nun yi yɛtɛra lui tide gbofe, na nɔmanɛ a niyɛde layidi ratinmɛ.
00-08	Malanyi xungbe bara amasen
00-09	ɲamanɛe xa yi masenyi adamadi suxukima ɲama nun ɲamanɛe birin yira alako a lufera xun dɛe birin sondonyi ma xaranyinun lɔnni sabura, na binyɛ nun sariyɛe rasabatifera ɲamanɛ kui nun a farima.
01-00	Sariyɛ singe (1)
01-01	Adamadie birin barixinɛ e lan yɛtɛralui kui, yɛtɛ kolonyi nun yɛtɛ suxu kima. Fondoe nun faxamui na e bɛ boresuxu kima bariboreya fanyi kui.
02-00	Sariyɛ firinde (2)
02-01	Kankan nɔma a tukude yi sariyɛe ra, ana dangi nara fisamanteya yo man mu luma mixi bɛ akelide sabura, axa bɔxi raɲɛrɛki sabura yegeti keren mu naxan kui a siɲɔxɔya kima, fate ɲingi kima, a xui kima, a fɛrɛ kima, a dinɛ kima na sa fatan ɲamanɛe ra xanamu ɲama ndee ra, fɛrɛ kima xanamu kigbɛtɛ nana sa fatan dɛdɛra kɔnɔ naxan nɔɛ nde bun xanamu dansaxi naxan xa yɛtɛralui ma.
03-00	Sariyɛ saxande (3)
03-01	Baloe wayibiya birin bɛ, marafulunyi nun xaxilisa.
04-00	Sariyɛ naninde (4)
04-01	Ndende mulan alu konyiya nun ɲaxankatɛ kui. Konyiya nun ibunadama sarɛ bara ratɔn akɛɲa birin ma.
