00-00	Ауаҩытәыҩса изинқәа Зегьеицырзеиҧшу Адекларациа
00-01	Дызусҭзаалак, ауаатәыҩсатә ҭаацәара иалахәу иҳаҭыри, иара иузиҟәымҭхо имоу изинқәеи, ахақәиҭреи, аиашареи, адунеижәларбжьаратәи аҭынчреи шьаҭас ишрымоу хшыҩзышьҭра азуа,
00-02	иара убас ауаҩы изинқәа ратәамбареи хырҩаа рымҭареи, ламыс змоу дарбанзаалак изымычҳаша агыгшәыгратә хымҩаҧгашьа аҟынӡа ауаҩы дышнанагахьо еилкааны, насгьы ауаҩы иажәеи идунеихәаҧшышьеи дрықәиҭны, ашәареи амамзаареи дыдмыргәаҟуа – адунеи иахьабалак абри аҩыза аҧсҭазаара аҧҵара ауаҩы зегь иреиҳау игәыҕрақәа ишыруакыу хшыҩзышьҭра азуа,
00-03	иара убас, ауаҩы аџьамыҕәеи ахәуреи иаартны дырҿамгылар ада царҭа имамкәа аҟынӡа инамгараз, ауаҩы изинқәа азакуан амчра иамыхьчар ада ҧсыхәа шыҟам хшыҩзышьҭра азуа,
00-04	иара убас ажәларқәа реиҩызара аизҳазыҕьара ацхыраара шаҭахыу хшыҩзышьҭра азуа,
00-05	иара убас Еиду Амилаҭқәа Реиҿкаара иалахәу ажәларқәа ауаҩ ихадароу изинқәеи, ипатуи, ауаҩ ихаҭара аҳаракыреи, хаҵеи ҧҳәыси зинла реиҟарареи – абарҭ зегь рахь ирымоу агәрагара рыҧҟаҧҵа аҟны ишьақәрҕәҕәаны ауаажәларратә ҿиареи ауаҩ еиҳа ахақәиҭра иманы иҧсҭазаара аиҕьтәреи иацхраарц шырыӡбаз хшыҩзышьҭра азуа,
00-06	иара убас еилахәу аҳәынҭқаррақәеи Еиду Амилаҭқәа Реиҿкаареи рус еицурала, зегь еицырзеиҧшу аҳаҭыреиқәҵареи ауаҩытәыҩса изинқәеи ихадароу ихақәиҭрақәеи рымҩаҧгара иацхраарц ахьырыӡбаз хшыҩзышьҭра азуа,
00-07	иара убас арҭ азинқәеи ахақәиҭрақәеи еицеиҧшны зегь рзы аилкаареи, рхы иадырҵаз абри аус анагӡареи аҵак ду шрымоу хшыҩзышьҭра азуа
00-08	Ассамблеиа Хада
00-09	ирыланаҳәоит ауаҩытәыҩса изинқәа Зегьеицырзеиҧшу Адекларациа, ажәларқәеи аҳәынҭқаррақәеи зегьы зынагӡара рҽазыршәо хықәкык аҳасабала иахәаҧшны, дарбанзаалак ауаҩи, аилазаара иарбан хуҭазаалакгьы абри Адекларациа рхы иархәаны, аҵарадырра аларҵәара амҩала абарҭ азинқәеи ахақәиҭрақәеи ҳаҭыр рықәҵара иацхраауа, еиуеиҧшым амилаҭтәи, жәларбжьаратәи апрогрессивтә усхкқәа рынагӡарала, иахьабалк, Еиду Амилаҭқәа Реиҿкаара иалахәу аҳәынҭқаррақәа рыҟнеиҧш, урҭ рнапаҵаҟа иҟоу атәылақәа ирықәнхо ажәларқәагьы еицырзеиҧшны ирыдыркыларц, иагьынарыгӡаларц азы.
01-00	Ахәҭаҷ 1
01-01	Дарбанзаалак ауаҩы дшоуп ихы дақәиҭны. Ауаа зегь зинлеи патулеи еиҟароуп. Урҭ ирымоуп ахшыҩи аламыси, дара дарагь аешьеи аешьеи реиҧш еизыҟазароуп.
