00-00	Кижини тоолағанынаң ужун декларациязы
00-01	Парчын кижини тенъ тоолабазабыс, пош, шын, абыр чадыйыбыс пар полбас теп, кӧрӱп;
00-02	Кижилерди қыстап-кел тоолабанчыабыста, улуғ  қан тӧгӱлӱп, кижи сағыжы қырыл турча теп, кӧрӱп;
00-03	Наа чадыйыбыс, ол парчын кижи айдарын айдар, сананғанын ажар чадыйы, анаң аара кижи қоруқпан, керексинмен чӧрер чадыйы ползын теп, кӧрӱп;
00-04	Кижилерди улуғ тоолап, ыларға чозақ полушсын теп,  қыстаған кижилер қыстапчыған кижилердең тоғра турбазыннар, ӧдӱрӱшпезиннер теп, кӧрӱп;
00-05	Ақ чарықта чатчыған чон-қалықтар, ӧзере тартышпан, арғыштаныш полып, чатсыннар теп, кӧрӱп;
00-06	Пириктеген қалықтары парчын кижиге улуғ тоолағанынға, парчын кижини ңчадыйының қыймадынға, эр кижибе тижи кижиниң тенъ полчығанынға пӱтчадып,   позуның Уставқа аны пастырып, кижи аразындағы чадыйы чақшаарақ пол-парзын теп, санағанмысқа кӧрӱп;
00-07	Пириктеген  қалықтардың қааннары парчын кижиге улуғ тоолағанының  керегин, чадыйыбыс пош поларының керегин, қожа қатыш-келип иштерге сӧс пергенин кӧрӱп;
00-08	Парчын кижиге улуғ тоолағаны, парчын кижиниң пош чатчығаны қайда да, кемге да тың керек, анаң аара пис по айтқан сӧстерибистең шыкпасқа тың керек полғанын кӧрӱп;
00-09	Генеральный Ассамблей
00-10	парчын кижиге улуғ тоолағанынаң, пош чадыйынаң ужун по Текши декларациязын уғуза чарлапча; парчын қаан, қалық, кижи по текши декларацияда пасқанын иштезиннер теп, қатқа ӱргенип, кижилер аразында чӧрӱп, парчын кижиге улуғ тооланғанының, пош чадыйыбыстың керегинге полушсыннар,  улуғ пайрамнарда, пашқа  қалықтарба, эзе, пириктеген қалықтарба ылардың туңма қалықтарба чыылыжып, парчын кижиге улуғ тоолағанын, парчын кижи пош чатқанын чағдаттырып, иштеттирип этча.
01-00	Статьязы 1
01-01	Парчын кижи, по чарыққа туғчадып, тең, пош туғча. Кижилер сағыштығ, ақтығ туғчалар, кижилерге пашқа кижилербе арғыштаныштарға керек.
02-00	Статьязы 2
02-01	Парчын кижи пашқа кижилербе, ылар қайдығ да чон-қалықтанъ шыққанынға, тижи ба, эр кижи ба полғанынға,  қайдығ да тилбе чооқташқанынға,  қайдығ да партиядаң шығара сананғанынға, пай ба, чоқ кижи ба полғанынға пирда кӧрбен,  тең улуғ тоолаған ползын, пашқа кижилербе тең пош чатсын.
03-00	Статьязы 3
03-01	Парчын кижи  пош чатсын, аны кем да тегбезин.
04-00	Статьязы 4
04-01	Пирда кижи қул полбазын, қайдығ да кижини қул эдерге, қул эдип садырға чарабас.
05-00	Статьязы 5
05-01	Пирда кижи пашқа кижиге шаптырбазын, қыстаттырбазын, моғаттырбазын, қайде да чабал эттирбезин.
06-00	Статьязы 6
06-01	Парчын кижи, ол қайда да чадып, пашқа кижилерге улуғ тоолаттырзын.
07-00	Статьязы 7
07-01	Парчын кижи, ол қайдығ да чозақтығ, тиллиғ полза, по декларацияға кӧре, чозақ аны пашқа кижилербе тең кӧр-турзын.
08-00	Статьязы 8
08-01	Парчын кижи, аны улуғ тоолабанчығаннарында, чарғыға кирзин, ааң керегин чарғычы маттап кӧрӱп, оң этсин.
09-00	Статьязы 9
09-01	Пирда кижи ээде ле туттырған полбазын, ноо-ноо чердең шығара сӱрӱлбезин.
10-00	Статьязы 10
10-01	Парчын кижи, аны чарғыға тӱжӱргеннеринде, ажылдыра, шын чарғы чарғылазын.
11-00	Статьязы 11
11-00	Парчын кижи, ол қыйал эткен теп найнағаннарында, ааң қыйалы эткенин оң чарғычы қат шығарбанче, ол қыйалы чоқ кижи теп адалзын.
11-01	Ноо да кижи, тем-тем алында қыйал эдип, наа ла шыққан чозаққа кӧре, чарғыға тӱжӱрбезин. Тӱрбеде одурып, шығып, ам, наа ла шыққан чозаққа кре, полғанынаң қадығаарақ этпезиннер.
12-00	Статьязы 12
12-01	Ноо да кижиниң сағыжын сананғанынға, семьязы чатчаң эминге, ааң пасқан қатқа, ааң тӧлдиң ағынға кем да кирбезин, арлашпазын.
13-00	Статьязы 13
13-00	Парчын кижи қайаға чӧрерге саназа, анда чӧрзин, қайда чадарға саназа, анда чатсын, қайдығ да қаан черинде.
13-01	Парчын кижи позуның черинең қайаға саназа, аға парзын, айланар полза, позуның черинге айланзын.
14-00	Статьязы 14
14-00	Парчын кижи, аны черинең шығара  сӱргеннеринде, қайаға да тезерге саназа, тессин.
14-01	Кижи тезе ӧдӱрзе-оорлаза, пириктеген қалық организацияның чозақтарынға кӧре, аға полужарға чарабас.
15-00	Статьязы 15
15-00	Парчын кижи гражданстволығ ползын.
15-01	Кемге да ааң гражданствозын ээде ле алыб-аларға чарабас.
16-00	Статьязы 16
16-00	Эр кижи тижи кижибе, эр шенинге четкеннеринде, ноо да небеге, шырайынға, қудайға пӱткенинге, чон-қалығынға кӧрбен, алышсыннар.
16-01	Ӧзере ле сананыш-келип, алышсыннар.
16-02	Семья, ол қалықтың пӧлӱгӱ. Анаң аара қалық аға полушсын.
17-00	Статьязы 17
17-00	Парчын кижи чағысқа да, кемме да пирге да полза, эм-мал тутсын.
17-01	Кемнең да тутқан эм-малы пашқа кижибе ээде ле алдырбазын.
18-00	Статьязы 18
18-01	Парчын кижи ноода ужун саназа, анаң ужун саназын, қайдығ да қудайға  пӱдерге саназа, аға пӱтсин, чағысқа да, кемме пирге, қожа да, кижилердиң кӧзӱнче да, кижиге кӧрдӱрбен да позуның чозағын тутсын.
19-00	Статьязы 19
19-01	Парчын кижи ноо ла санарға саназа, аны саназын, ноо ла айдарға саназа, аны айтсын, ноо ла тилерге, табарға саназа, аны тапсын, кем да аны қайдығ черде да тоқтатпазын.
