00-00	INTËRU MUNDUCHO LAPAN RUNAKUNAPA DERËCHUNKUNANTA WILAKUSHQAN
00-01	Munashqantsita ruranantsipaq, runakuna ali jusgashqa kananpaq, y ali kawanantsipaqpis kay patsacho, tantyashwan imanoq lapantsikunapis bälishqantsita. Tsaynoqpa tantyashwan imanoq lapan runa mayintsikuna derëchun nishqankunata tsararaykashqanta. Manami pipis kay derëchun nishqankunata kachanmantsu.
00-02	Wakinkuna kay derëchun nishqankunata despresyar mana reqipäkushpan pasaypa mana ali kaqkunata rurapäkun. Rurapäkuptin interu munducho lapan runakuna shonqun rurincho rabyakärin. Tsawraqa lapanpita mas munashqannoq wilakärin mas alina kawapäkunanpaq kaynoq nir: "Lapan runakuna mana mantsakuypa kawanmanna y pishiychöpis manami kanmannatsu. Tsaynoqpis lapan runakuna ima yarpashqankunalatapis parlanman y munashqankunalamanpis kriyinman".
00-03	Laykuna kanman runakunapa derëchun nishqankuna mana elqashqa kananpaq. Tsay presïsumi kaykan. Mana kaptenqa imatapis mas rurayta mana pwëdir runakuna imaykanoqpapis mana ali awturidäkunapa kontran sharkapakun y tukuynoqpa nakatsikoqkunata elqätsipäkun.
00-04	Tsaynoqmi lapan nasyunkuna amistächo kawapäkunman. Tsaypis presïsumi.
00-05	Lapan nasyunkunapa delegädunkuna juntakärir eskribipäkorqan Nasyones Unidas nishqanpa qalaykatsinan kartata. Tsay kartacho eskribipäkorqan runakunapa derëchun nishqankunapita. Tsaynoqpis eskribipäkorqan imanoq runakuna balurniyoq kashqanta, y olqupaq warmipaqpis derëchun nishqankuna iwal kashqanta. Tsay eskribishqankunaman yärakärin Nasyones Unidas nishqanpa myemrunkuna. Tsaynoqpis tsay kartacho eskribiraykan kaynoq nir: "Librina arupäkushun ali kawayman chayapäkunantsipaq" nir.
00-06	Nasyones Unidas nishqanpa lapan myemrunkuna promitipakorqan yanapänakur arupäkunanpaq interu munducho runakunapa derëchun nishqankuna respitashqa kar kumplikänanpaq.
00-07	Kay promitishqanqa ali rurakashqa kananpaq, Iapantsikunapis juk yarpayla tantyapäkushwan kay derëchun nishqankunata.
00-08	Tsaymi Nasyones Unidaspa juntakashqan runakuna wilakun kayta:
00-09	INTËRU MUNDUCHO LAPAN RUNAKUNAPA DERËCHUNKUNAPITA WILAKUSHQAN
00-10	Kay wilakushqan lapan runakunapis nasyunkunapis iwal tantyapäkunanpaq tsay derëchun nishqankunapitami. Tsaynoqpaqa lapan runakunapis y mandaq awturidäkunapis, kay wilakushqanman yarpashqala kashpanqa, yachatsipäkunman wakinkunata kay derëchun nishqankunata respitananpaq. Tsaynoqpis juklä nasyunkunawanpis shumaq animatsipäkunman nasyunnincho kaqkunata y wakin munaynincho kaqkunatapis kaynoq nir ninanpaq: "Kay derëchun nishqankuna lapan runakunapaqmi. Noqa tsay derëchunkuna nishqannoqlami ali kawashaq runa mayëkunawan'.
01-00	NISHOAN JUK (1)
01-01	Lapantsikunapis Iibrimi yurishqantsi. Bälintsimi y derëchuntsikunapis wakinkaqkunanoqlapami. Yarpaynintsikunapis kaykanmi runa mayintsikunawan juk wawqinoq kuyanakur kawapäkunantsipaq.
02-00	NISHQAN ISHKAY (2)
02-01	Lapantsikunapaqpis kay wilakushqancho eskribishqankaq dere.chuntsikuna. Kay derëchuntsikuna iwalla kanman ima räsa runakunapaqpis, yoraqpaq yanapaqpis, warmipaq olqupaqpis ima kläsi rimaqkunapaqpis, mayqan relijyunkunaman kriyeqkunapaqpis, tsaynoq ima politikacho pureqkunapaqpis, mayqan nasyunpita runakunapaqpis, riku runakunapaq pobri runakunapaqpis, imanoq yurishqa kaqkunapaqpis, y tsaynoq imanoq kawaqkunapaqpis.
02-02	Kay derëchuntsikuna iwalla kanman lapantsikunapaqpis. Markantsi nasyunnoq kaptin o mana nasyunnoq kaptinpis, markantsi kikintsipa munaynintsicho kaptin o jukpa munaynincho kaptinpis, markantsipa awturidäninkuna imanoq kaptinpis, derëchuntsikuna iwalla kanman.
03-00	NISHQAN KIMSA (3)
03-01	Lapantsikunapami derëchuntsi kan mana pipis wanutsimänantsipaq, Iibri munaynintsicho kawanantsipaq, y mana pipitapis mantsakuypa kawanantsipaq.
04-00	NISHQAN CHUSKU (4)
04-01	Manami pipis rantishqa runanoq arunmantsu jukpaq.
05-00	NISHOAN PITSQA (5)
05-01	Kastigashqa karpis, manami pipis fiypa nakatsishqaqa kanmantsu animal nakatsishqa kashqannoq, ni pasaypa umillatsishqapis kanmantsu.
06-00	NISHQAN SOQTA (6)
06-01	Lapantsikunatapis maycho tsaychöpis awturidäkuna mana jarukuylapa ali respitamashwan.
07-00	NISHQAN QANCHIS (7)
07-01	Laykuna jusgamashwan lapantsita iwalla. Kay karta eskribishqa kashqanpita mana käsukoqkunapita Iaykuna kuydamashwan lapantsikunatapis mana despresyashqa kaylapa.
08-00	NISHQAN PUSAQ (8)
08-01	Juk runa, nasyunninpa layninta mana käsukur, mana al ita ruramaptintsi, derëchuntsi kanmi awturidäkunaman kejakoq aywanantsipaq. Y tsaycho lapantsi atyendishqa kashwan iwalla.
09-00	NISHQAN ISQUN (9)
09-01	Manami pipis lutalaqa prësutsishqa kanmantsu karsil wayiman. Ni tsaynoqpis lutalaqa qarqushqa kanmantsu markanpita.
10-00	NISHOAN CHUNKA (10)
10-01	Lapantsikunapami derëchuntsi kan imalapitapis runakunapa nawpancho jusgashqa kanantsipaq, alipita mana alipitapis. Tsay mana alita jusganman juk tsaycho mana jatikashqa kaq awturidä iwalla mana mayqanpapis faburnin sharkuylapa.
11-00	NISHQAN CHUNKA JUK (11)
11-01	Lapantsikunapami derëchuntsi kan "Jutsaynaqmi kanki" nimänantsipaq imalapitapis akusashqa kaptintsipis manaraq shumaq musyakashqa kaptenqa. Lay nishqannoq musyakashqa kanman lapan runakunapa nawpancho imalapis defyendikunantsipaqnoq kaykaptenqa.
11-02	Manami pipis kondenashqa kanmantsu rurashqanpita y mana rurashqanpitapis tsay jinan öraqa mana nawpapita patsa nasyunninpa laynincho "tsaynoq katsun" nishqa kaptin, y tsaynoqpis lapan nasyunkunapa yarpashqan layninkunachöpis. Jutsantsikunapita kastigashqa kanantsipaq kaqkunapita manami mastaqa kastigashqa kashwantsu jutsantsi kaptinpis.
12-00	NISHQAN CHUNKA ISHKAY (12)
12-01	Juk runataqa manami pipis lutalaqa imatapis ruranmantsu: kikinta, familyankunata, ni wayinkunatapis. Ni eskribishqan kartankunatapis ama kichanmantsu. Tsaynoqpis ama ashlinmantsu. Lapantsikunapami derëchuntsi kan tsaykunapita laykuna kuydamänantsipaq.
13-00	NISHQAN CHUNKA KIMSA (13)
13-01	Lapantsikunapami derëchuntsi kan maypapis libri purikunantsipaq y maychöpis nasyunnintsichöqa täkunantsipaq.
13-02	Lapantsikunapami derëchuntsi kan kikintsipa nasyunnintsikunapita yarqunantsipaq y tsaynoqpis kutimunantispaq.
14-00	NISHQAN CHUNKA CHUSKU (14)
14-01	Lapantsikunapami derëchuntsi kan juklä nasyunkunacho wayintsita ashir täkunantsipaq qatikachämaqnintsikuna kaptin.
14-02	Markantsipa kontran ni Nasyones Unidaspa kontran juk runa ima jutsatapis rurar manami ninmantsu "Noqapa derëchö kanmi juklä nasyunman aywakur täkunäpaq qatikachamaqn. kaptin." Jutsantsikuna ima politikakunapita kaptinmi itsanqa derëchuntsi kan qeshpikunantsipaq.
15-00	NISHQAN CHUNKA PITSQA (15)
