00-00	LAWA RARABA NI DODONU NI LEWENIVANUA
00-01	Ni yavu ni galala, lewa dodonu kei na sautu ena vuravura na noda vakadinata ni dodonu mera dokai mera raici tale ga vakatautauvata na lewe kece ga ni vuvale kawatamata,
00-02	Ni na tubu na itovo vakadomobula e sokanu kina na lewaeloma ni kawatamata ke
00-03	vakawaleni qai beci na dodonu ni kawatamata kei na kena vakatakilai ni ka levu duadua era nuitaka tu na lewenivanua na vuravura era na marautaka kina na tamata yadua na galala ni vosa kei na galala ni vakabauta vaka kina na galala mai na rere kei na leqa,
00-04	Ni dodonu me taqomaki vinaka ena lawa na dodonu ni lewenivanua, me kua kina ni vakasaurarataki na tamata ena nodra vaqara bula mera saqata na veiliutaki e voravora qai ca,
00-05	Ni bibi me sagai mera veimaliwai vinaka na veimatanitu,
00-06	Nira sa vakadeitaka na lewe ni Matabose Levu kei Vuravura ena kena Lawatu na nodra vakabauta na dodonu ni lewenivanua me dokai qai kilai na yaga ni tamata yadua, ni tautauvata vinaka nodrau dodonu na tagane kei na yalewa ra qai nakita dei mera vakabulabulataka na toso vakaitikotiko kei na vueti cake ni ivakatagedegede ni bula mera galala kina vakalevu,
00-07	Nira sa yalataka na matanitu era lewe ni Matabose mera na saga ena veitokoni ni
00-08	Matabose Levu kei Vuravura mera vakabulabulataka na dokai kei na muri ni dodonu raraba ni lewenivanua kei na galala ni tamata yadua,
00-09	Ni rui bibi me matata vinaka vei keda kece na dodonu kei na galala oqo me vakayacori rawa kina na vosa ni yalayala oqo,
00-10	O koya gona
00-11	E kacivaka kina
00-12	NA VALE NI BOSE LEVU
00-13	NA LAWA RARABA NI DODONU NI LEWENIVANUA oqo e dodonu mera na saga vakatautauvata kece sara na veimatatamata kei na veimatanitu mera kila ra qai nanuma deivaki na kena lewenivanua yadua kei na veitikotiko kece sara. Mera na saga mera vakavulica ena kena totaki na dokai ni dodonu kei na galala kece oqo kei na nodra saga tiko vakalailai me kilai qai muri vakararaba, vakavinaka, ena dua na matanitu me tete ina veimatanitu ena kedra maliwa na vanua tu vakataki ira kei na vanua qali.
01-00	Tikina e 1.
01-01	Era sucu ena galala na tamata yadua, era tautauvata ena nodra dokai kei na nodra dodonu. E tiko na nodra vakasama kei na nodra lewaeloma, sa dodonu mera veidokadokai ena yalo ni veitacini.
02-00	Tikina e 2.
