00-00	BOIKANOKAKARETŠO BJA DITOKELO TŠA BOTHO
00-01	Le ge re dutše re tseba gore seriti seo motho a belegilwego ka sona le tekatekanelo gammogo le ditokelo tšeo di sa tšeelwego kgang tša batho ka moka ke motheo wa tokologo ya toka le khutšo lefseng ka bophara.
00-02	Le ge re dutše re tseba gore go se elwe hloko le go phaelwa ka thoko ga ditokelo tša botho go tlišitše dilešadihlong tšeo di rumutšego le go šišinya maikutlo le letswalo la botho bathong, go tla ga pono le tebelelo ye mpsha mo lefaseng yeo e ikemišeditšego go ela hloko gore batho ba swanetše go ipshina ka tokologo ya polelo, ya bodumedi gammogo le go se tšhoge selo goba gona go duma, go dirile gore se se boletšwego ka mo godimo e be dinyakwa tša maemo a godimodimo tša batho ka moka.
00-03	Le ge re dutše re tseba gore go bohlokwa, ntle le ge motho a gapeletšwa ke mabaka, go thibela ka gohlegohle pušo ya mmušakatshipi le kgatelelo gore ditokelo tša botho di swanetše go šireletšwa ke molao.
00-04	Le ge re dutše re tseba gore go bohlokwa go godiša tšweletšopele ya segwera magareng a ditšhaba.
00-05	Le ge re dutše re tseba gore batho ba Ditšhaba Kopano ka gare ga Molao wa Ditokelo tša bona ba tiišetša tshepo ya bona motheong wa ditokelo tša botho, ka seriti le bohlokwa bja motho le gona go ba gona ga tekatekanelo gare ga banna le basadi, ba ikemišeditše go godiša tšweletšopele ya setho gammogo le kaonafatšo ya maemo a bophelo ka gare ga tokologo ye kgolo.
00-06	Le ge re dutše re tseba gore Maloko a Ditšhaba Kopano a ikanne go fihlelela, ka thušo ya Ditšhaba Kopano, kgodišo ya tšweletšo ya tlhompho le kelohloko ya ditokelo tša botho gammogo le theo ya ditokologo.
00-07	Le ge re dutše re tseba gore kwešišo yeo e kopanetšwego ya ditokelo le ditokologo tše ke taba ye bohlokwa gore go tle go kgonwe go fihlelela boikano bjo bo dirilwego.
00-08	KA FAO, GE
00-09	Lekgotla Kopanokakaretšo
00-10	Le tšea sephetho sa gore Boikanokakaretšo bjo bja Ditokelo tša Botho ke kelo ya batho ka moka ya go ela bokgoni bja batho gammogo le ditšhaba ka moka go fihla, mafelelong, fao mang le mang yo e lego setho sa setšhaba, ba na le Boikano bjo dikgopolong tša bona mme ba leka ka mešogofela, ka go ruta le mo thutong, go godiša tlhompho ya ditokelo le ditokologo tše ka mekgwa ya sebjalebjale ya go ela, setšhabeng le gare ga ditšhaba tše dingwe, go bona gore tsebego ya tšona lefaseng ka bophara di a tsebega e bile di elwa hloko ke batho ba Mebušomaloko ka bobona gammogo le batho ba nagadilete tšeo di lego ka tlase ga pušo ya bona.
01-00	Temana 1
01-01	Batho ka moka ba belegwe ba lokologile le gona ba na le seriti sa go lekana le ditokelo. Ba filwe monagano le letswalo mme ba swanetše go swarana ka moya wa bana ba mpa.
02-00	Temana 2
02-01	Mang le mang o swanetše ke ditokelo le ditokologo ka moka tše go boletšwego ka tšona ka mo Boikanong bjo, ntle le kgethollo ya mohuta wo mongwe le wo mongwe bjalo ka morafe, mmala, bong, polelo, bodumedi, dipolitiki goba ka kgopolo, botšo go ya ka setšhaba goba maemo, diphahlo, matswalo goba maemo a mangwe le a mangwe.
02-02	Go feta fao, ga go kgethollo yeo e swanetšego go dirwa go ya ka maemo a dipolitiki, tokelo ya boahlodi, goba maemo a ditšhabatšhaba goba lefelo leo motho a dulago go lona, goba ke naga ye e ipušago, trasete, naga ya go se ipuše goba se sengwe le se sengwe seo se ka fokotšago maemo a go ikemela ga naga ya gabo.
03-00	Temana 3
03-01	Mang le mang o na le tokelo ya bophelo, tokologo le tšhireletšo ya gagwe.
04-00	Temana 4
04-01	Ga go motho ya a swanetšego go swarwa bjalo ka lekgoba goba mohlanka. Bokgoba le go gweba ka makgoba go tla thibelwa ka gohlegohle.
05-00	Temana 5
05-01	Ga go motho yo a swanetšego go gobošwa goba a swarwa ka mokgwa wo mobe wa go nyefola seriti sa gagwe goba a otlwa gabohloko.
06-00	Temana 6
06-01	Mang le mang o na le tokelo ya go tsebja lefelong le lengwe le le lengwe bjalo ka motho pele ga molao.
07-00	Temana 7
07-01	Batho ka moka ba a lekana pele ga molao mme ba dumeletšwe ntle le kgethollo go šireletšwa ka go lekana pele ga molao. Ka moka ba swanetše go fiwa tšhireletšo ya go lekana maleba le kgethollo yeo e tshelago goba e robago Boikano bjo le maikemišetšo a mangwe le a mangwe ao a bonalago a rata go kgetholla.
08-00	Temana 8
08-01	Mang le mang o na le tokelo ya go hwetša phošollo ya nnete yeo e tlago ka bao ba tsebago ditokelo tša botho maleba le ditiro tšeo di phaelago ditokelo tša batho ka thoko tšeo a di fiwago ke molaotheo goba molao.
09-00	Temana 9
